Symbol,Side,Order Type,Time,Quantity,Price
GALUSDT,SELL,LIMIT,1701009014095,73,1.37841
GALUSDT,SELL,LIMIT,1701009287307,142,1.37413
GALUSDT,SELL,LIMIT,1701014921311,4,1.37908
GALUSDT,SELL,LIMIT,1701015644389,106,1.37121
GALUSDT,SELL,LIMIT,1701015742292,182,1.36117
GALUSDT,SELL,LIMIT,1701015744534,60,1.36055
GALUSDT,SELL,LIMIT,1701015761723,2500,1.35941
GALUSDT,SELL,LIMIT,1701015764144,225,1.35866
GALUSDT,SELL,LIMIT,1701015825099,73,1.35751
GALUSDT,SELL,LIMIT,1701015849697,964,1.35735
GALUSDT,SELL,LIMIT,1701015875904,200,1.35647
GALUSDT,SELL,LIMIT,1701016021084,18,1.35577
GALUSDT,SELL,LIMIT,1701016028140,55,1.35453
GALUSDT,SELL,LIMIT,1701016029177,534,1.35864
GALUSDT,SELL,LIMIT,1701016032266,1,1.35204
GALUSDT,SELL,LIMIT,1701016033194,14,1.35173
GALUSDT,SELL,LIMIT,1701016034308,29,1.35177
GALUSDT,SELL,LIMIT,1701016037092,17,1.34978
GALUSDT,SELL,LIMIT,1701016039155,119,1.34976
GALUSDT,SELL,LIMIT,1701016041564,182,1.34880
GALUSDT,SELL,LIMIT,1701016043336,352,1.34777
GALUSDT,SELL,LIMIT,1701016044299,82,1.34764
GALUSDT,SELL,LIMIT,1701016045481,208,1.34552
GALUSDT,SELL,LIMIT,1701016046331,4,1.34521
GALUSDT,SELL,LIMIT,1701016048372,540,1.35666
GALUSDT,SELL,LIMIT,1701016051652,765,1.34326
GALUSDT,SELL,LIMIT,1701016059672,3572,1.34272
GALUSDT,SELL,LIMIT,1701016099618,18,1.34211
GALUSDT,SELL,LIMIT,1701016100580,29,1.34192
GALUSDT,SELL,LIMIT,1701016101900,956,1.34100
GALUSDT,SELL,LIMIT,1701016104411,4,1.33992
GALUSDT,BUY,LIMIT,1701039109282,224,1.47301
GALUSDT,BUY,LIMIT,1701039220290,96,1.47576
GALUSDT,BUY,LIMIT,1701039223146,67,1.47680
GALUSDT,BUY,LIMIT,1701039333469,1528,1.47941
GALUSDT,SELL,LIMIT,1701052645083,120,1.39089
GALUSDT,SELL,LIMIT,1701054404916,724,1.37741
GALUSDT,SELL,LIMIT,1701055062793,13,1.37439
GALUSDT,SELL,LIMIT,1701055974039,116,1.36465
GALUSDT,SELL,LIMIT,1701056053416,141,1.36256
