Symbol,Side,Order Type,Time,Quantity,Price
KAVAUSDT,BUY,LIMIT,1701001501764,48.2,0.7940
KAVAUSDT,BUY,LIMIT,1701002028113,55.3,0.8037
KAVAUSDT,SELL,LIMIT,1701013685292,407.5,0.7866
KAVAUSDT,BUY,LIMIT,1701015048190,78.9,0.8114
KAVAUSDT,SELL,LIMIT,1701015659094,130.3,0.7911
KAVAUSDT,SELL,LIMIT,1701015684298,253.6,0.7885
KAVAUSDT,SELL,LIMIT,1701015688117,18.6,0.7876
KAVAUSDT,SELL,LIMIT,1701015907145,36.0,0.7819
KAVAUSDT,SELL,LIMIT,1701016043256,7.7,0.7784
KAVAUSDT,SELL,LIMIT,1701016045464,51.0,0.8407
KAVAUSDT,SELL,LIMIT,1701016047679,25.5,0.7863
KAVAUSDT,SELL,LIMIT,1701016048621,255.2,0.7775
KAVAUSDT,SELL,LIMIT,1701016100061,69.4,0.7755
KAVAUSDT,SELL,LIMIT,1701016101674,342.2,0.7739
KAVAUSDT,BUY,LIMIT,1701019297739,25.9,0.8143
KAVAUSDT,BUY,LIMIT,1701019303723,603.2,0.8149
KAVAUSDT,BUY,LIMIT,1701019352530,307.0,0.8166
KAVAUSDT,BUY,LIMIT,1701019502366,42.6,0.8172
KAVAUSDT,BUY,LIMIT,1701019791316,352.9,0.8195
KAVAUSDT,BUY,LIMIT,1701019902634,41.9,0.8209
KAVAUSDT,BUY,LIMIT,1701020001105,1459.4,0.8225
KAVAUSDT,BUY,LIMIT,1701020016198,144.4,0.8230
KAVAUSDT,SELL,LIMIT,1701050112861,410.1,0.7766
KAVAUSDT,SELL,LIMIT,1701050210855,23.4,0.7760
KAVAUSDT,SELL,LIMIT,1701052124812,2702.7,0.7736
KAVAUSDT,SELL,LIMIT,1701052282710,313.0,0.7732
KAVAUSDT,SELL,LIMIT,1701052889692,11.9,0.7723
KAVAUSDT,SELL,LIMIT,1701053124586,100.9,0.7707
KAVAUSDT,SELL,LIMIT,1701053179350,1358.5,0.7706
KAVAUSDT,SELL,LIMIT,1701055062792,24.9,0.7684
KAVAUSDT,SELL,LIMIT,1701055191057,6.3,0.7680
KAVAUSDT,SELL,LIMIT,1701055277222,7333.5,0.7656
KAVAUSDT,SELL,LIMIT,1701055589533,346.9,0.7655
KAVAUSDT,SELL,LIMIT,1701055601796,255.9,0.7650
KAVAUSDT,SELL,LIMIT,1701055753781,1900.0,0.7651
KAVAUSDT,SELL,LIMIT,1701055976724,2775.7,0.7643
KAVAUSDT,SELL,LIMIT,1701056053415,359.2,0.7622
KAVAUSDT,SELL,LIMIT,1701056055575,139.2,0.7610
