Symbol,Side,Order Type,Time,Quantity,Price
KNCUSDT,SELL,LIMIT,1701067855315,110,0.71513
KNCUSDT,BUY,LIMIT,1701069031207,132,0.73299
KNCUSDT,SELL,LIMIT,1701069883189,986,0.70780
KNCUSDT,SELL,LIMIT,1701069888859,46,0.70747
KNCUSDT,SELL,LIMIT,1701069899015,76,0.70684
KNCUSDT,SELL,LIMIT,1701070169337,124,0.70584
KNCUSDT,SELL,LIMIT,1701070440467,4459,0.70521
KNCUSDT,SELL,LIMIT,1701077136796,3439,0.71204
KNCUSDT,SELL,LIMIT,1701080346292,3380,0.70997
KNCUSDT,SELL,LIMIT,1701081328391,27,0.70384
KNCUSDT,SELL,LIMIT,1701081426275,2811,0.70352
KNCUSDT,SELL,LIMIT,1701081435057,216,0.70297
KNCUSDT,SELL,LIMIT,1701082276367,8,0.70329
KNCUSDT,SELL,LIMIT,1701082483039,3494,0.70024
KNCUSDT,SELL,LIMIT,1701082485987,83,0.70021
KNCUSDT,SELL,LIMIT,1701082499584,8,0.69973
KNCUSDT,SELL,LIMIT,1701082646539,27,0.69945
KNCUSDT,SELL,LIMIT,1701082674226,121,0.69801
KNCUSDT,SELL,LIMIT,1701084931015,252,0.69841
KNCUSDT,SELL,LIMIT,1701091164043,137,0.69649
KNCUSDT,SELL,LIMIT,1701093121019,21,0.69641
KNCUSDT,SELL,LIMIT,1701093133164,689,0.69642
KNCUSDT,SELL,LIMIT,1701093137898,669,0.69583
KNCUSDT,SELL,LIMIT,1701095549417,34,0.69586
KNCUSDT,SELL,LIMIT,1701095550534,11,0.69526
KNCUSDT,SELL,LIMIT,1701095555025,813,0.69514
KNCUSDT,SELL,LIMIT,1701097013881,271,0.69420
KNCUSDT,SELL,LIMIT,1701097038436,54,0.69218
KNCUSDT,SELL,LIMIT,1701097085168,313,0.69216
KNCUSDT,SELL,LIMIT,1701097092920,527,0.69182
KNCUSDT,SELL,LIMIT,1701097101145,10000,0.68942
KNCUSDT,SELL,LIMIT,1701099988213,29,0.69532
KNCUSDT,SELL,LIMIT,1701100571270,3307,0.69216
KNCUSDT,SELL,LIMIT,1701100574230,46,0.69167
KNCUSDT,SELL,LIMIT,1701100636121,834,0.69081
KNCUSDT,SELL,LIMIT,1701100641445,55,0.69071
KNCUSDT,SELL,LIMIT,1701100818371,8,0.69049
KNCUSDT,SELL,LIMIT,1701100819629,8,0.69019
KNCUSDT,BUY,LIMIT,1701102067017,71,0.71535
KNCUSDT,BUY,LIMIT,1701104948343,48,0.72082
KNCUSDT,SELL,LIMIT,1701107780824,281,0.69391
KNCUSDT,SELL,LIMIT,1701111581054,3456,0.69295
KNCUSDT,SELL,LIMIT,1701111971100,1499,0.69202
KNCUSDT,SELL,LIMIT,1701112125164,7,0.68944
KNCUSDT,SELL,LIMIT,1701112161672,7016,0.68884
KNCUSDT,SELL,LIMIT,1701112165281,817,0.68872
KNCUSDT,SELL,LIMIT,1701112169870,99,0.68850
KNCUSDT,SELL,LIMIT,1701112213350,543,0.68831
KNCUSDT,SELL,LIMIT,1701112214421,3036,0.68812
KNCUSDT,BUY,LIMIT,1701113301484,402,0.71231
KNCUSDT,SELL,LIMIT,1701114208696,16774,0.68391
KNCUSDT,SELL,LIMIT,1701114230711,44,0.68746
KNCUSDT,SELL,LIMIT,1701114232439,163,0.68708
KNCUSDT,SELL,LIMIT,1701114239802,77,0.68682
KNCUSDT,SELL,LIMIT,1701114269446,10,0.68602
KNCUSDT,SELL,LIMIT,1701114275214,21,0.68488
KNCUSDT,SELL,LIMIT,1701114276254,301,0.68450
KNCUSDT,SELL,LIMIT,1701114277677,13,0.68352
KNCUSDT,SELL,LIMIT,1701114352848,20,0.68322
KNCUSDT,SELL,LIMIT,1701114356073,1751,0.68297
KNCUSDT,SELL,LIMIT,1701114357137,80,0.68247
KNCUSDT,SELL,LIMIT,1701114478475,166,0.68211
KNCUSDT,SELL,LIMIT,1701114491039,176,0.68134
KNCUSDT,SELL,LIMIT,1701114493362,79,0.68103
KNCUSDT,SELL,LIMIT,1701114494711,535,0.68055
KNCUSDT,SELL,LIMIT,1701114531140,13,0.68005
KNCUSDT,SELL,LIMIT,1701117097091,2264,0.68062
KNCUSDT,BUY,LIMIT,1701119426727,164,0.70578
KNCUSDT,SELL,LIMIT,1701132909029,2022,0.69837
KNCUSDT,SELL,LIMIT,1701145753864,3462,0.68909
KNCUSDT,SELL,LIMIT,1701146013407,429,0.68573
KNCUSDT,SELL,LIMIT,1701146063141,973,0.68495
KNCUSDT,SELL,LIMIT,1701147052105,214,0.68122
KNCUSDT,SELL,LIMIT,1701147712349,187,0.67995
KNCUSDT,SELL,LIMIT,1701147724212,33,0.67923
KNCUSDT,SELL,LIMIT,1701147780299,3358,0.67857
KNCUSDT,SELL,LIMIT,1701147782054,46,0.67748
KNCUSDT,SELL,LIMIT,1701147783300,8,0.67721
KNCUSDT,SELL,LIMIT,1701147792355,91,0.67669
KNCUSDT,SELL,LIMIT,1701147804069,140,0.67564
KNCUSDT,SELL,LIMIT,1701147824971,12,0.67529
KNCUSDT,SELL,LIMIT,1701147827954,689,0.67504
KNCUSDT,SELL,LIMIT,1701147871479,478,0.67458
KNCUSDT,SELL,LIMIT,1701147922760,109,0.67366
KNCUSDT,SELL,LIMIT,1701148007813,290,0.67344
KNCUSDT,SELL,LIMIT,1701148011557,234,0.67303
KNCUSDT,SELL,LIMIT,1701148101171,120,0.67285
KNCUSDT,SELL,LIMIT,1701148106464,289,0.67266
KNCUSDT,SELL,LIMIT,1701148107550,669,0.67228
KNCUSDT,SELL,LIMIT,1701148109506,662,0.67225
KNCUSDT,SELL,LIMIT,1701148112360,81,0.67217
KNCUSDT,SELL,LIMIT,1701148132680,8738,0.67013
KNCUSDT,SELL,LIMIT,1701148134145,1491,0.67107
KNCUSDT,SELL,LIMIT,1701148167287,119,0.67071
KNCUSDT,SELL,LIMIT,1701148173161,358,0.67018
KNCUSDT,SELL,LIMIT,1701148210893,4924,0.67011
KNCUSDT,SELL,LIMIT,1701148211949,709,0.67003
KNCUSDT,SELL,LIMIT,1701148216028,73,0.66994
KNCUSDT,SELL,LIMIT,1701148249589,986,0.66846
KNCUSDT,SELL,LIMIT,1701149771344,138,0.66882
KNCUSDT,SELL,LIMIT,1701149839103,956,0.66734
KNCUSDT,SELL,LIMIT,1701149845354,8,0.66717
KNCUSDT,SELL,LIMIT,1701149847166,390,0.66688
KNCUSDT,SELL,LIMIT,1701149848329,283,0.66654
KNCUSDT,SELL,LIMIT,1701149849904,240,0.66578
KNCUSDT,SELL,LIMIT,1701149851406,610,0.66536
KNCUSDT,SELL,LIMIT,1701149854868,303,0.66474
KNCUSDT,SELL,LIMIT,1701149890456,136,0.66428
KNCUSDT,SELL,LIMIT,1701149892900,12,0.66418
KNCUSDT,SELL,LIMIT,1701150575995,18,0.66905
KNCUSDT,SELL,LIMIT,1701151263534,643,0.67010
KNCUSDT,SELL,LIMIT,1701156040528,11,0.66979
KNCUSDT,SELL,LIMIT,1701156471964,534,0.66732
KNCUSDT,SELL,LIMIT,1701156510044,4015,0.66704
KNCUSDT,SELL,LIMIT,1701173821194,685,0.68023
KNCUSDT,SELL,LIMIT,1701174244423,144,0.67966
KNCUSDT,SELL,LIMIT,1701174245703,52,0.67954
KNCUSDT,SELL,LIMIT,1701174260162,101,0.67929
KNCUSDT,SELL,LIMIT,1701175767808,165,0.67824
KNCUSDT,SELL,LIMIT,1701175769740,28,0.67741
KNCUSDT,SELL,LIMIT,1701176540139,1229,0.67617
KNCUSDT,SELL,LIMIT,1701176740159,222,0.67533
KNCUSDT,SELL,LIMIT,1701176746108,182,0.67489
KNCUSDT,SELL,LIMIT,1701176767608,3601,0.67467
KNCUSDT,SELL,LIMIT,1701185398909,57,0.68147
KNCUSDT,SELL,LIMIT,1701185852885,144,0.67906
KNCUSDT,BUY,LIMIT,1701188469277,1254,0.70840
KNCUSDT,BUY,LIMIT,1701190385361,341,0.71423
KNCUSDT,SELL,LIMIT,1701197417365,1200,0.69222
KNCUSDT,SELL,LIMIT,1701197578780,1108,0.69152
KNCUSDT,SELL,LIMIT,1701197834754,184,0.69299
KNCUSDT,SELL,LIMIT,1701197838946,40,0.69334
KNCUSDT,SELL,LIMIT,1701197853601,40,0.80061
KNCUSDT,SELL,LIMIT,1701197860436,10424,0.69006
KNCUSDT,BUY,LIMIT,1701200473709,737,0.71868
KNCUSDT,BUY,LIMIT,1701200600502,248,0.72003
KNCUSDT,BUY,LIMIT,1701201638450,2172,0.71892
KNCUSDT,BUY,LIMIT,1701215554095,503,0.72181
KNCUSDT,SELL,LIMIT,1701216407196,6300,0.69657
KNCUSDT,BUY,LIMIT,1701247944397,307,0.72384
KNCUSDT,BUY,LIMIT,1701247950766,228,0.72416
KNCUSDT,BUY,LIMIT,1701248274048,14,0.72560
KNCUSDT,SELL,LIMIT,1701248659549,134,0.70349
KNCUSDT,SELL,LIMIT,1701250214779,63,0.69992
KNCUSDT,SELL,LIMIT,1701252230294,500,0.69740
KNCUSDT,SELL,LIMIT,1701254063105,1122,0.69232
KNCUSDT,SELL,LIMIT,1701264319319,3,1.36218
KNCUSDT,SELL,LIMIT,1701268452541,1119,0.69558
KNCUSDT,SELL,LIMIT,1701270440184,1315,0.69391
KNCUSDT,SELL,LIMIT,1701270586293,1132,0.69170
KNCUSDT,SELL,LIMIT,1701275478868,163,0.69270
KNCUSDT,SELL,LIMIT,1701285555947,39,0.69857
KNCUSDT,SELL,LIMIT,1701288287798,8,0.69970
KNCUSDT,SELL,LIMIT,1701290065171,2000,0.69634
KNCUSDT,BUY,LIMIT,1701303808085,4474,0.72442
KNCUSDT,BUY,LIMIT,1701304013037,140,0.72669
KNCUSDT,BUY,LIMIT,1701304015421,556,0.72698
KNCUSDT,BUY,LIMIT,1701304024488,27,0.72757
KNCUSDT,BUY,LIMIT,1701304158024,66,0.73112
KNCUSDT,BUY,LIMIT,1701304162380,418,0.73181
KNCUSDT,BUY,LIMIT,1701304419036,100,0.73362
KNCUSDT,BUY,LIMIT,1701304546946,16,0.73452
KNCUSDT,BUY,LIMIT,1701304553130,6240,0.73507
KNCUSDT,BUY,LIMIT,1701304655926,92,0.73668
KNCUSDT,SELL,LIMIT,1701306074338,59,0.70013
KNCUSDT,SELL,LIMIT,1701306416863,1000,0.69691
KNCUSDT,BUY,LIMIT,1701315461437,122,0.72461
KNCUSDT,SELL,LIMIT,1701315517309,26,0.70467
KNCUSDT,SELL,LIMIT,1701319967197,36,0.70337
KNCUSDT,SELL,LIMIT,1701330238146,164,0.70041
KNCUSDT,SELL,LIMIT,1701331644366,7126,0.69650
KNCUSDT,BUY,LIMIT,1701336601204,578,0.71798
KNCUSDT,SELL,LIMIT,1701346271758,31,0.69749
KNCUSDT,SELL,LIMIT,1701347538266,34,0.69333
KNCUSDT,SELL,LIMIT,1701347787073,19,0.68763
KNCUSDT,SELL,LIMIT,1701347799313,71,0.68718
KNCUSDT,SELL,LIMIT,1701347800466,233,0.68689
KNCUSDT,SELL,LIMIT,1701347816615,2359,0.68588
