Symbol,Side,Order Type,Time,Quantity,Price
LITUSDT,SELL,LIMIT,1701013871176,15.7,0.877
LITUSDT,SELL,LIMIT,1701013996632,2580.5,0.874
LITUSDT,SELL,LIMIT,1701013999053,10.7,0.873
LITUSDT,SELL,LIMIT,1701014050977,27.7,0.872
LITUSDT,SELL,LIMIT,1701014921311,6.1,0.877
LITUSDT,SELL,LIMIT,1701015608855,1.5,0.869
LITUSDT,SELL,LIMIT,1701015609969,1.6,0.866
LITUSDT,SELL,LIMIT,1701015647199,863.2,0.861
LITUSDT,SELL,LIMIT,1701015651920,58.6,0.861
LITUSDT,SELL,LIMIT,1701015654102,331.4,0.861
LITUSDT,SELL,LIMIT,1701015655932,7008.6,0.860
LITUSDT,SELL,LIMIT,1701015670309,218.9,0.860
LITUSDT,SELL,LIMIT,1701015680072,183.2,0.859
LITUSDT,SELL,LIMIT,1701015685357,28.0,0.858
LITUSDT,SELL,LIMIT,1701015756403,873.1,0.857
LITUSDT,SELL,LIMIT,1701015758000,1719.4,0.857
LITUSDT,SELL,LIMIT,1701016031536,1074.0,0.853
LITUSDT,SELL,LIMIT,1701016033293,2108.0,0.851
LITUSDT,SELL,LIMIT,1701016038248,29.7,0.851
LITUSDT,SELL,LIMIT,1701016042283,79.6,0.847
LITUSDT,SELL,LIMIT,1701016043397,2765.5,0.848
LITUSDT,SELL,LIMIT,1701016045457,428.8,0.846
LITUSDT,SELL,LIMIT,1701016046657,164.0,0.847
LITUSDT,SELL,LIMIT,1701016048098,14962.0,0.845
LITUSDT,SELL,LIMIT,1701016049371,2416.5,0.844
LITUSDT,SELL,LIMIT,1701016050343,87.1,0.845
LITUSDT,SELL,LIMIT,1701016051304,166.7,0.844
LITUSDT,SELL,LIMIT,1701016096007,977.1,0.845
LITUSDT,SELL,LIMIT,1701016100060,35.0,0.844
LITUSDT,SELL,LIMIT,1701016101651,27.2,0.844
LITUSDT,BUY,LIMIT,1701016390073,113.6,0.898
LITUSDT,BUY,LIMIT,1701017017223,72.8,0.908
LITUSDT,SELL,LIMIT,1701052867301,1072.0,0.864
LITUSDT,SELL,LIMIT,1701052955792,7.1,0.863
LITUSDT,SELL,LIMIT,1701053108822,148.7,0.862
LITUSDT,SELL,LIMIT,1701054444515,81.9,0.860
LITUSDT,SELL,LIMIT,1701055062791,44.4,0.856
LITUSDT,SELL,LIMIT,1701055134554,136.1,0.855
LITUSDT,SELL,LIMIT,1701055211727,46.1,0.855
LITUSDT,SELL,LIMIT,1701056043348,30.1,0.850
LITUSDT,SELL,LIMIT,1701056112604,223.8,0.849
LITUSDT,SELL,LIMIT,1701056163404,772.5,0.848
LITUSDT,SELL,LIMIT,1701056165177,350.0,0.848
