Symbol,Side,Order Type,Time,Quantity,Price
LQTYUSDT,SELL,LIMIT,1701939974133,1934.8,1.452655
LQTYUSDT,SELL,LIMIT,1701940564127,107.8,1.448116
LQTYUSDT,SELL,LIMIT,1701940568734,30.7,1.443207
LQTYUSDT,SELL,LIMIT,1701940715886,100.6,1.439596
LQTYUSDT,SELL,LIMIT,1701941069934,76.4,1.438868
LQTYUSDT,SELL,LIMIT,1701941072897,105.7,1.438553
LQTYUSDT,SELL,LIMIT,1701941154068,1389.2,1.436848
LQTYUSDT,SELL,LIMIT,1701941160062,128.3,1.434944
LQTYUSDT,SELL,LIMIT,1701941161101,797.5,1.435474
LQTYUSDT,SELL,LIMIT,1701941172420,67.8,1.434239
LQTYUSDT,SELL,LIMIT,1701941184194,5.5,1.432771
LQTYUSDT,SELL,LIMIT,1701941185725,81.1,1.432787
LQTYUSDT,SELL,LIMIT,1701941187426,13.3,1.434325
LQTYUSDT,SELL,LIMIT,1701941190105,81.2,1.430687
LQTYUSDT,SELL,LIMIT,1701941193343,23.9,1.429474
LQTYUSDT,SELL,LIMIT,1701941194423,530.4,1.431629
LQTYUSDT,SELL,LIMIT,1701941245195,868.1,1.429042
LQTYUSDT,SELL,LIMIT,1701941248081,1567.4,1.428702
LQTYUSDT,SELL,LIMIT,1701941249111,307.0,1.428606
LQTYUSDT,SELL,LIMIT,1701941256867,146.6,1.427723
LQTYUSDT,BUY,LIMIT,1701944616111,62.4,1.535364
LQTYUSDT,BUY,LIMIT,1701953976590,0.1,1.535300
LQTYUSDT,BUY,LIMIT,1701963587560,139.7,1.564556
LQTYUSDT,BUY,LIMIT,1701963601437,56.3,1.567186
LQTYUSDT,BUY,LIMIT,1701966096447,20.1,1.582509
LQTYUSDT,BUY,LIMIT,1701966097612,3.6,1.582944
LQTYUSDT,BUY,LIMIT,1701985576153,127.9,1.573982
LQTYUSDT,BUY,LIMIT,1702005816564,11.3,1.290925
LQTYUSDT,BUY,LIMIT,1702006467637,138.7,1.571877
LQTYUSDT,SELL,LIMIT,1702020644731,666.5,1.476328
LQTYUSDT,SELL,LIMIT,1702042978491,3622.8,1.515271
LQTYUSDT,SELL,LIMIT,1702049248789,504.6,1.524490
LQTYUSDT,BUY,LIMIT,1702053445380,44.3,1.589324
LQTYUSDT,BUY,LIMIT,1702065661626,68.4,1.609846
LQTYUSDT,BUY,LIMIT,1702069043871,159.4,1.604663
LQTYUSDT,BUY,LIMIT,1702078548839,489.8,1.605487
LQTYUSDT,BUY,LIMIT,1702080688078,232.1,1.609577
LQTYUSDT,BUY,LIMIT,1702080780190,864.0,1.612752
LQTYUSDT,BUY,LIMIT,1702082083488,11.0,1.619493
LQTYUSDT,BUY,LIMIT,1702091266960,101.4,1.608127
LQTYUSDT,BUY,LIMIT,1702104614141,388.2,1.630253
LQTYUSDT,BUY,LIMIT,1702109244834,104.3,1.629278
LQTYUSDT,BUY,LIMIT,1702109780750,6.7,1.632611
LQTYUSDT,SELL,LIMIT,1702110969584,117.2,1.558728
LQTYUSDT,SELL,LIMIT,1702110972234,127.2,1.557936
LQTYUSDT,SELL,LIMIT,1702110980837,303.6,1.550639
LQTYUSDT,SELL,LIMIT,1702111035735,6.6,1.543315
LQTYUSDT,SELL,LIMIT,1702111045712,149.7,1.535843
LQTYUSDT,SELL,LIMIT,1702111047554,2957.1,1.534428
LQTYUSDT,SELL,LIMIT,1702111371708,100.5,1.528409
LQTYUSDT,SELL,LIMIT,1702111373604,14.1,1.527119
LQTYUSDT,SELL,LIMIT,1702111375684,1190.0,1.526856
LQTYUSDT,SELL,LIMIT,1702111379547,54.0,1.525300
LQTYUSDT,SELL,LIMIT,1702111387648,212.7,1.519737
LQTYUSDT,SELL,LIMIT,1702111388735,690.4,1.517914
LQTYUSDT,SELL,LIMIT,1702133004312,16.1,1.513263
LQTYUSDT,SELL,LIMIT,1702133005315,1254.6,1.511749
LQTYUSDT,SELL,LIMIT,1702133008632,13.5,1.510919
LQTYUSDT,SELL,LIMIT,1702133637810,54.7,1.507254
LQTYUSDT,SELL,LIMIT,1702133648896,137.0,1.506995
LQTYUSDT,SELL,LIMIT,1702134877180,251.4,1.511665
LQTYUSDT,SELL,LIMIT,1702139274155,99.8,1.507009
LQTYUSDT,SELL,LIMIT,1702139275933,117.7,1.506659
LQTYUSDT,SELL,LIMIT,1702139277572,1554.6,1.506322
LQTYUSDT,SELL,LIMIT,1702139280384,99.9,1.505933
LQTYUSDT,SELL,LIMIT,1702139293591,326.5,1.506163
LQTYUSDT,SELL,LIMIT,1702141269485,192.1,1.504052
LQTYUSDT,SELL,LIMIT,1702141459140,359.9,1.501142
LQTYUSDT,SELL,LIMIT,1702141462331,3125.1,1.501015
LQTYUSDT,SELL,LIMIT,1702141466496,938.4,1.500700
LQTYUSDT,SELL,LIMIT,1702141476191,1586.6,1.499170
LQTYUSDT,SELL,LIMIT,1702141558366,314.6,1.498042
LQTYUSDT,SELL,LIMIT,1702141561304,73.3,1.496169
LQTYUSDT,SELL,LIMIT,1702141644119,647.5,1.494581
LQTYUSDT,SELL,LIMIT,1702141645684,604.5,1.494152
LQTYUSDT,SELL,LIMIT,1702141646764,1430.8,1.491522
LQTYUSDT,SELL,LIMIT,1702141652737,415.6,1.489791
LQTYUSDT,SELL,LIMIT,1702141655413,656.0,1.487845
LQTYUSDT,SELL,LIMIT,1702141657780,646.9,1.487108
LQTYUSDT,SELL,LIMIT,1702141849413,234.1,1.485779
LQTYUSDT,SELL,LIMIT,1702141850620,2000.0,1.485060
LQTYUSDT,SELL,LIMIT,1702141859524,320.5,1.483094
LQTYUSDT,SELL,LIMIT,1702144628180,1450.3,1.496986
LQTYUSDT,SELL,LIMIT,1702153867993,10.3,1.527048
LQTYUSDT,SELL,LIMIT,1702153878116,1193.8,1.484660
LQTYUSDT,SELL,LIMIT,1702156347680,1811.7,1.480661
LQTYUSDT,SELL,LIMIT,1702156361117,64.2,1.479123
LQTYUSDT,SELL,LIMIT,1702156369113,386.3,1.477050
LQTYUSDT,SELL,LIMIT,1702162182418,852.9,1.496736
LQTYUSDT,SELL,LIMIT,1702164269826,57.2,1.480210
LQTYUSDT,SELL,LIMIT,1702164314308,166.1,1.478940
LQTYUSDT,SELL,LIMIT,1702164512796,346.7,1.476763
LQTYUSDT,SELL,LIMIT,1702164524680,1290.2,1.476159
LQTYUSDT,SELL,LIMIT,1702164533311,133.7,1.475805
LQTYUSDT,SELL,LIMIT,1702164535203,711.0,1.476619
LQTYUSDT,SELL,LIMIT,1702164541269,1110.2,1.475119
LQTYUSDT,SELL,LIMIT,1702164543390,29.3,1.474263
LQTYUSDT,SELL,LIMIT,1702164546531,3.6,1.473723
LQTYUSDT,SELL,LIMIT,1702164673261,247.9,1.473062
LQTYUSDT,SELL,LIMIT,1702164684354,1643.7,1.472731
LQTYUSDT,SELL,LIMIT,1702164793704,252.2,1.471467
LQTYUSDT,SELL,LIMIT,1702164797381,161.6,1.471281
LQTYUSDT,SELL,LIMIT,1702164800573,1565.4,1.475849
LQTYUSDT,SELL,LIMIT,1702164801822,76.8,1.470911
LQTYUSDT,SELL,LIMIT,1702164803010,73.8,1.470612
LQTYUSDT,SELL,LIMIT,1702164804077,266.1,1.467496
LQTYUSDT,SELL,LIMIT,1702164805709,668.4,1.462844
LQTYUSDT,SELL,LIMIT,1702164806732,1723.4,1.462562
LQTYUSDT,SELL,LIMIT,1702164807861,12.8,1.460852
LQTYUSDT,SELL,LIMIT,1702164808911,65.6,1.459780
LQTYUSDT,SELL,LIMIT,1702164810501,3982.4,1.453691
LQTYUSDT,SELL,LIMIT,1702200334619,1755.2,1.455497
LQTYUSDT,SELL,LIMIT,1702200773008,97.8,1.450261
LQTYUSDT,SELL,LIMIT,1702200774607,819.7,1.449787
LQTYUSDT,SELL,LIMIT,1702200872471,175.3,1.448786
LQTYUSDT,SELL,LIMIT,1702200874362,6.5,1.448674
LQTYUSDT,SELL,LIMIT,1702200884096,319.8,1.446677
LQTYUSDT,SELL,LIMIT,1702200887080,85.6,1.445912
LQTYUSDT,SELL,LIMIT,1702200891480,411.5,1.443942
LQTYUSDT,SELL,LIMIT,1702200894342,162.4,1.443431
LQTYUSDT,SELL,LIMIT,1702200929968,400.0,1.443247
LQTYUSDT,SELL,LIMIT,1702200934301,67.7,1.442973
LQTYUSDT,SELL,LIMIT,1702200946516,2737.7,1.442132
LQTYUSDT,SELL,LIMIT,1702200948219,17.1,1.441391
LQTYUSDT,SELL,LIMIT,1702202157133,31.7,1.441875
LQTYUSDT,SELL,LIMIT,1702202184475,62.4,1.440920
LQTYUSDT,SELL,LIMIT,1702202270352,406.0,1.440084
LQTYUSDT,SELL,LIMIT,1702202272636,372.5,1.439881
LQTYUSDT,SELL,LIMIT,1702202294309,685.2,1.439140
LQTYUSDT,SELL,LIMIT,1702202325353,8.5,1.437719
LQTYUSDT,SELL,LIMIT,1702202362983,674.6,1.435481
LQTYUSDT,SELL,LIMIT,1702202364093,3.3,1.433567
LQTYUSDT,SELL,LIMIT,1702202365200,239.7,1.433660
LQTYUSDT,SELL,LIMIT,1702202367508,2210.9,1.433484
LQTYUSDT,SELL,LIMIT,1702202370087,141.1,1.433140
LQTYUSDT,SELL,LIMIT,1702202374077,64.7,1.432598
LQTYUSDT,SELL,LIMIT,1702202375520,98.1,1.432594
LQTYUSDT,SELL,LIMIT,1702202376805,258.0,1.432322
LQTYUSDT,SELL,LIMIT,1702202380276,223.1,1.432216
LQTYUSDT,SELL,LIMIT,1702202381480,123.6,1.431992
LQTYUSDT,SELL,LIMIT,1702202382908,115.5,1.431547
LQTYUSDT,SELL,LIMIT,1702202386236,153.6,1.430981
LQTYUSDT,SELL,LIMIT,1702202389182,638.8,1.430388
LQTYUSDT,SELL,LIMIT,1702202390473,254.5,1.428219
