Symbol,Side,Order Type,Time,Quantity,Price
MAVUSDT,SELL,LIMIT,1701067324679,774,0.2895519
MAVUSDT,SELL,LIMIT,1701068995189,2535,0.2875579
MAVUSDT,SELL,LIMIT,1701069637974,2449,0.2849526
MAVUSDT,SELL,LIMIT,1701069803845,24,0.2835992
MAVUSDT,SELL,LIMIT,1701069853948,635,0.2832993
MAVUSDT,SELL,LIMIT,1701069879721,1700,0.2829446
MAVUSDT,SELL,LIMIT,1701082622540,211,0.2827951
MAVUSDT,SELL,LIMIT,1701082639515,169,0.2821058
MAVUSDT,SELL,LIMIT,1701082655361,50,0.2818959
MAVUSDT,SELL,LIMIT,1701082696652,9472,0.2818464
MAVUSDT,SELL,LIMIT,1701090983164,2002,0.2793594
MAVUSDT,SELL,LIMIT,1701091161700,45,0.2798145
MAVUSDT,SELL,LIMIT,1701100157669,5,0.2789267
MAVUSDT,SELL,LIMIT,1701100211204,293,0.2784380
MAVUSDT,SELL,LIMIT,1701100267881,193,0.2780214
MAVUSDT,SELL,LIMIT,1701100574664,18,0.2777094
MAVUSDT,SELL,LIMIT,1701100639991,67,0.2770356
MAVUSDT,SELL,LIMIT,1701101244363,18,0.2766904
MAVUSDT,SELL,LIMIT,1701114343493,2183,0.2766833
MAVUSDT,SELL,LIMIT,1701114456802,5000,0.2762263
MAVUSDT,SELL,LIMIT,1701114467407,6433,0.2772893
MAVUSDT,SELL,LIMIT,1701114472210,80,0.2757628
MAVUSDT,SELL,LIMIT,1701114497185,736,0.2754369
MAVUSDT,SELL,LIMIT,1701114501440,993,0.2752855
MAVUSDT,SELL,LIMIT,1701114504626,518,0.2751817
MAVUSDT,SELL,LIMIT,1701114510312,2566,0.2750435
MAVUSDT,SELL,LIMIT,1701146622075,4744,0.2750906
MAVUSDT,SELL,LIMIT,1701148145148,677,0.2736352
MAVUSDT,SELL,LIMIT,1701148178790,57,0.2731815
MAVUSDT,SELL,LIMIT,1701148242934,3681,0.2728105
MAVUSDT,SELL,LIMIT,1701149107197,2289,0.2724918
MAVUSDT,SELL,LIMIT,1701149772987,1032,0.2722441
MAVUSDT,SELL,LIMIT,1701149829148,832,0.2715081
MAVUSDT,SELL,LIMIT,1701149855201,1879,0.2710051
MAVUSDT,SELL,LIMIT,1701149878314,34163,0.2698251
MAVUSDT,SELL,LIMIT,1701149881448,1000,0.2703571
MAVUSDT,SELL,LIMIT,1701151263535,1721,0.2715056
MAVUSDT,BUY,LIMIT,1701164387786,86,0.2867898
MAVUSDT,BUY,LIMIT,1701172717272,1985,0.2953507
MAVUSDT,BUY,LIMIT,1701172720198,258,0.2955392
MAVUSDT,BUY,LIMIT,1701172937689,1071,0.2974639
MAVUSDT,BUY,LIMIT,1701173463344,942,0.2978722
MAVUSDT,BUY,LIMIT,1701189838422,6613,0.3009614
MAVUSDT,BUY,LIMIT,1701192277230,1552,0.3053499
MAVUSDT,BUY,LIMIT,1701193283533,392,0.3068733
MAVUSDT,BUY,LIMIT,1701200626987,2836,0.3123768
MAVUSDT,BUY,LIMIT,1701200666767,223,0.3131953
MAVUSDT,SELL,LIMIT,1701228868100,20,0.2869903
MAVUSDT,SELL,LIMIT,1701253593201,196,0.2825083
MAVUSDT,SELL,LIMIT,1701253594217,3020,0.2829395
MAVUSDT,SELL,LIMIT,1701254408964,1276,0.2807261
MAVUSDT,SELL,LIMIT,1701254424393,144,0.2804401
MAVUSDT,SELL,LIMIT,1701254563158,95,0.2801191
MAVUSDT,SELL,LIMIT,1701254696823,16983,0.2794083
MAVUSDT,SELL,LIMIT,1701263440157,6232,0.2792369
MAVUSDT,SELL,LIMIT,1701268844657,4197,0.2766284
MAVUSDT,SELL,LIMIT,1701270343444,19652,0.2748747
MAVUSDT,SELL,LIMIT,1701270440593,524,0.2746750
MAVUSDT,SELL,LIMIT,1701270586335,1139,0.2735926
MAVUSDT,SELL,LIMIT,1701270617101,3299,0.2734101
MAVUSDT,SELL,LIMIT,1701290184027,778,0.2794780
MAVUSDT,SELL,LIMIT,1701349583053,485,0.2838215
MAVUSDT,SELL,LIMIT,1701353011323,3569,0.2795748
MAVUSDT,SELL,LIMIT,1701374856954,11603,0.2770382
MAVUSDT,SELL,LIMIT,1701390639042,707,0.2755202
MAVUSDT,BUY,LIMIT,1701402182450,70,0.2980711
MAVUSDT,BUY,LIMIT,1701405515309,18,0.2974188
