Symbol,Side,Order Type,Time,Quantity,Price
MBLUSDT,BUY,LIMIT,1701065576314,138776,0.0053084
MBLUSDT,SELL,LIMIT,1701069555522,57859,0.0051189
MBLUSDT,SELL,LIMIT,1701069896969,25000,0.0050919
MBLUSDT,SELL,LIMIT,1701080787420,30854,0.0050679
MBLUSDT,SELL,LIMIT,1701080849773,29074,0.0050649
MBLUSDT,SELL,LIMIT,1701081614515,22708,0.0050263
MBLUSDT,SELL,LIMIT,1701081621062,100000,0.0050241
MBLUSDT,SELL,LIMIT,1701082119745,6382,0.0050185
MBLUSDT,SELL,LIMIT,1701082483039,147441,0.0050092
MBLUSDT,SELL,LIMIT,1701082488315,163576,0.0050051
MBLUSDT,SELL,LIMIT,1701082498957,1478,0.0049950
MBLUSDT,SELL,LIMIT,1701082619368,538282,0.0049929
MBLUSDT,SELL,LIMIT,1701082654050,7035,0.0049846
MBLUSDT,SELL,LIMIT,1701082729011,881882,0.0049710
MBLUSDT,SELL,LIMIT,1701100511736,51753,0.0050732
MBLUSDT,SELL,LIMIT,1701100810228,994,0.0050273
MBLUSDT,SELL,LIMIT,1701101007837,4953,0.0050262
MBLUSDT,SELL,LIMIT,1701107792172,59053,0.0050396
MBLUSDT,SELL,LIMIT,1701111929046,232589,0.0050255
MBLUSDT,SELL,LIMIT,1701114163868,551287,0.0050068
MBLUSDT,SELL,LIMIT,1701114352848,1324,0.0049887
MBLUSDT,SELL,LIMIT,1701114355681,125554,0.0049861
MBLUSDT,SELL,LIMIT,1701129997309,50000,0.0050531
MBLUSDT,SELL,LIMIT,1701137141465,9244,0.0049440
MBLUSDT,SELL,LIMIT,1701137177480,9107,0.0049395
MBLUSDT,SELL,LIMIT,1701137541879,43840,0.0049349
MBLUSDT,SELL,LIMIT,1701141539245,197153,0.0049192
MBLUSDT,SELL,LIMIT,1701144414348,20804,0.0049136
MBLUSDT,SELL,LIMIT,1701147550044,417777,0.0048936
MBLUSDT,SELL,LIMIT,1701147878954,4268,0.0048755
MBLUSDT,SELL,LIMIT,1701147883944,552613,0.0048677
MBLUSDT,SELL,LIMIT,1701147989301,583,0.0048607
MBLUSDT,SELL,LIMIT,1701148008869,1852,0.0048573
MBLUSDT,SELL,LIMIT,1701148114332,311526,0.0048542
MBLUSDT,SELL,LIMIT,1701148160047,49618,0.0048492
MBLUSDT,SELL,LIMIT,1701148166402,57171,0.0048394
MBLUSDT,SELL,LIMIT,1701149010139,303180,0.0048315
MBLUSDT,SELL,LIMIT,1701149884779,370433,0.0048143
MBLUSDT,SELL,LIMIT,1701149889054,14532,0.0048139
MBLUSDT,BUY,LIMIT,1701152161812,1085,0.0050302
MBLUSDT,SELL,LIMIT,1701161533214,1501,0.0048666
MBLUSDT,SELL,LIMIT,1701165895881,19166,0.0048838
MBLUSDT,BUY,LIMIT,1701179744213,1382,0.0051059
MBLUSDT,BUY,LIMIT,1701181266070,36077,0.0051148
MBLUSDT,BUY,LIMIT,1701192070016,984,0.0052258
MBLUSDT,SELL,LIMIT,1701194650029,10221,0.0050639
MBLUSDT,SELL,LIMIT,1701197862457,58333,0.0050567
MBLUSDT,SELL,LIMIT,1701199840223,5747,0.0050659
MBLUSDT,BUY,LIMIT,1701200475535,1024,0.0052494
MBLUSDT,BUY,LIMIT,1701216004458,9669,0.0053091
MBLUSDT,BUY,LIMIT,1701246760159,588207,0.0052165
MBLUSDT,SELL,LIMIT,1701253347052,107281,0.0050425
MBLUSDT,SELL,LIMIT,1701262815503,3209,0.0049784
MBLUSDT,SELL,LIMIT,1701270275687,10297,0.0049700
MBLUSDT,SELL,LIMIT,1701270579491,195297,0.0049501
MBLUSDT,SELL,LIMIT,1701283614046,121,0.0050108
MBLUSDT,SELL,LIMIT,1701286237386,154347,0.0049930
MBLUSDT,SELL,LIMIT,1701306992173,15007,0.0049151
MBLUSDT,SELL,LIMIT,1701332538948,219176,0.0049064
MBLUSDT,SELL,LIMIT,1701335274103,83023,0.0049031
