Symbol,Side,Order Type,Time,Quantity,Price
MDTUSDT,BUY,LIMIT,1700992516140,8818,0.0713341
MDTUSDT,SELL,LIMIT,1700993686561,1003,0.0678625
MDTUSDT,SELL,LIMIT,1701001501781,24683,0.0672673
MDTUSDT,BUY,LIMIT,1701002540874,4588,0.0706553
MDTUSDT,SELL,LIMIT,1701004100226,1688,0.0671822
MDTUSDT,SELL,LIMIT,1701004646397,167,0.0670125
MDTUSDT,SELL,LIMIT,1701008179110,46561,0.0667969
MDTUSDT,BUY,LIMIT,1701008740417,4398,0.0691585
MDTUSDT,SELL,LIMIT,1701009287951,37110,0.0672834
MDTUSDT,SELL,LIMIT,1701010868165,863,0.0671378
MDTUSDT,BUY,LIMIT,1701012751259,4233,0.0701861
MDTUSDT,BUY,LIMIT,1701013059621,19443,0.0699685
MDTUSDT,SELL,LIMIT,1701013705630,736,0.0664199
MDTUSDT,SELL,LIMIT,1701013798929,950,0.0661720
MDTUSDT,SELL,LIMIT,1701013810312,37059,0.0660297
MDTUSDT,SELL,LIMIT,1701013818438,255,0.0659487
MDTUSDT,SELL,LIMIT,1701013916317,8279,0.0658176
MDTUSDT,SELL,LIMIT,1701013930110,148,0.0657781
MDTUSDT,SELL,LIMIT,1701013972970,726,0.0656797
MDTUSDT,SELL,LIMIT,1701013990526,289,0.0656799
MDTUSDT,SELL,LIMIT,1701014053502,3,0.0656524
MDTUSDT,SELL,LIMIT,1701014058129,129,0.0655770
MDTUSDT,BUY,LIMIT,1701014349345,3197,0.0685419
MDTUSDT,SELL,LIMIT,1701014918671,63865,0.0654681
MDTUSDT,SELL,LIMIT,1701014922084,269,0.0654442
MDTUSDT,SELL,LIMIT,1701015660006,2270,0.0659256
MDTUSDT,SELL,LIMIT,1701015674425,7296,0.0658603
MDTUSDT,SELL,LIMIT,1701015684513,492,0.0657875
MDTUSDT,SELL,LIMIT,1701015748323,28735,0.0667327
MDTUSDT,SELL,LIMIT,1701016014372,17708,0.0660815
MDTUSDT,SELL,LIMIT,1701016024083,54816,0.0660118
MDTUSDT,SELL,LIMIT,1701016033427,9448,0.0658169
MDTUSDT,SELL,LIMIT,1701016042461,10387,0.0658822
MDTUSDT,BUY,LIMIT,1701016045258,200,0.0647269
MDTUSDT,SELL,LIMIT,1701016047678,287,0.0657727
MDTUSDT,SELL,LIMIT,1701016098587,3377,0.0658107
MDTUSDT,SELL,LIMIT,1701016100062,610,0.0657759
MDTUSDT,SELL,LIMIT,1701016104071,7797,0.0653049
MDTUSDT,SELL,LIMIT,1701016104985,178,0.0653880
MDTUSDT,BUY,LIMIT,1701016486160,74121,0.0704296
MDTUSDT,BUY,LIMIT,1701016501342,948,0.0709132
MDTUSDT,BUY,LIMIT,1701016502356,3379,0.0706897
MDTUSDT,BUY,LIMIT,1701017154926,11031,0.0711976
MDTUSDT,BUY,LIMIT,1701017158187,953,0.0715660
MDTUSDT,BUY,LIMIT,1701018101513,219,0.0717276
MDTUSDT,BUY,LIMIT,1701018678932,165,0.0718243
MDTUSDT,BUY,LIMIT,1701018681128,8958,0.0720992
MDTUSDT,BUY,LIMIT,1701018687173,3932,0.0724673
MDTUSDT,BUY,LIMIT,1701018689132,29550,0.0725264
MDTUSDT,BUY,LIMIT,1701018691149,1858,0.0725411
MDTUSDT,BUY,LIMIT,1701018693176,29263,0.0728930
MDTUSDT,BUY,LIMIT,1701018694242,33391,0.0729353
MDTUSDT,SELL,LIMIT,1701019337310,727,0.0694539
MDTUSDT,BUY,LIMIT,1701021606366,2146,0.0731622
MDTUSDT,SELL,LIMIT,1701022007467,435,0.0699962
MDTUSDT,BUY,LIMIT,1701022476509,4776,0.0733627
MDTUSDT,BUY,LIMIT,1701022477785,18158,0.0734468
MDTUSDT,BUY,LIMIT,1701022482208,296,0.0735450
MDTUSDT,BUY,LIMIT,1701022498288,2619,0.0738373
MDTUSDT,BUY,LIMIT,1701022510092,143,0.0739336
MDTUSDT,BUY,LIMIT,1701024104325,189,0.0740910
MDTUSDT,BUY,LIMIT,1701024140947,9116,0.0741942
MDTUSDT,BUY,LIMIT,1701024472121,24795,0.0742593
MDTUSDT,BUY,LIMIT,1701024473609,2824,0.0742826
MDTUSDT,BUY,LIMIT,1701024482776,1879,0.0743193
MDTUSDT,BUY,LIMIT,1701025298765,1915,0.0743800
MDTUSDT,BUY,LIMIT,1701025300180,874,0.0747351
MDTUSDT,BUY,LIMIT,1701025302800,159,0.0748195
MDTUSDT,BUY,LIMIT,1701025303934,2233,0.0748996
MDTUSDT,BUY,LIMIT,1701025306315,5994,0.0749294
MDTUSDT,BUY,LIMIT,1701025310826,12034,0.0749656
MDTUSDT,BUY,LIMIT,1701025438823,1466,0.0750341
MDTUSDT,BUY,LIMIT,1701025448602,257,0.0750628
MDTUSDT,SELL,LIMIT,1701026390114,20,0.0718715
MDTUSDT,BUY,LIMIT,1701026471089,868,0.0751341
MDTUSDT,BUY,LIMIT,1701026659286,55924,0.0753672
MDTUSDT,BUY,LIMIT,1701026661099,1230,0.0753709
MDTUSDT,BUY,LIMIT,1701026678693,1275,0.0755197
MDTUSDT,BUY,LIMIT,1701026689157,2522,0.0755923
MDTUSDT,BUY,LIMIT,1701026699949,1944,0.0756133
MDTUSDT,BUY,LIMIT,1701026711965,2444,0.0757396
MDTUSDT,BUY,LIMIT,1701026713335,600,0.0758098
