Symbol,Side,Order Type,Time,Quantity,Price
MEMEUSDT,SELL,LIMIT,1701914953187,37102,0.0382616
MEMEUSDT,SELL,LIMIT,1701914957258,837,0.0382082
MEMEUSDT,SELL,LIMIT,1701914983880,142,0.0381194
MEMEUSDT,BUY,LIMIT,1701915305442,5903,0.0396144
MEMEUSDT,SELL,LIMIT,1701915812536,4592,0.0382496
MEMEUSDT,BUY,LIMIT,1701915979943,142,0.0395729
MEMEUSDT,SELL,LIMIT,1701916613227,3822,0.0380496
MEMEUSDT,BUY,LIMIT,1701916746391,24442,0.0394214
MEMEUSDT,SELL,LIMIT,1701917051657,9947,0.0380939
MEMEUSDT,SELL,LIMIT,1701917053496,69095,0.0379965
MEMEUSDT,SELL,LIMIT,1701917220176,592,0.0379672
MEMEUSDT,SELL,LIMIT,1701917573751,2993,0.0379482
MEMEUSDT,SELL,LIMIT,1701917591168,2868,0.0379303
MEMEUSDT,SELL,LIMIT,1701917605655,32387,0.0377803
MEMEUSDT,SELL,LIMIT,1701917610709,203,0.0377071
MEMEUSDT,SELL,LIMIT,1701917613332,130,0.0376847
MEMEUSDT,SELL,LIMIT,1701917614724,7701,0.0376567
MEMEUSDT,BUY,LIMIT,1701918015742,19027,0.0391323
MEMEUSDT,BUY,LIMIT,1701918192979,14644,0.0392847
MEMEUSDT,BUY,LIMIT,1701918219148,10190,0.0392950
MEMEUSDT,SELL,LIMIT,1701918485041,1403,0.0379023
MEMEUSDT,SELL,LIMIT,1701918487891,26063,0.0378774
MEMEUSDT,SELL,LIMIT,1701918503303,47110,0.0378106
MEMEUSDT,SELL,LIMIT,1701918516310,19104,0.0376487
MEMEUSDT,SELL,LIMIT,1701918520506,17755,0.0376198
MEMEUSDT,SELL,LIMIT,1701918521692,1478,0.0376172
MEMEUSDT,SELL,LIMIT,1701918527416,4313,0.0375700
MEMEUSDT,SELL,LIMIT,1701918544760,5092,0.0375359
MEMEUSDT,SELL,LIMIT,1701918552110,3765,0.0375297
MEMEUSDT,SELL,LIMIT,1701918554307,11560,0.0374841
MEMEUSDT,SELL,LIMIT,1701918563552,9034,0.0374619
MEMEUSDT,SELL,LIMIT,1701918565806,15413,0.0374506
MEMEUSDT,SELL,LIMIT,1701918577168,39670,0.0374335
MEMEUSDT,SELL,LIMIT,1701918578277,4813,0.0374293
MEMEUSDT,SELL,LIMIT,1701918579430,7865,0.0373545
MEMEUSDT,SELL,LIMIT,1701918580560,208,0.0373214
MEMEUSDT,SELL,LIMIT,1701918647084,2205,0.0372256
MEMEUSDT,SELL,LIMIT,1701918648133,1337,0.0372573
MEMEUSDT,BUY,LIMIT,1701918733999,19413,0.0386531
MEMEUSDT,BUY,LIMIT,1701918884154,12178,0.0388533
MEMEUSDT,BUY,LIMIT,1701918955353,94941,0.0390397
MEMEUSDT,BUY,LIMIT,1701918964574,15097,0.0390749
MEMEUSDT,BUY,LIMIT,1701919091609,2296,0.0390965
MEMEUSDT,BUY,LIMIT,1701919094438,10120,0.0389203
MEMEUSDT,BUY,LIMIT,1701919104460,5087,0.0392656
MEMEUSDT,BUY,LIMIT,1701919106410,9993,0.0392818
MEMEUSDT,BUY,LIMIT,1701919126435,75050,0.0396304
MEMEUSDT,BUY,LIMIT,1701919132303,17683,0.0397203
MEMEUSDT,BUY,LIMIT,1701919133584,351,0.0397588
MEMEUSDT,BUY,LIMIT,1701919143341,129198,0.0398143
MEMEUSDT,SELL,LIMIT,1701919209139,22653,0.0382180
MEMEUSDT,SELL,LIMIT,1701919590543,25308,0.0382393
MEMEUSDT,SELL,LIMIT,1701919602196,27916,0.0381926
MEMEUSDT,SELL,LIMIT,1701919950798,1295,0.0380370
MEMEUSDT,BUY,LIMIT,1701920948985,1034,0.0396287
MEMEUSDT,BUY,LIMIT,1701920967439,181,0.0396732
MEMEUSDT,BUY,LIMIT,1701921633390,5023,0.0396940
MEMEUSDT,BUY,LIMIT,1701921784622,77404,0.0398934
MEMEUSDT,SELL,LIMIT,1701921850651,600,0.0385768
MEMEUSDT,SELL,LIMIT,1701922688268,2543,0.0385318
MEMEUSDT,SELL,LIMIT,1701922786603,60000,0.0384872
MEMEUSDT,BUY,LIMIT,1701923866750,30349,0.0399134
MEMEUSDT,BUY,LIMIT,1701923980227,15483,0.0399841
MEMEUSDT,BUY,LIMIT,1701923997725,10407,0.0400358
MEMEUSDT,BUY,LIMIT,1701924004652,282,0.0400727
MEMEUSDT,BUY,LIMIT,1701924012059,8739,0.0400894
MEMEUSDT,BUY,LIMIT,1701924015227,2080,0.0401139
MEMEUSDT,BUY,LIMIT,1701924026091,16476,0.0401750
MEMEUSDT,BUY,LIMIT,1701924081484,3215,0.0402341
MEMEUSDT,BUY,LIMIT,1701924087515,58193,0.0402533
MEMEUSDT,BUY,LIMIT,1701924089100,877,0.0402667
MEMEUSDT,BUY,LIMIT,1701924094614,66,0.0403394
MEMEUSDT,BUY,LIMIT,1701924108785,7416,0.0403787
MEMEUSDT,BUY,LIMIT,1701924109862,160,0.0403824
MEMEUSDT,BUY,LIMIT,1701924279220,131,0.0402995
MEMEUSDT,BUY,LIMIT,1701924304786,3422,0.0403571
MEMEUSDT,BUY,LIMIT,1701924306626,303,0.0403231
MEMEUSDT,BUY,LIMIT,1701924596523,24234,0.0404566
MEMEUSDT,BUY,LIMIT,1701924601773,4972,0.0404817
MEMEUSDT,BUY,LIMIT,1701924627206,125636,0.0405052
MEMEUSDT,BUY,LIMIT,1701924640480,467,0.0405436
MEMEUSDT,BUY,LIMIT,1701924644139,467,0.0405434
MEMEUSDT,BUY,LIMIT,1701924685297,3220,0.0406149
MEMEUSDT,BUY,LIMIT,1701924707168,8430,0.0406481
