Symbol,Side,Order Type,Time,Quantity,Price
MINAUSDT,BUY,LIMIT,1700988794916,186,0.7935248
MINAUSDT,BUY,LIMIT,1700988796219,157,0.7948142
MINAUSDT,BUY,LIMIT,1700988801951,886,0.7959298
MINAUSDT,BUY,LIMIT,1700988806317,2291,0.7979935
MINAUSDT,BUY,LIMIT,1700989584335,6384,0.7976623
MINAUSDT,SELL,LIMIT,1700989995684,139,0.7703102
MINAUSDT,SELL,LIMIT,1700991049103,608,0.7628996
MINAUSDT,SELL,LIMIT,1700991056051,6412,0.7626830
MINAUSDT,SELL,LIMIT,1700991057970,565,0.7623868
MINAUSDT,SELL,LIMIT,1700991179578,6426,0.7616560
MINAUSDT,SELL,LIMIT,1700991195819,115,0.7608707
MINAUSDT,SELL,LIMIT,1700991213045,682,0.7606681
MINAUSDT,SELL,LIMIT,1700993371140,51,0.7631299
MINAUSDT,BUY,LIMIT,1700994903462,7,0.7885093
MINAUSDT,BUY,LIMIT,1700994915284,61,0.7887943
MINAUSDT,SELL,LIMIT,1700996041545,2303,0.7592712
MINAUSDT,SELL,LIMIT,1700996203820,307,0.7572884
MINAUSDT,SELL,LIMIT,1700996212072,382,0.7563924
MINAUSDT,SELL,LIMIT,1700996385971,6231,0.7550790
MINAUSDT,SELL,LIMIT,1700996397406,297,0.7549939
MINAUSDT,SELL,LIMIT,1700999611585,1779,0.7543647
MINAUSDT,SELL,LIMIT,1700999614318,580,0.7539968
MINAUSDT,SELL,LIMIT,1700999620158,83,0.7538435
MINAUSDT,SELL,LIMIT,1700999762897,128,0.7532936
MINAUSDT,SELL,LIMIT,1700999764519,48,0.7527553
MINAUSDT,SELL,LIMIT,1700999765852,200,0.7515610
MINAUSDT,SELL,LIMIT,1700999802769,1344,0.7513299
MINAUSDT,SELL,LIMIT,1701000444956,23,0.7511067
MINAUSDT,SELL,LIMIT,1701000468892,57,0.7510084
MINAUSDT,SELL,LIMIT,1701000499754,317,0.7505459
MINAUSDT,SELL,LIMIT,1701000508927,1061,0.7503713
