Symbol,Side,Order Type,Time,Quantity,Price
NEARUSDT,SELL,LIMIT,1701067270346,244,1.7611
NEARUSDT,SELL,LIMIT,1701067750903,133,1.7595
NEARUSDT,SELL,LIMIT,1701068054400,151,1.7528
NEARUSDT,SELL,LIMIT,1701068073040,578,1.7517
NEARUSDT,SELL,LIMIT,1701068129434,98,1.7494
NEARUSDT,SELL,LIMIT,1701068149219,110,1.7485
NEARUSDT,SELL,LIMIT,1701068153119,548,1.7471
NEARUSDT,SELL,LIMIT,1701068154814,36,1.7469
NEARUSDT,SELL,LIMIT,1701068166320,78,1.7451
NEARUSDT,SELL,LIMIT,1701068167356,19,1.7458
NEARUSDT,SELL,LIMIT,1701068173147,9229,1.7366
NEARUSDT,SELL,LIMIT,1701068275125,97,1.7426
NEARUSDT,SELL,LIMIT,1701068287114,292,1.7416
NEARUSDT,SELL,LIMIT,1701068288470,305,1.7420
NEARUSDT,SELL,LIMIT,1701068997202,679,1.7481
NEARUSDT,SELL,LIMIT,1701069522779,1008,1.7410
NEARUSDT,SELL,LIMIT,1701069535705,23,1.7417
NEARUSDT,SELL,LIMIT,1701069549127,540,1.7394
NEARUSDT,SELL,LIMIT,1701069550505,55,1.7394
NEARUSDT,SELL,LIMIT,1701069559137,3,1.7387
NEARUSDT,SELL,LIMIT,1701069570008,22296,1.7250
NEARUSDT,SELL,LIMIT,1701069571705,9,1.7378
NEARUSDT,SELL,LIMIT,1701069575692,5640,1.7366
NEARUSDT,SELL,LIMIT,1701069614056,379,1.7367
NEARUSDT,SELL,LIMIT,1701069635498,1111,1.7362
NEARUSDT,SELL,LIMIT,1701069637108,197,1.7358
NEARUSDT,SELL,LIMIT,1701069639698,300,1.7347
NEARUSDT,SELL,LIMIT,1701069771242,2300,1.7335
NEARUSDT,SELL,LIMIT,1701069772515,4239,1.7318
NEARUSDT,SELL,LIMIT,1701069796052,487,1.7318
NEARUSDT,SELL,LIMIT,1701069801625,28,1.7317
NEARUSDT,SELL,LIMIT,1701069802982,175,1.7316
NEARUSDT,SELL,LIMIT,1701069807948,333,1.7311
NEARUSDT,SELL,LIMIT,1701069809924,21,1.7308
NEARUSDT,SELL,LIMIT,1701069868605,212,1.7288
NEARUSDT,SELL,LIMIT,1701069879043,97,1.7277
NEARUSDT,SELL,LIMIT,1701069885156,19,1.7268
NEARUSDT,SELL,LIMIT,1701069896404,272,1.7256
NEARUSDT,SELL,LIMIT,1701069897441,140,1.7253
NEARUSDT,SELL,LIMIT,1701069913570,126,1.7248
NEARUSDT,SELL,LIMIT,1701070170729,42,1.7238
NEARUSDT,SELL,LIMIT,1701070171640,3394,1.7232
NEARUSDT,SELL,LIMIT,1701070172692,63,1.7221
NEARUSDT,SELL,LIMIT,1701070174218,11,1.7220
NEARUSDT,SELL,LIMIT,1701070438418,493,1.7259
NEARUSDT,SELL,LIMIT,1701070442192,19,1.7245
NEARUSDT,BUY,LIMIT,1701074196439,45,1.7990
NEARUSDT,BUY,LIMIT,1701076302066,611,1.7968
NEARUSDT,BUY,LIMIT,1701076488319,5661,1.8007
NEARUSDT,SELL,LIMIT,1701077153557,17,1.7429
NEARUSDT,BUY,LIMIT,1701077399082,1,1.7981
NEARUSDT,SELL,LIMIT,1701080508940,30,1.7366
NEARUSDT,SELL,LIMIT,1701080776850,73,1.7333
NEARUSDT,SELL,LIMIT,1701080790082,7,1.7394
NEARUSDT,SELL,LIMIT,1701080804045,17,1.7325
NEARUSDT,SELL,LIMIT,1701081207886,201,1.7291
NEARUSDT,SELL,LIMIT,1701081210081,741,1.7290
NEARUSDT,SELL,LIMIT,1701081328428,97,1.7277
NEARUSDT,SELL,LIMIT,1701081438201,170,1.7258
NEARUSDT,SELL,LIMIT,1701081439554,701,1.7245
NEARUSDT,SELL,LIMIT,1701081488037,544,1.7231
NEARUSDT,SELL,LIMIT,1701082122791,17,1.7219
NEARUSDT,SELL,LIMIT,1701082616829,120,1.7200
NEARUSDT,SELL,LIMIT,1701082650631,461,1.7184
NEARUSDT,SELL,LIMIT,1701082652313,43,1.7182
NEARUSDT,SELL,LIMIT,1701082667661,111,1.7167
NEARUSDT,SELL,LIMIT,1701082675361,661,1.7169
NEARUSDT,SELL,LIMIT,1701082678179,877,1.7159
NEARUSDT,SELL,LIMIT,1701082679750,20,1.7158
NEARUSDT,SELL,LIMIT,1701082696926,26,1.7159
NEARUSDT,SELL,LIMIT,1701082700026,97,1.7155
NEARUSDT,SELL,LIMIT,1701082705281,124,1.7147
NEARUSDT,SELL,LIMIT,1701082729133,228,1.7154
NEARUSDT,SELL,LIMIT,1701083770618,6949,1.7106
NEARUSDT,SELL,LIMIT,1701086930203,2979,1.7325
NEARUSDT,BUY,LIMIT,1701089341112,750,1.7877
NEARUSDT,BUY,LIMIT,1701090375790,1862,1.7892
NEARUSDT,SELL,LIMIT,1701091163180,944,1.7279
NEARUSDT,SELL,LIMIT,1701093057258,2592,1.7308
NEARUSDT,SELL,LIMIT,1701093131244,587,1.7357
NEARUSDT,SELL,LIMIT,1701094879258,6,1.7246
NEARUSDT,SELL,LIMIT,1701094987490,43,1.7234
NEARUSDT,SELL,LIMIT,1701094989498,2459,1.7228
NEARUSDT,SELL,LIMIT,1701095007190,41,1.7218
NEARUSDT,SELL,LIMIT,1701095383627,66,1.7195
NEARUSDT,SELL,LIMIT,1701095552548,1124,1.7174
NEARUSDT,SELL,LIMIT,1701095574913,908,1.7164
NEARUSDT,SELL,LIMIT,1701096784040,716,1.7169
NEARUSDT,SELL,LIMIT,1701096955211,464,1.7133
NEARUSDT,SELL,LIMIT,1701097031234,1400,1.7120
NEARUSDT,SELL,LIMIT,1701097060360,11,1.7116
NEARUSDT,SELL,LIMIT,1701097072886,45024,1.6955
NEARUSDT,SELL,LIMIT,1701097092725,2634,1.7090
NEARUSDT,SELL,LIMIT,1701097096013,71,1.7077
NEARUSDT,SELL,LIMIT,1701097097642,38,1.7071
NEARUSDT,SELL,LIMIT,1701097099670,84,1.7067
NEARUSDT,SELL,LIMIT,1701097101275,60,1.7067
NEARUSDT,SELL,LIMIT,1701099344148,454,1.7155
NEARUSDT,SELL,LIMIT,1701100158722,64,1.7092
NEARUSDT,SELL,LIMIT,1701100640849,264,1.7061
NEARUSDT,SELL,LIMIT,1701100642047,100,1.7062
NEARUSDT,BUY,LIMIT,1701104155602,819,1.7927
NEARUSDT,BUY,LIMIT,1701104465080,8,1.8056
NEARUSDT,SELL,LIMIT,1701106942592,23,1.7448
NEARUSDT,SELL,LIMIT,1701107488325,450,1.7373
NEARUSDT,SELL,LIMIT,1701111127848,103,1.7401
NEARUSDT,SELL,LIMIT,1701111444307,1592,1.7345
NEARUSDT,SELL,LIMIT,1701111606509,293,1.7317
NEARUSDT,SELL,LIMIT,1701112055839,143,1.7296
NEARUSDT,SELL,LIMIT,1701114206300,229,1.7268
NEARUSDT,SELL,LIMIT,1701114237918,32,1.7248
NEARUSDT,SELL,LIMIT,1701114239492,4,1.7356
NEARUSDT,SELL,LIMIT,1701114343393,760,1.7192
NEARUSDT,SELL,LIMIT,1701114352848,6,1.7187
NEARUSDT,SELL,LIMIT,1701114358374,60,1.7172
NEARUSDT,SELL,LIMIT,1701114462229,19,1.7179
NEARUSDT,SELL,LIMIT,1701114466735,39,1.7185
NEARUSDT,SELL,LIMIT,1701114468628,5555,1.7176
NEARUSDT,SELL,LIMIT,1701114476197,4329,1.7153
NEARUSDT,SELL,LIMIT,1701114479916,546,1.7149
NEARUSDT,SELL,LIMIT,1701114494391,284,1.7145
NEARUSDT,SELL,LIMIT,1701116447915,2882,1.7289
NEARUSDT,SELL,LIMIT,1701116768115,5668,1.7199
NEARUSDT,SELL,LIMIT,1701116828729,537,1.7170
NEARUSDT,SELL,LIMIT,1701116994038,2807,1.7180
NEARUSDT,SELL,LIMIT,1701117174936,113,1.7188
NEARUSDT,BUY,LIMIT,1701120912707,25,1.7967
NEARUSDT,BUY,LIMIT,1701121030269,66,1.7983
NEARUSDT,SELL,LIMIT,1701123433519,71,1.7309
NEARUSDT,SELL,LIMIT,1701124418443,1011,1.7364
NEARUSDT,BUY,LIMIT,1701127969414,5665,1.8087
NEARUSDT,SELL,LIMIT,1701129752824,185,1.7485
NEARUSDT,SELL,LIMIT,1701129769230,229,1.7480
NEARUSDT,BUY,LIMIT,1701130902893,2372,1.8071
NEARUSDT,SELL,LIMIT,1701133671270,10,1.7516
NEARUSDT,SELL,LIMIT,1701134664311,366,1.7478
NEARUSDT,SELL,LIMIT,1701138494471,200,1.7784
NEARUSDT,SELL,LIMIT,1701143254535,152,1.7465
NEARUSDT,SELL,LIMIT,1701146067299,16,1.7394
NEARUSDT,SELL,LIMIT,1701146675157,32,1.7389
NEARUSDT,SELL,LIMIT,1701146961380,684,1.7378
NEARUSDT,SELL,LIMIT,1701146963486,70,1.7369
NEARUSDT,SELL,LIMIT,1701146967611,202,1.7362
NEARUSDT,SELL,LIMIT,1701147167575,466,1.7344
NEARUSDT,SELL,LIMIT,1701147786962,561,1.7334
NEARUSDT,SELL,LIMIT,1701147877074,156,1.7319
NEARUSDT,SELL,LIMIT,1701148115656,7,1.7279
NEARUSDT,SELL,LIMIT,1701149111485,600,1.7268
NEARUSDT,BUY,LIMIT,1701149381875,1374,1.7871
NEARUSDT,SELL,LIMIT,1701149771344,55,1.7294
NEARUSDT,SELL,LIMIT,1701149841833,65,1.7261
NEARUSDT,SELL,LIMIT,1701149843611,34,1.7259
NEARUSDT,SELL,LIMIT,1701149845730,1000,1.7254
NEARUSDT,SELL,LIMIT,1701149877873,111,1.7242
NEARUSDT,SELL,LIMIT,1701149882443,58,1.7240
NEARUSDT,SELL,LIMIT,1701149886274,280,1.7237
NEARUSDT,SELL,LIMIT,1701149888029,77,1.7238
NEARUSDT,SELL,LIMIT,1701149890109,267,1.7211
NEARUSDT,BUY,LIMIT,1701150071202,285,1.7866
NEARUSDT,SELL,LIMIT,1701151629370,221,1.7257
NEARUSDT,BUY,LIMIT,1701152162292,648,1.7914
NEARUSDT,BUY,LIMIT,1701155642145,79,1.7752
NEARUSDT,SELL,LIMIT,1701155792526,146,1.7245
NEARUSDT,SELL,LIMIT,1701155845181,332,1.7233
NEARUSDT,SELL,LIMIT,1701156271055,174,1.7191
NEARUSDT,SELL,LIMIT,1701156357153,6,1.7166
NEARUSDT,SELL,LIMIT,1701156371332,1563,1.7159
NEARUSDT,SELL,LIMIT,1701156382539,20377,1.7022
NEARUSDT,SELL,LIMIT,1701156562456,570,1.7120
NEARUSDT,BUY,LIMIT,1701158118623,72,1.7758
NEARUSDT,BUY,LIMIT,1701159725076,355,1.7645
NEARUSDT,SELL,LIMIT,1701161351097,2634,1.7118
NEARUSDT,SELL,LIMIT,1701161456087,770,1.7106
NEARUSDT,SELL,LIMIT,1701162041037,5,1.7079
NEARUSDT,SELL,LIMIT,1701162075155,31,1.7059
NEARUSDT,SELL,LIMIT,1701162634131,2570,1.7047
NEARUSDT,BUY,LIMIT,1701164400169,104,1.7762
NEARUSDT,BUY,LIMIT,1701164930619,82,1.7866
NEARUSDT,BUY,LIMIT,1701165031277,80,1.7899
NEARUSDT,SELL,LIMIT,1701165855064,5668,1.7298
NEARUSDT,BUY,LIMIT,1701166595229,268,1.7904
NEARUSDT,BUY,LIMIT,1701167949537,1060,1.7960
NEARUSDT,SELL,LIMIT,1701168891708,367,1.7335
NEARUSDT,BUY,LIMIT,1701172516429,198,1.8119
NEARUSDT,BUY,LIMIT,1701172631296,101,1.8125
NEARUSDT,SELL,LIMIT,1701176569259,5,1.7434
NEARUSDT,SELL,LIMIT,1701176590104,2105,1.7429
NEARUSDT,SELL,LIMIT,1701176629056,83,1.7423
NEARUSDT,SELL,LIMIT,1701176733495,871,1.7421
NEARUSDT,BUY,LIMIT,1701179761247,2696,1.8152
NEARUSDT,BUY,LIMIT,1701179946916,166,1.8155
NEARUSDT,SELL,LIMIT,1701185364203,2956,1.7508
NEARUSDT,SELL,LIMIT,1701185403128,5434,1.7488
NEARUSDT,SELL,LIMIT,1701185470445,3,1.7474
NEARUSDT,SELL,LIMIT,1701185503415,146,1.7464
NEARUSDT,SELL,LIMIT,1701185916393,1163,1.7438
NEARUSDT,BUY,LIMIT,1701186219180,169,1.8145
NEARUSDT,BUY,LIMIT,1701186326301,27,1.8162
NEARUSDT,BUY,LIMIT,1701186397160,91,1.8189
NEARUSDT,BUY,LIMIT,1701186398352,193,1.8225
NEARUSDT,BUY,LIMIT,1701187238885,128,1.8187
NEARUSDT,SELL,LIMIT,1701188074570,378,1.7559
NEARUSDT,BUY,LIMIT,1701189365074,112,1.8147
NEARUSDT,BUY,LIMIT,1701189964514,5360,1.8278
NEARUSDT,BUY,LIMIT,1701190004238,340,1.8305
NEARUSDT,BUY,LIMIT,1701190009080,108,1.8306
NEARUSDT,BUY,LIMIT,1701190336167,3000,1.8366
NEARUSDT,BUY,LIMIT,1701190353582,1280,1.8384
NEARUSDT,SELL,LIMIT,1701191246651,1721,1.7704
NEARUSDT,SELL,LIMIT,1701191256396,45,1.7691
NEARUSDT,SELL,LIMIT,1701191970365,2100,1.7735
NEARUSDT,BUY,LIMIT,1701192145341,77,1.8409
NEARUSDT,BUY,LIMIT,1701192163128,5000,1.8421
NEARUSDT,BUY,LIMIT,1701192164897,8,1.8423
NEARUSDT,BUY,LIMIT,1701192168574,9,1.8427
NEARUSDT,BUY,LIMIT,1701192282142,802,1.8437
NEARUSDT,BUY,LIMIT,1701192670078,904,1.8382
NEARUSDT,BUY,LIMIT,1701193683554,278,1.8448
NEARUSDT,BUY,LIMIT,1701194004066,14,1.8476
NEARUSDT,BUY,LIMIT,1701194210351,260,1.8493
NEARUSDT,SELL,LIMIT,1701194822686,145,1.7861
NEARUSDT,SELL,LIMIT,1701197406568,40,1.7790
NEARUSDT,SELL,LIMIT,1701197410223,36,1.7785
NEARUSDT,SELL,LIMIT,1701197517924,37,1.7732
NEARUSDT,SELL,LIMIT,1701197853682,10,1.7769
NEARUSDT,BUY,LIMIT,1701200475258,267,1.8381
NEARUSDT,BUY,LIMIT,1701200495668,216,1.8401
NEARUSDT,SELL,LIMIT,1701202027061,65,1.7786
NEARUSDT,SELL,LIMIT,1701207136124,452,1.7833
NEARUSDT,SELL,LIMIT,1701211965708,526,1.7719
NEARUSDT,BUY,LIMIT,1701212946661,12,1.8362
NEARUSDT,BUY,LIMIT,1701217281643,1789,1.8478
NEARUSDT,BUY,LIMIT,1701217914098,16,1.8548
NEARUSDT,BUY,LIMIT,1701217933288,27,1.8580
NEARUSDT,BUY,LIMIT,1701218488420,4592,1.8578
NEARUSDT,SELL,LIMIT,1701222563520,374,1.7968
NEARUSDT,BUY,LIMIT,1701229936718,4792,1.8633
NEARUSDT,BUY,LIMIT,1701237989260,22,1.8696
NEARUSDT,BUY,LIMIT,1701238002219,2671,1.8703
NEARUSDT,BUY,LIMIT,1701238253922,59,1.8740
NEARUSDT,BUY,LIMIT,1701238256995,4098,1.8748
NEARUSDT,BUY,LIMIT,1701238259620,16,1.8753
NEARUSDT,BUY,LIMIT,1701238282305,37,1.8763
NEARUSDT,BUY,LIMIT,1701238319155,28,1.8794
NEARUSDT,BUY,LIMIT,1701240063342,667,1.8817
NEARUSDT,BUY,LIMIT,1701240255688,1269,1.8842
NEARUSDT,BUY,LIMIT,1701241346289,57,1.8993
NEARUSDT,BUY,LIMIT,1701241390822,203,1.9016
NEARUSDT,BUY,LIMIT,1701241881671,135,1.9065
NEARUSDT,BUY,LIMIT,1701241883778,480,1.9064
NEARUSDT,BUY,LIMIT,1701242030705,1244,1.9077
NEARUSDT,BUY,LIMIT,1701242032198,64,1.9083
NEARUSDT,BUY,LIMIT,1701242794253,27,1.9099
NEARUSDT,BUY,LIMIT,1701242833720,108,1.9112
NEARUSDT,BUY,LIMIT,1701242858942,2822,1.9123
NEARUSDT,SELL,LIMIT,1701243530362,5,1.8437
NEARUSDT,BUY,LIMIT,1701243890951,27,1.8986
NEARUSDT,BUY,LIMIT,1701245349260,3000,1.9077
NEARUSDT,BUY,LIMIT,1701245356055,426,1.9078
NEARUSDT,SELL,LIMIT,1701245923225,53,1.8429
NEARUSDT,SELL,LIMIT,1701246722908,10,1.8382
NEARUSDT,BUY,LIMIT,1701247580208,830,1.9038
NEARUSDT,BUY,LIMIT,1701247944098,1080,1.9134
NEARUSDT,BUY,LIMIT,1701247951005,536,1.9135
NEARUSDT,BUY,LIMIT,1701247986224,20,1.9137
NEARUSDT,BUY,LIMIT,1701248036341,3993,1.9148
NEARUSDT,BUY,LIMIT,1701248051137,315,1.9144
NEARUSDT,BUY,LIMIT,1701248363756,91,1.9141
NEARUSDT,BUY,LIMIT,1701248409072,54,1.9155
