Symbol,Side,Order Type,Time,Quantity,Price
OPUSDT,BUY,LIMIT,1700848633206,51.4,1.8351451
OPUSDT,BUY,LIMIT,1700849371086,47.1,1.8373688
OPUSDT,SELL,LIMIT,1700851250097,36.9,1.8056366
OPUSDT,SELL,LIMIT,1700852079648,26.6,1.8041633
OPUSDT,SELL,LIMIT,1700852083545,281.5,1.8036079
OPUSDT,SELL,LIMIT,1700852086466,362.2,1.8035681
OPUSDT,SELL,LIMIT,1700852089306,54.3,1.8032704
OPUSDT,SELL,LIMIT,1700852185145,15.4,1.8028476
OPUSDT,SELL,LIMIT,1700852738498,43.2,1.8015621
OPUSDT,SELL,LIMIT,1700852744052,201.9,1.8002713
OPUSDT,SELL,LIMIT,1700853708145,28.5,1.8000661
OPUSDT,SELL,LIMIT,1700857189382,56.4,1.7921601
OPUSDT,SELL,LIMIT,1700858153776,136.8,1.7910975
OPUSDT,BUY,LIMIT,1700860306819,150.8,1.8271236
OPUSDT,SELL,LIMIT,1700863228239,13.4,1.7884199
OPUSDT,SELL,LIMIT,1700863940262,1524.1,1.7867852
OPUSDT,SELL,LIMIT,1700863949352,268.8,1.7859721
OPUSDT,SELL,LIMIT,1700863952698,2390.0,1.7817294
OPUSDT,SELL,LIMIT,1700863960061,219.9,1.7796715
OPUSDT,SELL,LIMIT,1700863962076,358.5,1.7781678
OPUSDT,SELL,LIMIT,1700863963181,267.5,1.7789176
OPUSDT,SELL,LIMIT,1700863964573,805.8,1.7757178
OPUSDT,SELL,LIMIT,1700866088289,2028.6,1.8098892
OPUSDT,SELL,LIMIT,1700867373270,300.0,1.7792968
OPUSDT,BUY,LIMIT,1700874788098,81.1,1.8221557
OPUSDT,BUY,LIMIT,1700876369284,164.2,1.8288748
OPUSDT,BUY,LIMIT,1700877237813,60.6,1.8387791
OPUSDT,BUY,LIMIT,1700877272222,3.4,1.8387264
OPUSDT,BUY,LIMIT,1700877363520,210.2,1.8395133
OPUSDT,BUY,LIMIT,1700877371644,137.9,1.8400404
OPUSDT,BUY,LIMIT,1700879563431,2438.9,1.8293440
OPUSDT,BUY,LIMIT,1700890951436,823.4,1.8196012
OPUSDT,BUY,LIMIT,1700894987148,2.8,1.8210758
OPUSDT,BUY,LIMIT,1700895014039,25.3,1.8246712
OPUSDT,BUY,LIMIT,1700895732014,43.7,1.8240791
OPUSDT,BUY,LIMIT,1700896831858,70.8,1.8260839
OPUSDT,BUY,LIMIT,1700897196344,29.1,1.8246235
OPUSDT,BUY,LIMIT,1700901887502,695.5,1.8165140
OPUSDT,SELL,LIMIT,1700907199321,6.5,1.7878168
OPUSDT,SELL,LIMIT,1700907579983,27.5,1.7802246
OPUSDT,SELL,LIMIT,1700908519193,4.5,1.7772174
OPUSDT,SELL,LIMIT,1700908573155,77.5,1.7767726
OPUSDT,SELL,LIMIT,1700908603444,197.6,1.7754911
OPUSDT,SELL,LIMIT,1700908987172,18.8,1.7729015
OPUSDT,SELL,LIMIT,1700908990573,224.5,1.7721863
OPUSDT,SELL,LIMIT,1700909019335,137.6,1.7712400
OPUSDT,SELL,LIMIT,1700909020579,11.5,1.7711208
OPUSDT,SELL,LIMIT,1700909025264,120.8,1.7700793
OPUSDT,SELL,LIMIT,1700909026346,106.8,1.7702912
OPUSDT,SELL,LIMIT,1700909029127,2771.6,1.7682692
OPUSDT,SELL,LIMIT,1700909047293,27.7,1.7674421
OPUSDT,SELL,LIMIT,1700909068054,78.5,1.7665592
OPUSDT,SELL,LIMIT,1700909072256,34.3,1.7664669
OPUSDT,SELL,LIMIT,1700911105108,39.1,1.7660642
OPUSDT,SELL,LIMIT,1700911112275,81.7,1.7658115
OPUSDT,SELL,LIMIT,1700911113300,530.8,1.7648097
OPUSDT,SELL,LIMIT,1700911120074,26.3,1.7637098
OPUSDT,SELL,LIMIT,1700911121181,723.8,1.7640009
OPUSDT,SELL,LIMIT,1700911140049,5.5,1.7621547
OPUSDT,SELL,LIMIT,1700911143069,70.0,1.7615664
OPUSDT,SELL,LIMIT,1700911145242,1000.0,1.7619683
OPUSDT,SELL,LIMIT,1700911146672,189.9,1.7614114
OPUSDT,SELL,LIMIT,1700911338369,274.0,1.7607031
OPUSDT,SELL,LIMIT,1700911342321,278.4,1.7604084
OPUSDT,SELL,LIMIT,1700911356595,66.9,1.7582313
OPUSDT,SELL,LIMIT,1700911368186,9.6,1.7572036
OPUSDT,SELL,LIMIT,1700912256307,958.9,1.7572525
OPUSDT,SELL,LIMIT,1700912494183,2700.0,1.7550092
OPUSDT,SELL,LIMIT,1700912503298,45.9,1.7544025
OPUSDT,SELL,LIMIT,1700912669086,661.5,1.7537585
OPUSDT,BUY,LIMIT,1700916425495,11.2,1.7836379
OPUSDT,BUY,LIMIT,1700919534103,12.9,1.7816334
OPUSDT,BUY,LIMIT,1700939622304,72.2,1.7856630
