Symbol,Side,Order Type,Time,Quantity,Price
ORBSUSDT,SELL,LIMIT,1700854005916,1205,0.0452734
ORBSUSDT,SELL,LIMIT,1700863967060,16129,0.0449630
ORBSUSDT,SELL,LIMIT,1700864731100,128,0.0449530
ORBSUSDT,SELL,LIMIT,1700864784005,7836,0.0449046
ORBSUSDT,BUY,LIMIT,1700870542705,21754,0.0470859
ORBSUSDT,BUY,LIMIT,1700870862783,10698,0.0478978
ORBSUSDT,BUY,LIMIT,1700872292658,22660,0.0476756
ORBSUSDT,SELL,LIMIT,1700873598569,1658,0.0458812
ORBSUSDT,SELL,LIMIT,1700876080722,5681,0.0453442
ORBSUSDT,BUY,LIMIT,1700877272222,137,0.0472491
ORBSUSDT,SELL,LIMIT,1700878358947,30628,0.0461682
