Symbol,Side,Order Type,Time,Quantity,Price
PERPUSDT,BUY,LIMIT,1700846782926,62.4,0.686687
PERPUSDT,BUY,LIMIT,1700859061403,1784.0,0.685928
PERPUSDT,BUY,LIMIT,1700860344891,994.1,0.685814
PERPUSDT,SELL,LIMIT,1700862922785,73.9,0.661442
PERPUSDT,SELL,LIMIT,1700863949895,59.1,0.658040
PERPUSDT,BUY,LIMIT,1700870138239,4176.4,0.678622
PERPUSDT,BUY,LIMIT,1700874157431,742.5,0.686529
PERPUSDT,BUY,LIMIT,1700874820156,1486.1,0.689438
PERPUSDT,BUY,LIMIT,1700874854491,1131.0,0.690319
PERPUSDT,BUY,LIMIT,1700876992244,9.7,0.700299
PERPUSDT,BUY,LIMIT,1700877272222,9.8,0.700248
PERPUSDT,SELL,LIMIT,1700878931297,758.2,0.671437
