Symbol,Side,Order Type,Time,Quantity,Price
PYTHUSDT,BUY,LIMIT,1700845667438,53,0.5308516
PYTHUSDT,BUY,LIMIT,1700845701620,192,0.5309556
PYTHUSDT,BUY,LIMIT,1700845709947,228,0.5313949
PYTHUSDT,SELL,LIMIT,1700846181233,346,0.5138192
PYTHUSDT,SELL,LIMIT,1700846186087,16,0.5136101
PYTHUSDT,BUY,LIMIT,1700846754467,34,0.5312138
PYTHUSDT,SELL,LIMIT,1700847263170,106,0.5152029
PYTHUSDT,BUY,LIMIT,1700847790323,29,0.5339166
PYTHUSDT,BUY,LIMIT,1700847905948,200,0.5321645
PYTHUSDT,BUY,LIMIT,1700847983640,500,0.5319010
PYTHUSDT,SELL,LIMIT,1700848218714,3985,0.5142053
PYTHUSDT,SELL,LIMIT,1700848223444,113,0.5129998
PYTHUSDT,SELL,LIMIT,1700848412969,3314,0.5109321
PYTHUSDT,SELL,LIMIT,1700848417723,10,0.5098022
PYTHUSDT,SELL,LIMIT,1700848430444,79,0.5095734
PYTHUSDT,BUY,LIMIT,1700848637796,2694,0.5278483
PYTHUSDT,BUY,LIMIT,1700848640461,47,0.5288957
PYTHUSDT,SELL,LIMIT,1700849347654,1217,0.5092451
PYTHUSDT,BUY,LIMIT,1700849665556,504,0.5269251
PYTHUSDT,BUY,LIMIT,1700849785064,169,0.5298714
PYTHUSDT,BUY,LIMIT,1700849809275,180,0.5302140
PYTHUSDT,SELL,LIMIT,1700849843715,962,0.5113376
PYTHUSDT,SELL,LIMIT,1700849963883,1162,0.5083615
PYTHUSDT,BUY,LIMIT,1700850371628,80,0.5271067
PYTHUSDT,BUY,LIMIT,1700850928011,1489,0.5300412
PYTHUSDT,SELL,LIMIT,1700851249128,17,0.5116055
PYTHUSDT,SELL,LIMIT,1700852737397,91,0.5088613
PYTHUSDT,SELL,LIMIT,1700853399210,5498,0.5071804
PYTHUSDT,SELL,LIMIT,1700853400389,6531,0.5067481
PYTHUSDT,SELL,LIMIT,1700853443134,146,0.5054849
PYTHUSDT,SELL,LIMIT,1700853448412,1452,0.5054268
