Symbol,Side,Order Type,Time,Quantity,Price
SANDUSDT,SELL,LIMIT,1700999612241,779,0.41792
SANDUSDT,SELL,LIMIT,1700999614161,551,0.41693
SANDUSDT,SELL,LIMIT,1700999615483,406,0.41710
SANDUSDT,SELL,LIMIT,1700999621433,206,0.41674
SANDUSDT,SELL,LIMIT,1701000624865,33625,0.41629
SANDUSDT,SELL,LIMIT,1701000644659,10667,0.41637
SANDUSDT,SELL,LIMIT,1701001418005,374,0.41591
SANDUSDT,SELL,LIMIT,1701001428946,23,0.41568
SANDUSDT,SELL,LIMIT,1701001500375,6122,0.41554
SANDUSDT,SELL,LIMIT,1701001502144,67,0.41523
SANDUSDT,SELL,LIMIT,1701001503406,11635,0.41423
SANDUSDT,SELL,LIMIT,1701001505470,8598,0.41412
SANDUSDT,SELL,LIMIT,1701001512213,315,0.41401
SANDUSDT,SELL,LIMIT,1701001513552,473,0.41405
SANDUSDT,BUY,LIMIT,1701003771259,163,0.42532
SANDUSDT,BUY,LIMIT,1701005847149,1907,0.42760
SANDUSDT,BUY,LIMIT,1701005934859,155,0.42869
SANDUSDT,BUY,LIMIT,1701006265952,54608,0.43384
SANDUSDT,BUY,LIMIT,1701006569724,92,0.43608
SANDUSDT,BUY,LIMIT,1701006572349,1500,0.43616
SANDUSDT,BUY,LIMIT,1701006637546,188,0.43882
SANDUSDT,BUY,LIMIT,1701006800711,48,0.43920
SANDUSDT,BUY,LIMIT,1701007465644,255,0.43030
SANDUSDT,SELL,LIMIT,1701007968907,21,0.42621
SANDUSDT,SELL,LIMIT,1701008237137,147,0.42538
SANDUSDT,SELL,LIMIT,1701008266873,164,0.42422
SANDUSDT,SELL,LIMIT,1701008377673,5914,0.42235
SANDUSDT,SELL,LIMIT,1701008416244,884,0.42299
SANDUSDT,SELL,LIMIT,1701008417623,3754,0.42168
SANDUSDT,SELL,LIMIT,1701009280114,3500,0.42506
SANDUSDT,SELL,LIMIT,1701013516819,927,0.42478
SANDUSDT,SELL,LIMIT,1701013867071,1556,0.42317
SANDUSDT,SELL,LIMIT,1701013944426,8723,0.42270
SANDUSDT,SELL,LIMIT,1701013953592,2314,0.42249
SANDUSDT,SELL,LIMIT,1701013992322,200,0.42244
SANDUSDT,SELL,LIMIT,1701014019084,482,0.42200
SANDUSDT,SELL,LIMIT,1701014033477,392,0.42141
SANDUSDT,SELL,LIMIT,1701014040923,198,0.42112
SANDUSDT,SELL,LIMIT,1701014921311,14,0.42271
SANDUSDT,SELL,LIMIT,1701014948272,535,0.42269
SANDUSDT,SELL,LIMIT,1701015208851,11590,0.42030
SANDUSDT,SELL,LIMIT,1701015256627,6720,0.41958
SANDUSDT,SELL,LIMIT,1701015640991,5000,0.41789
SANDUSDT,SELL,LIMIT,1701015644455,8484,0.41721
SANDUSDT,SELL,LIMIT,1701015659094,249,0.41701
SANDUSDT,SELL,LIMIT,1701015667186,140,0.41693
SANDUSDT,SELL,LIMIT,1701015671242,526,0.41673
SANDUSDT,SELL,LIMIT,1701015677084,14,0.41650
SANDUSDT,SELL,LIMIT,1701015684297,587,0.41624
SANDUSDT,SELL,LIMIT,1701015743089,69,0.41592
SANDUSDT,SELL,LIMIT,1701015748245,800,0.41539
SANDUSDT,SELL,LIMIT,1701015749625,7000,0.41537
SANDUSDT,SELL,LIMIT,1701015761160,500,0.41520
SANDUSDT,SELL,LIMIT,1701015862728,244,0.41569
SANDUSDT,SELL,LIMIT,1701016000424,45,0.41443
SANDUSDT,SELL,LIMIT,1701016013682,4711,0.41420
SANDUSDT,SELL,LIMIT,1701016015972,4680,0.41410
SANDUSDT,SELL,LIMIT,1701016019100,206,0.41372
SANDUSDT,SELL,LIMIT,1701016020162,34,0.41337
SANDUSDT,SELL,LIMIT,1701016024671,1309,0.41261
SANDUSDT,SELL,LIMIT,1701016026600,67,0.41255
SANDUSDT,SELL,LIMIT,1701016028474,7952,0.41228
SANDUSDT,SELL,LIMIT,1701016030568,9300,0.41226
SANDUSDT,SELL,LIMIT,1701016031618,1179,0.41209
SANDUSDT,SELL,LIMIT,1701016032548,2594,0.41310
SANDUSDT,SELL,LIMIT,1701016034185,2130,0.41355
SANDUSDT,SELL,LIMIT,1701016036052,4178,0.41186
SANDUSDT,SELL,LIMIT,1701016041950,92,0.41183
SANDUSDT,SELL,LIMIT,1701016042994,10000,0.41151
SANDUSDT,SELL,LIMIT,1701016045445,21,0.41098
SANDUSDT,SELL,LIMIT,1701016047265,445,0.41074
SANDUSDT,SELL,LIMIT,1701016048276,14914,0.41064
SANDUSDT,SELL,LIMIT,1701016049165,934,0.41045
SANDUSDT,SELL,LIMIT,1701016050443,5302,0.41030
SANDUSDT,SELL,LIMIT,1701016051274,22113,0.41004
SANDUSDT,SELL,LIMIT,1701016098385,769,0.40979
SANDUSDT,SELL,LIMIT,1701016099445,34,0.40964
SANDUSDT,SELL,LIMIT,1701016100464,174,0.40951
SANDUSDT,SELL,LIMIT,1701016101423,10457,0.40975
SANDUSDT,SELL,LIMIT,1701016102241,206,0.40902
SANDUSDT,SELL,LIMIT,1701016103415,1751,0.40849
SANDUSDT,BUY,LIMIT,1701043362209,5358,0.43162
SANDUSDT,BUY,LIMIT,1701043469840,278,0.43394
SANDUSDT,BUY,LIMIT,1701043591289,2299,0.43425
SANDUSDT,BUY,LIMIT,1701043748256,135,0.43549
SANDUSDT,BUY,LIMIT,1701043905734,562,0.43675
SANDUSDT,BUY,LIMIT,1701044884784,461,0.43710
SANDUSDT,BUY,LIMIT,1701045166424,583,0.43891
SANDUSDT,BUY,LIMIT,1701045338523,21,0.44075
SANDUSDT,BUY,LIMIT,1701045699332,118,0.44272
SANDUSDT,BUY,LIMIT,1701045700351,2457,0.44289
SANDUSDT,BUY,LIMIT,1701045722973,2067,0.44303
SANDUSDT,BUY,LIMIT,1701045727021,198,0.44317
SANDUSDT,BUY,LIMIT,1701045781512,3082,0.44384
SANDUSDT,BUY,LIMIT,1701045899625,485,0.44466
SANDUSDT,BUY,LIMIT,1701045948509,57,0.44536
SANDUSDT,BUY,LIMIT,1701045962434,67,0.44575
SANDUSDT,SELL,LIMIT,1701048795761,2194,0.43063
SANDUSDT,SELL,LIMIT,1701049171946,67,0.42915
SANDUSDT,SELL,LIMIT,1701049322788,99,0.42885
SANDUSDT,SELL,LIMIT,1701049559356,272,0.42671
SANDUSDT,SELL,LIMIT,1701049572526,50,0.42630
SANDUSDT,SELL,LIMIT,1701050543299,703,0.42493
SANDUSDT,SELL,LIMIT,1701050570231,2882,0.42366
SANDUSDT,SELL,LIMIT,1701050847062,100,0.42395
SANDUSDT,SELL,LIMIT,1701051869141,37,0.42244
SANDUSDT,SELL,LIMIT,1701051936395,8838,0.42221
SANDUSDT,SELL,LIMIT,1701053044313,9514,0.42082
SANDUSDT,SELL,LIMIT,1701055755250,1170,0.42055
SANDUSDT,SELL,LIMIT,1701056008188,1066,0.42038
SANDUSDT,SELL,LIMIT,1701056037513,135,0.41994
SANDUSDT,SELL,LIMIT,1701056038575,2363,0.41963
SANDUSDT,SELL,LIMIT,1701056040151,7886,0.41953
SANDUSDT,SELL,LIMIT,1701056053416,578,0.41886
SANDUSDT,SELL,LIMIT,1701056054434,452,0.41905
SANDUSDT,SELL,LIMIT,1701056056058,5797,0.41884
SANDUSDT,SELL,LIMIT,1701056090325,15,0.41844
SANDUSDT,SELL,LIMIT,1701056091581,10185,0.41840
SANDUSDT,SELL,LIMIT,1701056101794,116,0.41836
SANDUSDT,SELL,LIMIT,1701056157728,724,0.41781
SANDUSDT,SELL,LIMIT,1701056166183,971,0.41723
SANDUSDT,SELL,LIMIT,1701058756344,894,0.41678
SANDUSDT,SELL,LIMIT,1701058801110,30975,0.41624
SANDUSDT,SELL,LIMIT,1701058826063,8304,0.41618
SANDUSDT,SELL,LIMIT,1701058867116,14287,0.41489
SANDUSDT,SELL,LIMIT,1701058868299,849,0.41586
SANDUSDT,SELL,LIMIT,1701063702730,676,0.41406
