Symbol,Side,Order Type,Time,Quantity,Price
SNXUSDT,BUY,LIMIT,1700846784171,1382.7,3.694
SNXUSDT,BUY,LIMIT,1700847463571,28.3,3.704
SNXUSDT,BUY,LIMIT,1700849347956,34.5,3.705
SNXUSDT,SELL,LIMIT,1700850818216,68.9,3.553
SNXUSDT,SELL,LIMIT,1700852940271,193.4,3.548
SNXUSDT,SELL,LIMIT,1700853712882,27.3,3.537
SNXUSDT,SELL,LIMIT,1700853743060,307.2,3.533
SNXUSDT,SELL,LIMIT,1700854309843,1170.2,3.522
SNXUSDT,SELL,LIMIT,1700854592124,27.8,3.514
SNXUSDT,BUY,LIMIT,1700856842922,13.9,3.648
SNXUSDT,BUY,LIMIT,1700859038237,66.9,3.660
SNXUSDT,BUY,LIMIT,1700860165362,715.9,3.672
SNXUSDT,SELL,LIMIT,1700861593670,522.1,3.533
SNXUSDT,SELL,LIMIT,1700863949162,125.4,3.494
SNXUSDT,SELL,LIMIT,1700867062993,16.5,3.492
SNXUSDT,SELL,LIMIT,1700867195182,914.5,3.493
SNXUSDT,BUY,LIMIT,1700870098170,724.8,3.648
SNXUSDT,SELL,LIMIT,1700870618747,42.8,3.525
SNXUSDT,BUY,LIMIT,1700876353592,262.0,3.674
SNXUSDT,BUY,LIMIT,1700876369284,98.1,3.672
SNXUSDT,BUY,LIMIT,1700877272222,1.6,3.687
SNXUSDT,BUY,LIMIT,1700878408004,31.6,3.679
SNXUSDT,SELL,LIMIT,1700878613038,85.3,3.563
SNXUSDT,BUY,LIMIT,1700879459680,189.4,3.673
SNXUSDT,BUY,LIMIT,1700883954164,3.2,3.705
SNXUSDT,BUY,LIMIT,1700884799155,15.9,3.714
SNXUSDT,BUY,LIMIT,1700886156393,19.4,3.720
SNXUSDT,BUY,LIMIT,1700888202877,115.1,3.740
SNXUSDT,BUY,LIMIT,1700888205584,1.8,3.741
SNXUSDT,BUY,LIMIT,1700888233096,8.3,3.742
SNXUSDT,BUY,LIMIT,1700888242227,46.8,3.749
SNXUSDT,BUY,LIMIT,1700890547730,32.4,3.756
SNXUSDT,BUY,LIMIT,1700890567188,15.9,3.761
SNXUSDT,BUY,LIMIT,1700890866162,5.5,3.766
SNXUSDT,BUY,LIMIT,1700890867288,27.8,3.773
SNXUSDT,BUY,LIMIT,1700890917834,58.3,3.785
SNXUSDT,BUY,LIMIT,1700890951436,644.7,3.797
SNXUSDT,BUY,LIMIT,1700890956407,19.3,3.798
SNXUSDT,BUY,LIMIT,1700890968851,17.2,3.800
SNXUSDT,BUY,LIMIT,1700892707296,3.5,3.784
SNXUSDT,BUY,LIMIT,1700893004341,57.2,3.799
SNXUSDT,BUY,LIMIT,1700893484382,39.8,3.804
SNXUSDT,BUY,LIMIT,1700893564545,53.3,3.808
SNXUSDT,BUY,LIMIT,1700893821875,22.0,3.812
SNXUSDT,BUY,LIMIT,1700893867102,2356.0,3.834
SNXUSDT,BUY,LIMIT,1700894163956,28.2,3.827
SNXUSDT,BUY,LIMIT,1700894216396,86.0,3.833
SNXUSDT,SELL,LIMIT,1700894401132,52.1,3.699
SNXUSDT,BUY,LIMIT,1700895014039,18.2,3.807
SNXUSDT,BUY,LIMIT,1700895918898,348.5,3.817
SNXUSDT,SELL,LIMIT,1700896495248,41.5,3.684
SNXUSDT,SELL,LIMIT,1700898714220,671.6,3.662
SNXUSDT,BUY,LIMIT,1700898778094,113.2,3.781
SNXUSDT,BUY,LIMIT,1700899430220,5.3,3.794
SNXUSDT,BUY,LIMIT,1700900060233,53.8,3.809
SNXUSDT,BUY,LIMIT,1700900158369,20.6,3.807
SNXUSDT,SELL,LIMIT,1700908567810,1346.2,3.631
SNXUSDT,SELL,LIMIT,1700912503348,43.5,3.623
SNXUSDT,BUY,LIMIT,1700914063280,5.2,3.768
SNXUSDT,BUY,LIMIT,1700914151139,140.1,3.784
SNXUSDT,BUY,LIMIT,1700914182960,40.0,3.787
SNXUSDT,BUY,LIMIT,1700916425495,2.8,3.784
SNXUSDT,SELL,LIMIT,1700917853257,462.0,3.667
SNXUSDT,SELL,LIMIT,1700918727199,22.1,3.656
SNXUSDT,SELL,LIMIT,1700918756405,55.0,3.654
SNXUSDT,SELL,LIMIT,1700923566961,93.2,3.638
SNXUSDT,SELL,LIMIT,1700924196573,2.7,3.619
SNXUSDT,SELL,LIMIT,1700924241952,72.5,3.609
SNXUSDT,SELL,LIMIT,1700924299248,223.1,3.593
SNXUSDT,BUY,LIMIT,1700928698337,93.1,3.732
SNXUSDT,BUY,LIMIT,1700931980745,1374.0,3.710
SNXUSDT,BUY,LIMIT,1700939740509,137.2,3.715
SNXUSDT,BUY,LIMIT,1700939776754,1.5,3.716
