Symbol,Side,Order Type,Time,Quantity,Price
SPELLUSDT,BUY,LIMIT,1700845598201,1774562,0.0006905
SPELLUSDT,BUY,LIMIT,1700845608622,170696,0.0006643
SPELLUSDT,BUY,LIMIT,1700845615242,172256,0.0006853
SPELLUSDT,SELL,LIMIT,1700845927019,500000,0.0006563
SPELLUSDT,SELL,LIMIT,1700845956201,218327,0.0006558
SPELLUSDT,SELL,LIMIT,1700846019330,17850,0.0006555
SPELLUSDT,SELL,LIMIT,1700846027224,123447,0.0006554
SPELLUSDT,SELL,LIMIT,1700846028278,21361,0.0006551
SPELLUSDT,SELL,LIMIT,1700846029291,213985,0.0006547
SPELLUSDT,SELL,LIMIT,1700846031535,982016,0.0006545
