Symbol,Side,Order Type,Time,Quantity,Price
SUIUSDT,BUY,LIMIT,1700846833271,167.5,0.632500
SUIUSDT,SELL,LIMIT,1700847658128,9.1,0.614237
SUIUSDT,SELL,LIMIT,1700847793333,1823.4,0.612119
SUIUSDT,SELL,LIMIT,1700847811575,24.8,0.611501
SUIUSDT,SELL,LIMIT,1700849719203,0.1,0.611941
SUIUSDT,SELL,LIMIT,1700850196711,988.6,0.610287
SUIUSDT,SELL,LIMIT,1700850333158,180.1,0.609640
SUIUSDT,SELL,LIMIT,1700851189047,22.3,0.609216
SUIUSDT,SELL,LIMIT,1700851199263,2942.2,0.608071
SUIUSDT,SELL,LIMIT,1700851251736,2336.7,0.606836
SUIUSDT,SELL,LIMIT,1700853749360,4007.0,0.607025
SUIUSDT,BUY,LIMIT,1700859030196,6555.9,0.625749
SUIUSDT,BUY,LIMIT,1700859362217,148.5,0.627412
SUIUSDT,SELL,LIMIT,1700862260948,4.6,0.613559
SUIUSDT,SELL,LIMIT,1700863955837,0.4,0.610451
SUIUSDT,BUY,LIMIT,1700866262359,284.6,0.633332
SUIUSDT,BUY,LIMIT,1700866319011,8033.4,0.634492
SUIUSDT,SELL,LIMIT,1700866718820,1609.5,0.619688
SUIUSDT,SELL,LIMIT,1700867182650,3615.6,0.613518
SUIUSDT,SELL,LIMIT,1700867731165,304.0,0.609134
SUIUSDT,SELL,LIMIT,1700870648079,100.4,0.620277
SUIUSDT,BUY,LIMIT,1700870977368,14.0,0.636826
SUIUSDT,BUY,LIMIT,1700870985847,85.3,0.637011
SUIUSDT,BUY,LIMIT,1700871043320,110.0,0.640983
SUIUSDT,BUY,LIMIT,1700871051245,44.8,0.643388
SUIUSDT,BUY,LIMIT,1700871077058,28958.1,0.648909
SUIUSDT,BUY,LIMIT,1700871078409,8.2,0.644738
SUIUSDT,BUY,LIMIT,1700871251140,19.8,0.645502
SUIUSDT,BUY,LIMIT,1700871300162,101.2,0.647573
SUIUSDT,BUY,LIMIT,1700871307080,4936.7,0.648166
SUIUSDT,BUY,LIMIT,1700871308399,38.6,0.647955
SUIUSDT,BUY,LIMIT,1700871314978,335.2,0.648180
SUIUSDT,BUY,LIMIT,1700871361668,16.9,0.649064
SUIUSDT,BUY,LIMIT,1700871364903,34.2,0.649137
SUIUSDT,BUY,LIMIT,1700871386251,2155.6,0.649202
SUIUSDT,BUY,LIMIT,1700871400046,926.0,0.650315
SUIUSDT,BUY,LIMIT,1700871401070,16.2,0.650285
SUIUSDT,BUY,LIMIT,1700871406162,3169.1,0.651666
SUIUSDT,BUY,LIMIT,1700871409219,25293.3,0.656596
SUIUSDT,BUY,LIMIT,1700871411234,1079.6,0.652671
SUIUSDT,BUY,LIMIT,1700871412403,1763.3,0.652734
SUIUSDT,BUY,LIMIT,1700871413784,32.6,0.652889
SUIUSDT,BUY,LIMIT,1700871415137,1030.7,0.653481
SUIUSDT,BUY,LIMIT,1700871416238,14180.3,0.656511
SUIUSDT,BUY,LIMIT,1700871417413,359.6,0.653739
SUIUSDT,BUY,LIMIT,1700871421204,2000.8,0.654153
SUIUSDT,BUY,LIMIT,1700871435060,10570.4,0.656277
SUIUSDT,BUY,LIMIT,1700872093475,12.9,0.654808
SUIUSDT,BUY,LIMIT,1700872245169,1838.9,0.654916
SUIUSDT,BUY,LIMIT,1700872247339,1529.4,0.655117
SUIUSDT,BUY,LIMIT,1700872260638,10.7,0.655286
SUIUSDT,BUY,LIMIT,1700872267135,1872.0,0.655795
SUIUSDT,BUY,LIMIT,1700872269105,515.6,0.655954
SUIUSDT,BUY,LIMIT,1700872276192,858.5,0.656503
SUIUSDT,BUY,LIMIT,1700872293679,589.9,0.657118
SUIUSDT,BUY,LIMIT,1700872316141,353.0,0.657237
SUIUSDT,BUY,LIMIT,1700872318219,4000.0,0.657360
SUIUSDT,BUY,LIMIT,1700872321213,274.4,0.657681
SUIUSDT,BUY,LIMIT,1700872519716,1207.5,0.659242
SUIUSDT,BUY,LIMIT,1700872538166,3.2,0.659514
SUIUSDT,BUY,LIMIT,1700872540334,4.2,0.659894
SUIUSDT,BUY,LIMIT,1700872552204,166.1,0.660408
SUIUSDT,BUY,LIMIT,1700872569658,34.6,0.660947
SUIUSDT,BUY,LIMIT,1700872571693,8.4,0.661029
SUIUSDT,BUY,LIMIT,1700872572974,2270.3,0.661158
SUIUSDT,BUY,LIMIT,1700872584602,207.6,0.661591
SUIUSDT,BUY,LIMIT,1700872676759,238.2,0.662886
SUIUSDT,BUY,LIMIT,1700872678065,3840.8,0.663787
SUIUSDT,BUY,LIMIT,1700872679530,492.8,0.663858
SUIUSDT,BUY,LIMIT,1700872682217,536.5,0.664131
SUIUSDT,BUY,LIMIT,1700872684176,433.9,0.664345
SUIUSDT,BUY,LIMIT,1700872686344,854.5,0.664360
SUIUSDT,BUY,LIMIT,1700872779711,3423.3,0.665317
SUIUSDT,BUY,LIMIT,1700872783182,128.0,0.665586
SUIUSDT,BUY,LIMIT,1700872790101,191.5,0.666133
SUIUSDT,BUY,LIMIT,1700872845135,2579.6,0.666146
SUIUSDT,BUY,LIMIT,1700873001513,6.3,0.666886
SUIUSDT,BUY,LIMIT,1700873030082,1215.5,0.667925
SUIUSDT,BUY,LIMIT,1700873031259,1219.8,0.667934
SUIUSDT,BUY,LIMIT,1700873034018,19226.2,0.671966
SUIUSDT,BUY,LIMIT,1700873035155,30.0,0.668381
SUIUSDT,BUY,LIMIT,1700873048217,35.7,0.670187
SUIUSDT,BUY,LIMIT,1700873050727,749.2,0.670527
SUIUSDT,BUY,LIMIT,1700873058311,47.1,0.671328
