Symbol,Side,Order Type,Time,Quantity,Price
TRBUSDT,SELL,LIMIT,1700845614532,0.1,86.518
TRBUSDT,SELL,LIMIT,1700848933740,0.8,84.728
TRBUSDT,SELL,LIMIT,1700850844262,24.0,84.453
TRBUSDT,SELL,LIMIT,1700853030422,0.7,84.319
TRBUSDT,SELL,LIMIT,1700853934079,58.1,84.292
TRBUSDT,BUY,LIMIT,1700859462025,1.0,87.340
TRBUSDT,SELL,LIMIT,1700860293244,0.3,84.300
TRBUSDT,SELL,LIMIT,1700860310637,0.8,84.267
TRBUSDT,SELL,LIMIT,1700861197799,0.2,84.206
TRBUSDT,SELL,LIMIT,1700861199305,6.1,84.184
TRBUSDT,SELL,LIMIT,1700861200452,0.6,84.177
TRBUSDT,SELL,LIMIT,1700861229146,8.9,84.145
TRBUSDT,SELL,LIMIT,1700861232576,2.4,84.140
TRBUSDT,SELL,LIMIT,1700861237200,0.8,84.112
TRBUSDT,SELL,LIMIT,1700861239423,4.5,84.108
TRBUSDT,SELL,LIMIT,1700861646760,19.7,84.030
TRBUSDT,SELL,LIMIT,1700861647902,3.1,84.010
TRBUSDT,SELL,LIMIT,1700863282197,1.5,84.023
TRBUSDT,SELL,LIMIT,1700863605192,1.4,83.948
TRBUSDT,BUY,LIMIT,1700863672292,0.1,71.155
TRBUSDT,SELL,LIMIT,1700863710456,111.5,83.720
TRBUSDT,SELL,LIMIT,1700863716738,18.5,83.910
TRBUSDT,SELL,LIMIT,1700863762791,1.8,83.875
TRBUSDT,SELL,LIMIT,1700863764034,0.2,83.796
TRBUSDT,SELL,LIMIT,1700863765064,106.0,83.583
TRBUSDT,SELL,LIMIT,1700863766092,11.5,83.453
TRBUSDT,SELL,LIMIT,1700863767175,4.0,83.223
TRBUSDT,SELL,LIMIT,1700863768212,84.7,83.159
TRBUSDT,SELL,LIMIT,1700863769268,0.4,83.122
TRBUSDT,SELL,LIMIT,1700863948606,50.5,83.346
TRBUSDT,SELL,LIMIT,1700863953219,18.9,83.239
TRBUSDT,SELL,LIMIT,1700863957066,29.0,83.231
TRBUSDT,SELL,LIMIT,1700863960200,12.7,83.195
TRBUSDT,SELL,LIMIT,1700863963261,1.6,83.124
TRBUSDT,SELL,LIMIT,1700865548271,17.9,83.478
TRBUSDT,SELL,LIMIT,1700867054343,24.8,83.213
TRBUSDT,SELL,LIMIT,1700867183707,6.7,83.190
TRBUSDT,BUY,LIMIT,1700867988306,0.4,86.172
TRBUSDT,SELL,LIMIT,1700870649904,0.8,83.130
TRBUSDT,SELL,LIMIT,1700870651136,3.5,83.073
TRBUSDT,BUY,LIMIT,1700871210004,0.8,86.410
TRBUSDT,BUY,LIMIT,1700873935451,0.6,87.163
TRBUSDT,BUY,LIMIT,1700874056139,0.2,87.294
TRBUSDT,BUY,LIMIT,1700874110192,17.3,87.506
TRBUSDT,BUY,LIMIT,1700874215553,8.1,87.421
TRBUSDT,BUY,LIMIT,1700877567891,0.1,87.713
TRBUSDT,BUY,LIMIT,1700880461219,0.4,87.828
TRBUSDT,BUY,LIMIT,1700881226628,58.4,87.896
TRBUSDT,SELL,LIMIT,1700881829160,22.0,85.048
