Symbol,Side,Order Type,Time,Quantity,Price
WLDUSDT,BUY,LIMIT,1700990343226,17,2.7189482
WLDUSDT,BUY,LIMIT,1700990344323,19,2.7174595
WLDUSDT,BUY,LIMIT,1700990712061,18,2.7190236
WLDUSDT,BUY,LIMIT,1700990786223,113,2.7200335
WLDUSDT,SELL,LIMIT,1700991213720,5,2.6563173
WLDUSDT,SELL,LIMIT,1700991286786,7,2.6358882
WLDUSDT,SELL,LIMIT,1700992413202,179,2.6310429
WLDUSDT,BUY,LIMIT,1700993895120,4,2.7070783
WLDUSDT,SELL,LIMIT,1700995133931,10,2.6249360
WLDUSDT,SELL,LIMIT,1700995558709,1768,2.6271487
WLDUSDT,SELL,LIMIT,1700995624424,54,2.6249497
WLDUSDT,SELL,LIMIT,1700995915283,1862,2.6240941
WLDUSDT,SELL,LIMIT,1700995928608,289,2.6229530
WLDUSDT,SELL,LIMIT,1700995948735,184,2.6207899
WLDUSDT,BUY,LIMIT,1700996510455,59,2.6969272
WLDUSDT,SELL,LIMIT,1700999178261,2,2.6408556
WLDUSDT,BUY,LIMIT,1700999651686,16,2.6972380
WLDUSDT,BUY,LIMIT,1700999921474,199,2.7070235
WLDUSDT,BUY,LIMIT,1700999934308,301,2.7088131
WLDUSDT,BUY,LIMIT,1701000026343,10,2.7113218
WLDUSDT,BUY,LIMIT,1701000068218,1230,2.7130807
WLDUSDT,BUY,LIMIT,1701000069929,189,2.7137035
WLDUSDT,BUY,LIMIT,1701000079555,22,2.7163558
WLDUSDT,BUY,LIMIT,1701000082712,10,2.7202455
WLDUSDT,BUY,LIMIT,1701000088197,138,2.7235869
WLDUSDT,BUY,LIMIT,1701000090528,373,2.7236051
WLDUSDT,BUY,LIMIT,1701000095152,4,2.7242064
WLDUSDT,BUY,LIMIT,1701000096506,6,2.7256022
WLDUSDT,SELL,LIMIT,1701000611458,21,2.6327098
WLDUSDT,SELL,LIMIT,1701000617109,929,2.6335060
WLDUSDT,SELL,LIMIT,1701000642277,17,2.6298360
WLDUSDT,SELL,LIMIT,1701000651488,30,2.6290689
WLDUSDT,SELL,LIMIT,1701000689294,1616,2.6233788
WLDUSDT,BUY,LIMIT,1701001280351,38,2.7016115
WLDUSDT,SELL,LIMIT,1701001500891,139,2.6299351
WLDUSDT,SELL,LIMIT,1701001502820,106,2.6266681
WLDUSDT,BUY,LIMIT,1701001920687,50,2.7164046
WLDUSDT,BUY,LIMIT,1701001927088,677,2.7083403
WLDUSDT,BUY,LIMIT,1701002007069,100,2.7229458
WLDUSDT,BUY,LIMIT,1701002245675,113,2.7269228
WLDUSDT,BUY,LIMIT,1701002247992,278,2.7280548
WLDUSDT,BUY,LIMIT,1701002307486,41,2.7378564
WLDUSDT,BUY,LIMIT,1701002559569,89,2.7421754
WLDUSDT,BUY,LIMIT,1701002560597,110,2.7430791
WLDUSDT,BUY,LIMIT,1701002597296,162,2.7460570
WLDUSDT,BUY,LIMIT,1701002601505,13,2.7490285
WLDUSDT,BUY,LIMIT,1701002610814,312,2.7536882
WLDUSDT,BUY,LIMIT,1701002987410,297,2.7495646
WLDUSDT,BUY,LIMIT,1701003286492,58,2.7566783
WLDUSDT,BUY,LIMIT,1701003292535,26,2.7583346
WLDUSDT,SELL,LIMIT,1701004967294,4,2.6777341
WLDUSDT,SELL,LIMIT,1701005080202,392,2.6746507
WLDUSDT,SELL,LIMIT,1701005081476,9,2.6742628
WLDUSDT,SELL,LIMIT,1701005211380,24,2.6690906
WLDUSDT,SELL,LIMIT,1701005464323,7,2.6662499
WLDUSDT,SELL,LIMIT,1701005465801,527,2.6638183
WLDUSDT,BUY,LIMIT,1701005561379,758,2.7443406
WLDUSDT,BUY,LIMIT,1701005720424,284,2.7515718
WLDUSDT,BUY,LIMIT,1701005737232,17,2.7576670
WLDUSDT,SELL,LIMIT,1701007209792,182,2.6708548
WLDUSDT,SELL,LIMIT,1701007262955,865,2.6632515
WLDUSDT,SELL,LIMIT,1701007264484,8,2.6630700
WLDUSDT,SELL,LIMIT,1701007269207,92,2.6606435
WLDUSDT,SELL,LIMIT,1701007270510,83,2.6557793
WLDUSDT,SELL,LIMIT,1701007278305,320,2.6519876
WLDUSDT,SELL,LIMIT,1701007283470,35,2.6463299
WLDUSDT,SELL,LIMIT,1701007323570,38,2.6444766
WLDUSDT,SELL,LIMIT,1701007331189,342,2.6436920
WLDUSDT,SELL,LIMIT,1701007332888,839,2.6413569
WLDUSDT,SELL,LIMIT,1701007392672,555,2.6400985
WLDUSDT,SELL,LIMIT,1701007396037,50,2.6376941
WLDUSDT,SELL,LIMIT,1701007397656,101,2.6359502
WLDUSDT,SELL,LIMIT,1701007399663,65,2.6355426
WLDUSDT,SELL,LIMIT,1701007402623,7,2.6333666
WLDUSDT,SELL,LIMIT,1701007404047,12,2.6327867
WLDUSDT,SELL,LIMIT,1701007405322,456,2.6326991
WLDUSDT,SELL,LIMIT,1701007406323,172,2.6321360
WLDUSDT,SELL,LIMIT,1701007417515,45,2.6278561
WLDUSDT,SELL,LIMIT,1701007418795,191,2.6277770
WLDUSDT,SELL,LIMIT,1701007535684,100,2.6269361
WLDUSDT,SELL,LIMIT,1701007621888,587,2.6365489
WLDUSDT,SELL,LIMIT,1701007942550,8,2.6248806
WLDUSDT,SELL,LIMIT,1701008179533,2469,2.6524641
WLDUSDT,SELL,LIMIT,1701008339088,31,2.6208860
WLDUSDT,SELL,LIMIT,1701008411331,70,2.6191320
WLDUSDT,SELL,LIMIT,1701008419778,152,2.6183987
WLDUSDT,SELL,LIMIT,1701008421646,912,2.6166691
WLDUSDT,SELL,LIMIT,1701008426044,10,2.6164246
WLDUSDT,SELL,LIMIT,1701008431478,39,2.6133639
WLDUSDT,SELL,LIMIT,1701008432485,5,2.6139019
WLDUSDT,SELL,LIMIT,1701008433512,21,2.5988425
WLDUSDT,SELL,LIMIT,1701008434548,731,2.5940994
WLDUSDT,SELL,LIMIT,1701008438785,618,2.5967938
