Symbol,Side,Order Type,Time,Quantity,Price
XEMUSDT,SELL,LIMIT,1701069890154,1473,0.0346
XEMUSDT,SELL,LIMIT,1701082689291,12200,0.0340
XEMUSDT,SELL,LIMIT,1701082693335,7300,0.0339
XEMUSDT,SELL,LIMIT,1701082721018,20183,0.0339
XEMUSDT,SELL,LIMIT,1701114248664,12525,0.0339
XEMUSDT,SELL,LIMIT,1701114344033,16042,0.0338
XEMUSDT,SELL,LIMIT,1701114352848,207,0.0337
XEMUSDT,SELL,LIMIT,1701149847215,13163,0.0335
XEMUSDT,BUY,LIMIT,1701187205737,57519,0.0358
XEMUSDT,BUY,LIMIT,1701189045551,1409,0.0359
XEMUSDT,BUY,LIMIT,1701197853681,2824,0.0361
XEMUSDT,SELL,LIMIT,1701253157596,19956,0.0355
