Symbol,Side,Order Type,Time,Quantity,Price
XMRUSDT,SELL,LIMIT,1700995902727,0.054,169.26
XMRUSDT,SELL,LIMIT,1700995940351,3.095,169.16
XMRUSDT,SELL,LIMIT,1700995968397,0.289,169.12
XMRUSDT,SELL,LIMIT,1700996182202,0.403,168.88
XMRUSDT,BUY,LIMIT,1701004474195,14.602,174.38
XMRUSDT,SELL,LIMIT,1701008440443,0.425,167.93
XMRUSDT,SELL,LIMIT,1701009015378,0.024,167.59
XMRUSDT,SELL,LIMIT,1701013055152,0.324,167.39
XMRUSDT,SELL,LIMIT,1701013737616,4.383,166.82
XMRUSDT,SELL,LIMIT,1701013739098,9.602,166.80
XMRUSDT,SELL,LIMIT,1701013934100,1.422,166.67
XMRUSDT,SELL,LIMIT,1701014063375,0.801,166.54
XMRUSDT,SELL,LIMIT,1701015684297,1.452,166.04
XMRUSDT,SELL,LIMIT,1701015747339,0.060,165.95
XMRUSDT,SELL,LIMIT,1701015874158,0.400,165.84
XMRUSDT,SELL,LIMIT,1701016031196,0.457,166.02
XMRUSDT,SELL,LIMIT,1701016046206,2.386,165.70
XMRUSDT,SELL,LIMIT,1701016047679,0.117,165.66
XMRUSDT,SELL,LIMIT,1701016089189,59.250,165.61
XMRUSDT,SELL,LIMIT,1701016093466,0.078,165.59
XMRUSDT,SELL,LIMIT,1701016095572,0.030,165.57
XMRUSDT,SELL,LIMIT,1701016100061,0.370,165.52
XMRUSDT,BUY,LIMIT,1701030221087,3.752,173.63
XMRUSDT,BUY,LIMIT,1701030283371,0.570,173.68
XMRUSDT,SELL,LIMIT,1701033602122,0.069,167.19
XMRUSDT,SELL,LIMIT,1701043278848,0.065,166.89
XMRUSDT,SELL,LIMIT,1701048630164,0.109,166.35
XMRUSDT,SELL,LIMIT,1701048696003,0.997,166.13
XMRUSDT,SELL,LIMIT,1701049374904,11.677,165.77
XMRUSDT,SELL,LIMIT,1701051110421,1.419,164.85
XMRUSDT,SELL,LIMIT,1701051528598,4.678,164.71
XMRUSDT,SELL,LIMIT,1701053076041,1.437,164.34
XMRUSDT,SELL,LIMIT,1701053103052,3.160,163.97
XMRUSDT,BUY,LIMIT,1701054363934,2.403,168.96
XMRUSDT,BUY,LIMIT,1701055191998,0.438,168.92
XMRUSDT,BUY,LIMIT,1701056940959,0.299,170.23
XMRUSDT,BUY,LIMIT,1701062190889,1.058,172.65
