Symbol,Side,Order Type,Time,Quantity,Price
XRPUSDT,BUY,LIMIT,1700849372911,1001.6,0.6223
XRPUSDT,SELL,LIMIT,1700851250038,630.7,0.6159
XRPUSDT,SELL,LIMIT,1700852905768,112.7,0.6158
XRPUSDT,SELL,LIMIT,1700852934539,37.4,0.6149
XRPUSDT,SELL,LIMIT,1700852958599,8.3,0.6146
XRPUSDT,SELL,LIMIT,1700853756101,154.3,0.6143
XRPUSDT,BUY,LIMIT,1700859425729,328.2,0.6245
XRPUSDT,BUY,LIMIT,1700859798836,1299.9,0.6251
XRPUSDT,BUY,LIMIT,1700860307549,52.3,0.6255
XRPUSDT,BUY,LIMIT,1700861892816,98.5,0.6252
XRPUSDT,SELL,LIMIT,1700863948750,569.1,0.6169
XRPUSDT,SELL,LIMIT,1700863950369,173.1,0.6153
XRPUSDT,SELL,LIMIT,1700863951603,1614.2,0.6153
XRPUSDT,SELL,LIMIT,1700863960292,78.5,0.6155
XRPUSDT,SELL,LIMIT,1700863963261,953.9,0.6147
XRPUSDT,SELL,LIMIT,1700865548582,602.9,0.6184
XRPUSDT,SELL,LIMIT,1700867182671,1033.3,0.6169
XRPUSDT,SELL,LIMIT,1700867200450,16.4,0.6170
XRPUSDT,SELL,LIMIT,1700867356115,131.3,0.6216
XRPUSDT,SELL,LIMIT,1700870568105,12.6,0.6175
XRPUSDT,SELL,LIMIT,1700870626456,6385.3,0.6170
XRPUSDT,SELL,LIMIT,1700870631105,190.5,0.6173
XRPUSDT,SELL,LIMIT,1700870645916,253.2,0.6168
XRPUSDT,SELL,LIMIT,1700870647752,147.3,0.6167
XRPUSDT,SELL,LIMIT,1700874226140,97.0,0.6167
XRPUSDT,BUY,LIMIT,1700876187969,2181.3,0.6226
XRPUSDT,BUY,LIMIT,1700876314027,257.8,0.6223
XRPUSDT,BUY,LIMIT,1700877272223,9.7,0.6244
XRPUSDT,BUY,LIMIT,1700877555630,404.0,0.6242
XRPUSDT,BUY,LIMIT,1700879771382,186.8,0.6251
XRPUSDT,BUY,LIMIT,1700880832349,1781.7,0.6261
XRPUSDT,BUY,LIMIT,1700880977090,24.9,0.6263
XRPUSDT,BUY,LIMIT,1700881022744,969.7,0.6264
XRPUSDT,BUY,LIMIT,1700883087399,3771.6,0.6256
XRPUSDT,SELL,LIMIT,1700883435239,1184.3,0.6195
XRPUSDT,BUY,LIMIT,1700883863139,1296.8,0.6248
XRPUSDT,BUY,LIMIT,1700884057785,1200.0,0.6250
XRPUSDT,SELL,LIMIT,1700890088659,3511.1,0.6170
XRPUSDT,SELL,LIMIT,1700894160366,935.1,0.6202
XRPUSDT,BUY,LIMIT,1700896222544,1338.8,0.6245
XRPUSDT,SELL,LIMIT,1700897676049,38.4,0.6192
XRPUSDT,SELL,LIMIT,1700899202756,277010.0,0.6121
XRPUSDT,SELL,LIMIT,1700899384737,381.2,0.6200
XRPUSDT,BUY,LIMIT,1700900707187,185.9,0.6248
XRPUSDT,SELL,LIMIT,1700901198811,70.9,0.6191
XRPUSDT,SELL,LIMIT,1700905250076,20.9,0.6187
XRPUSDT,SELL,LIMIT,1700906211239,297.5,0.6187
XRPUSDT,SELL,LIMIT,1700908590799,1824.9,0.6155
XRPUSDT,SELL,LIMIT,1700909038311,522.8,0.6158
XRPUSDT,SELL,LIMIT,1700909488011,1343.1,0.6162
XRPUSDT,SELL,LIMIT,1700911312522,1203.0,0.6151
XRPUSDT,SELL,LIMIT,1700911315309,46.0,0.6148
XRPUSDT,SELL,LIMIT,1700911316929,416.2,0.6148
XRPUSDT,SELL,LIMIT,1700911354557,8033.4,0.6147
