Symbol,Side,Order Type,Time,Quantity,Price
ZRXUSDT,SELL,LIMIT,1701067856305,640.0,0.3828
ZRXUSDT,SELL,LIMIT,1701067863420,12.9,0.3826
ZRXUSDT,SELL,LIMIT,1701068114902,994.5,0.3818
ZRXUSDT,SELL,LIMIT,1701068995197,15.0,0.3821
ZRXUSDT,BUY,LIMIT,1701068996261,85.6,0.3937
ZRXUSDT,SELL,LIMIT,1701069518386,685.0,0.3805
ZRXUSDT,SELL,LIMIT,1701069523956,100.0,0.3806
ZRXUSDT,SELL,LIMIT,1701069635740,2450.8,0.3793
ZRXUSDT,SELL,LIMIT,1701069801188,2325.0,0.3781
ZRXUSDT,SELL,LIMIT,1701069802261,48.8,0.3782
ZRXUSDT,SELL,LIMIT,1701069809224,64.2,0.3782
ZRXUSDT,SELL,LIMIT,1701069810892,741.8,0.3785
ZRXUSDT,SELL,LIMIT,1701069832442,2484.3,0.3776
ZRXUSDT,SELL,LIMIT,1701069836712,2628.8,0.3774
ZRXUSDT,SELL,LIMIT,1701069838107,472.5,0.3770
ZRXUSDT,SELL,LIMIT,1701069842110,2551.2,0.3770
ZRXUSDT,SELL,LIMIT,1701069850334,25.8,0.3770
ZRXUSDT,SELL,LIMIT,1701069851935,9162.1,0.3769
ZRXUSDT,SELL,LIMIT,1701069859642,58.0,0.3767
ZRXUSDT,SELL,LIMIT,1701069884235,240.9,0.3758
ZRXUSDT,SELL,LIMIT,1701069901815,87.0,0.3754
ZRXUSDT,SELL,LIMIT,1701070435317,1669.6,0.3769
ZRXUSDT,SELL,LIMIT,1701070439512,240.6,0.3766
ZRXUSDT,SELL,LIMIT,1701074163329,103.4,0.3816
ZRXUSDT,SELL,LIMIT,1701074371183,6750.7,0.3816
ZRXUSDT,SELL,LIMIT,1701074467766,860.6,0.3814
ZRXUSDT,SELL,LIMIT,1701080955658,31.1,0.3788
ZRXUSDT,SELL,LIMIT,1701081434067,15477.8,0.3773
ZRXUSDT,SELL,LIMIT,1701081488037,2368.5,0.3768
ZRXUSDT,BUY,LIMIT,1701081499222,0.2,0.3881
ZRXUSDT,SELL,LIMIT,1701082606228,11021.7,0.3774
ZRXUSDT,SELL,LIMIT,1701082728100,1771.0,0.3751
ZRXUSDT,BUY,LIMIT,1701089348048,144.9,0.3940
ZRXUSDT,SELL,LIMIT,1701092455059,379.7,0.3806
ZRXUSDT,SELL,LIMIT,1701092526169,6962.5,0.3804
ZRXUSDT,SELL,LIMIT,1701092654625,47.0,0.3802
ZRXUSDT,BUY,LIMIT,1701093675367,306.7,0.3940
ZRXUSDT,SELL,LIMIT,1701095377707,437.0,0.3838
ZRXUSDT,SELL,LIMIT,1701097095103,2516.3,0.3783
ZRXUSDT,BUY,LIMIT,1701097672198,3100.7,0.3939
ZRXUSDT,SELL,LIMIT,1701100150149,3290.6,0.3801
ZRXUSDT,SELL,LIMIT,1701100564389,765.4,0.3796
ZRXUSDT,SELL,LIMIT,1701100571270,7379.2,0.3794
ZRXUSDT,BUY,LIMIT,1701105033079,600.0,0.3965
ZRXUSDT,BUY,LIMIT,1701108618330,550.0,0.3960
ZRXUSDT,SELL,LIMIT,1701111072635,128.9,0.3840
ZRXUSDT,SELL,LIMIT,1701111252194,495.1,0.3817
ZRXUSDT,SELL,LIMIT,1701111581054,3048.7,0.3816
ZRXUSDT,SELL,LIMIT,1701112179894,10823.9,0.3797
ZRXUSDT,SELL,LIMIT,1701114045029,1260.6,0.3811
ZRXUSDT,SELL,LIMIT,1701114140694,34.0,0.3811
ZRXUSDT,SELL,LIMIT,1701114275870,23.5,0.3791
ZRXUSDT,SELL,LIMIT,1701114353198,350.1,0.3788
ZRXUSDT,SELL,LIMIT,1701114463769,31.2,0.3786
ZRXUSDT,SELL,LIMIT,1701114467277,4642.0,0.3786
ZRXUSDT,SELL,LIMIT,1701114474178,371.9,0.3785
ZRXUSDT,SELL,LIMIT,1701114477821,800.7,0.3782
ZRXUSDT,SELL,LIMIT,1701114496461,255.9,0.3777
ZRXUSDT,SELL,LIMIT,1701116993921,444.3,0.3785
ZRXUSDT,BUY,LIMIT,1701120826006,244.3,0.3950
ZRXUSDT,SELL,LIMIT,1701121739123,4579.8,0.3974
ZRXUSDT,BUY,LIMIT,1701122231136,752.2,0.3933
ZRXUSDT,BUY,LIMIT,1701126094002,2584.4,0.3960
ZRXUSDT,BUY,LIMIT,1701126331462,643.1,0.3963
ZRXUSDT,BUY,LIMIT,1701127500246,279.4,0.3975
ZRXUSDT,BUY,LIMIT,1701132928847,787.6,0.3976
ZRXUSDT,SELL,LIMIT,1701137002416,145.0,0.3805
ZRXUSDT,SELL,LIMIT,1701143936236,596.5,0.3774
