Timestamp,TopRatioAcc,TopLongAcc, TopShortAcc, TopRatioPos, TopLongPos, TopShortPos, GlobalRatioAcc, GlobalLongAcc, GlobalShortAcc, BuySellRatio, BuyVol, SelVol
1700695500000,3.1,0.7561,0.2439,1.4775,0.5964,0.4036,3.3215,0.7686,0.2314,1.5628,41371.0,26472.0
1700695800000,3.08,0.7549,0.2451,1.4787,0.5966,0.4034,3.344,0.7698,0.2302,1.5628,41371.0,26472.0
1700696100000,3.1017,0.7562,0.2438,1.4784,0.5965,0.4035,3.363,0.7708,0.2292,1.5628,41371.0,26472.0
1700696400000,3.1085,0.7566,0.2434,1.4787,0.5966,0.4034,3.3516,0.7702,0.2298,1.5628,41371.0,26472.0
1700696700000,3.1085,0.7566,0.2434,1.4802,0.5968,0.4032,3.344,0.7698,0.2302,1.5628,41371.0,26472.0
1700697000000,3.09,0.7555,0.2445,1.4792,0.5966,0.4034,3.3459,0.7699,0.2301,1.5628,41371.0,26472.0
1700697300000,3.1017,0.7562,0.2438,1.4787,0.5966,0.4034,3.2753,0.7661,0.2339,1.5628,41371.0,26472.0
1700697600000,3.0502,0.7531,0.2469,1.4868,0.5979,0.4021,3.2845,0.7666,0.2334,1.5628,41371.0,26472.0
1700697900000,3.0535,0.7533,0.2467,1.4847,0.5975,0.4025,3.3048,0.7677,0.2323,1.5628,41371.0,26472.0
1700698200000,3.0717,0.7544,0.2456,1.4845,0.5975,0.4025,3.3802,0.7717,0.2283,1.5628,41371.0,26472.0
1700698500000,3.1477,0.7589,0.2411,1.4832,0.5973,0.4027,3.363,0.7708,0.2292,1.5628,41371.0,26472.0
1700698800000,3.1408,0.7585,0.2415,1.4862,0.5978,0.4022,3.4444,0.775,0.225,1.5628,41371.0,26472.0
1700699100000,3.2159,0.7628,0.2372,1.4841,0.5974,0.4026,3.4287,0.7742,0.2258,1.5628,41371.0,26472.0
1700699400000,3.2248,0.7633,0.2367,1.4845,0.5975,0.4025,3.4464,0.7751,0.2249,1.5628,41371.0,26472.0
1700699700000,3.2337,0.7638,0.2362,1.4815,0.597,0.403,3.4405,0.7748,0.2252,1.5628,41371.0,26472.0
1700700000000,3.2123,0.7626,0.2374,1.4835,0.5973,0.4027,3.4484,0.7752,0.2248,1.5628,41371.0,26472.0
1700700300000,3.2283,0.7635,0.2365,1.4837,0.5974,0.4026,3.4863,0.7771,0.2229,1.5628,41371.0,26472.0
1700700600000,3.2735,0.766,0.234,1.4805,0.5969,0.4031,3.4763,0.7766,0.2234,1.5628,41371.0,26472.0
1700700900000,3.2808,0.7664,0.2336,1.4805,0.5969,0.4031,3.4984,0.7777,0.2223,1.5628,41371.0,26472.0
1700701200000,3.2937,0.7671,0.2329,1.4776,0.5964,0.4036,3.4723,0.7764,0.2236,1.5628,41371.0,26472.0
1700701500000,3.3066,0.7678,0.2322,1.4782,0.5965,0.4035,3.4723,0.7764,0.2236,1.5628,41371.0,26472.0
1700701800000,3.2918,0.767,0.233,1.4802,0.5968,0.4032,3.5065,0.7781,0.2219,1.5628,41371.0,26472.0
1700702100000,3.3066,0.7678,0.2322,1.4774,0.5964,0.4036,3.4783,0.7767,0.2233,1.5628,41371.0,26472.0
1700702400000,3.29,0.7669,0.2331,1.4745,0.5959,0.4041,3.5005,0.7778,0.2222,1.5628,41371.0,26472.0
1700702700000,3.2974,0.7673,0.2327,1.472,0.5955,0.4045,3.5269,0.7791,0.2209,1.5628,41371.0,26472.0
1700703000000,3.3178,0.7684,0.2316,1.4721,0.5955,0.4045,3.4663,0.7761,0.2239,1.5628,41371.0,26472.0
1700703300000,3.2918,0.767,0.233,1.4763,0.5962,0.4038,3.4823,0.7769,0.2231,1.5628,41371.0,26472.0
1700703600000,3.3029,0.7676,0.2324,1.4768,0.5963,0.4037,3.4823,0.7769,0.2231,1.5628,41371.0,26472.0
1700703900000,3.3029,0.7676,0.2324,1.4767,0.5962,0.4038,3.4663,0.7761,0.2239,1.5628,41371.0,26472.0
1700704200000,3.2955,0.7672,0.2328,1.4767,0.5962,0.4038,3.4843,0.777,0.223,1.5628,41371.0,26472.0
1700704500000,3.3048,0.7677,0.2323,1.4743,0.5958,0.4042,3.4944,0.7775,0.2225,1.5628,41371.0,26472.0
1700704800000,3.3029,0.7676,0.2324,1.4728,0.5956,0.4044,3.4464,0.7751,0.2249,1.5628,41371.0,26472.0
1700705100000,3.2463,0.7645,0.2355,1.4744,0.5959,0.4041,3.4623,0.7759,0.2241,1.5628,41371.0,26472.0
1700705400000,3.2535,0.7649,0.2351,1.5572,0.6089,0.3911,3.4366,0.7746,0.2254,1.5628,41371.0,26472.0
1700705700000,3.3122,0.7681,0.2319,1.5593,0.6093,0.3907,3.4346,0.7745,0.2255,1.5628,41371.0,26472.0
1700706000000,3.3122,0.7681,0.2319,1.5607,0.6095,0.3905,3.4504,0.7753,0.2247,1.5628,41371.0,26472.0
1700706300000,3.3159,0.7683,0.2317,1.5592,0.6092,0.3908,3.4425,0.7749,0.2251,1.5628,41371.0,26472.0
1700706600000,3.3309,0.7691,0.2309,1.5615,0.6096,0.3904,3.3917,0.7723,0.2277,1.5628,41371.0,26472.0
1700706900000,3.2918,0.767,0.233,1.564,0.61,0.39,3.4209,0.7738,0.2262,1.5628,41371.0,26472.0
1700707200000,3.3159,0.7683,0.2317,1.5628,0.6098,0.3902,3.4131,0.7734,0.2266,1.5628,41371.0,26472.0
1700707500000,3.3215,0.7686,0.2314,1.5639,0.61,0.39,3.4543,0.7755,0.2245,1.5628,41371.0,26472.0
1700707800000,3.3346,0.7693,0.2307,1.5605,0.6095,0.3905,3.4346,0.7745,0.2255,1.5628,41371.0,26472.0
1700708100000,3.3141,0.7682,0.2318,1.5592,0.6093,0.3907,3.4663,0.7761,0.2239,1.5628,41371.0,26472.0
1700708400000,3.3459,0.7699,0.2301,1.5607,0.6095,0.3905,3.4823,0.7769,0.2231,1.5628,41371.0,26472.0
1700708700000,3.3592,0.7706,0.2294,1.5585,0.6091,0.3909,3.4803,0.7768,0.2232,1.5628,41371.0,26472.0
1700709000000,3.3554,0.7704,0.2296,1.5556,0.6087,0.3913,3.4543,0.7755,0.2245,1.5628,41371.0,26472.0
1700709300000,3.3365,0.7694,0.2306,1.557,0.6089,0.3911,3.4131,0.7734,0.2266,1.5628,41371.0,26472.0
1700709600000,3.29,0.7669,0.2331,1.5543,0.6085,0.3915,3.4072,0.7731,0.2269,1.5628,41371.0,26472.0
1700709900000,3.2845,0.7666,0.2334,1.5524,0.6082,0.3918,3.4326,0.7744,0.2256,1.5628,41371.0,26472.0
1700710200000,3.3159,0.7683,0.2317,1.554,0.6085,0.3915,3.4643,0.776,0.224,1.5628,41371.0,26472.0
1700710500000,3.3422,0.7697,0.2303,1.5524,0.6082,0.3918,3.4843,0.777,0.223,1.5628,41371.0,26472.0
1700710800000,3.3573,0.7705,0.2295,1.5502,0.6079,0.3921,3.4863,0.7771,0.2229,1.5628,41371.0,26472.0
1700711100000,3.3478,0.77,0.23,1.5519,0.6081,0.3919,3.4703,0.7763,0.2237,1.5628,41371.0,26472.0
1700712300000,3.3516,0.7702,0.2298,1.5555,0.6087,0.3913,3.4643,0.776,0.224,1.5628,41371.0,26472.0
1700712600000,3.3271,0.7689,0.2311,1.5542,0.6085,0.3915,3.4366,0.7746,0.2254,1.5628,41371.0,26472.0
1700712900000,3.2974,0.7673,0.2327,1.5554,0.6087,0.3913,3.4287,0.7742,0.2258,1.5628,41371.0,26472.0
1700713200000,3.3029,0.7676,0.2324,1.5584,0.6091,0.3909,3.4346,0.7745,0.2255,1.5628,41371.0,26472.0
1700713500000,3.2918,0.767,0.233,1.5563,0.6088,0.3912,3.4405,0.7748,0.2252,1.5628,41371.0,26472.0
1700713800000,3.29,0.7669,0.2331,1.5556,0.6087,0.3913,3.4743,0.7765,0.2235,1.5628,41371.0,26472.0
1700714100000,3.3085,0.7679,0.2321,1.5501,0.6079,0.3921,3.4823,0.7769,0.2231,1.5628,41371.0,26472.0
1700714400000,3.3178,0.7684,0.2316,1.5505,0.6079,0.3921,3.5005,0.7778,0.2222,1.5628,41371.0,26472.0
1700714700000,3.329,0.769,0.231,1.5374,0.6059,0.3941,3.5351,0.7795,0.2205,1.5628,41371.0,26472.0
1700715000000,3.386,0.772,0.228,1.5378,0.606,0.394,3.5331,0.7794,0.2206,1.5628,41371.0,26472.0
1700715300000,3.384,0.7719,0.2281,1.5383,0.606,0.394,3.5065,0.7781,0.2219,1.5628,41371.0,26472.0
1700715600000,3.3611,0.7707,0.2293,1.5375,0.6059,0.3941,3.5005,0.7778,0.2222,1.5628,41371.0,26472.0
1700715900000,3.3592,0.7706,0.2294,1.5376,0.6059,0.3941,3.5208,0.7788,0.2212,1.5628,41371.0,26472.0
1700716200000,3.3592,0.7706,0.2294,1.5359,0.6057,0.3943,3.5086,0.7782,0.2218,1.5628,41371.0,26472.0
1700716500000,3.3365,0.7694,0.2306,1.5355,0.6056,0.3944,3.5086,0.7782,0.2218,1.5628,41371.0,26472.0
1700716800000,3.3573,0.7705,0.2295,1.5377,0.6059,0.3941,3.4763,0.7766,0.2234,1.5628,41371.0,26472.0
1700717100000,3.3234,0.7687,0.2313,1.5393,0.6062,0.3938,3.4903,0.7773,0.2227,1.5628,41371.0,26472.0
1700717400000,3.3066,0.7678,0.2322,1.537,0.6058,0.3942,3.4743,0.7765,0.2235,1.5628,41371.0,26472.0
1700717700000,3.2937,0.7671,0.2329,1.5373,0.6059,0.3941,3.4823,0.7769,0.2231,1.5628,41371.0,26472.0
1700718000000,3.3048,0.7677,0.2323,1.5407,0.6064,0.3936,3.4663,0.7761,0.2239,1.5628,41371.0,26472.0
1700718300000,3.3141,0.7682,0.2318,1.5437,0.6069,0.3931,3.4863,0.7771,0.2229,1.5628,41371.0,26472.0
1700718600000,3.3253,0.7688,0.2312,1.5451,0.6071,0.3929,3.4703,0.7763,0.2237,1.5628,41371.0,26472.0
1700718900000,3.3141,0.7682,0.2318,1.5402,0.6063,0.3937,3.4863,0.7771,0.2229,1.5628,41371.0,26472.0
1700719200000,3.3478,0.77,0.23,1.5429,0.6067,0.3933,3.4843,0.777,0.223,1.5628,41371.0,26472.0
1700719500000,3.3535,0.7703,0.2297,1.5401,0.6063,0.3937,3.4984,0.7777,0.2223,1.5628,41371.0,26472.0
1700719800000,3.3802,0.7717,0.2283,1.5421,0.6066,0.3934,3.5065,0.7781,0.2219,1.5628,41371.0,26472.0
1700720100000,3.3554,0.7704,0.2296,1.5384,0.606,0.394,3.4944,0.7775,0.2225,1.5628,41371.0,26472.0
1700720400000,3.363,0.7708,0.2292,1.5388,0.6061,0.3939,3.5086,0.7782,0.2218,1.5628,41371.0,26472.0
1700720700000,3.3706,0.7712,0.2288,1.5388,0.6061,0.3939,3.5045,0.778,0.222,1.5628,41371.0,26472.0
1700721000000,3.3668,0.771,0.229,1.5333,0.6053,0.3947,3.4763,0.7766,0.2234,1.5628,41371.0,26472.0
1700721300000,3.3497,0.7701,0.2299,1.5426,0.6067,0.3933,3.4763,0.7766,0.2234,1.5628,41371.0,26472.0
1700721600000,3.3403,0.7696,0.2304,1.5419,0.6066,0.3934,3.4863,0.7771,0.2229,1.5628,41371.0,26472.0
1700721900000,3.344,0.7698,0.2302,1.5379,0.606,0.394,3.4683,0.7762,0.2238,1.5628,41371.0,26472.0
1700722200000,3.3309,0.7691,0.2309,1.5386,0.6061,0.3939,3.4863,0.7771,0.2229,1.5628,41371.0,26472.0
1700722500000,3.3649,0.7709,0.2291,1.5398,0.6063,0.3937,3.4903,0.7773,0.2227,1.5628,41371.0,26472.0
1700722800000,3.3649,0.7709,0.2291,1.54,0.6063,0.3937,3.4964,0.7776,0.2224,1.5628,41371.0,26472.0
1700723100000,3.3554,0.7704,0.2296,1.5371,0.6058,0.3942,3.4703,0.7763,0.2237,1.5628,41371.0,26472.0
1700723400000,3.3668,0.771,0.229,1.5362,0.6057,0.3943,3.4703,0.7763,0.2237,1.5628,41371.0,26472.0
1700723700000,3.3668,0.771,0.229,1.5366,0.6058,0.3942,3.4863,0.7771,0.2229,1.5628,41371.0,26472.0
1700724000000,3.3649,0.7709,0.2291,1.5359,0.6057,0.3943,3.4803,0.7768,0.2232,1.5628,41371.0,26472.0
1700724300000,3.363,0.7708,0.2292,1.5379,0.606,0.394,3.4543,0.7755,0.2245,1.5628,41371.0,26472.0
1700724600000,3.3328,0.7692,0.2308,1.538,0.606,0.394,3.4663,0.7761,0.2239,1.5628,41371.0,26472.0
1700724900000,3.3403,0.7696,0.2304,1.5387,0.6061,0.3939,3.4425,0.7749,0.2251,1.5628,41371.0,26472.0
1700725200000,3.3365,0.7694,0.2306,1.5462,0.6073,0.3927,3.4464,0.7751,0.2249,1.5628,41371.0,26472.0
1700725500000,3.3365,0.7694,0.2306,1.546,0.6072,0.3928,3.4603,0.7758,0.2242,1.5628,41371.0,26472.0
1700725800000,3.3516,0.7702,0.2298,1.5459,0.6072,0.3928,3.4623,0.7759,0.2241,1.5628,41371.0,26472.0
1700726100000,3.3478,0.77,0.23,1.5464,0.6073,0.3927,3.5106,0.7783,0.2217,1.5628,41371.0,26472.0
1700726400000,3.3995,0.7727,0.2273,1.5421,0.6066,0.3934,3.5372,0.7796,0.2204,1.5628,41371.0,26472.0
1700726700000,3.3995,0.7727,0.2273,1.5407,0.6064,0.3936,3.5147,0.7785,0.2215,1.5628,41371.0,26472.0
1700727000000,3.4053,0.773,0.227,1.5416,0.6065,0.3935,3.4964,0.7776,0.2224,1.5628,41371.0,26472.0
1700727300000,3.3821,0.7718,0.2282,1.5376,0.6059,0.3941,3.5188,0.7787,0.2213,1.5628,41371.0,26472.0
1700727600000,3.3802,0.7717,0.2283,1.5368,0.6058,0.3942,3.5147,0.7785,0.2215,1.5628,41371.0,26472.0
1700727900000,3.3764,0.7715,0.2285,1.5427,0.6067,0.3933,3.5188,0.7787,0.2213,1.5628,41371.0,26472.0
1700728200000,3.3611,0.7707,0.2293,1.5441,0.6069,0.3931,3.5496,0.7802,0.2198,1.5628,41371.0,26472.0
1700728500000,3.3995,0.7727,0.2273,1.545,0.6071,0.3929,3.5809,0.7817,0.2183,1.5628,41371.0,26472.0
1700728800000,3.4072,0.7731,0.2269,1.5442,0.607,0.393,3.5393,0.7797,0.2203,1.5628,41371.0,26472.0
1700729100000,3.4189,0.7737,0.2263,1.5468,0.6073,0.3927,3.5496,0.7802,0.2198,1.5628,41371.0,26472.0
1700729400000,3.4209,0.7738,0.2262,1.5479,0.6075,0.3925,3.5372,0.7796,0.2204,1.5628,41371.0,26472.0
1700729700000,3.3821,0.7718,0.2282,1.5469,0.6074,0.3926,3.5537,0.7804,0.2196,1.5628,41371.0,26472.0
1700730000000,3.4228,0.7739,0.2261,1.5471,0.6074,0.3926,3.5558,0.7805,0.2195,1.5628,41371.0,26472.0
1700730300000,3.4563,0.7756,0.2244,1.5487,0.6076,0.3924,3.5704,0.7812,0.2188,1.5628,41371.0,26472.0
1700730600000,3.4484,0.7752,0.2248,1.5481,0.6075,0.3925,3.5914,0.7822,0.2178,1.5628,41371.0,26472.0
1700730900000,3.4663,0.7761,0.2239,1.551,0.608,0.392,3.5579,0.7806,0.2194,1.5628,41371.0,26472.0
1700731200000,3.4504,0.7753,0.2247,1.551,0.608,0.392,3.583,0.7818,0.2182,1.5628,41371.0,26472.0
1700731500000,3.4823,0.7769,0.2231,1.5534,0.6084,0.3916,3.6019,0.7827,0.2173,1.5628,41371.0,26472.0
1700731800000,3.4964,0.7776,0.2224,1.5529,0.6083,0.3917,3.5956,0.7824,0.2176,1.5628,41371.0,26472.0
1700732100000,3.4843,0.777,0.223,1.5542,0.6085,0.3915,3.5935,0.7823,0.2177,1.5628,41371.0,26472.0
1700732400000,3.4683,0.7762,0.2238,1.5525,0.6082,0.3918,3.5956,0.7824,0.2176,1.5628,41371.0,26472.0
1700732700000,3.4583,0.7757,0.2243,1.5506,0.6079,0.3921,3.6104,0.7831,0.2169,1.5628,41371.0,26472.0
1700733000000,3.4763,0.7766,0.2234,1.5506,0.6079,0.3921,3.5914,0.7822,0.2178,1.5628,41371.0,26472.0
1700733300000,3.4444,0.775,0.225,1.5447,0.607,0.393,3.5977,0.7825,0.2175,1.5628,41371.0,26472.0
1700733600000,3.4603,0.7758,0.2242,1.545,0.6071,0.3929,3.5683,0.7811,0.2189,1.5628,41371.0,26472.0
