Timestamp,TopRatioAcc,TopLongAcc, TopShortAcc, TopRatioPos, TopLongPos, TopShortPos, GlobalRatioAcc, GlobalLongAcc, GlobalShortAcc, BuySellRatio, BuyVol, SelVol
1700642100000,1.3348,0.5717,0.4283,1.3548,0.5753,0.4247,1.4284,0.5882,0.4118,1.5981,1422.3000,890.0000
1700642400000,1.3250,0.5699,0.4301,1.3545,0.5753,0.4247,1.4254,0.5877,0.4123,1.5981,1422.3000,890.0000
1700642700000,1.3326,0.5713,0.4287,1.3546,0.5753,0.4247,1.4349,0.5893,0.4107,1.5981,1422.3000,890.0000
1700643000000,1.3164,0.5683,0.4317,1.3528,0.5750,0.4250,1.4254,0.5877,0.4123,1.5981,1422.3000,890.0000
1700643300000,1.3196,0.5689,0.4311,1.3528,0.5750,0.4250,1.4295,0.5884,0.4116,1.5981,1422.3000,890.0000
1700643600000,1.2341,0.5524,0.4476,1.3502,0.5745,0.4255,1.3579,0.5759,0.4241,1.5981,1422.3000,890.0000
1700643900000,1.2173,0.5490,0.4510,1.3540,0.5752,0.4248,1.3502,0.5745,0.4255,1.5981,1422.3000,890.0000
1700644200000,1.2134,0.5482,0.4518,1.3484,0.5742,0.4258,1.3552,0.5754,0.4246,1.5981,1422.3000,890.0000
1700644500000,1.2158,0.5487,0.4513,1.3486,0.5742,0.4258,1.3513,0.5747,0.4253,1.5981,1422.3000,890.0000
1700644800000,1.2287,0.5513,0.4487,1.3477,0.5741,0.4259,1.3652,0.5772,0.4228,1.5981,1422.3000,890.0000
1700645100000,1.2366,0.5529,0.4471,1.3485,0.5742,0.4258,1.3725,0.5785,0.4215,1.5981,1422.3000,890.0000
1700645400000,1.2437,0.5543,0.4457,1.3493,0.5743,0.4257,1.3685,0.5778,0.4222,1.5981,1422.3000,890.0000
1700645700000,1.2381,0.5532,0.4468,1.3478,0.5741,0.4259,1.3674,0.5776,0.4224,1.5981,1422.3000,890.0000
1700646000000,1.2386,0.5533,0.4467,1.3476,0.5740,0.4260,1.3669,0.5775,0.4225,1.5981,1422.3000,890.0000
1700646300000,1.2396,0.5535,0.4465,1.3456,0.5737,0.4263,1.3691,0.5779,0.4221,1.5981,1422.3000,890.0000
1700646600000,1.2462,0.5548,0.4452,1.3439,0.5734,0.4266,1.3669,0.5775,0.4225,1.5981,1422.3000,890.0000
1700646900000,1.2467,0.5549,0.4451,1.3441,0.5734,0.4266,1.3663,0.5774,0.4226,1.5981,1422.3000,890.0000
1700647200000,1.2502,0.5556,0.4444,1.3446,0.5735,0.4265,1.3725,0.5785,0.4215,1.5981,1422.3000,890.0000
1700647500000,1.2502,0.5556,0.4444,1.3455,0.5736,0.4264,1.3663,0.5774,0.4226,1.5981,1422.3000,890.0000
1700647800000,1.2671,0.5589,0.4411,1.3499,0.5745,0.4255,1.3832,0.5804,0.4196,1.5981,1422.3000,890.0000
1700648100000,1.2594,0.5574,0.4426,1.3545,0.5753,0.4247,1.3708,0.5782,0.4218,1.5981,1422.3000,890.0000
1700648400000,1.2609,0.5577,0.4423,1.3543,0.5753,0.4247,1.3691,0.5779,0.4221,1.5981,1422.3000,890.0000
