Timestamp,TopRatioAcc,TopLongAcc, TopShortAcc, TopRatioPos, TopLongPos, TopShortPos, GlobalRatioAcc, GlobalLongAcc, GlobalShortAcc, BuySellRatio, BuyVol, SelVol
1700695500000,2.5486,0.7182,0.2818,0.9594,0.4896,0.5104,3.1841,0.7610,0.2390,1.0876,159326.0000,146496.0000
1700695800000,2.5575,0.7189,0.2811,0.9588,0.4895,0.5105,3.1841,0.7610,0.2390,1.0876,159326.0000,146496.0000
1700696100000,2.5511,0.7184,0.2816,0.9580,0.4893,0.5107,3.1859,0.7611,0.2389,1.0876,159326.0000,146496.0000
1700696400000,2.5575,0.7189,0.2811,0.9576,0.4892,0.5108,3.2070,0.7623,0.2377,1.0876,159326.0000,146496.0000
1700696700000,2.5932,0.7217,0.2783,0.9583,0.4894,0.5106,3.2070,0.7623,0.2377,1.0876,159326.0000,146496.0000
1700697000000,2.5894,0.7214,0.2786,0.9586,0.4894,0.5106,3.2391,0.7641,0.2359,1.0876,159326.0000,146496.0000
1700697300000,2.5997,0.7222,0.2778,0.9579,0.4892,0.5108,3.2283,0.7635,0.2365,1.0876,159326.0000,146496.0000
1700697600000,2.6010,0.7223,0.2777,0.9582,0.4893,0.5107,3.2301,0.7636,0.2364,1.0876,159326.0000,146496.0000
1700697900000,2.5971,0.7220,0.2780,0.9574,0.4891,0.5109,3.2355,0.7639,0.2361,1.0876,159326.0000,146496.0000
1700698200000,2.5984,0.7221,0.2779,0.9584,0.4894,0.5106,3.2212,0.7631,0.2369,1.0876,159326.0000,146496.0000
1700698500000,2.5791,0.7206,0.2794,0.9587,0.4894,0.5106,3.1982,0.7618,0.2382,1.0876,159326.0000,146496.0000
1700698800000,2.5689,0.7198,0.2802,0.9591,0.4896,0.5104,3.1894,0.7613,0.2387,1.0876,159326.0000,146496.0000
1700699100000,2.5613,0.7192,0.2808,0.9585,0.4894,0.5106,3.2034,0.7621,0.2379,1.0876,159326.0000,146496.0000
1700699400000,2.5727,0.7201,0.2799,0.9592,0.4896,0.5104,3.1982,0.7618,0.2382,1.0876,159326.0000,146496.0000
1700699700000,2.5689,0.7198,0.2802,0.9590,0.4895,0.5105,3.1929,0.7615,0.2385,1.0876,159326.0000,146496.0000
1700700000000,2.5791,0.7206,0.2794,0.9593,0.4896,0.5104,3.1701,0.7602,0.2398,1.0876,159326.0000,146496.0000
1700700300000,2.5549,0.7187,0.2813,0.9591,0.4896,0.5104,3.1789,0.7607,0.2393,1.0876,159326.0000,146496.0000
1700700600000,2.5575,0.7189,0.2811,0.9592,0.4896,0.5104,3.1736,0.7604,0.2396,1.0876,159326.0000,146496.0000
1700700900000,2.5625,0.7193,0.2807,0.9595,0.4897,0.5103,3.1806,0.7608,0.2392,1.0876,159326.0000,146496.0000
1700701200000,2.5651,0.7195,0.2805,0.9581,0.4893,0.5107,3.1824,0.7609,0.2391,1.0876,159326.0000,146496.0000
1700701500000,2.5727,0.7201,0.2799,0.9572,0.4891,0.5109,3.1824,0.7609,0.2391,1.0876,159326.0000,146496.0000
1700701800000,2.5714,0.7200,0.2800,0.9582,0.4893,0.5107,3.1649,0.7599,0.2401,1.0876,159326.0000,146496.0000
1700702100000,2.5562,0.7188,0.2812,0.9572,0.4891,0.5109,3.1719,0.7603,0.2397,1.0876,159326.0000,146496.0000
1700702400000,2.5386,0.7174,0.2826,0.9556,0.4886,0.5114,3.1408,0.7585,0.2415,1.0876,159326.0000,146496.0000
1700702700000,2.5236,0.7162,0.2838,0.9553,0.4886,0.5114,3.1391,0.7584,0.2416,1.0876,159326.0000,146496.0000
1700703000000,2.5149,0.7155,0.2845,0.9540,0.4882,0.5118,3.1477,0.7589,0.2411,1.0876,159326.0000,146496.0000
1700703300000,2.5336,0.7170,0.2830,0.9570,0.4890,0.5110,3.1545,0.7593,0.2407,1.0876,159326.0000,146496.0000
1700703600000,2.5348,0.7171,0.2829,0.9566,0.4889,0.5111,3.1528,0.7592,0.2408,1.0876,159326.0000,146496.0000
1700703900000,2.5361,0.7172,0.2828,0.9570,0.4890,0.5110,3.1649,0.7599,0.2401,1.0876,159326.0000,146496.0000
1700704200000,2.5575,0.7189,0.2811,0.9579,0.4892,0.5108,3.1632,0.7598,0.2402,1.0876,159326.0000,146496.0000
1700704500000,2.5511,0.7184,0.2816,0.9573,0.4891,0.5109,3.1649,0.7599,0.2401,1.0876,159326.0000,146496.0000
1700704800000,2.5474,0.7181,0.2819,0.9574,0.4891,0.5109,3.1580,0.7595,0.2405,1.0876,159326.0000,146496.0000
1700705100000,2.5448,0.7179,0.2821,0.9574,0.4891,0.5109,3.1615,0.7597,0.2403,1.0876,159326.0000,146496.0000
1700705400000,2.5524,0.7185,0.2815,1.1368,0.5320,0.4680,3.1563,0.7594,0.2406,1.0876,159326.0000,146496.0000
1700705700000,2.7010,0.7298,0.2702,1.1381,0.5323,0.4677,3.1563,0.7594,0.2406,1.0876,159326.0000,146496.0000
1700706000000,2.7010,0.7298,0.2702,1.1359,0.5318,0.4682,3.1684,0.7601,0.2399,1.0876,159326.0000,146496.0000
1700706300000,2.7300,0.7319,0.2681,1.1360,0.5318,0.4682,3.1771,0.7606,0.2394,1.0876,159326.0000,146496.0000
1700706600000,2.7369,0.7324,0.2676,1.1362,0.5319,0.4681,3.1771,0.7606,0.2394,1.0876,159326.0000,146496.0000
1700706900000,2.7341,0.7322,0.2678,1.1356,0.5317,0.4683,3.1806,0.7608,0.2392,1.0876,159326.0000,146496.0000
1700707200000,2.7341,0.7322,0.2678,1.1351,0.5316,0.4684,3.1824,0.7609,0.2391,1.0876,159326.0000,146496.0000
1700707500000,2.7313,0.7320,0.2680,1.1353,0.5317,0.4683,3.1806,0.7608,0.2392,1.0876,159326.0000,146496.0000
1700707800000,2.7258,0.7316,0.2684,1.1354,0.5317,0.4683,3.2017,0.7620,0.2380,1.0876,159326.0000,146496.0000
1700708100000,2.7355,0.7323,0.2677,1.1345,0.5315,0.4685,3.2034,0.7621,0.2379,1.0876,159326.0000,146496.0000
1700708400000,2.7383,0.7325,0.2675,1.1347,0.5315,0.4685,3.1964,0.7617,0.2383,1.0876,159326.0000,146496.0000
1700708700000,2.7383,0.7325,0.2675,1.1353,0.5317,0.4683,3.2212,0.7631,0.2369,1.0876,159326.0000,146496.0000
1700709000000,2.7594,0.7340,0.2660,1.1354,0.5317,0.4683,3.1982,0.7618,0.2382,1.0876,159326.0000,146496.0000
1700709300000,2.7481,0.7332,0.2668,1.1362,0.5319,0.4681,3.1911,0.7614,0.2386,1.0876,159326.0000,146496.0000
1700709600000,2.7397,0.7326,0.2674,1.1352,0.5317,0.4683,3.1982,0.7618,0.2382,1.0876,159326.0000,146496.0000
1700709900000,2.7369,0.7324,0.2676,1.1348,0.5316,0.4684,3.2159,0.7628,0.2372,1.0876,159326.0000,146496.0000
1700710200000,2.7397,0.7326,0.2674,1.1319,0.5309,0.4691,3.2481,0.7646,0.2354,1.0876,159326.0000,146496.0000
1700710500000,2.7951,0.7365,0.2635,1.1343,0.5315,0.4685,3.2535,0.7649,0.2351,1.0876,159326.0000,146496.0000
1700710800000,2.8037,0.7371,0.2629,1.1339,0.5314,0.4686,3.2589,0.7652,0.2348,1.0876,159326.0000,146496.0000
