Timestamp,TopRatioAcc,TopLongAcc, TopShortAcc, TopRatioPos, TopLongPos, TopShortPos, GlobalRatioAcc, GlobalLongAcc, GlobalShortAcc, BuySellRatio, BuyVol, SelVol
1700695800000,1.0288,0.5071,0.4929,1.0004,0.5001,0.4999,1.0907,0.5217,0.4783,0.6772,17235.0000,25449.0000
1700696100000,1.0379,0.5093,0.4907,1.0004,0.5001,0.4999,1.0951,0.5227,0.4773,0.6772,17235.0000,25449.0000
1700696400000,1.0458,0.5112,0.4888,1.0013,0.5003,0.4997,1.1066,0.5253,0.4747,0.6772,17235.0000,25449.0000
1700696700000,1.0568,0.5138,0.4862,1.0027,0.5007,0.4993,1.1026,0.5244,0.4756,0.6772,17235.0000,25449.0000
1700697000000,1.0597,0.5145,0.4855,1.0040,0.5010,0.4990,1.0907,0.5217,0.4783,0.6772,17235.0000,25449.0000
1700697300000,1.0568,0.5138,0.4862,1.0054,0.5013,0.4987,1.0938,0.5224,0.4776,0.6772,17235.0000,25449.0000
1700697600000,1.0458,0.5112,0.4888,1.0053,0.5013,0.4987,1.1093,0.5259,0.4741,0.6772,17235.0000,25449.0000
1700697900000,1.0517,0.5126,0.4874,1.0055,0.5014,0.4986,1.0899,0.5215,0.4785,0.6772,17235.0000,25449.0000
1700698200000,1.0488,0.5119,0.4881,1.0065,0.5016,0.4984,1.0868,0.5208,0.4792,0.6772,17235.0000,25449.0000
1700698500000,1.0442,0.5108,0.4892,1.0076,0.5019,0.4981,1.0602,0.5146,0.4854,0.6772,17235.0000,25449.0000
1700698800000,1.0227,0.5056,0.4944,1.0104,0.5026,0.4974,1.0903,0.5216,0.4784,0.6772,17235.0000,25449.0000
1700699100000,1.0454,0.5111,0.4889,1.0074,0.5018,0.4982,1.0743,0.5179,0.4821,0.6772,17235.0000,25449.0000
1700699400000,1.0317,0.5078,0.4922,1.0092,0.5023,0.4977,1.0700,0.5169,0.4831,0.6772,17235.0000,25449.0000
1700699700000,1.0263,0.5065,0.4935,1.0095,0.5024,0.4976,1.0670,0.5162,0.4838,0.6772,17235.0000,25449.0000
1700700000000,1.0263,0.5065,0.4935,1.0098,0.5024,0.4976,1.0687,0.5166,0.4834,0.6772,17235.0000,25449.0000
1700700300000,1.0227,0.5056,0.4944,1.0075,0.5019,0.4981,1.0687,0.5166,0.4834,0.6772,17235.0000,25449.0000
1700700600000,1.0218,0.5054,0.4946,1.0074,0.5018,0.4982,1.0781,0.5188,0.4812,0.6772,17235.0000,25449.0000
1700700900000,1.0251,0.5062,0.4938,1.0069,0.5017,0.4983,1.0855,0.5205,0.4795,0.6772,17235.0000,25449.0000
