Timestamp,TopRatioAcc,TopLongAcc, TopShortAcc, TopRatioPos, TopLongPos, TopShortPos, GlobalRatioAcc, GlobalLongAcc, GlobalShortAcc, BuySellRatio, BuyVol, SelVol
1700642100000,3.1701,0.7602,0.2398,1.0935,0.5223,0.4777,3.6948,0.7870,0.2130,3.5631,507062.1000,142309.9000
1700642400000,3.1667,0.7600,0.2400,1.0935,0.5223,0.4777,3.6970,0.7871,0.2129,3.5631,507062.1000,142309.9000
1700642700000,3.1597,0.7596,0.2404,1.0878,0.5210,0.4790,3.6992,0.7872,0.2128,3.5631,507062.1000,142309.9000
1700643000000,3.1806,0.7608,0.2392,1.0912,0.5218,0.4782,3.7081,0.7876,0.2124,3.5631,507062.1000,142309.9000
1700643300000,3.1459,0.7588,0.2412,1.0865,0.5207,0.4793,3.6838,0.7865,0.2135,3.5631,507062.1000,142309.9000
1700643600000,3.1459,0.7588,0.2412,1.0860,0.5206,0.4794,3.6773,0.7862,0.2138,3.5631,507062.1000,142309.9000
1700643900000,3.1597,0.7596,0.2404,1.0874,0.5209,0.4791,3.6860,0.7866,0.2134,3.5631,507062.1000,142309.9000
1700644200000,3.1528,0.7592,0.2408,1.0838,0.5201,0.4799,3.6795,0.7863,0.2137,3.5631,507062.1000,142309.9000
1700644500000,3.1563,0.7594,0.2406,1.0846,0.5203,0.4797,3.6729,0.7860,0.2140,3.5631,507062.1000,142309.9000
1700644800000,3.1719,0.7603,0.2397,1.0887,0.5212,0.4788,3.6795,0.7863,0.2137,3.5631,507062.1000,142309.9000
1700645100000,3.1736,0.7604,0.2396,1.0899,0.5215,0.4785,3.6729,0.7860,0.2140,3.5631,507062.1000,142309.9000
1700645400000,3.1771,0.7606,0.2394,1.0917,0.5219,0.4781,3.6773,0.7862,0.2138,3.5631,507062.1000,142309.9000
1700645700000,3.1494,0.7590,0.2410,1.0881,0.5211,0.4789,3.6664,0.7857,0.2143,3.5631,507062.1000,142309.9000
1700646000000,3.1186,0.7572,0.2428,1.0887,0.5212,0.4788,3.5269,0.7791,0.2209,3.5631,507062.1000,142309.9000
1700646300000,3.0850,0.7552,0.2448,1.0952,0.5227,0.4773,3.4924,0.7774,0.2226,3.5631,507062.1000,142309.9000
1700646600000,3.1017,0.7562,0.2438,1.0961,0.5229,0.4771,3.5086,0.7782,0.2218,3.5631,507062.1000,142309.9000
1700646900000,3.1017,0.7562,0.2438,1.0965,0.5230,0.4770,3.5005,0.7778,0.2222,3.5631,507062.1000,142309.9000
1700647200000,3.0917,0.7556,0.2444,1.0937,0.5224,0.4776,3.5005,0.7778,0.2222,3.5631,507062.1000,142309.9000
1700647500000,3.1068,0.7565,0.2435,1.0952,0.5227,0.4773,3.5086,0.7782,0.2218,3.5631,507062.1000,142309.9000
1700647800000,3.1152,0.7570,0.2430,1.0980,0.5234,0.4766,3.5045,0.7780,0.2220,3.5631,507062.1000,142309.9000
1700648100000,3.1102,0.7567,0.2433,1.0992,0.5236,0.4764,3.4984,0.7777,0.2223,3.5631,507062.1000,142309.9000
1700648400000,3.1237,0.7575,0.2425,1.0996,0.5237,0.4763,3.5106,0.7783,0.2217,3.5631,507062.1000,142309.9000
1700648700000,3.1118,0.7568,0.2432,1.0995,0.5237,0.4763,3.4984,0.7777,0.2223,3.5631,507062.1000,142309.9000
1700649000000,3.1135,0.7569,0.2431,1.0980,0.5234,0.4766,3.6232,0.7837,0.2163,3.5631,507062.1000,142309.9000
1700649300000,3.1339,0.7581,0.2419,1.1001,0.5238,0.4762,3.6232,0.7837,0.2163,3.5631,507062.1000,142309.9000
1700649600000,3.1391,0.7584,0.2416,1.0971,0.5232,0.4768,3.6318,0.7841,0.2159,3.5631,507062.1000,142309.9000
1700649900000,3.1152,0.7570,0.2430,1.0951,0.5227,0.4773,3.6253,0.7838,0.2162,3.5631,507062.1000,142309.9000
1700650200000,3.1237,0.7575,0.2425,1.1068,0.5253,0.4747,3.6189,0.7835,0.2165,3.5631,507062.1000,142309.9000
1700650500000,3.1102,0.7567,0.2433,1.1023,0.5243,0.4757,3.5310,0.7793,0.2207,3.5631,507062.1000,142309.9000
1700650800000,3.1017,0.7562,0.2438,1.1066,0.5253,0.4747,3.4803,0.7768,0.2232,3.5631,507062.1000,142309.9000
1700651100000,3.1288,0.7578,0.2422,1.1097,0.5260,0.4740,3.5662,0.7810,0.2190,3.5631,507062.1000,142309.9000
1700651400000,3.1339,0.7581,0.2419,1.1106,0.5262,0.4738,3.5620,0.7808,0.2192,3.5631,507062.1000,142309.9000
1700651700000,3.1322,0.7580,0.2420,1.1095,0.5259,0.4741,3.5725,0.7813,0.2187,3.5631,507062.1000,142309.9000
1700652000000,3.1322,0.7580,0.2420,1.1108,0.5263,0.4737,3.5725,0.7813,0.2187,3.5631,507062.1000,142309.9000
1700652300000,3.1186,0.7572,0.2428,1.1107,0.5262,0.4738,3.5725,0.7813,0.2187,3.5631,507062.1000,142309.9000
1700652600000,3.1203,0.7573,0.2427,1.1078,0.5256,0.4744,3.5851,0.7819,0.2181,3.5631,507062.1000,142309.9000
1700652900000,3.1068,0.7565,0.2435,1.1095,0.5259,0.4741,3.5641,0.7809,0.2191,3.5631,507062.1000,142309.9000
1700653200000,3.0984,0.7560,0.2440,1.1091,0.5259,0.4741,3.5579,0.7806,0.2194,3.5631,507062.1000,142309.9000
1700653500000,3.0883,0.7554,0.2446,1.1117,0.5264,0.4736,3.5496,0.7802,0.2198,3.5631,507062.1000,142309.9000
1700653800000,3.0900,0.7555,0.2445,1.1117,0.5264,0.4736,3.5434,0.7799,0.2201,3.5631,507062.1000,142309.9000
1700654100000,3.0883,0.7554,0.2446,1.1092,0.5259,0.4741,3.5475,0.7801,0.2199,3.5631,507062.1000,142309.9000
