Timestamp,TopRatioAcc,TopLongAcc, TopShortAcc, TopRatioPos, TopLongPos, TopShortPos, GlobalRatioAcc, GlobalLongAcc, GlobalShortAcc, BuySellRatio, BuyVol, SelVol
1700695800000,1.4919,0.5987,0.4013,1.3107,0.5672,0.4328,1.5589,0.6092,0.3908,0.9246,507547.0000,548913.0000
1700696100000,1.5100,0.6016,0.3984,1.3103,0.5672,0.4328,1.5621,0.6097,0.3903,0.9246,507547.0000,548913.0000
1700696400000,1.5119,0.6019,0.3981,1.3138,0.5678,0.4322,1.5628,0.6098,0.3902,0.9246,507547.0000,548913.0000
1700696700000,1.5006,0.6001,0.3999,1.3121,0.5675,0.4325,1.5575,0.6090,0.3910,0.9246,507547.0000,548913.0000
1700697000000,1.5189,0.6030,0.3970,1.3137,0.5678,0.4322,1.5681,0.6106,0.3894,0.9246,507547.0000,548913.0000
1700697300000,1.5082,0.6013,0.3987,1.3141,0.5679,0.4321,1.5569,0.6089,0.3911,0.9246,507547.0000,548913.0000
1700697600000,1.5126,0.6020,0.3980,1.3170,0.5684,0.4316,1.5615,0.6096,0.3904,0.9246,507547.0000,548913.0000
1700697900000,1.5381,0.6060,0.3940,1.3165,0.5683,0.4317,1.5773,0.6120,0.3880,0.9246,507547.0000,548913.0000
1700698200000,1.5259,0.6041,0.3959,1.3213,0.5692,0.4308,1.5733,0.6114,0.3886,0.9246,507547.0000,548913.0000
1700698500000,1.5221,0.6035,0.3965,1.3186,0.5687,0.4313,1.5681,0.6106,0.3894,0.9246,507547.0000,548913.0000
1700698800000,1.5170,0.6027,0.3973,1.3200,0.5690,0.4310,1.5661,0.6103,0.3897,0.9246,507547.0000,548913.0000
1700699100000,1.5170,0.6027,0.3973,1.3225,0.5694,0.4306,1.5634,0.6099,0.3901,0.9246,507547.0000,548913.0000
1700699400000,1.5126,0.6020,0.3980,1.3225,0.5694,0.4306,1.5575,0.6090,0.3910,0.9246,507547.0000,548913.0000
1700699700000,1.5138,0.6022,0.3978,1.3236,0.5696,0.4304,1.5628,0.6098,0.3902,0.9246,507547.0000,548913.0000
1700700000000,1.5439,0.6069,0.3931,1.3239,0.5697,0.4303,1.5826,0.6128,0.3872,0.9246,507547.0000,548913.0000
1700700300000,1.5329,0.6052,0.3948,1.3246,0.5698,0.4302,1.5780,0.6121,0.3879,0.9246,507547.0000,548913.0000
1700700600000,1.5471,0.6074,0.3926,1.3236,0.5696,0.4304,1.5913,0.6141,0.3859,0.9246,507547.0000,548913.0000
1700700900000,1.5786,0.6122,0.3878,1.3195,0.5689,0.4311,1.6178,0.6180,0.3820,0.9246,507547.0000,548913.0000
1700701200000,1.5988,0.6152,0.3848,1.3170,0.5684,0.4316,1.6371,0.6208,0.3792,0.9246,507547.0000,548913.0000
1700701500000,1.5833,0.6129,0.3871,1.3196,0.5689,0.4311,1.6212,0.6185,0.3815,0.9246,507547.0000,548913.0000
1700701800000,1.5880,0.6136,0.3864,1.3196,0.5689,0.4311,1.6240,0.6189,0.3811,0.9246,507547.0000,548913.0000
1700702100000,1.6096,0.6168,0.3832,1.3196,0.5689,0.4311,1.6853,0.6276,0.3724,0.9246,507547.0000,548913.0000
1700702400000,1.6035,0.6159,0.3841,1.3170,0.5684,0.4316,1.6932,0.6287,0.3713,0.9246,507547.0000,548913.0000
1700702700000,1.6157,0.6177,0.3823,1.3182,0.5686,0.4314,1.7115,0.6312,0.3688,0.9246,507547.0000,548913.0000
1700703000000,1.6171,0.6179,0.3821,1.3210,0.5691,0.4309,1.7056,0.6304,0.3696,0.9246,507547.0000,548913.0000
1700703300000,1.6385,0.6210,0.3790,1.3220,0.5693,0.4307,1.7218,0.6326,0.3674,0.9246,507547.0000,548913.0000
1700703600000,1.6413,0.6214,0.3786,1.3264,0.5701,0.4299,1.7241,0.6329,0.3671,0.9246,507547.0000,548913.0000
1700703900000,1.6448,0.6219,0.3781,1.3258,0.5700,0.4300,1.7233,0.6328,0.3672,0.9246,507547.0000,548913.0000
