Timestamp,TopRatioAcc,TopLongAcc, TopShortAcc, TopRatioPos, TopLongPos, TopShortPos, GlobalRatioAcc, GlobalLongAcc, GlobalShortAcc, BuySellRatio, BuyVol, SelVol
1700695500000,1.5170,0.6027,0.3973,1.2771,0.5608,0.4392,1.3132,0.5677,0.4323,1.5128,1572.6000,1039.5000
1700695800000,1.5025,0.6004,0.3996,1.2772,0.5609,0.4391,1.3240,0.5697,0.4303,1.5128,1572.6000,1039.5000
1700696100000,1.5265,0.6042,0.3958,1.2775,0.5609,0.4391,1.3223,0.5694,0.4306,1.5128,1572.6000,1039.5000
1700696400000,1.5189,0.6030,0.3970,1.2783,0.5611,0.4389,1.3223,0.5694,0.4306,1.5128,1572.6000,1039.5000
1700696700000,1.5195,0.6031,0.3969,1.2778,0.5610,0.4390,1.3223,0.5694,0.4306,1.5128,1572.6000,1039.5000
1700697000000,1.5145,0.6023,0.3977,1.2780,0.5610,0.4390,1.3245,0.5698,0.4302,1.5128,1572.6000,1039.5000
1700697300000,1.5202,0.6032,0.3968,1.2778,0.5610,0.4390,1.3223,0.5694,0.4306,1.5128,1572.6000,1039.5000
1700697600000,1.5189,0.6030,0.3970,1.2782,0.5611,0.4389,1.3213,0.5692,0.4308,1.5128,1572.6000,1039.5000
1700697900000,1.5202,0.6032,0.3968,1.2793,0.5613,0.4387,1.3213,0.5692,0.4308,1.5128,1572.6000,1039.5000
1700698200000,1.5189,0.6030,0.3970,1.2798,0.5614,0.4386,1.3245,0.5698,0.4302,1.5128,1572.6000,1039.5000
1700698500000,1.5240,0.6038,0.3962,1.2796,0.5613,0.4387,1.3196,0.5689,0.4311,1.5128,1572.6000,1039.5000
1700698800000,1.5164,0.6026,0.3974,1.2799,0.5614,0.4386,1.3159,0.5682,0.4318,1.5128,1572.6000,1039.5000
1700699100000,1.5100,0.6016,0.3984,1.2798,0.5614,0.4386,1.3213,0.5692,0.4308,1.5128,1572.6000,1039.5000
1700699400000,1.5119,0.6019,0.3981,1.2792,0.5612,0.4388,1.3234,0.5696,0.4304,1.5128,1572.6000,1039.5000
1700699700000,1.5157,0.6025,0.3975,1.2789,0.5612,0.4388,1.3079,0.5667,0.4333,1.5128,1572.6000,1039.5000
1700700000000,1.5006,0.6001,0.3999,1.2787,0.5612,0.4388,1.3026,0.5657,0.4343,1.5128,1572.6000,1039.5000
