Timestamp,TopRatioAcc,TopLongAcc, TopShortAcc, TopRatioPos, TopLongPos, TopShortPos, GlobalRatioAcc, GlobalLongAcc, GlobalShortAcc, BuySellRatio, BuyVol, SelVol
1700695800000,2.3467,0.7012,0.2988,1.8549,0.6497,0.3503,2.7481,0.7332,0.2668,1.0228,188529.4000,184330.6000
1700696100000,2.3356,0.7002,0.2998,1.8517,0.6493,0.3507,2.7411,0.7327,0.2673,1.0228,188529.4000,184330.6000
1700696400000,2.3289,0.6996,0.3004,1.8520,0.6494,0.3506,2.7411,0.7327,0.2673,1.0228,188529.4000,184330.6000
1700696700000,2.3344,0.7001,0.2999,1.8520,0.6494,0.3506,2.7665,0.7345,0.2655,1.0228,188529.4000,184330.6000
1700697000000,2.3389,0.7005,0.2995,1.8509,0.6492,0.3508,2.7722,0.7349,0.2651,1.0228,188529.4000,184330.6000
1700697300000,2.3445,0.7010,0.2990,1.8518,0.6493,0.3507,2.7779,0.7353,0.2647,1.0228,188529.4000,184330.6000
1700697600000,2.3501,0.7015,0.2985,1.8508,0.6492,0.3508,2.7807,0.7355,0.2645,1.0228,188529.4000,184330.6000
1700697900000,2.3478,0.7013,0.2987,1.8499,0.6491,0.3509,2.7821,0.7356,0.2644,1.0228,188529.4000,184330.6000
1700698200000,2.3445,0.7010,0.2990,1.8491,0.6490,0.3510,2.7793,0.7354,0.2646,1.0228,188529.4000,184330.6000
1700698500000,2.3456,0.7011,0.2989,1.8456,0.6486,0.3514,2.7850,0.7358,0.2642,1.0228,188529.4000,184330.6000
1700698800000,2.3490,0.7014,0.2986,1.8473,0.6488,0.3512,2.7864,0.7359,0.2641,1.0228,188529.4000,184330.6000
1700699100000,2.3478,0.7013,0.2987,1.8468,0.6487,0.3513,2.7836,0.7357,0.2643,1.0228,188529.4000,184330.6000
1700699400000,2.3389,0.7005,0.2995,1.8458,0.6486,0.3514,2.7736,0.7350,0.2650,1.0228,188529.4000,184330.6000
1700699700000,2.3490,0.7014,0.2986,1.8471,0.6488,0.3512,2.7850,0.7358,0.2642,1.0228,188529.4000,184330.6000
1700700000000,2.3501,0.7015,0.2985,1.8493,0.6490,0.3510,2.7807,0.7355,0.2645,1.0228,188529.4000,184330.6000
1700700300000,2.3523,0.7017,0.2983,1.8504,0.6492,0.3508,2.7850,0.7358,0.2642,1.0228,188529.4000,184330.6000
1700700600000,2.3512,0.7016,0.2984,1.8516,0.6493,0.3507,2.7764,0.7352,0.2648,1.0228,188529.4000,184330.6000
1700700900000,2.3434,0.7009,0.2991,1.8529,0.6495,0.3505,2.7679,0.7346,0.2654,1.0228,188529.4000,184330.6000
1700701200000,2.3546,0.7019,0.2981,1.8517,0.6493,0.3507,2.7850,0.7358,0.2642,1.0228,188529.4000,184330.6000
1700701500000,2.3557,0.7020,0.2980,1.8509,0.6492,0.3508,2.7965,0.7366,0.2634,1.0228,188529.4000,184330.6000
1700701800000,2.3613,0.7025,0.2975,1.8532,0.6495,0.3505,2.7908,0.7362,0.2638,1.0228,188529.4000,184330.6000
1700702100000,2.3546,0.7019,0.2981,1.8500,0.6491,0.3509,2.7864,0.7359,0.2641,1.0228,188529.4000,184330.6000
1700702400000,2.3557,0.7020,0.2980,1.8477,0.6488,0.3512,2.7893,0.7361,0.2639,1.0228,188529.4000,184330.6000
1700702700000,2.3568,0.7021,0.2979,1.8437,0.6483,0.3517,2.7979,0.7367,0.2633,1.0228,188529.4000,184330.6000
1700703000000,2.3602,0.7024,0.2976,1.8387,0.6477,0.3523,2.8110,0.7376,0.2624,1.0228,188529.4000,184330.6000
1700703300000,2.3602,0.7024,0.2976,1.8404,0.6479,0.3521,2.8023,0.7370,0.2630,1.0228,188529.4000,184330.6000
1700703600000,2.3647,0.7028,0.2972,1.8401,0.6479,0.3521,2.8037,0.7371,0.2629,1.0228,188529.4000,184330.6000
