Timestamp,TopRatioAcc,TopLongAcc, TopShortAcc, TopRatioPos, TopLongPos, TopShortPos, GlobalRatioAcc, GlobalLongAcc, GlobalShortAcc, BuySellRatio, BuyVol, SelVol
1700696100000,0.5312,0.3469,0.6531,1.3908,0.5817,0.4183,0.6396,0.3901,0.6099,0.8362,44601.0000,53335.0000
1700696400000,0.5333,0.3478,0.6522,1.3908,0.5817,0.4183,0.6415,0.3908,0.6092,0.8362,44601.0000,53335.0000
1700696700000,0.5340,0.3481,0.6519,1.3912,0.5818,0.4182,0.6412,0.3907,0.6093,0.8362,44601.0000,53335.0000
1700697000000,0.5340,0.3481,0.6519,1.3914,0.5818,0.4182,0.6418,0.3909,0.6091,0.8362,44601.0000,53335.0000
1700697300000,0.5305,0.3466,0.6534,1.3912,0.5818,0.4182,0.6423,0.3911,0.6089,0.8362,44601.0000,53335.0000
1700697600000,0.5015,0.3340,0.6660,1.3912,0.5818,0.4182,0.6181,0.3820,0.6180,0.8362,44601.0000,53335.0000
1700697900000,0.4997,0.3332,0.6668,1.3876,0.5812,0.4188,0.6150,0.3808,0.6192,0.8362,44601.0000,53335.0000
1700698200000,0.4775,0.3232,0.6768,1.3858,0.5809,0.4191,0.5952,0.3731,0.6269,0.8362,44601.0000,53335.0000
1700698500000,0.4704,0.3199,0.6801,1.3847,0.5807,0.4193,0.5921,0.3719,0.6281,0.8362,44601.0000,53335.0000
1700698800000,0.4704,0.3199,0.6801,1.3848,0.5807,0.4193,0.5934,0.3724,0.6276,0.8362,44601.0000,53335.0000
1700699100000,0.4715,0.3204,0.6796,1.3842,0.5806,0.4194,0.5916,0.3717,0.6283,0.8362,44601.0000,53335.0000
1700699400000,0.4616,0.3158,0.6842,1.3841,0.5806,0.4194,0.5878,0.3702,0.6298,0.8362,44601.0000,53335.0000
1700699700000,0.4613,0.3157,0.6843,1.3838,0.5805,0.4195,0.5853,0.3692,0.6308,0.8362,44601.0000,53335.0000
1700700000000,0.4635,0.3167,0.6833,1.3849,0.5807,0.4193,0.5876,0.3701,0.6299,0.8362,44601.0000,53335.0000
1700700300000,0.5168,0.3407,0.6593,1.3843,0.5806,0.4194,0.6247,0.3845,0.6155,0.8362,44601.0000,53335.0000
1700700600000,0.5042,0.3352,0.6648,1.3829,0.5803,0.4197,0.6134,0.3802,0.6198,0.8362,44601.0000,53335.0000
1700700900000,0.5117,0.3385,0.6615,1.3834,0.5804,0.4196,0.6186,0.3822,0.6178,0.8362,44601.0000,53335.0000
1700701200000,0.5106,0.3380,0.6620,1.3838,0.5805,0.4195,0.6205,0.3829,0.6171,0.8362,44601.0000,53335.0000
1700701500000,0.4968,0.3319,0.6681,1.3830,0.5804,0.4196,0.6036,0.3764,0.6236,0.8362,44601.0000,53335.0000
1700701800000,0.5022,0.3343,0.6657,1.3827,0.5803,0.4197,0.6134,0.3802,0.6198,0.8362,44601.0000,53335.0000
1700702100000,0.5006,0.3336,0.6664,1.3825,0.5803,0.4197,0.6129,0.3800,0.6200,0.8362,44601.0000,53335.0000
1700702400000,0.4990,0.3329,0.6671,1.3826,0.5803,0.4197,0.6160,0.3812,0.6188,0.8362,44601.0000,53335.0000
1700702700000,0.4966,0.3318,0.6682,1.3822,0.5802,0.4198,0.6106,0.3791,0.6209,0.8362,44601.0000,53335.0000
1700703000000,0.4908,0.3292,0.6708,1.3824,0.5803,0.4197,0.6085,0.3783,0.6217,0.8362,44601.0000,53335.0000
1700703300000,0.4894,0.3286,0.6714,1.3822,0.5802,0.4198,0.6041,0.3766,0.6234,0.8362,44601.0000,53335.0000
1700703600000,0.5020,0.3342,0.6658,1.3831,0.5804,0.4196,0.6197,0.3826,0.6174,0.8362,44601.0000,53335.0000
1700703900000,0.4999,0.3333,0.6667,1.3833,0.5804,0.4196,0.6197,0.3826,0.6174,0.8362,44601.0000,53335.0000
1700704200000,0.5158,0.3403,0.6597,1.3835,0.5805,0.4195,0.6311,0.3869,0.6131,0.8362,44601.0000,53335.0000
1700704500000,0.5246,0.3441,0.6559,1.3849,0.5807,0.4193,0.6410,0.3906,0.6094,0.8362,44601.0000,53335.0000
1700704800000,0.5242,0.3439,0.6561,1.3858,0.5808,0.4192,0.6396,0.3901,0.6099,0.8362,44601.0000,53335.0000
1700705100000,0.5244,0.3440,0.6560,1.3862,0.5809,0.4191,0.6407,0.3905,0.6095,0.8362,44601.0000,53335.0000
1700705400000,0.5267,0.3450,0.6550,1.3866,0.5810,0.4190,0.6426,0.3912,0.6088,0.8362,44601.0000,53335.0000
1700705700000,0.5704,0.3632,0.6368,1.4576,0.5931,0.4069,0.6431,0.3914,0.6086,0.8362,44601.0000,53335.0000
1700706000000,0.5657,0.3613,0.6387,1.4590,0.5933,0.4067,0.6297,0.3864,0.6136,0.8362,44601.0000,53335.0000
1700706300000,0.5706,0.3633,0.6367,1.4591,0.5933,0.4067,0.6353,0.3885,0.6115,0.8362,44601.0000,53335.0000
1700706600000,0.5686,0.3625,0.6375,1.4604,0.5936,0.4064,0.6356,0.3886,0.6114,0.8362,44601.0000,53335.0000
1700706900000,0.5684,0.3624,0.6376,1.4611,0.5937,0.4063,0.6340,0.3880,0.6120,0.8362,44601.0000,53335.0000
1700707200000,0.5696,0.3629,0.6371,1.4621,0.5938,0.4062,0.6361,0.3888,0.6112,0.8362,44601.0000,53335.0000
1700707500000,0.5640,0.3606,0.6394,1.4635,0.5941,0.4059,0.6289,0.3861,0.6139,0.8362,44601.0000,53335.0000
1700707800000,0.5630,0.3602,0.6398,1.4647,0.5943,0.4057,0.6221,0.3835,0.6165,0.8362,44601.0000,53335.0000
