Timestamp,TopRatioAcc,TopLongAcc, TopShortAcc, TopRatioPos, TopLongPos, TopShortPos, GlobalRatioAcc, GlobalLongAcc, GlobalShortAcc, BuySellRatio, BuyVol, SelVol
1700695800000,1.6539,0.6232,0.3768,1.1838,0.5421,0.4579,1.8547,0.6497,0.3503,0.6673,14190.0000,21264.0000
1700696100000,1.6546,0.6233,0.3767,1.1812,0.5415,0.4585,1.8474,0.6488,0.3512,0.6673,14190.0000,21264.0000
1700696400000,1.6462,0.6221,0.3779,1.1835,0.5420,0.4580,1.8620,0.6506,0.3494,0.6673,14190.0000,21264.0000
1700696700000,1.6624,0.6244,0.3756,1.1822,0.5418,0.4582,1.8653,0.6510,0.3490,0.6673,14190.0000,21264.0000
1700697000000,1.6596,0.6240,0.3760,1.1814,0.5416,0.4584,1.8637,0.6508,0.3492,0.6673,14190.0000,21264.0000
1700697300000,1.6624,0.6244,0.3756,1.1828,0.5419,0.4581,1.8670,0.6512,0.3488,0.6673,14190.0000,21264.0000
1700697600000,1.6624,0.6244,0.3756,1.1803,0.5414,0.4586,1.8843,0.6533,0.3467,0.6673,14190.0000,21264.0000
1700697900000,1.6660,0.6249,0.3751,1.1752,0.5403,0.4597,1.8902,0.6540,0.3460,0.6673,14190.0000,21264.0000
1700698200000,1.6774,0.6265,0.3735,1.1745,0.5401,0.4599,1.9011,0.6553,0.3447,0.6673,14190.0000,21264.0000
1700698500000,1.6925,0.6286,0.3714,1.1746,0.5401,0.4599,1.8935,0.6544,0.3456,0.6673,14190.0000,21264.0000
1700698800000,1.6976,0.6293,0.3707,1.1779,0.5408,0.4592,1.8835,0.6532,0.3468,0.6673,14190.0000,21264.0000
1700699100000,1.6867,0.6278,0.3722,1.1796,0.5412,0.4588,1.8752,0.6522,0.3478,0.6673,14190.0000,21264.0000
1700699400000,1.6774,0.6265,0.3735,1.1783,0.5409,0.4591,1.8752,0.6522,0.3478,0.6673,14190.0000,21264.0000
1700699700000,1.6802,0.6269,0.3731,1.1813,0.5416,0.4584,1.8777,0.6525,0.3475,0.6673,14190.0000,21264.0000
1700700000000,1.6824,0.6272,0.3728,1.1823,0.5418,0.4582,1.8711,0.6517,0.3483,0.6673,14190.0000,21264.0000
1700700300000,1.6853,0.6276,0.3724,1.1837,0.5421,0.4579,1.8629,0.6507,0.3493,0.6673,14190.0000,21264.0000
1700700600000,1.6810,0.6270,0.3730,1.1826,0.5418,0.4582,1.8563,0.6499,0.3501,0.6673,14190.0000,21264.0000
1700700900000,1.6688,0.6253,0.3747,1.1824,0.5418,0.4582,1.8531,0.6495,0.3505,0.6673,14190.0000,21264.0000
1700701200000,1.6660,0.6249,0.3751,1.1808,0.5414,0.4586,1.8377,0.6476,0.3524,0.6673,14190.0000,21264.0000
1700701500000,1.6316,0.6200,0.3800,1.1810,0.5415,0.4585,1.8514,0.6493,0.3507,0.6673,14190.0000,21264.0000
1700701800000,1.6385,0.6210,0.3790,1.1803,0.5413,0.4587,1.8337,0.6471,0.3529,0.6673,14190.0000,21264.0000
1700702100000,1.6103,0.6169,0.3831,1.1779,0.5408,0.4592,1.8409,0.6480,0.3520,0.6673,14190.0000,21264.0000
1700702400000,1.6185,0.6181,0.3819,1.1776,0.5408,0.4592,1.8225,0.6457,0.3543,0.6673,14190.0000,21264.0000
1700702700000,1.6226,0.6187,0.3813,1.1784,0.5410,0.4590,1.8249,0.6460,0.3540,0.6673,14190.0000,21264.0000
1700703000000,1.6192,0.6182,0.3818,1.1799,0.5413,0.4587,1.8153,0.6448,0.3552,0.6673,14190.0000,21264.0000
1700703300000,1.6212,0.6185,0.3815,1.1823,0.5418,0.4582,1.8114,0.6443,0.3557,0.6673,14190.0000,21264.0000
1700703600000,1.6205,0.6184,0.3816,1.1814,0.5416,0.4584,1.7925,0.6419,0.3581,0.6673,14190.0000,21264.0000
1700703900000,1.6062,0.6163,0.3837,1.1805,0.5414,0.4586,1.8233,0.6458,0.3542,0.6673,14190.0000,21264.0000
