Timestamp,TopRatioAcc,TopLongAcc, TopShortAcc, TopRatioPos, TopLongPos, TopShortPos, GlobalRatioAcc, GlobalLongAcc, GlobalShortAcc, BuySellRatio, BuyVol, SelVol
1700695500000,1.9394,0.6598,0.3402,1.2218,0.5499,0.4501,2.5336,0.717,0.283,1.1347,9521.0,8391.0
1700695800000,1.9833,0.6648,0.3352,1.2187,0.5493,0.4507,2.5398,0.7175,0.2825,1.1347,9521.0,8391.0
1700696100000,1.9976,0.6664,0.3336,1.2196,0.5495,0.4505,2.5286,0.7166,0.2834,1.1347,9521.0,8391.0
1700696400000,1.9931,0.6659,0.3341,1.2195,0.5495,0.4505,2.5137,0.7154,0.2846,1.1347,9521.0,8391.0
1700696700000,1.978,0.6642,0.3358,1.2206,0.5497,0.4503,2.4904,0.7135,0.2865,1.1347,9521.0,8391.0
1700697000000,1.963,0.6625,0.3375,1.2199,0.5495,0.4505,2.4916,0.7136,0.2864,1.1347,9521.0,8391.0
1700697300000,1.9595,0.6621,0.3379,1.2212,0.5498,0.4502,2.499,0.7142,0.2858,1.1347,9521.0,8391.0
1700697600000,1.9603,0.6622,0.3378,1.2197,0.5495,0.4505,2.5026,0.7145,0.2855,1.1347,9521.0,8391.0
1700697900000,1.9621,0.6624,0.3376,1.2201,0.5496,0.4504,2.5336,0.717,0.283,1.1347,9521.0,8391.0
1700698200000,1.9851,0.665,0.335,1.219,0.5494,0.4506,2.5373,0.7173,0.2827,1.1347,9521.0,8391.0
1700698500000,1.9922,0.6658,0.3342,1.2206,0.5497,0.4503,2.5063,0.7148,0.2852,1.1347,9521.0,8391.0
1700698800000,1.9621,0.6624,0.3376,1.2205,0.5497,0.4503,2.5125,0.7153,0.2847,1.1347,9521.0,8391.0
1700699100000,1.9665,0.6629,0.3371,1.2174,0.549,0.451,2.4941,0.7138,0.2862,1.1347,9521.0,8391.0
1700699400000,1.9542,0.6615,0.3385,1.2185,0.5493,0.4507,2.4928,0.7137,0.2863,1.1347,9521.0,8391.0
1700699700000,1.9586,0.662,0.338,1.2193,0.5494,0.4506,2.5211,0.716,0.284,1.1347,9521.0,8391.0
1700700000000,1.97,0.6633,0.3367,1.2185,0.5492,0.4508,2.5298,0.7167,0.2833,1.1347,9521.0,8391.0
1700700300000,1.9771,0.6641,0.3359,1.2177,0.5491,0.4509,2.5075,0.7149,0.2851,1.1347,9521.0,8391.0
1700700600000,1.9727,0.6636,0.3364,1.2181,0.5492,0.4508,2.5249,0.7163,0.2837,1.1347,9521.0,8391.0
1700700900000,1.9744,0.6638,0.3362,1.218,0.5491,0.4509,2.5486,0.7182,0.2818,1.1347,9521.0,8391.0
1700701200000,1.9967,0.6663,0.3337,1.2204,0.5496,0.4504,2.5638,0.7194,0.2806,1.1347,9521.0,8391.0
1700701500000,2.0148,0.6683,0.3317,1.2205,0.5497,0.4503,2.5702,0.7199,0.2801,1.1347,9521.0,8391.0
1700701800000,2.0193,0.6688,0.3312,1.221,0.5498,0.4502,2.5524,0.7185,0.2815,1.1347,9521.0,8391.0
1700702100000,2.0057,0.6673,0.3327,1.2209,0.5497,0.4503,2.4771,0.7124,0.2876,1.1347,9521.0,8391.0
1700702400000,1.956,0.6617,0.3383,1.2168,0.5489,0.4511,2.4892,0.7134,0.2866,1.1347,9521.0,8391.0
1700702700000,1.9533,0.6614,0.3386,1.2183,0.5492,0.4508,2.5162,0.7156,0.2844,1.1347,9521.0,8391.0
1700703000000,1.9753,0.6639,0.3361,1.2192,0.5494,0.4506,2.5051,0.7147,0.2853,1.1347,9521.0,8391.0
1700703300000,1.9674,0.663,0.337,1.2202,0.5496,0.4504,2.5174,0.7157,0.2843,1.1347,9521.0,8391.0
1700703600000,1.9718,0.6635,0.3365,1.2186,0.5493,0.4507,2.4831,0.7129,0.2871,1.1347,9521.0,8391.0
1700703900000,1.9533,0.6614,0.3386,1.218,0.5491,0.4509,2.4977,0.7141,0.2859,1.1347,9521.0,8391.0
1700704200000,1.9586,0.662,0.338,1.2197,0.5495,0.4505,2.4578,0.7108,0.2892,1.1347,9521.0,8391.0
1700704500000,1.9377,0.6596,0.3404,1.2198,0.5495,0.4505,2.4341,0.7088,0.2912,1.1347,9521.0,8391.0
1700704800000,1.9019,0.6554,0.3446,1.2178,0.5491,0.4509,2.4037,0.7062,0.2938,1.1347,9521.0,8391.0
1700705100000,1.8769,0.6524,0.3476,1.2127,0.5481,0.4519,2.4376,0.7091,0.2909,1.1347,9521.0,8391.0
1700705400000,1.8994,0.6551,0.3449,1.2629,0.5581,0.4419,2.4376,0.7091,0.2909,1.1347,9521.0,8391.0
1700705700000,1.9797,0.6644,0.3356,1.2658,0.5587,0.4413,2.4423,0.7095,0.2905,1.1347,9521.0,8391.0
1700706000000,1.9833,0.6648,0.3352,1.2642,0.5583,0.4417,2.4542,0.7105,0.2895,1.1347,9521.0,8391.0
1700706300000,1.9958,0.6662,0.3338,1.2646,0.5584,0.4416,2.4698,0.7118,0.2882,1.1347,9521.0,8391.0
1700706600000,2.003,0.667,0.333,1.2661,0.5587,0.4413,2.465,0.7114,0.2886,1.1347,9521.0,8391.0
1700706900000,2.0039,0.6671,0.3329,1.2659,0.5587,0.4413,2.4566,0.7107,0.2893,1.1347,9521.0,8391.0
1700707200000,1.9967,0.6663,0.3337,1.2661,0.5587,0.4413,2.4638,0.7113,0.2887,1.1347,9521.0,8391.0
1700707500000,2.0003,0.6667,0.3333,1.2666,0.5588,0.4412,2.4341,0.7088,0.2912,1.1347,9521.0,8391.0
1700707800000,1.9771,0.6641,0.3359,1.2671,0.5589,0.4411,2.427,0.7082,0.2918,1.1347,9521.0,8391.0
1700708100000,1.9665,0.6629,0.3371,1.2669,0.5589,0.4411,2.4223,0.7078,0.2922,1.1347,9521.0,8391.0
1700708400000,1.9718,0.6635,0.3365,1.2674,0.559,0.441,2.4176,0.7074,0.2926,1.1347,9521.0,8391.0
1700708700000,1.9665,0.6629,0.3371,1.266,0.5587,0.4413,2.4317,0.7086,0.2914,1.1347,9521.0,8391.0
1700709000000,1.9771,0.6641,0.3359,1.2657,0.5586,0.4414,2.4447,0.7097,0.2903,1.1347,9521.0,8391.0
1700709300000,1.9824,0.6647,0.3353,1.2636,0.5582,0.4418,2.4471,0.7099,0.2901,1.1347,9521.0,8391.0
1700709600000,1.9895,0.6655,0.3345,1.2639,0.5583,0.4417,2.4495,0.7101,0.2899,1.1347,9521.0,8391.0
1700709900000,1.9878,0.6653,0.3347,1.2641,0.5583,0.4417,2.4686,0.7117,0.2883,1.1347,9521.0,8391.0
1700710200000,1.9967,0.6663,0.3337,1.262,0.5579,0.4421,2.4566,0.7107,0.2893,1.1347,9521.0,8391.0
1700710500000,1.9958,0.6662,0.3338,1.2628,0.5581,0.4419,2.459,0.7109,0.2891,1.1347,9521.0,8391.0
1700710800000,1.9931,0.6659,0.3341,1.2621,0.5579,0.4421,2.4566,0.7107,0.2893,1.1347,9521.0,8391.0
1700711100000,1.9949,0.6661,0.3339,1.2635,0.5582,0.4418,2.4674,0.7116,0.2884,1.1347,9521.0,8391.0
1700712300000,2.0066,0.6674,0.3326,1.2611,0.5577,0.4423,2.4447,0.7097,0.2903,1.1347,9521.0,8391.0
1700712600000,1.9913,0.6657,0.3343,1.2611,0.5577,0.4423,2.3979,0.7057,0.2943,1.1347,9521.0,8391.0
1700712900000,1.9638,0.6626,0.3374,1.2627,0.558,0.442,2.4341,0.7088,0.2912,1.1347,9521.0,8391.0
1700713200000,1.9851,0.665,0.335,1.2615,0.5578,0.4422,2.413,0.707,0.293,1.1347,9521.0,8391.0
1700713500000,1.9744,0.6638,0.3362,1.2638,0.5583,0.4417,2.4235,0.7079,0.2921,1.1347,9521.0,8391.0
1700713800000,1.9815,0.6646,0.3354,1.2628,0.5581,0.4419,2.427,0.7082,0.2918,1.1347,9521.0,8391.0
1700714100000,1.9718,0.6635,0.3365,1.2615,0.5578,0.4422,2.4364,0.709,0.291,1.1347,9521.0,8391.0
1700714400000,1.9789,0.6643,0.3357,1.2622,0.558,0.442,2.44,0.7093,0.2907,1.1347,9521.0,8391.0
1700714700000,1.9815,0.6646,0.3354,1.2618,0.5579,0.4421,2.44,0.7093,0.2907,1.1347,9521.0,8391.0
1700715000000,1.9842,0.6649,0.3351,1.261,0.5577,0.4423,2.488,0.7133,0.2867,1.1347,9521.0,8391.0
1700715300000,2.0166,0.6685,0.3315,1.2612,0.5578,0.4422,2.4953,0.7139,0.2861,1.1347,9521.0,8391.0
1700715600000,2.0239,0.6693,0.3307,1.2606,0.5576,0.4424,2.4831,0.7129,0.2871,1.1347,9521.0,8391.0
1700715900000,2.0111,0.6679,0.3321,1.261,0.5577,0.4423,2.4868,0.7132,0.2868,1.1347,9521.0,8391.0
1700716200000,2.0111,0.6679,0.3321,1.2604,0.5576,0.4424,2.4819,0.7128,0.2872,1.1347,9521.0,8391.0
1700716500000,2.0111,0.6679,0.3321,1.261,0.5577,0.4423,2.4977,0.7141,0.2859,1.1347,9521.0,8391.0
1700716800000,2.0294,0.6699,0.3301,1.2578,0.5571,0.4429,2.4953,0.7139,0.2861,1.1347,9521.0,8391.0
1700717100000,2.0432,0.6714,0.3286,1.2582,0.5572,0.4428,2.4965,0.714,0.286,1.1347,9521.0,8391.0
1700717400000,2.0404,0.6711,0.3289,1.2581,0.5572,0.4428,2.4843,0.713,0.287,1.1347,9521.0,8391.0
1700717700000,2.0358,0.6706,0.3294,1.2599,0.5575,0.4425,2.5088,0.715,0.285,1.1347,9521.0,8391.0
1700718000000,2.0534,0.6725,0.3275,1.2602,0.5576,0.4424,2.5174,0.7157,0.2843,1.1347,9521.0,8391.0
1700718300000,2.0525,0.6724,0.3276,1.2592,0.5574,0.4426,2.5137,0.7154,0.2846,1.1347,9521.0,8391.0
1700718600000,2.0553,0.6727,0.3273,1.2601,0.5575,0.4425,2.5174,0.7157,0.2843,1.1347,9521.0,8391.0
1700718900000,2.0618,0.6734,0.3266,1.2592,0.5574,0.4426,2.5125,0.7153,0.2847,1.1347,9521.0,8391.0
1700719200000,2.0637,0.6736,0.3264,1.2603,0.5576,0.4424,2.4977,0.7141,0.2859,1.1347,9521.0,8391.0
1700719500000,2.0516,0.6723,0.3277,1.2604,0.5576,0.4424,2.5112,0.7152,0.2848,1.1347,9521.0,8391.0
1700719800000,2.0731,0.6746,0.3254,1.2609,0.5577,0.4423,2.4965,0.714,0.286,1.1347,9521.0,8391.0
1700720100000,2.0544,0.6726,0.3274,1.2601,0.5576,0.4424,2.4965,0.714,0.286,1.1347,9521.0,8391.0
1700720400000,2.0562,0.6728,0.3272,1.2613,0.5578,0.4422,2.4843,0.713,0.287,1.1347,9521.0,8391.0
1700720700000,2.0469,0.6718,0.3282,1.2614,0.5578,0.4422,2.499,0.7142,0.2858,1.1347,9521.0,8391.0
1700721000000,2.0562,0.6728,0.3272,1.2603,0.5576,0.4424,2.4758,0.7123,0.2877,1.1347,9521.0,8391.0
1700721300000,2.0469,0.6718,0.3282,1.2639,0.5583,0.4417,2.4831,0.7129,0.2871,1.1347,9521.0,8391.0
1700721600000,2.046,0.6717,0.3283,1.2599,0.5575,0.4425,2.499,0.7142,0.2858,1.1347,9521.0,8391.0
1700721900000,2.0506,0.6722,0.3278,1.2606,0.5576,0.4424,2.5014,0.7144,0.2856,1.1347,9521.0,8391.0
1700722200000,2.0479,0.6719,0.3281,1.2592,0.5574,0.4426,2.488,0.7133,0.2867,1.1347,9521.0,8391.0
1700722500000,2.0432,0.6714,0.3286,1.2611,0.5577,0.4423,2.4783,0.7125,0.2875,1.1347,9521.0,8391.0
1700722800000,2.0469,0.6718,0.3282,1.2605,0.5576,0.4424,2.4638,0.7113,0.2887,1.1347,9521.0,8391.0
1700723100000,2.0349,0.6705,0.3295,1.2609,0.5577,0.4423,2.471,0.7119,0.2881,1.1347,9521.0,8391.0
1700723400000,2.0358,0.6706,0.3294,1.2621,0.5579,0.4421,2.4734,0.7121,0.2879,1.1347,9521.0,8391.0
1700723700000,2.0404,0.6711,0.3289,1.2619,0.5579,0.4421,2.4614,0.7111,0.2889,1.1347,9521.0,8391.0
1700724000000,2.034,0.6704,0.3296,1.2629,0.5581,0.4419,2.453,0.7104,0.2896,1.1347,9521.0,8391.0
1700724300000,2.0257,0.6695,0.3305,1.2622,0.5579,0.4421,2.4471,0.7099,0.2901,1.1347,9521.0,8391.0
1700724600000,2.0248,0.6694,0.3306,1.2632,0.5581,0.4419,2.4459,0.7098,0.2902,1.1347,9521.0,8391.0
1700724900000,2.0294,0.6699,0.3301,1.2654,0.5586,0.4414,2.4507,0.7102,0.2898,1.1347,9521.0,8391.0
1700725200000,2.0239,0.6693,0.3307,1.2631,0.5581,0.4419,2.4447,0.7097,0.2903,1.1347,9521.0,8391.0
1700725500000,2.0157,0.6684,0.3316,1.2626,0.558,0.442,2.4376,0.7091,0.2909,1.1347,9521.0,8391.0
1700725800000,2.0221,0.6691,0.3309,1.2632,0.5582,0.4418,2.4376,0.7091,0.2909,1.1347,9521.0,8391.0
1700726100000,2.0166,0.6685,0.3315,1.2622,0.5579,0.4421,2.4423,0.7095,0.2905,1.1347,9521.0,8391.0
1700726400000,2.0157,0.6684,0.3316,1.262,0.5579,0.4421,2.4165,0.7073,0.2927,1.1347,9521.0,8391.0
1700726700000,1.9815,0.6646,0.3354,1.2642,0.5583,0.4417,2.34,0.7006,0.2994,1.1347,9521.0,8391.0
1700727000000,1.9146,0.6569,0.3431,1.267,0.5589,0.4411,2.3422,0.7008,0.2992,1.1347,9521.0,8391.0
1700727300000,1.9146,0.6569,0.3431,1.2673,0.559,0.441,2.3467,0.7012,0.2988,1.1347,9521.0,8391.0
1700727600000,1.9155,0.657,0.343,1.2686,0.5592,0.4408,2.34,0.7006,0.2994,1.1347,9521.0,8391.0
1700727900000,1.9146,0.6569,0.3431,1.2697,0.5594,0.4406,2.34,0.7006,0.2994,1.1347,9521.0,8391.0
1700728200000,1.9121,0.6566,0.3434,1.2692,0.5593,0.4407,2.34,0.7006,0.2994,1.1347,9521.0,8391.0
1700728500000,1.9011,0.6553,0.3447,1.2687,0.5592,0.4408,2.3234,0.6991,0.3009,1.1347,9521.0,8391.0
1700728800000,1.891,0.6541,0.3459,1.2686,0.5592,0.4408,2.33,0.6997,0.3003,1.1347,9521.0,8391.0
1700729100000,1.896,0.6547,0.3453,1.2677,0.559,0.441,2.3267,0.6994,0.3006,1.1347,9521.0,8391.0
1700729400000,1.896,0.6547,0.3453,1.2684,0.5592,0.4408,2.358,0.7022,0.2978,1.1347,9521.0,8391.0
1700729700000,1.9121,0.6566,0.3434,1.2665,0.5588,0.4412,2.3625,0.7026,0.2974,1.1347,9521.0,8391.0
1700730000000,1.9189,0.6574,0.3426,1.2674,0.559,0.441,2.3727,0.7035,0.2965,1.1347,9521.0,8391.0
1700730300000,1.9231,0.6579,0.3421,1.2696,0.5594,0.4406,2.4235,0.7079,0.2921,1.1347,9521.0,8391.0
1700730600000,1.9709,0.6634,0.3366,1.2671,0.5589,0.4411,2.4141,0.7071,0.2929,1.1347,9521.0,8391.0
1700730900000,1.9603,0.6622,0.3378,1.2658,0.5587,0.4413,2.3864,0.7047,0.2953,1.1347,9521.0,8391.0
1700731200000,1.9464,0.6606,0.3394,1.267,0.5589,0.4411,2.3979,0.7057,0.2943,1.1347,9521.0,8391.0
1700731500000,1.9525,0.6613,0.3387,1.2679,0.5591,0.4409,2.3864,0.7047,0.2953,1.1347,9521.0,8391.0
1700731800000,1.9516,0.6612,0.3388,1.2673,0.5589,0.4411,2.3944,0.7054,0.2946,1.1347,9521.0,8391.0
1700732100000,1.9674,0.663,0.337,1.2667,0.5588,0.4412,2.3829,0.7044,0.2956,1.1347,9521.0,8391.0
1700732400000,1.97,0.6633,0.3367,1.2684,0.5592,0.4408,2.391,0.7051,0.2949,1.1347,9521.0,8391.0
1700732700000,1.9806,0.6645,0.3355,1.2665,0.5588,0.4412,2.3933,0.7053,0.2947,1.1347,9521.0,8391.0
1700733000000,1.9806,0.6645,0.3355,1.268,0.5591,0.4409,2.3693,0.7032,0.2968,1.1347,9521.0,8391.0
1700733300000,1.9735,0.6637,0.3363,1.2682,0.5591,0.4409,2.3841,0.7045,0.2955,1.1347,9521.0,8391.0
1700733600000,1.9665,0.6629,0.3371,1.2674,0.559,0.441,2.3647,0.7028,0.2972,1.1347,9521.0,8391.0
1700733900000,1.9647,0.6627,0.3373,1.2677,0.559,0.441,2.33,0.6997,0.3003,1.1347,9521.0,8391.0
1700734200000,1.9146,0.6569,0.3431,1.2678,0.559,0.441,2.3179,0.6986,0.3014,1.1347,9521.0,8391.0
1700734500000,1.9172,0.6572,0.3428,1.2687,0.5592,0.4408,2.3069,0.6976,0.3024,1.1347,9521.0,8391.0
1700734800000,1.9104,0.6564,0.3436,1.2703,0.5595,0.4405,2.3047,0.6974,0.3026,1.1347,9521.0,8391.0
1700735100000,1.9155,0.657,0.343,1.2715,0.5598,0.4402,2.349,0.7014,0.2986,1.1347,9521.0,8391.0
1700735400000,1.9455,0.6605,0.3395,1.2692,0.5593,0.4407,2.3322,0.6999,0.3001,1.1347,9521.0,8391.0
1700735700000,1.9412,0.66,0.34,1.2716,0.5598,0.4402,2.3333,0.7,0.3,1.1347,9521.0,8391.0
1700736000000,1.949,0.6609,0.3391,1.2713,0.5597,0.4403,2.3501,0.7015,0.2985,1.1347,9521.0,8391.0
1700736300000,1.963,0.6625,0.3375,1.2707,0.5596,0.4404,2.3784,0.704,0.296,1.1347,9521.0,8391.0
1700736600000,1.9833,0.6648,0.3352,1.271,0.5597,0.4403,2.406,0.7064,0.2936,1.1347,9521.0,8391.0
1700736900000,2.0057,0.6673,0.3327,1.2705,0.5596,0.4404,2.3704,0.7033,0.2967,1.1347,9521.0,8391.0
1700737200000,1.9895,0.6655,0.3345,1.2729,0.56,0.44,2.3478,0.7013,0.2987,1.1347,9521.0,8391.0
1700737500000,1.9568,0.6618,0.3382,1.2729,0.56,0.44,2.3546,0.7019,0.2981,1.1347,9521.0,8391.0
1700737800000,1.9682,0.6631,0.3369,1.2747,0.5604,0.4396,2.3322,0.6999,0.3001,1.1347,9521.0,8391.0
1700738100000,1.936,0.6594,0.3406,1.274,0.5603,0.4397,2.3091,0.6978,0.3022,1.1347,9521.0,8391.0
1700738400000,1.9129,0.6567,0.3433,1.275,0.5604,0.4396,2.3146,0.6983,0.3017,1.1347,9521.0,8391.0
