Timestamp,TopRatioAcc,TopLongAcc, TopShortAcc, TopRatioPos, TopLongPos, TopShortPos, GlobalRatioAcc, GlobalLongAcc, GlobalShortAcc, BuySellRatio, BuyVol, SelVol
1700642100000,2.4014,0.7060,0.2940,1.3830,0.5804,0.4196,3.0437,0.7527,0.2473,0.5929,189425.0000,319502.0000
1700642400000,2.4270,0.7082,0.2918,1.3833,0.5804,0.4196,3.0486,0.7530,0.2470,0.5929,189425.0000,319502.0000
1700642700000,2.4507,0.7102,0.2898,1.3864,0.5810,0.4190,3.0634,0.7539,0.2461,0.5929,189425.0000,319502.0000
1700643000000,2.4674,0.7116,0.2884,1.3881,0.5813,0.4187,3.0437,0.7527,0.2473,0.5929,189425.0000,319502.0000
1700643300000,2.4542,0.7105,0.2895,1.3874,0.5811,0.4189,3.0552,0.7534,0.2466,0.5929,189425.0000,319502.0000
1700643600000,2.4638,0.7113,0.2887,1.3877,0.5812,0.4188,3.0601,0.7537,0.2463,0.5929,189425.0000,319502.0000
1700643900000,2.4831,0.7129,0.2871,1.3919,0.5819,0.4181,3.0486,0.7530,0.2470,0.5929,189425.0000,319502.0000
1700644200000,2.4614,0.7111,0.2889,1.3903,0.5816,0.4184,3.0519,0.7532,0.2468,0.5929,189425.0000,319502.0000
1700644500000,2.4626,0.7112,0.2888,1.3931,0.5821,0.4179,3.0339,0.7521,0.2479,0.5929,189425.0000,319502.0000
1700644800000,2.4566,0.7107,0.2893,1.3944,0.5824,0.4176,3.0469,0.7529,0.2471,0.5929,189425.0000,319502.0000
1700645100000,2.4566,0.7107,0.2893,1.3948,0.5824,0.4176,3.0502,0.7531,0.2469,0.5929,189425.0000,319502.0000
1700645400000,2.4566,0.7107,0.2893,1.3947,0.5824,0.4176,3.0683,0.7542,0.2458,0.5929,189425.0000,319502.0000
1700645700000,2.4698,0.7118,0.2882,1.3915,0.5818,0.4182,3.0650,0.7540,0.2460,0.5929,189425.0000,319502.0000
1700646000000,2.4698,0.7118,0.2882,1.3919,0.5819,0.4181,3.0519,0.7532,0.2468,0.5929,189425.0000,319502.0000
1700646300000,2.4542,0.7105,0.2895,1.3903,0.5816,0.4184,3.0306,0.7519,0.2481,0.5929,189425.0000,319502.0000
