Timestamp,TopRatioAcc,TopLongAcc, TopShortAcc, TopRatioPos, TopLongPos, TopShortPos, GlobalRatioAcc, GlobalLongAcc, GlobalShortAcc, BuySellRatio, BuyVol, SelVol
1700642400000,2.5920,0.7216,0.2784,1.1566,0.5363,0.4637,3.0850,0.7552,0.2448,0.4832,544.0950,1125.9190
1700642700000,2.5423,0.7177,0.2823,1.1598,0.5370,0.4630,3.0258,0.7516,0.2484,0.4832,544.0950,1125.9190
1700643000000,2.5600,0.7191,0.2809,1.1583,0.5367,0.4633,3.0519,0.7532,0.2468,0.4832,544.0950,1125.9190
1700643300000,2.5945,0.7218,0.2782,1.1554,0.5360,0.4640,3.0866,0.7553,0.2447,0.4832,544.0950,1125.9190
1700643600000,2.5804,0.7207,0.2793,1.1586,0.5367,0.4633,3.0700,0.7543,0.2457,0.4832,544.0950,1125.9190
1700643900000,2.6010,0.7223,0.2777,1.1579,0.5366,0.4634,3.0917,0.7556,0.2444,0.4832,544.0950,1125.9190
1700644200000,2.5778,0.7205,0.2795,1.1570,0.5364,0.4636,3.0650,0.7540,0.2460,0.4832,544.0950,1125.9190
1700644500000,2.5651,0.7195,0.2805,1.1580,0.5366,0.4634,3.0453,0.7528,0.2472,0.4832,544.0950,1125.9190
1700644800000,2.5562,0.7188,0.2812,1.1586,0.5367,0.4633,3.0323,0.7520,0.2480,0.4832,544.0950,1125.9190
1700645100000,2.5448,0.7179,0.2821,1.1569,0.5364,0.4636,3.0225,0.7514,0.2486,0.4832,544.0950,1125.9190
1700645400000,2.5298,0.7167,0.2833,1.1588,0.5368,0.4632,3.0032,0.7502,0.2498,0.4832,544.0950,1125.9190
1700645700000,2.5051,0.7147,0.2853,1.1558,0.5361,0.4639,3.0016,0.7501,0.2499,0.4832,544.0950,1125.9190
1700646000000,2.5075,0.7149,0.2851,1.1539,0.5357,0.4643,2.9920,0.7495,0.2505,0.4832,544.0950,1125.9190
1700646300000,2.4990,0.7142,0.2858,1.1526,0.5354,0.4646,2.9888,0.7493,0.2507,0.4832,544.0950,1125.9190
1700646600000,2.5014,0.7144,0.2856,1.1554,0.5361,0.4639,2.9825,0.7489,0.2511,0.4832,544.0950,1125.9190
1700646900000,2.4638,0.7113,0.2887,1.1537,0.5357,0.4643,2.9526,0.7470,0.2530,0.4832,544.0950,1125.9190
1700647200000,2.4710,0.7119,0.2881,1.1500,0.5349,0.4651,2.9620,0.7476,0.2524,0.4832,544.0950,1125.9190
1700647500000,2.4566,0.7107,0.2893,1.1518,0.5353,0.4647,2.9448,0.7465,0.2535,0.4832,544.0950,1125.9190
1700647800000,2.4578,0.7108,0.2892,1.1540,0.5357,0.4643,2.9386,0.7461,0.2539,0.4832,544.0950,1125.9190
1700648100000,2.4626,0.7112,0.2888,1.1527,0.5355,0.4645,2.9635,0.7477,0.2523,0.4832,544.0950,1125.9190
1700648400000,2.4590,0.7109,0.2891,1.1534,0.5356,0.4644,2.9401,0.7462,0.2538,0.4832,544.0950,1125.9190
1700648700000,2.4831,0.7129,0.2871,1.1527,0.5355,0.4645,2.9730,0.7483,0.2517,0.4832,544.0950,1125.9190
1700649000000,2.4734,0.7121,0.2879,1.1494,0.5348,0.4652,2.9557,0.7472,0.2528,0.4832,544.0950,1125.9190
1700649300000,2.5026,0.7145,0.2855,1.1481,0.5345,0.4655,2.9809,0.7488,0.2512,0.4832,544.0950,1125.9190
1700649600000,2.5261,0.7164,0.2836,1.1475,0.5343,0.4657,3.0096,0.7506,0.2494,0.4832,544.0950,1125.9190
1700649900000,2.5186,0.7158,0.2842,1.1474,0.5343,0.4657,3.0048,0.7503,0.2497,0.4832,544.0950,1125.9190
