Timestamp,TopRatioAcc,TopLongAcc, TopShortAcc, TopRatioPos, TopLongPos, TopShortPos, GlobalRatioAcc, GlobalLongAcc, GlobalShortAcc, BuySellRatio, BuyVol, SelVol
1701358500000,3.3706,0.7712,0.2288,0.977,0.4942,0.5058,3.5025,0.7779,0.2221,0.0672,17759.0,264090.2
1701358800000,3.3898,0.7722,0.2278,0.9792,0.4947,0.5053,3.5086,0.7782,0.2218,0.0672,17759.0,264090.2
1701359100000,3.3592,0.7706,0.2294,0.9783,0.4945,0.5055,3.4863,0.7771,0.2229,0.0672,17759.0,264090.2
1701359400000,3.3687,0.7711,0.2289,0.9799,0.4949,0.5051,3.4843,0.777,0.223,0.0672,17759.0,264090.2
1701359700000,3.1649,0.7599,0.2401,0.9782,0.4945,0.5055,3.075,0.7546,0.2454,0.0672,17759.0,264090.2
1701360000000,3.1615,0.7597,0.2403,0.9784,0.4945,0.5055,3.07,0.7543,0.2457,0.0672,17759.0,264090.2
1701360300000,3.1649,0.7599,0.2401,0.9787,0.4946,0.5054,3.0717,0.7544,0.2456,0.0672,17759.0,264090.2
1701360600000,3.1754,0.7605,0.2395,0.9799,0.4949,0.5051,3.0766,0.7547,0.2453,0.0672,17759.0,264090.2
1701360900000,3.1459,0.7588,0.2412,0.9789,0.4947,0.5053,3.0568,0.7535,0.2465,0.0672,17759.0,264090.2
1701361200000,3.1876,0.7612,0.2388,0.9792,0.4947,0.5053,3.085,0.7552,0.2448,0.0672,17759.0,264090.2
1701361500000,3.1824,0.7609,0.2391,0.9769,0.4942,0.5058,3.0816,0.755,0.245,0.0672,17759.0,264090.2
1701361800000,3.1982,0.7618,0.2382,0.9771,0.4942,0.5058,3.0866,0.7553,0.2447,0.0672,17759.0,264090.2
1701362100000,3.1789,0.7607,0.2393,0.9762,0.494,0.506,3.0717,0.7544,0.2456,0.0672,17759.0,264090.2
1701362400000,3.1806,0.7608,0.2392,0.9777,0.4944,0.5056,3.0733,0.7545,0.2455,0.0672,17759.0,264090.2
1701362700000,3.1442,0.7587,0.2413,0.975,0.4937,0.5063,3.0519,0.7532,0.2468,0.0672,17759.0,264090.2
1701363000000,3.1356,0.7582,0.2418,0.9752,0.4937,0.5063,3.0519,0.7532,0.2468,0.0672,17759.0,264090.2
1701363300000,3.1494,0.759,0.241,0.9776,0.4943,0.5057,3.075,0.7546,0.2454,0.0672,17759.0,264090.2
