Timestamp,TopRatioAcc,TopLongAcc, TopShortAcc, TopRatioPos, TopLongPos, TopShortPos, GlobalRatioAcc, GlobalLongAcc, GlobalShortAcc, BuySellRatio, BuyVol, SelVol
1700642400000,2.7286,0.7318,0.2682,1.1178,0.5278,0.4722,2.4495,0.7101,0.2899,0.9906,1059.0000,1069.0000
1700642700000,2.7439,0.7329,0.2671,1.1176,0.5278,0.4722,2.4602,0.7110,0.2890,0.9906,1059.0000,1069.0000
1700643000000,2.7509,0.7334,0.2666,1.1182,0.5279,0.4721,2.4602,0.7110,0.2890,0.9906,1059.0000,1069.0000
1700643300000,2.6657,0.7272,0.2728,1.1196,0.5282,0.4718,2.3738,0.7036,0.2964,0.9906,1059.0000,1069.0000
1700643600000,2.6778,0.7281,0.2719,1.1194,0.5282,0.4718,2.4048,0.7063,0.2937,0.9906,1059.0000,1069.0000
1700643900000,2.6337,0.7248,0.2752,1.1230,0.5290,0.4710,2.3478,0.7013,0.2987,0.9906,1059.0000,1069.0000
1700644200000,2.5002,0.7143,0.2857,1.1193,0.5282,0.4718,2.2862,0.6957,0.3043,0.9906,1059.0000,1069.0000
1700644500000,2.4868,0.7132,0.2868,1.1200,0.5283,0.4717,2.2787,0.6950,0.3050,0.9906,1059.0000,1069.0000
1700644800000,2.4674,0.7116,0.2884,1.1214,0.5286,0.4714,2.2616,0.6934,0.3066,0.9906,1059.0000,1069.0000
1700645100000,2.4530,0.7104,0.2896,1.1205,0.5284,0.4716,2.2595,0.6932,0.3068,0.9906,1059.0000,1069.0000
1700645400000,2.5026,0.7145,0.2855,1.1213,0.5286,0.4714,2.2862,0.6957,0.3043,0.9906,1059.0000,1069.0000
1700645700000,2.4566,0.7107,0.2893,1.1206,0.5284,0.4716,2.2552,0.6928,0.3072,0.9906,1059.0000,1069.0000
1700646000000,2.4554,0.7106,0.2894,1.1218,0.5287,0.4713,2.2258,0.6900,0.3100,0.9906,1059.0000,1069.0000
1700646300000,2.4662,0.7115,0.2885,1.1235,0.5291,0.4709,2.2289,0.6903,0.3097,0.9906,1059.0000,1069.0000
