Timestamp,TopRatioAcc,TopLongAcc, TopShortAcc, TopRatioPos, TopLongPos, TopShortPos, GlobalRatioAcc, GlobalLongAcc, GlobalShortAcc, BuySellRatio, BuyVol, SelVol
1700696100000,2.0331,0.6703,0.3297,1.6174,0.6179,0.3821,2.51,0.7151,0.2849,1.22,5582.5,4575.9
1700696400000,2.0257,0.6695,0.3305,1.6182,0.6181,0.3819,2.5162,0.7156,0.2844,1.22,5582.5,4575.9
1700696700000,2.0497,0.6721,0.3279,1.6182,0.6181,0.3819,2.5125,0.7153,0.2847,1.22,5582.5,4575.9
1700697000000,2.0404,0.6711,0.3289,1.6187,0.6181,0.3819,2.5261,0.7164,0.2836,1.22,5582.5,4575.9
1700697300000,2.0516,0.6723,0.3277,1.6209,0.6185,0.3815,2.5125,0.7153,0.2847,1.22,5582.5,4575.9
1700697600000,2.0665,0.6739,0.3261,1.6201,0.6183,0.3817,2.5174,0.7157,0.2843,1.22,5582.5,4575.9
1700697900000,2.0562,0.6728,0.3272,1.622,0.6186,0.3814,2.5224,0.7161,0.2839,1.22,5582.5,4575.9
1700698200000,2.0713,0.6744,0.3256,1.6236,0.6189,0.3811,2.5186,0.7158,0.2842,1.22,5582.5,4575.9
1700698500000,2.0741,0.6747,0.3253,1.6222,0.6186,0.3814,2.5537,0.7186,0.2814,1.22,5582.5,4575.9
1700698800000,2.0562,0.6728,0.3272,1.6223,0.6187,0.3813,2.5524,0.7185,0.2815,1.22,5582.5,4575.9
1700699100000,2.0312,0.6701,0.3299,1.6234,0.6188,0.3812,2.5423,0.7177,0.2823,1.22,5582.5,4575.9
1700699400000,2.0248,0.6694,0.3306,1.6282,0.6195,0.3805,2.5063,0.7148,0.2852,1.22,5582.5,4575.9
1700699700000,2.0451,0.6716,0.3284,1.6319,0.62,0.38,2.5063,0.7148,0.2852,1.22,5582.5,4575.9
1700700000000,2.0285,0.6698,0.3302,1.6323,0.6201,0.3799,2.5386,0.7174,0.2826,1.22,5582.5,4575.9
1700700300000,2.0266,0.6696,0.3304,1.6308,0.6199,0.3801,2.5273,0.7165,0.2835,1.22,5582.5,4575.9
1700700600000,2.0084,0.6676,0.3324,1.6274,0.6194,0.3806,2.5298,0.7167,0.2833,1.22,5582.5,4575.9
1700700900000,2.0139,0.6682,0.3318,1.6271,0.6194,0.3806,2.5174,0.7157,0.2843,1.22,5582.5,4575.9
1700701200000,1.9994,0.6666,0.3334,1.6272,0.6194,0.3806,2.5162,0.7156,0.2844,1.22,5582.5,4575.9
1700701500000,2.0303,0.67,0.33,1.6282,0.6195,0.3805,2.5088,0.715,0.285,1.22,5582.5,4575.9
1700701800000,2.0221,0.6691,0.3309,1.6291,0.6196,0.3804,2.4953,0.7139,0.2861,1.22,5582.5,4575.9
1700702100000,2.0303,0.67,0.33,1.6252,0.6191,0.3809,2.4734,0.7121,0.2879,1.22,5582.5,4575.9
1700702400000,2.0285,0.6698,0.3302,1.6265,0.6193,0.3807,2.499,0.7142,0.2858,1.22,5582.5,4575.9
1700702700000,2.0367,0.6707,0.3293,1.6385,0.621,0.379,2.4977,0.7141,0.2859,1.22,5582.5,4575.9
1700703000000,2.0864,0.676,0.324,1.6263,0.6192,0.3808,2.499,0.7142,0.2858,1.22,5582.5,4575.9
1700703300000,2.0423,0.6713,0.3287,1.6283,0.6195,0.3805,2.6311,0.7246,0.2754,1.22,5582.5,4575.9
1700703600000,2.046,0.6717,0.3283,1.6302,0.6198,0.3802,2.5997,0.7222,0.2778,1.22,5582.5,4575.9
1700703900000,2.0432,0.6714,0.3286,1.6297,0.6197,0.3803,2.6023,0.7224,0.2776,1.22,5582.5,4575.9
1700704200000,2.0404,0.6711,0.3289,1.6292,0.6197,0.3803,2.6036,0.7225,0.2775,1.22,5582.5,4575.9
1700704500000,2.0441,0.6715,0.3285,1.6253,0.6191,0.3809,2.5907,0.7215,0.2785,1.22,5582.5,4575.9
1700704800000,2.0386,0.6709,0.3291,1.6269,0.6193,0.3807,2.5945,0.7218,0.2782,1.22,5582.5,4575.9
1700705100000,2.0516,0.6723,0.3277,1.6277,0.6194,0.3806,2.6023,0.7224,0.2776,1.22,5582.5,4575.9
1700705400000,2.0694,0.6742,0.3258,1.7892,0.6415,0.3585,2.592,0.7216,0.2784,1.22,5582.5,4575.9
1700705700000,2.2884,0.6959,0.3041,1.7942,0.6421,0.3579,2.614,0.7233,0.2767,1.22,5582.5,4575.9
1700706000000,2.2906,0.6961,0.3039,1.7879,0.6413,0.3587,2.6324,0.7247,0.2753,1.22,5582.5,4575.9
1700706300000,2.2884,0.6959,0.3041,1.7888,0.6414,0.3586,2.635,0.7249,0.2751,1.22,5582.5,4575.9
