Timestamp,TopRatioAcc,TopLongAcc, TopShortAcc, TopRatioPos, TopLongPos, TopShortPos, GlobalRatioAcc, GlobalLongAcc, GlobalShortAcc, BuySellRatio, BuyVol, SelVol
1700695800000,2.3636,0.7027,0.2973,0.9813,0.4953,0.5047,2.5211,0.716,0.284,1.4513,30247.0,20841.0
1700696100000,2.4014,0.706,0.294,0.9859,0.4964,0.5036,2.5149,0.7155,0.2845,1.4513,30247.0,20841.0
1700696400000,2.3636,0.7027,0.2973,0.9862,0.4965,0.5035,2.5051,0.7147,0.2853,1.4513,30247.0,20841.0
1700696700000,2.2873,0.6958,0.3042,0.9847,0.4961,0.5039,2.4542,0.7105,0.2895,1.4513,30247.0,20841.0
1700697000000,2.1898,0.6865,0.3135,0.9888,0.4972,0.5028,2.4118,0.7069,0.2931,1.4513,30247.0,20841.0
1700697300000,2.23,0.6904,0.3096,0.9825,0.4956,0.5044,2.3212,0.6989,0.3011,1.4513,30247.0,20841.0
1700697600000,2.2541,0.6927,0.3073,0.9849,0.4962,0.5038,2.4014,0.706,0.294,1.4513,30247.0,20841.0
1700697900000,2.2552,0.6928,0.3072,0.9811,0.4952,0.5048,2.4294,0.7084,0.2916,1.4513,30247.0,20841.0
1700698200000,2.2552,0.6928,0.3072,0.985,0.4962,0.5038,2.4352,0.7089,0.2911,1.4513,30247.0,20841.0
1700698500000,2.2489,0.6922,0.3078,0.9809,0.4952,0.5048,2.3887,0.7049,0.2951,1.4513,30247.0,20841.0
1700698800000,2.2489,0.6922,0.3078,0.9854,0.4963,0.5037,2.3979,0.7057,0.2943,1.4513,30247.0,20841.0
1700699100000,2.2798,0.6951,0.3049,0.9846,0.4961,0.5039,2.3761,0.7038,0.2962,1.4513,30247.0,20841.0
1700699400000,2.3003,0.697,0.303,0.984,0.496,0.504,2.413,0.707,0.293,1.4513,30247.0,20841.0
1700699700000,2.3738,0.7036,0.2964,0.983,0.4957,0.5043,2.4447,0.7097,0.2903,1.4513,30247.0,20841.0
1700700000000,2.3434,0.7009,0.2991,0.9832,0.4958,0.5042,2.5211,0.716,0.284,1.4513,30247.0,20841.0
1700700300000,2.3625,0.7026,0.2974,0.9879,0.497,0.503,2.5249,0.7163,0.2837,1.4513,30247.0,20841.0
1700700600000,2.3091,0.6978,0.3022,0.9893,0.4973,0.5027,2.5211,0.716,0.284,1.4513,30247.0,20841.0
1700700900000,2.3146,0.6983,0.3017,0.9849,0.4962,0.5038,2.4176,0.7074,0.2926,1.4513,30247.0,20841.0
1700701200000,2.308,0.6977,0.3023,0.9834,0.4958,0.5042,2.4423,0.7095,0.2905,1.4513,30247.0,20841.0
1700701500000,2.3591,0.7023,0.2977,0.9824,0.4956,0.5044,2.4459,0.7098,0.2902,1.4513,30247.0,20841.0
1700701800000,2.3322,0.6999,0.3001,0.9867,0.4967,0.5033,2.5051,0.7147,0.2853,1.4513,30247.0,20841.0
1700702100000,2.3445,0.701,0.299,0.9825,0.4956,0.5044,2.4662,0.7115,0.2885,1.4513,30247.0,20841.0
1700702400000,2.3322,0.6999,0.3001,0.9849,0.4962,0.5038,2.5026,0.7145,0.2855,1.4513,30247.0,20841.0
1700702700000,2.3146,0.6983,0.3017,0.985,0.4962,0.5038,2.5075,0.7149,0.2851,1.4513,30247.0,20841.0
1700703000000,2.3124,0.6981,0.3019,0.9829,0.4957,0.5043,2.4626,0.7112,0.2888,1.4513,30247.0,20841.0
1700703300000,2.3102,0.6979,0.3021,0.9821,0.4955,0.5045,2.4819,0.7128,0.2872,1.4513,30247.0,20841.0
1700703600000,2.3069,0.6976,0.3024,0.983,0.4957,0.5043,2.4904,0.7135,0.2865,1.4513,30247.0,20841.0
1700703900000,2.3025,0.6972,0.3028,0.987,0.4967,0.5033,2.5051,0.7147,0.2853,1.4513,30247.0,20841.0
1700704200000,2.2092,0.6884,0.3116,0.9829,0.4957,0.5043,2.4758,0.7123,0.2877,1.4513,30247.0,20841.0
1700704500000,2.2383,0.6912,0.3088,0.9796,0.4948,0.5052,2.3636,0.7027,0.2973,1.4513,30247.0,20841.0
1700704800000,2.2446,0.6918,0.3082,0.9845,0.4961,0.5039,2.4235,0.7079,0.2921,1.4513,30247.0,20841.0
1700705100000,2.2258,0.69,0.31,0.9842,0.496,0.504,2.4235,0.7079,0.2921,1.4513,30247.0,20841.0
1700705400000,2.2733,0.6945,0.3055,1.0334,0.5082,0.4918,2.3887,0.7049,0.2951,1.4513,30247.0,20841.0
1700705700000,2.3875,0.7048,0.2952,1.0371,0.5091,0.4909,2.4317,0.7086,0.2914,1.4513,30247.0,20841.0
1700706000000,2.3875,0.7048,0.2952,1.0346,0.5085,0.4915,2.4674,0.7116,0.2884,1.4513,30247.0,20841.0
1700706300000,2.358,0.7022,0.2978,1.0313,0.5077,0.4923,2.453,0.7104,0.2896,1.4513,30247.0,20841.0
1700706600000,2.349,0.7014,0.2986,1.0358,0.5088,0.4912,2.4317,0.7086,0.2914,1.4513,30247.0,20841.0
1700706900000,2.3568,0.7021,0.2979,1.0363,0.5089,0.4911,2.3784,0.704,0.296,1.4513,30247.0,20841.0
1700707200000,2.3715,0.7034,0.2966,1.0363,0.5089,0.4911,2.4037,0.7062,0.2938,1.4513,30247.0,20841.0
1700707500000,2.3784,0.704,0.296,1.0361,0.5089,0.4911,2.4072,0.7065,0.2935,1.4513,30247.0,20841.0
1700707800000,2.3727,0.7035,0.2965,1.0329,0.5081,0.4919,2.4211,0.7077,0.2923,1.4513,30247.0,20841.0
1700708100000,2.3613,0.7025,0.2975,1.0329,0.5081,0.4919,2.4025,0.7061,0.2939,1.4513,30247.0,20841.0
1700708400000,2.3887,0.7049,0.2951,1.0322,0.5079,0.4921,2.3967,0.7056,0.2944,1.4513,30247.0,20841.0
1700708700000,2.3887,0.7049,0.2951,1.033,0.5081,0.4919,2.413,0.707,0.293,1.4513,30247.0,20841.0
1700709000000,2.4341,0.7088,0.2912,1.0352,0.5087,0.4913,2.4542,0.7105,0.2895,1.4513,30247.0,20841.0
1700709300000,2.4258,0.7081,0.2919,1.0349,0.5086,0.4914,2.471,0.7119,0.2881,1.4513,30247.0,20841.0
1700709600000,2.4211,0.7077,0.2923,1.034,0.5084,0.4916,2.471,0.7119,0.2881,1.4513,30247.0,20841.0
1700709900000,2.4235,0.7079,0.2921,1.033,0.5081,0.4919,2.4626,0.7112,0.2888,1.4513,30247.0,20841.0
1700710200000,2.4188,0.7075,0.2925,1.0291,0.5072,0.4928,2.4783,0.7125,0.2875,1.4513,30247.0,20841.0
1700710500000,2.4083,0.7066,0.2934,1.0303,0.5075,0.4925,2.4686,0.7117,0.2883,1.4513,30247.0,20841.0
