Timestamp,TopRatioAcc,TopLongAcc, TopShortAcc, TopRatioPos, TopLongPos, TopShortPos, GlobalRatioAcc, GlobalLongAcc, GlobalShortAcc, BuySellRatio, BuyVol, SelVol
1700695500000,2.87,0.7416,0.2584,3.1654,0.7599,0.2401,3.4307,0.7743,0.2257,0.823,4470534.0,5431985.0
1700695800000,2.8685,0.7415,0.2585,3.1674,0.76,0.24,3.4366,0.7746,0.2254,0.823,4470534.0,5431985.0
1700696100000,2.864,0.7412,0.2588,3.1733,0.7604,0.2396,3.4307,0.7743,0.2257,0.823,4470534.0,5431985.0
1700696400000,2.8655,0.7413,0.2587,3.1731,0.7604,0.2396,3.4267,0.7741,0.2259,0.823,4470534.0,5431985.0
1700696700000,2.8655,0.7413,0.2587,3.1705,0.7602,0.2398,3.4287,0.7742,0.2258,0.823,4470534.0,5431985.0
1700697000000,2.858,0.7408,0.2592,3.1809,0.7608,0.2392,3.4092,0.7732,0.2268,0.823,4470534.0,5431985.0
1700697300000,2.864,0.7412,0.2588,3.1821,0.7609,0.2391,3.4092,0.7732,0.2268,0.823,4470534.0,5431985.0
1700697600000,2.8476,0.7401,0.2599,3.1809,0.7608,0.2392,3.4053,0.773,0.227,0.823,4470534.0,5431985.0
1700697900000,2.8462,0.74,0.26,3.1832,0.761,0.239,3.4111,0.7733,0.2267,0.823,4470534.0,5431985.0
1700698200000,2.8462,0.74,0.26,3.1836,0.761,0.239,3.4111,0.7733,0.2267,0.823,4470534.0,5431985.0
1700698500000,2.8447,0.7399,0.2601,3.1824,0.7609,0.2391,3.4033,0.7729,0.2271,0.823,4470534.0,5431985.0
1700698800000,2.8417,0.7397,0.2603,3.1742,0.7604,0.2396,3.4033,0.7729,0.2271,0.823,4470534.0,5431985.0
1700699100000,2.8388,0.7395,0.2605,3.1732,0.7604,0.2396,3.4014,0.7728,0.2272,0.823,4470534.0,5431985.0
1700699400000,2.8402,0.7396,0.2604,3.1734,0.7604,0.2396,3.4189,0.7737,0.2263,0.823,4470534.0,5431985.0
1700699700000,2.8432,0.7398,0.2602,3.1703,0.7602,0.2398,3.4267,0.7741,0.2259,0.823,4470534.0,5431985.0
1700700000000,2.8402,0.7396,0.2604,3.1738,0.7604,0.2396,3.4385,0.7747,0.2253,0.823,4470534.0,5431985.0
1700700300000,2.8506,0.7403,0.2597,3.1737,0.7604,0.2396,3.4405,0.7748,0.2252,0.823,4470534.0,5431985.0
1700700600000,2.87,0.7416,0.2584,3.1837,0.761,0.239,3.4326,0.7744,0.2256,0.823,4470534.0,5431985.0
1700700900000,2.876,0.742,0.258,3.1831,0.7609,0.2391,3.415,0.7735,0.2265,0.823,4470534.0,5431985.0
1700701200000,2.8685,0.7415,0.2585,3.1726,0.7603,0.2397,3.3956,0.7725,0.2275,0.823,4470534.0,5431985.0
1700701500000,2.8521,0.7404,0.2596,3.1653,0.7599,0.2401,3.3956,0.7725,0.2275,0.823,4470534.0,5431985.0
1700701800000,2.8462,0.74,0.26,3.163,0.7598,0.2402,3.384,0.7719,0.2281,0.823,4470534.0,5431985.0
1700702100000,2.8417,0.7397,0.2603,3.1575,0.7595,0.2405,3.3802,0.7717,0.2283,0.823,4470534.0,5431985.0
1700702400000,2.8373,0.7394,0.2606,3.1498,0.759,0.241,3.3403,0.7696,0.2304,0.823,4470534.0,5431985.0
1700702700000,2.8285,0.7388,0.2612,3.1448,0.7587,0.2413,3.3328,0.7692,0.2308,0.823,4470534.0,5431985.0
1700703000000,2.8095,0.7375,0.2625,3.1405,0.7585,0.2415,3.3422,0.7697,0.2303,0.823,4470534.0,5431985.0
1700703300000,2.8066,0.7373,0.2627,3.131,0.7579,0.2421,3.3384,0.7695,0.2305,0.823,4470534.0,5431985.0
1700703600000,2.8153,0.7379,0.2621,3.133,0.758,0.242,3.3384,0.7695,0.2305,0.823,4470534.0,5431985.0
1700703900000,2.8124,0.7377,0.2623,3.1281,0.7578,0.2422,3.3365,0.7694,0.2306,0.823,4470534.0,5431985.0
1700704200000,2.811,0.7376,0.2624,3.1279,0.7577,0.2423,3.3328,0.7692,0.2308,0.823,4470534.0,5431985.0
1700704500000,2.8153,0.7379,0.2621,3.1307,0.7579,0.2421,3.3271,0.7689,0.2311,0.823,4470534.0,5431985.0
1700704800000,2.8124,0.7377,0.2623,3.1328,0.758,0.242,3.3215,0.7686,0.2314,0.823,4470534.0,5431985.0
1700705100000,2.8052,0.7372,0.2628,3.2256,0.7633,0.2367,3.3745,0.7714,0.2286,0.823,4470534.0,5431985.0
1700705400000,2.8037,0.7371,0.2629,3.2375,0.764,0.236,3.3706,0.7712,0.2288,0.823,4470534.0,5431985.0
