Timestamp,TopRatioAcc,TopLongAcc, TopShortAcc, TopRatioPos, TopLongPos, TopShortPos, GlobalRatioAcc, GlobalLongAcc, GlobalShortAcc, BuySellRatio, BuyVol, SelVol
1700695500000,3.4863,0.7771,0.2229,1.0466,0.5114,0.4886,3.9603,0.7984,0.2016,0.4778,38563.0000,80705.0000
1700695800000,3.3745,0.7714,0.2286,1.0468,0.5114,0.4886,3.8591,0.7942,0.2058,0.4778,38563.0000,80705.0000
1700696100000,3.3937,0.7724,0.2276,1.0455,0.5111,0.4889,3.8804,0.7951,0.2049,0.4778,38563.0000,80705.0000
1700696400000,3.4092,0.7732,0.2268,1.0462,0.5113,0.4887,3.8900,0.7955,0.2045,0.4778,38563.0000,80705.0000
1700696700000,3.4150,0.7735,0.2265,1.0466,0.5114,0.4886,3.8996,0.7959,0.2041,0.4778,38563.0000,80705.0000
1700697000000,3.4209,0.7738,0.2262,1.0474,0.5116,0.4884,3.8900,0.7955,0.2045,0.4778,38563.0000,80705.0000
1700697300000,3.4603,0.7758,0.2242,1.0475,0.5116,0.4884,3.9334,0.7973,0.2027,0.4778,38563.0000,80705.0000
1700697600000,3.4504,0.7753,0.2247,1.0478,0.5117,0.4883,3.9237,0.7969,0.2031,0.4778,38563.0000,80705.0000
1700697900000,3.5641,0.7809,0.2191,1.0452,0.5110,0.4890,4.0556,0.8022,0.1978,0.4778,38563.0000,80705.0000
1700698200000,3.5496,0.7802,0.2198,1.0473,0.5115,0.4885,4.0125,0.8005,0.1995,0.4778,38563.0000,80705.0000
1700698500000,3.5228,0.7789,0.2211,1.0463,0.5113,0.4887,3.9801,0.7992,0.2008,0.4778,38563.0000,80705.0000
1700698800000,3.5167,0.7786,0.2214,1.0465,0.5114,0.4886,3.9702,0.7988,0.2012,0.4778,38563.0000,80705.0000
1700699100000,3.5167,0.7786,0.2214,1.0460,0.5112,0.4888,4.0050,0.8002,0.1998,0.4778,38563.0000,80705.0000
1700699400000,3.5005,0.7778,0.2222,1.0474,0.5116,0.4884,3.9628,0.7985,0.2015,0.4778,38563.0000,80705.0000
1700699700000,3.5025,0.7779,0.2221,1.0478,0.5117,0.4883,3.9432,0.7977,0.2023,0.4778,38563.0000,80705.0000
1700700000000,3.4643,0.7760,0.2240,1.0483,0.5118,0.4882,3.9213,0.7968,0.2032,0.4778,38563.0000,80705.0000
1700700300000,3.4823,0.7769,0.2231,1.0468,0.5114,0.4886,3.9407,0.7976,0.2024,0.4778,38563.0000,80705.0000
1700700600000,3.4683,0.7762,0.2238,1.0458,0.5112,0.4888,3.9383,0.7975,0.2025,0.4778,38563.0000,80705.0000
1700700900000,3.4603,0.7758,0.2242,1.0473,0.5116,0.4884,3.9188,0.7967,0.2033,0.4778,38563.0000,80705.0000
1700701200000,3.4504,0.7753,0.2247,1.0458,0.5112,0.4888,3.9285,0.7971,0.2029,0.4778,38563.0000,80705.0000
1700701500000,3.4783,0.7767,0.2233,1.0415,0.5102,0.4898,3.9727,0.7989,0.2011,0.4778,38563.0000,80705.0000
1700701800000,3.4964,0.7776,0.2224,1.0425,0.5104,0.4896,3.9875,0.7995,0.2005,0.4778,38563.0000,80705.0000
1700702100000,3.4924,0.7774,0.2226,1.0428,0.5105,0.4895,3.9727,0.7989,0.2011,0.4778,38563.0000,80705.0000
1700702400000,3.5045,0.7780,0.2220,1.0424,0.5104,0.4896,4.0025,0.8001,0.1999,0.4778,38563.0000,80705.0000
1700702700000,3.5249,0.7790,0.2210,1.0432,0.5106,0.4894,4.0277,0.8011,0.1989,0.4778,38563.0000,80705.0000
1700703000000,3.5208,0.7788,0.2212,1.0431,0.5105,0.4895,4.0201,0.8008,0.1992,0.4778,38563.0000,80705.0000
1700703300000,3.5475,0.7801,0.2199,1.0452,0.5110,0.4890,4.0352,0.8014,0.1986,0.4778,38563.0000,80705.0000
1700703600000,3.5641,0.7809,0.2191,1.0453,0.5111,0.4889,4.0505,0.8020,0.1980,0.4778,38563.0000,80705.0000
1700703900000,3.5537,0.7804,0.2196,1.0439,0.5107,0.4893,4.0480,0.8019,0.1981,0.4778,38563.0000,80705.0000
1700704200000,3.5537,0.7804,0.2196,1.0455,0.5111,0.4889,4.0454,0.8018,0.1982,0.4778,38563.0000,80705.0000
1700704500000,3.5413,0.7798,0.2202,1.0452,0.5111,0.4889,4.0176,0.8007,0.1993,0.4778,38563.0000,80705.0000
1700704800000,3.5496,0.7802,0.2198,1.0449,0.5110,0.4890,4.0251,0.8010,0.1990,0.4778,38563.0000,80705.0000
1700705100000,3.5351,0.7795,0.2205,1.0450,0.5110,0.4890,4.0075,0.8003,0.1997,0.4778,38563.0000,80705.0000
1700705400000,3.5496,0.7802,0.2198,1.0769,0.5185,0.4815,4.0100,0.8004,0.1996,0.4778,38563.0000,80705.0000
1700705700000,3.7801,0.7908,0.2092,1.0776,0.5187,0.4813,3.9900,0.7996,0.2004,0.4778,38563.0000,80705.0000
1700706000000,3.7416,0.7891,0.2109,1.0764,0.5184,0.4816,3.9480,0.7979,0.2021,0.4778,38563.0000,80705.0000
1700706300000,3.6882,0.7867,0.2133,1.0762,0.5184,0.4816,3.9092,0.7963,0.2037,0.4778,38563.0000,80705.0000
1700706600000,3.6860,0.7866,0.2134,1.0764,0.5184,0.4816,3.9068,0.7962,0.2038,0.4778,38563.0000,80705.0000
1700706900000,3.6970,0.7871,0.2129,1.0771,0.5185,0.4815,3.9116,0.7964,0.2036,0.4778,38563.0000,80705.0000
1700707200000,3.6970,0.7871,0.2129,1.0763,0.5184,0.4816,3.9164,0.7966,0.2034,0.4778,38563.0000,80705.0000
1700707500000,3.6860,0.7866,0.2134,1.0759,0.5183,0.4817,3.9237,0.7969,0.2031,0.4778,38563.0000,80705.0000
1700707800000,3.7237,0.7883,0.2117,1.0763,0.5184,0.4816,3.9579,0.7983,0.2017,0.4778,38563.0000,80705.0000
1700708100000,3.7148,0.7879,0.2121,1.0759,0.5183,0.4817,3.9554,0.7982,0.2018,0.4778,38563.0000,80705.0000
1700708400000,3.7214,0.7882,0.2118,1.0753,0.5181,0.4819,3.9702,0.7988,0.2012,0.4778,38563.0000,80705.0000
1700708700000,3.7529,0.7896,0.2104,1.0770,0.5185,0.4815,3.9628,0.7985,0.2015,0.4778,38563.0000,80705.0000
1700709000000,3.7393,0.7890,0.2110,1.0771,0.5186,0.4814,3.9529,0.7981,0.2019,0.4778,38563.0000,80705.0000
1700709300000,3.7438,0.7892,0.2108,1.0763,0.5184,0.4816,3.9801,0.7992,0.2008,0.4778,38563.0000,80705.0000
1700709600000,3.7483,0.7894,0.2106,1.0761,0.5183,0.4817,3.9529,0.7981,0.2019,0.4778,38563.0000,80705.0000
1700709900000,3.7461,0.7893,0.2107,1.0753,0.5181,0.4819,3.9702,0.7988,0.2012,0.4778,38563.0000,80705.0000
1700710200000,3.7483,0.7894,0.2106,1.0744,0.5179,0.4821,3.9751,0.7990,0.2010,0.4778,38563.0000,80705.0000
