Timestamp,TopRatioAcc,TopLongAcc, TopShortAcc, TopRatioPos, TopLongPos, TopShortPos, GlobalRatioAcc, GlobalLongAcc, GlobalShortAcc, BuySellRatio, BuyVol, SelVol
1700695800000,2.4188,0.7075,0.2925,1.4920,0.5987,0.4013,2.4083,0.7066,0.2934,1.3964,326640.1000,233921.3000
1700696100000,2.3875,0.7048,0.2952,1.4893,0.5983,0.4017,2.3910,0.7051,0.2949,1.3964,326640.1000,233921.3000
1700696400000,2.3864,0.7047,0.2953,1.4868,0.5979,0.4021,2.3910,0.7051,0.2949,1.3964,326640.1000,233921.3000
1700696700000,2.3921,0.7052,0.2948,1.4852,0.5976,0.4024,2.3956,0.7055,0.2945,1.3964,326640.1000,233921.3000
1700697000000,2.3795,0.7041,0.2959,1.4833,0.5973,0.4027,2.3864,0.7047,0.2953,1.3964,326640.1000,233921.3000
1700697300000,2.3784,0.7040,0.2960,1.4835,0.5973,0.4027,2.3887,0.7049,0.2951,1.3964,326640.1000,233921.3000
1700697600000,2.3715,0.7034,0.2966,1.4815,0.5970,0.4030,2.3807,0.7042,0.2958,1.3964,326640.1000,233921.3000
1700697900000,2.3807,0.7042,0.2958,1.4777,0.5964,0.4036,2.3910,0.7051,0.2949,1.3964,326640.1000,233921.3000
1700698200000,2.3681,0.7031,0.2969,1.4770,0.5963,0.4037,2.3887,0.7049,0.2951,1.3964,326640.1000,233921.3000
1700698500000,2.3613,0.7025,0.2975,1.4846,0.5975,0.4025,2.3852,0.7046,0.2954,1.3964,326640.1000,233921.3000
1700698800000,2.3864,0.7047,0.2953,1.4796,0.5967,0.4033,2.4014,0.7060,0.2940,1.3964,326640.1000,233921.3000
1700699100000,2.3738,0.7036,0.2964,1.4841,0.5974,0.4026,2.3898,0.7050,0.2950,1.3964,326640.1000,233921.3000
1700699400000,2.3887,0.7049,0.2951,1.4832,0.5973,0.4027,2.3979,0.7057,0.2943,1.3964,326640.1000,233921.3000
1700699700000,2.3829,0.7044,0.2956,1.4856,0.5977,0.4023,2.4002,0.7059,0.2941,1.3964,326640.1000,233921.3000
1700700000000,2.3921,0.7052,0.2948,1.4867,0.5979,0.4021,2.4060,0.7064,0.2936,1.3964,326640.1000,233921.3000
1700700300000,2.4060,0.7064,0.2936,1.4851,0.5976,0.4024,2.4106,0.7068,0.2932,1.3964,326640.1000,233921.3000
1700700600000,2.4153,0.7072,0.2928,1.4857,0.5977,0.4023,2.4130,0.7070,0.2930,1.3964,326640.1000,233921.3000
1700700900000,2.4106,0.7068,0.2932,1.4820,0.5971,0.4029,2.4106,0.7068,0.2932,1.3964,326640.1000,233921.3000
1700701200000,2.4025,0.7061,0.2939,1.4842,0.5975,0.4025,2.4095,0.7067,0.2933,1.3964,326640.1000,233921.3000
1700701500000,2.4002,0.7059,0.2941,1.4899,0.5984,0.4016,2.3990,0.7058,0.2942,1.3964,326640.1000,233921.3000
1700701800000,2.4048,0.7063,0.2937,1.4884,0.5981,0.4019,2.4014,0.7060,0.2940,1.3964,326640.1000,233921.3000
1700702100000,2.3898,0.7050,0.2950,1.4897,0.5983,0.4017,2.3887,0.7049,0.2951,1.3964,326640.1000,233921.3000
1700702400000,2.3681,0.7031,0.2969,1.4884,0.5981,0.4019,2.3727,0.7035,0.2965,1.3964,326640.1000,233921.3000
1700702700000,2.3772,0.7039,0.2961,1.4847,0.5975,0.4025,2.3875,0.7048,0.2952,1.3964,326640.1000,233921.3000
1700703000000,2.3445,0.7010,0.2990,1.4908,0.5985,0.4015,2.3636,0.7027,0.2973,1.3964,326640.1000,233921.3000
1700703300000,2.3580,0.7022,0.2978,1.4907,0.5985,0.4015,2.3670,0.7030,0.2970,1.3964,326640.1000,233921.3000
1700703600000,2.3625,0.7026,0.2974,1.4875,0.5980,0.4020,2.3738,0.7036,0.2964,1.3964,326640.1000,233921.3000
1700703900000,2.3546,0.7019,0.2981,1.4868,0.5979,0.4021,2.3715,0.7034,0.2966,1.3964,326640.1000,233921.3000
1700704200000,2.3557,0.7020,0.2980,1.4874,0.5980,0.4020,2.3715,0.7034,0.2966,1.3964,326640.1000,233921.3000
1700704500000,2.3557,0.7020,0.2980,1.4868,0.5979,0.4021,2.3704,0.7033,0.2967,1.3964,326640.1000,233921.3000
1700704800000,2.3659,0.7029,0.2971,1.4819,0.5971,0.4029,2.3761,0.7038,0.2962,1.3964,326640.1000,233921.3000
1700705100000,2.3636,0.7027,0.2973,1.5626,0.6098,0.3902,2.3784,0.7040,0.2960,1.3964,326640.1000,233921.3000
1700705400000,2.3933,0.7053,0.2947,1.5720,0.6112,0.3888,2.3990,0.7058,0.2942,1.3964,326640.1000,233921.3000
1700705700000,2.4843,0.7130,0.2870,1.5651,0.6102,0.3898,2.4014,0.7060,0.2940,1.3964,326640.1000,233921.3000
1700706000000,2.4602,0.7110,0.2890,1.5677,0.6105,0.3895,2.3887,0.7049,0.2951,1.3964,326640.1000,233921.3000
1700706300000,2.4614,0.7111,0.2889,1.5662,0.6103,0.3897,2.3852,0.7046,0.2954,1.3964,326640.1000,233921.3000
1700706600000,2.4674,0.7116,0.2884,1.5688,0.6107,0.3893,2.3933,0.7053,0.2947,1.3964,326640.1000,233921.3000
1700706900000,2.4590,0.7109,0.2891,1.5742,0.6115,0.3885,2.3852,0.7046,0.2954,1.3964,326640.1000,233921.3000
1700707200000,2.4650,0.7114,0.2886,1.5718,0.6112,0.3888,2.3807,0.7042,0.2958,1.3964,326640.1000,233921.3000
1700707500000,2.4590,0.7109,0.2891,1.5691,0.6108,0.3892,2.3784,0.7040,0.2960,1.3964,326640.1000,233921.3000
1700707800000,2.4614,0.7111,0.2889,1.5679,0.6106,0.3894,2.3807,0.7042,0.2958,1.3964,326640.1000,233921.3000
1700708100000,2.4614,0.7111,0.2889,1.5708,0.6110,0.3890,2.3795,0.7041,0.2959,1.3964,326640.1000,233921.3000
