Timestamp,TopRatioAcc,TopLongAcc, TopShortAcc, TopRatioPos, TopLongPos, TopShortPos, GlobalRatioAcc, GlobalLongAcc, GlobalShortAcc, BuySellRatio, BuyVol, SelVol
1700695800000,0.8783,0.4676,0.5324,1.1568,0.5364,0.4636,0.9493,0.4870,0.5130,1.0633,111.7710,105.1190
1700696100000,0.8893,0.4707,0.5293,1.1553,0.5360,0.4640,0.9562,0.4888,0.5112,1.0633,111.7710,105.1190
1700696400000,0.8861,0.4698,0.5302,1.1574,0.5365,0.4635,0.9596,0.4897,0.5103,1.0633,111.7710,105.1190
1700696700000,0.8861,0.4698,0.5302,1.1586,0.5367,0.4633,0.9451,0.4859,0.5141,1.0633,111.7710,105.1190
1700697000000,0.8854,0.4696,0.5304,1.1592,0.5369,0.4631,0.9677,0.4918,0.5082,1.0633,111.7710,105.1190
1700697300000,0.8864,0.4699,0.5301,1.1588,0.5368,0.4632,0.9550,0.4885,0.5115,1.0633,111.7710,105.1190
1700697600000,0.8804,0.4682,0.5318,1.1579,0.5366,0.4634,0.9543,0.4883,0.5117,1.0633,111.7710,105.1190
1700697900000,0.8741,0.4664,0.5336,1.1579,0.5366,0.4634,0.9531,0.4880,0.5120,1.0633,111.7710,105.1190
1700698200000,0.8832,0.4690,0.5310,1.1568,0.5364,0.4636,0.9596,0.4897,0.5103,1.0633,111.7710,105.1190
1700698500000,0.9091,0.4762,0.5238,1.1555,0.5361,0.4639,0.9818,0.4954,0.5046,1.0633,111.7710,105.1190
1700698800000,0.8886,0.4705,0.5295,1.1530,0.5355,0.4645,0.9512,0.4875,0.5125,1.0633,111.7710,105.1190
1700699100000,0.8925,0.4716,0.5284,1.1540,0.5357,0.4643,0.9569,0.4890,0.5110,1.0633,111.7710,105.1190
1700699400000,0.8804,0.4682,0.5318,1.1544,0.5358,0.4642,0.9395,0.4844,0.5156,1.0633,111.7710,105.1190
1700699700000,0.8762,0.4670,0.5330,1.1531,0.5356,0.4644,0.9459,0.4861,0.5139,1.0633,111.7710,105.1190
1700700000000,0.8776,0.4674,0.5326,1.1506,0.5350,0.4650,0.9406,0.4847,0.5153,1.0633,111.7710,105.1190
1700700300000,0.8868,0.4700,0.5300,1.1484,0.5345,0.4655,0.9566,0.4889,0.5111,1.0633,111.7710,105.1190
1700700600000,0.8879,0.4703,0.5297,1.1487,0.5346,0.4654,0.9312,0.4822,0.5178,1.0633,111.7710,105.1190
1700700900000,0.8889,0.4706,0.5294,1.1489,0.5346,0.4654,0.9604,0.4899,0.5101,1.0633,111.7710,105.1190
1700701200000,0.8929,0.4717,0.5283,1.1487,0.5346,0.4654,0.9681,0.4919,0.5081,1.0633,111.7710,105.1190
1700701500000,0.8968,0.4728,0.5272,1.1482,0.5345,0.4655,0.9524,0.4878,0.5122,1.0633,111.7710,105.1190
1700701800000,0.8972,0.4729,0.5271,1.1483,0.5345,0.4655,0.9497,0.4871,0.5129,1.0633,111.7710,105.1190
1700702100000,0.8997,0.4736,0.5264,1.1482,0.5345,0.4655,0.9554,0.4886,0.5114,1.0633,111.7710,105.1190
1700702400000,0.8997,0.4736,0.5264,1.1483,0.5345,0.4655,0.9646,0.4910,0.5090,1.0633,111.7710,105.1190
1700702700000,0.9019,0.4742,0.5258,1.1483,0.5345,0.4655,0.9508,0.4874,0.5126,1.0633,111.7710,105.1190
1700703000000,0.8997,0.4736,0.5264,1.1500,0.5349,0.4651,0.9662,0.4914,0.5086,1.0633,111.7710,105.1190
1700703300000,0.9029,0.4745,0.5255,1.1479,0.5344,0.4656,0.9569,0.4890,0.5110,1.0633,111.7710,105.1190
1700703600000,0.9040,0.4748,0.5252,1.1489,0.5346,0.4654,0.9716,0.4928,0.5072,1.0633,111.7710,105.1190
1700703900000,0.8907,0.4711,0.5289,1.1496,0.5348,0.4652,0.9596,0.4897,0.5103,1.0633,111.7710,105.1190
1700704200000,0.8904,0.4710,0.5290,1.1499,0.5349,0.4651,0.9623,0.4904,0.5096,1.0633,111.7710,105.1190
1700704500000,0.8893,0.4707,0.5293,1.1509,0.5351,0.4649,0.9399,0.4845,0.5155,1.0633,111.7710,105.1190
1700704800000,0.9008,0.4739,0.5261,1.1501,0.5349,0.4651,0.9550,0.4885,0.5115,1.0633,111.7710,105.1190
1700705100000,0.8990,0.4734,0.5266,1.1507,0.5350,0.4650,0.9716,0.4928,0.5072,1.0633,111.7710,105.1190
1700705400000,0.8957,0.4725,0.5275,1.1501,0.5349,0.4651,0.9724,0.4930,0.5070,1.0633,111.7710,105.1190
1700705700000,0.9436,0.4855,0.5145,1.1563,0.5362,0.4638,0.9747,0.4936,0.5064,1.0633,111.7710,105.1190
1700706000000,0.9448,0.4858,0.5142,1.1528,0.5355,0.4645,0.9775,0.4943,0.5057,1.0633,111.7710,105.1190
1700706300000,0.9365,0.4836,0.5164,1.1495,0.5348,0.4652,0.9547,0.4884,0.5116,1.0633,111.7710,105.1190
1700706600000,0.9331,0.4827,0.5173,1.1498,0.5348,0.4652,0.9433,0.4854,0.5146,1.0633,111.7710,105.1190
1700706900000,0.9354,0.4833,0.5167,1.1490,0.5347,0.4653,0.9539,0.4882,0.5118,1.0633,111.7710,105.1190
1700707200000,0.9417,0.4850,0.5150,1.1488,0.5346,0.4654,0.9448,0.4858,0.5142,1.0633,111.7710,105.1190
1700707500000,0.9395,0.4844,0.5156,1.1491,0.5347,0.4653,0.9505,0.4873,0.5127,1.0633,111.7710,105.1190
1700707800000,0.9298,0.4818,0.5182,1.1490,0.5347,0.4653,0.9512,0.4875,0.5125,1.0633,111.7710,105.1190
1700708100000,0.9384,0.4841,0.5159,1.1485,0.5346,0.4654,0.9569,0.4890,0.5110,1.0633,111.7710,105.1190
1700708400000,0.9463,0.4862,0.5138,1.1497,0.5348,0.4652,0.9650,0.4911,0.5089,1.0633,111.7710,105.1190
1700708700000,0.9451,0.4859,0.5141,1.1492,0.5347,0.4653,0.9716,0.4928,0.5072,1.0633,111.7710,105.1190
1700709000000,0.9440,0.4856,0.5144,1.1497,0.5348,0.4652,0.9547,0.4884,0.5116,1.0633,111.7710,105.1190
1700709300000,0.9309,0.4821,0.5179,1.1508,0.5351,0.4649,0.9478,0.4866,0.5134,1.0633,111.7710,105.1190
1700709600000,0.9223,0.4798,0.5202,1.1509,0.5351,0.4649,0.9421,0.4851,0.5149,1.0633,111.7710,105.1190
1700709900000,0.9205,0.4793,0.5207,1.1509,0.5351,0.4649,0.9365,0.4836,0.5164,1.0633,111.7710,105.1190
1700710200000,0.9268,0.4810,0.5190,1.1510,0.5351,0.4649,0.9429,0.4853,0.5147,1.0633,111.7710,105.1190
1700710500000,0.9410,0.4848,0.5152,1.1510,0.5351,0.4649,0.9493,0.4870,0.5130,1.0633,111.7710,105.1190
1700710800000,0.9354,0.4833,0.5167,1.1514,0.5352,0.4648,0.9482,0.4867,0.5133,1.0633,111.7710,105.1190
1700711100000,0.9376,0.4839,0.5161,1.1540,0.5357,0.4643,0.9474,0.4865,0.5135,1.0633,111.7710,105.1190
1700712300000,0.9376,0.4839,0.5161,1.1510,0.5351,0.4649,0.9474,0.4865,0.5135,1.0633,111.7710,105.1190
1700712600000,0.9301,0.4819,0.5181,1.1515,0.5352,0.4648,0.9573,0.4891,0.5109,1.0633,111.7710,105.1190
1700712900000,0.9342,0.4830,0.5170,1.1521,0.5353,0.4647,0.9531,0.4880,0.5120,1.0633,111.7710,105.1190
1700713200000,0.9324,0.4825,0.5175,1.1529,0.5355,0.4645,0.9474,0.4865,0.5135,1.0633,111.7710,105.1190
1700713500000,0.9346,0.4831,0.5169,1.1525,0.5354,0.4646,0.9585,0.4894,0.5106,1.0633,111.7710,105.1190
