Timestamp,TopRatioAcc,TopLongAcc, TopShortAcc, TopRatioPos, TopLongPos, TopShortPos, GlobalRatioAcc, GlobalLongAcc, GlobalShortAcc, BuySellRatio, BuyVol, SelVol
1700695200000,1.867,0.6512,0.3488,0.7992,0.4442,0.5558,1.4349,0.5893,0.4107,0.727,0.221,0.304
1700695500000,1.8802,0.6528,0.3472,0.7993,0.4442,0.5558,1.4184,0.5865,0.4135,0.727,0.221,0.304
1700695800000,1.8474,0.6488,0.3512,0.7991,0.4442,0.5558,1.4067,0.5845,0.4155,0.727,0.221,0.304
1700696100000,1.809,0.644,0.356,0.7989,0.4441,0.5559,1.4091,0.5849,0.4151,0.727,0.221,0.304
1700696400000,1.8043,0.6434,0.3566,0.7989,0.4441,0.5559,1.4184,0.5865,0.4135,0.727,0.221,0.304
1700696700000,1.8225,0.6457,0.3543,0.7988,0.4441,0.5559,1.4184,0.5865,0.4135,0.727,0.221,0.304
1700697000000,1.8225,0.6457,0.3543,0.7989,0.4441,0.5559,1.4313,0.5887,0.4113,0.727,0.221,0.304
1700697300000,1.8353,0.6473,0.3527,0.799,0.4441,0.5559,1.4184,0.5865,0.4135,0.727,0.221,0.304
1700697600000,1.8289,0.6465,0.3535,0.799,0.4441,0.5559,1.4219,0.5871,0.4129,0.727,0.221,0.304
1700697900000,1.8474,0.6488,0.3512,0.7992,0.4442,0.5558,1.4366,0.5896,0.4104,0.727,0.221,0.304
1700698200000,1.8794,0.6527,0.3473,0.7995,0.4443,0.5557,1.4184,0.5865,0.4135,0.727,0.221,0.304
1700698500000,1.8409,0.648,0.352,0.7987,0.4441,0.5559,1.4166,0.5862,0.4138,0.727,0.221,0.304
1700698800000,1.8474,0.6488,0.3512,0.7989,0.4441,0.5559,1.4242,0.5875,0.4125,0.727,0.221,0.304
1700699100000,1.8547,0.6497,0.3503,0.7989,0.4441,0.5559,1.4207,0.5869,0.4131,0.727,0.221,0.304
1700699400000,1.8547,0.6497,0.3503,0.7989,0.4441,0.5559,1.4444,0.5909,0.4091,0.727,0.221,0.304
1700699700000,1.9053,0.6558,0.3442,0.7989,0.4441,0.5559,1.454,0.5925,0.4075,0.727,0.221,0.304
1700700000000,1.9248,0.6581,0.3419,0.7989,0.4441,0.5559,1.4576,0.5931,0.4069,0.727,0.221,0.304
1700700300000,1.9586,0.662,0.338,0.799,0.4441,0.5559,1.4576,0.5931,0.4069,0.727,0.221,0.304
1700700600000,1.9586,0.662,0.338,0.799,0.4441,0.5559,1.4468,0.5913,0.4087,0.727,0.221,0.304
1700700900000,1.9455,0.6605,0.3395,0.7989,0.4441,0.5559,1.4426,0.5906,0.4094,0.727,0.221,0.304
1700701200000,1.9455,0.6605,0.3395,0.7989,0.4441,0.5559,1.4444,0.5909,0.4091,0.727,0.221,0.304
1700701500000,1.9248,0.6581,0.3419,0.7985,0.444,0.556,1.4845,0.5975,0.4025,0.727,0.221,0.304
1700701800000,1.9727,0.6636,0.3364,0.7944,0.4427,0.5573,1.4919,0.5987,0.4013,0.727,0.221,0.304
1700702100000,2.0003,0.6667,0.3333,0.7945,0.4427,0.5573,1.5019,0.6003,0.3997,0.727,0.221,0.304
1700702400000,2.0148,0.6683,0.3317,0.7944,0.4427,0.5573,1.49,0.5984,0.4016,0.727,0.221,0.304
1700702700000,2.0075,0.6675,0.3325,0.7948,0.4428,0.5572,1.4765,0.5962,0.4038,0.727,0.221,0.304
1700703000000,1.9516,0.6612,0.3388,0.7945,0.4427,0.5573,1.4826,0.5972,0.4028,0.727,0.221,0.304
1700703300000,1.9647,0.6627,0.3373,0.7946,0.4428,0.5572,1.49,0.5984,0.4016,0.727,0.221,0.304
1700703600000,1.9789,0.6643,0.3357,0.7957,0.4431,0.5569,1.4845,0.5975,0.4025,0.727,0.221,0.304
1700704200000,1.9931,0.6659,0.3341,0.7957,0.4431,0.5569,1.4944,0.5991,0.4009,0.727,0.221,0.304
1700704500000,2.0003,0.6667,0.3333,0.7956,0.4431,0.5569,1.5082,0.6013,0.3987,0.727,0.221,0.304
1700704800000,2.0211,0.669,0.331,0.7953,0.443,0.557,1.5214,0.6034,0.3966,0.727,0.221,0.304
1700705100000,2.0139,0.6682,0.3318,0.7953,0.443,0.557,1.5259,0.6041,0.3959,0.727,0.221,0.304
1700705400000,2.0075,0.6675,0.3325,0.8385,0.4561,0.5439,1.5019,0.6003,0.3997,0.727,0.221,0.304
1700705700000,2.1075,0.6782,0.3218,0.8394,0.4563,0.5437,1.49,0.5984,0.4016,0.727,0.221,0.304
1700706000000,2.1456,0.6821,0.3179,0.8394,0.4563,0.5437,1.4882,0.5981,0.4019,0.727,0.221,0.304
1700706300000,2.2,0.6875,0.3125,0.84,0.4565,0.5435,1.5214,0.6034,0.3966,0.727,0.221,0.304
