Timestamp,TopRatioAcc,TopLongAcc, TopShortAcc, TopRatioPos, TopLongPos, TopShortPos, GlobalRatioAcc, GlobalLongAcc, GlobalShortAcc, BuySellRatio, BuyVol, SelVol
1700642400000,2.2895,0.6960,0.3040,1.0492,0.5120,0.4880,3.3956,0.7725,0.2275,1.0039,21933.0000,21847.6000
1700642700000,2.2938,0.6964,0.3036,1.0484,0.5118,0.4882,3.3879,0.7721,0.2279,1.0039,21933.0000,21847.6000
1700643000000,2.3003,0.6970,0.3030,1.0493,0.5120,0.4880,3.4072,0.7731,0.2269,1.0039,21933.0000,21847.6000
1700643300000,2.2906,0.6961,0.3039,1.0491,0.5120,0.4880,3.3840,0.7719,0.2281,1.0039,21933.0000,21847.6000
1700643600000,2.2830,0.6954,0.3046,1.0500,0.5122,0.4878,3.3783,0.7716,0.2284,1.0039,21933.0000,21847.6000
1700643900000,2.2895,0.6960,0.3040,1.0506,0.5123,0.4877,3.3879,0.7721,0.2279,1.0039,21933.0000,21847.6000
1700644200000,2.2992,0.6969,0.3031,1.0488,0.5119,0.4881,3.4053,0.7730,0.2270,1.0039,21933.0000,21847.6000
1700644500000,2.3146,0.6983,0.3017,1.0470,0.5115,0.4885,3.4209,0.7738,0.2262,1.0039,21933.0000,21847.6000
1700644800000,2.3014,0.6971,0.3029,1.0479,0.5117,0.4883,3.4092,0.7732,0.2268,1.0039,21933.0000,21847.6000
1700645100000,2.2949,0.6965,0.3035,1.0473,0.5115,0.4885,3.4131,0.7734,0.2266,1.0039,21933.0000,21847.6000
1700645400000,2.3069,0.6976,0.3024,1.0452,0.5110,0.4890,3.4248,0.7740,0.2260,1.0039,21933.0000,21847.6000
1700645700000,2.2949,0.6965,0.3035,1.0456,0.5112,0.4888,3.4053,0.7730,0.2270,1.0039,21933.0000,21847.6000
1700646000000,2.2895,0.6960,0.3040,1.0471,0.5115,0.4885,3.3937,0.7724,0.2276,1.0039,21933.0000,21847.6000
1700646300000,2.2927,0.6963,0.3037,1.0485,0.5118,0.4882,3.3898,0.7722,0.2278,1.0039,21933.0000,21847.6000
1700646600000,2.3069,0.6976,0.3024,1.0506,0.5123,0.4877,3.4150,0.7735,0.2265,1.0039,21933.0000,21847.6000
1700646900000,2.3047,0.6974,0.3026,1.0498,0.5121,0.4879,3.4189,0.7737,0.2263,1.0039,21933.0000,21847.6000
1700647200000,2.3036,0.6973,0.3027,1.0488,0.5119,0.4881,3.4131,0.7734,0.2266,1.0039,21933.0000,21847.6000
1700647500000,2.3167,0.6985,0.3015,1.0475,0.5116,0.4884,3.4405,0.7748,0.2252,1.0039,21933.0000,21847.6000
1700647800000,2.3156,0.6984,0.3016,1.0493,0.5120,0.4880,3.4228,0.7739,0.2261,1.0039,21933.0000,21847.6000
1700648100000,2.3167,0.6985,0.3015,1.0470,0.5115,0.4885,3.4346,0.7745,0.2255,1.0039,21933.0000,21847.6000
1700648400000,2.2916,0.6962,0.3038,1.0468,0.5114,0.4886,3.4111,0.7733,0.2267,1.0039,21933.0000,21847.6000
1700648700000,2.3080,0.6977,0.3023,1.0482,0.5118,0.4882,3.4150,0.7735,0.2265,1.0039,21933.0000,21847.6000
1700649000000,2.2906,0.6961,0.3039,1.0486,0.5119,0.4881,3.3783,0.7716,0.2284,1.0039,21933.0000,21847.6000
1700649300000,2.2884,0.6959,0.3041,1.0504,0.5123,0.4877,3.3497,0.7701,0.2299,1.0039,21933.0000,21847.6000
1700649600000,2.2949,0.6965,0.3035,1.0520,0.5127,0.4873,3.3346,0.7693,0.2307,1.0039,21933.0000,21847.6000
1700649900000,2.2798,0.6951,0.3049,1.0507,0.5124,0.4876,3.3516,0.7702,0.2298,1.0039,21933.0000,21847.6000
1700650200000,2.2723,0.6944,0.3056,1.0516,0.5126,0.4874,3.3440,0.7698,0.2302,1.0039,21933.0000,21847.6000
1700650500000,2.2733,0.6945,0.3055,1.0509,0.5124,0.4876,3.3346,0.7693,0.2307,1.0039,21933.0000,21847.6000
1700650800000,2.2701,0.6942,0.3058,1.0533,0.5130,0.4870,3.3422,0.7697,0.2303,1.0039,21933.0000,21847.6000
1700651100000,2.2552,0.6928,0.3072,1.0530,0.5129,0.4871,3.3328,0.7692,0.2308,1.0039,21933.0000,21847.6000
1700651400000,2.2489,0.6922,0.3078,1.0523,0.5128,0.4872,3.3122,0.7681,0.2319,1.0039,21933.0000,21847.6000
1700651700000,2.2584,0.6931,0.3069,1.0507,0.5124,0.4876,3.3234,0.7687,0.2313,1.0039,21933.0000,21847.6000
1700652000000,2.2520,0.6925,0.3075,1.0508,0.5124,0.4876,3.3253,0.7688,0.2312,1.0039,21933.0000,21847.6000
1700652300000,2.2563,0.6929,0.3071,1.0483,0.5118,0.4882,3.3497,0.7701,0.2299,1.0039,21933.0000,21847.6000
1700652600000,2.2595,0.6932,0.3068,1.0492,0.5120,0.4880,3.3346,0.7693,0.2307,1.0039,21933.0000,21847.6000
1700652900000,2.2595,0.6932,0.3068,1.0496,0.5121,0.4879,3.3346,0.7693,0.2307,1.0039,21933.0000,21847.6000
1700653200000,2.2541,0.6927,0.3073,1.0487,0.5119,0.4881,3.3384,0.7695,0.2305,1.0039,21933.0000,21847.6000
1700653500000,2.2595,0.6932,0.3068,1.0488,0.5119,0.4881,3.3422,0.7697,0.2303,1.0039,21933.0000,21847.6000
1700653800000,2.2595,0.6932,0.3068,1.0513,0.5125,0.4875,3.3309,0.7691,0.2309,1.0039,21933.0000,21847.6000
