Timestamp,TopRatioAcc,TopLongAcc, TopShortAcc, TopRatioPos, TopLongPos, TopShortPos, GlobalRatioAcc, GlobalLongAcc, GlobalShortAcc, BuySellRatio, BuyVol, SelVol
1700695500000,1.9326,0.6590,0.3410,1.2218,0.5499,0.4501,2.0960,0.6770,0.3230,0.9351,2893502.0000,3094191.0000
1700695800000,1.9403,0.6599,0.3401,1.2210,0.5497,0.4503,2.0950,0.6769,0.3231,0.9351,2893502.0000,3094191.0000
1700696100000,1.9223,0.6578,0.3422,1.2205,0.5496,0.4504,2.0902,0.6764,0.3236,0.9351,2893502.0000,3094191.0000
1700696400000,1.8910,0.6541,0.3459,1.2196,0.5495,0.4505,2.0647,0.6737,0.3263,0.9351,2893502.0000,3094191.0000
1700696700000,1.8653,0.6510,0.3490,1.2191,0.5494,0.4506,2.0525,0.6724,0.3276,0.9351,2893502.0000,3094191.0000
1700697000000,1.8852,0.6534,0.3466,1.2178,0.5491,0.4509,2.0703,0.6743,0.3257,0.9351,2893502.0000,3094191.0000
1700697300000,1.9351,0.6593,0.3407,1.2232,0.5502,0.4498,2.1075,0.6782,0.3218,0.9351,2893502.0000,3094191.0000
1700697600000,1.9036,0.6556,0.3444,1.2188,0.5493,0.4507,2.0694,0.6742,0.3258,0.9351,2893502.0000,3094191.0000
1700697900000,1.9011,0.6553,0.3447,1.2259,0.5507,0.4493,2.0703,0.6743,0.3257,0.9351,2893502.0000,3094191.0000
1700698200000,1.9121,0.6566,0.3434,1.2239,0.5503,0.4497,2.0902,0.6764,0.3236,0.9351,2893502.0000,3094191.0000
1700698500000,1.9028,0.6555,0.3445,1.2230,0.5502,0.4498,2.0845,0.6758,0.3242,0.9351,2893502.0000,3094191.0000
1700698800000,1.9240,0.6580,0.3420,1.2311,0.5518,0.4482,2.0998,0.6774,0.3226,0.9351,2893502.0000,3094191.0000
1700699100000,1.9265,0.6583,0.3417,1.2269,0.5509,0.4491,2.1095,0.6784,0.3216,0.9351,2893502.0000,3094191.0000
1700699400000,1.9577,0.6619,0.3381,1.2255,0.5507,0.4493,2.1211,0.6796,0.3204,0.9351,2893502.0000,3094191.0000
1700699700000,1.8835,0.6532,0.3468,1.2256,0.5507,0.4493,1.9420,0.6601,0.3399,0.9351,2893502.0000,3094191.0000
1700700000000,1.9087,0.6562,0.3438,1.2309,0.5517,0.4483,1.9206,0.6576,0.3424,0.9351,2893502.0000,3094191.0000
1700700300000,1.9053,0.6558,0.3442,1.2308,0.5517,0.4483,1.9019,0.6554,0.3446,0.9351,2893502.0000,3094191.0000
