Timestamp,TopRatioAcc,TopLongAcc, TopShortAcc, TopRatioPos, TopLongPos, TopShortPos, GlobalRatioAcc, GlobalLongAcc, GlobalShortAcc, BuySellRatio, BuyVol, SelVol
1700695500000,2.9841,0.7490,0.2510,1.0452,0.5111,0.4889,3.0371,0.7523,0.2477,0.9512,49104.0000,51622.0000
1700695800000,2.9683,0.7480,0.2520,1.0442,0.5108,0.4892,3.0453,0.7528,0.2472,0.9512,49104.0000,51622.0000
1700696100000,2.9620,0.7476,0.2524,1.0443,0.5108,0.4892,3.0420,0.7526,0.2474,0.9512,49104.0000,51622.0000
1700696400000,2.9541,0.7471,0.2529,1.0454,0.5111,0.4889,3.0193,0.7512,0.2488,0.9512,49104.0000,51622.0000
1700696700000,2.9541,0.7471,0.2529,1.0453,0.5111,0.4889,3.0241,0.7515,0.2485,0.9512,49104.0000,51622.0000
1700697000000,2.9339,0.7458,0.2542,1.0464,0.5113,0.4887,2.9904,0.7494,0.2506,0.9512,49104.0000,51622.0000
1700697300000,2.9370,0.7460,0.2540,1.0460,0.5112,0.4888,2.9888,0.7493,0.2507,0.9512,49104.0000,51622.0000
1700697600000,2.9510,0.7469,0.2531,1.0452,0.5111,0.4889,3.0096,0.7506,0.2494,0.9512,49104.0000,51622.0000
1700697900000,2.9386,0.7461,0.2539,1.0452,0.5111,0.4889,2.9888,0.7493,0.2507,0.9512,49104.0000,51622.0000
1700698200000,2.9262,0.7453,0.2547,1.0445,0.5109,0.4891,3.0112,0.7507,0.2493,0.9512,49104.0000,51622.0000
1700698500000,2.9698,0.7481,0.2519,1.0442,0.5108,0.4892,3.0404,0.7525,0.2475,0.9512,49104.0000,51622.0000
1700698800000,2.9635,0.7477,0.2523,1.0444,0.5109,0.4891,3.0193,0.7512,0.2488,0.9512,49104.0000,51622.0000
1700699100000,2.9573,0.7473,0.2527,1.0444,0.5109,0.4891,3.0339,0.7521,0.2479,0.9512,49104.0000,51622.0000
1700699400000,2.9093,0.7442,0.2558,1.0465,0.5114,0.4886,2.9761,0.7485,0.2515,0.9512,49104.0000,51622.0000
1700699700000,2.9448,0.7465,0.2535,1.0461,0.5113,0.4887,2.9920,0.7495,0.2505,0.9512,49104.0000,51622.0000
1700700000000,2.9262,0.7453,0.2547,1.0469,0.5115,0.4885,2.9825,0.7489,0.2511,0.9512,49104.0000,51622.0000
1700700300000,2.9154,0.7446,0.2554,1.0463,0.5113,0.4887,2.9857,0.7491,0.2509,0.9512,49104.0000,51622.0000
1700700600000,2.8790,0.7422,0.2578,1.0452,0.5111,0.4889,2.9386,0.7461,0.2539,0.9512,49104.0000,51622.0000
1700700900000,2.9185,0.7448,0.2552,1.0458,0.5112,0.4888,2.9683,0.7480,0.2520,0.9512,49104.0000,51622.0000
1700701200000,2.9293,0.7455,0.2545,1.0453,0.5111,0.4889,2.9698,0.7481,0.2519,0.9512,49104.0000,51622.0000
1700701500000,2.9185,0.7448,0.2552,1.0439,0.5107,0.4893,2.9809,0.7488,0.2512,0.9512,49104.0000,51622.0000
1700701800000,2.9588,0.7474,0.2526,1.0432,0.5106,0.4894,3.0048,0.7503,0.2497,0.9512,49104.0000,51622.0000
1700702100000,2.9604,0.7475,0.2525,1.0425,0.5104,0.4896,3.0209,0.7513,0.2487,0.9512,49104.0000,51622.0000
1700702400000,2.9510,0.7469,0.2531,1.0418,0.5102,0.4898,3.0258,0.7516,0.2484,0.9512,49104.0000,51622.0000
1700702700000,2.9588,0.7474,0.2526,1.0422,0.5103,0.4897,3.0258,0.7516,0.2484,0.9512,49104.0000,51622.0000
1700703000000,2.9463,0.7466,0.2534,1.0418,0.5102,0.4898,3.0161,0.7510,0.2490,0.9512,49104.0000,51622.0000
1700703300000,2.9714,0.7482,0.2518,1.0442,0.5108,0.4892,3.0000,0.7500,0.2500,0.9512,49104.0000,51622.0000
1700703600000,2.9968,0.7498,0.2502,1.0443,0.5108,0.4892,3.0225,0.7514,0.2486,0.9512,49104.0000,51622.0000
1700703900000,2.9809,0.7488,0.2512,1.0438,0.5107,0.4893,3.0274,0.7517,0.2483,0.9512,49104.0000,51622.0000
1700704200000,2.9683,0.7480,0.2520,1.0446,0.5109,0.4891,3.0112,0.7507,0.2493,0.9512,49104.0000,51622.0000
1700704500000,2.9888,0.7493,0.2507,1.0447,0.5109,0.4891,3.0177,0.7511,0.2489,0.9512,49104.0000,51622.0000
1700704800000,2.9355,0.7459,0.2541,1.0450,0.5110,0.4890,2.9588,0.7474,0.2526,0.9512,49104.0000,51622.0000
1700705100000,2.9526,0.7470,0.2530,1.0449,0.5110,0.4890,2.9920,0.7495,0.2505,0.9512,49104.0000,51622.0000
1700705400000,2.9463,0.7466,0.2534,1.0633,0.5153,0.4847,2.9604,0.7475,0.2525,0.9512,49104.0000,51622.0000
1700705700000,2.9620,0.7476,0.2524,1.0644,0.5156,0.4844,2.9620,0.7476,0.2524,0.9512,49104.0000,51622.0000
1700706000000,2.9355,0.7459,0.2541,1.0635,0.5154,0.4846,2.9746,0.7484,0.2516,0.9512,49104.0000,51622.0000
1700706300000,2.9032,0.7438,0.2562,1.0633,0.5153,0.4847,2.9324,0.7457,0.2543,0.9512,49104.0000,51622.0000
1700706600000,2.8971,0.7434,0.2566,1.0635,0.5154,0.4846,2.9108,0.7443,0.2557,0.9512,49104.0000,51622.0000
