Timestamp,TopRatioAcc,TopLongAcc, TopShortAcc, TopRatioPos, TopLongPos, TopShortPos, GlobalRatioAcc, GlobalLongAcc, GlobalShortAcc, BuySellRatio, BuyVol, SelVol
1700695800000,1.8209,0.6455,0.3545,0.9189,0.4789,0.5211,2.0451,0.6716,0.3284,1.4327,479256.0000,334519.0000
1700696100000,1.8217,0.6456,0.3544,0.9168,0.4783,0.5217,2.0451,0.6716,0.3284,1.4327,479256.0000,334519.0000
1700696400000,1.8169,0.6450,0.3550,0.9176,0.4785,0.5215,2.0414,0.6712,0.3288,1.4327,479256.0000,334519.0000
1700696700000,1.8321,0.6469,0.3531,0.9178,0.4786,0.5214,2.0331,0.6703,0.3297,1.4327,479256.0000,334519.0000
1700697000000,1.8217,0.6456,0.3544,0.9174,0.4785,0.5215,2.0516,0.6723,0.3277,1.4327,479256.0000,334519.0000
1700697300000,1.8490,0.6490,0.3510,0.9170,0.4784,0.5216,2.0451,0.6716,0.3284,1.4327,479256.0000,334519.0000
1700697600000,1.8209,0.6455,0.3545,0.9167,0.4783,0.5217,2.0703,0.6743,0.3257,1.4327,479256.0000,334519.0000
1700697900000,1.8629,0.6507,0.3493,0.9143,0.4776,0.5224,2.0423,0.6713,0.3287,1.4327,479256.0000,334519.0000
1700698200000,1.8703,0.6516,0.3484,0.9129,0.4772,0.5228,2.0779,0.6751,0.3249,1.4327,479256.0000,334519.0000
1700698500000,1.8785,0.6526,0.3474,0.9165,0.4782,0.5218,2.0750,0.6748,0.3252,1.4327,479256.0000,334519.0000
1700698800000,1.9019,0.6554,0.3446,0.9105,0.4766,0.5234,2.0921,0.6766,0.3234,1.4327,479256.0000,334519.0000
1700699100000,1.8977,0.6549,0.3451,0.9115,0.4769,0.5231,2.1104,0.6785,0.3215,1.4327,479256.0000,334519.0000
1700699400000,1.8944,0.6545,0.3455,0.9132,0.4773,0.5227,2.1056,0.6780,0.3220,1.4327,479256.0000,334519.0000
1700699700000,1.8935,0.6544,0.3456,0.9133,0.4774,0.5226,2.1056,0.6780,0.3220,1.4327,479256.0000,334519.0000
1700700000000,1.8827,0.6531,0.3469,0.9164,0.4782,0.5218,2.1008,0.6775,0.3225,1.4327,479256.0000,334519.0000
1700700300000,1.8736,0.6520,0.3480,0.9160,0.4781,0.5219,2.0902,0.6764,0.3236,1.4327,479256.0000,334519.0000
1700700600000,1.8785,0.6526,0.3474,0.9159,0.4781,0.5219,2.0902,0.6764,0.3236,1.4327,479256.0000,334519.0000
1700700900000,1.8760,0.6523,0.3477,0.9155,0.4779,0.5221,2.0845,0.6758,0.3242,1.4327,479256.0000,334519.0000
1700701200000,1.8719,0.6518,0.3482,0.9185,0.4788,0.5212,2.0798,0.6753,0.3247,1.4327,479256.0000,334519.0000
1700701500000,1.8441,0.6484,0.3516,0.9167,0.4783,0.5217,2.0817,0.6755,0.3245,1.4327,479256.0000,334519.0000
1700701800000,1.8409,0.6480,0.3520,0.9153,0.4779,0.5221,2.0618,0.6734,0.3266,1.4327,479256.0000,334519.0000
