Timestamp,TopRatioAcc,TopLongAcc, TopShortAcc, TopRatioPos, TopLongPos, TopShortPos, GlobalRatioAcc, GlobalLongAcc, GlobalShortAcc, BuySellRatio, BuyVol, SelVol
1700642100000,3.0933,0.7557,0.2443,1.0696,0.5168,0.4832,3.8008,0.7917,0.2083,0.9549,311.4000,326.1000
1700642400000,3.0717,0.7544,0.2456,1.0699,0.5169,0.4831,3.8614,0.7943,0.2057,0.9549,311.4000,326.1000
1700642700000,3.1254,0.7576,0.2424,1.0689,0.5167,0.4833,3.8685,0.7946,0.2054,0.9549,311.4000,326.1000
1700643000000,3.1528,0.7592,0.2408,1.0695,0.5168,0.4832,3.8263,0.7928,0.2072,0.9549,311.4000,326.1000
1700643300000,3.0984,0.7560,0.2440,1.0697,0.5168,0.4832,3.9188,0.7967,0.2033,0.9549,311.4000,326.1000
1700643600000,3.1806,0.7608,0.2392,1.0703,0.5170,0.4830,3.8876,0.7954,0.2046,0.9549,311.4000,326.1000
1700643900000,3.1425,0.7586,0.2414,1.0717,0.5173,0.4827,3.9092,0.7963,0.2037,0.9549,311.4000,326.1000
1700644200000,3.1580,0.7595,0.2405,1.0692,0.5167,0.4833,3.9334,0.7973,0.2027,0.9549,311.4000,326.1000
1700644500000,3.1701,0.7602,0.2398,1.0658,0.5159,0.4841,3.9480,0.7979,0.2021,0.9549,311.4000,326.1000
1700644800000,3.1859,0.7611,0.2389,1.0673,0.5163,0.4837,3.9652,0.7986,0.2014,0.9549,311.4000,326.1000
1700645100000,3.2212,0.7631,0.2369,1.0676,0.5164,0.4836,3.9628,0.7985,0.2015,0.9549,311.4000,326.1000
1700645400000,3.2088,0.7624,0.2376,1.0660,0.5160,0.4840,3.9188,0.7967,0.2033,0.9549,311.4000,326.1000
1700645700000,3.1563,0.7594,0.2406,1.0643,0.5156,0.4844,3.9140,0.7965,0.2035,0.9549,311.4000,326.1000
1700646000000,3.1545,0.7593,0.2407,1.0654,0.5158,0.4842,3.8972,0.7958,0.2042,0.9549,311.4000,326.1000
1700646300000,3.1339,0.7581,0.2419,1.0653,0.5158,0.4842,3.9164,0.7966,0.2034,0.9549,311.4000,326.1000
1700646600000,3.1667,0.7600,0.2400,1.0657,0.5159,0.4841,3.9020,0.7960,0.2040,0.9549,311.4000,326.1000
1700646900000,3.1545,0.7593,0.2407,1.0646,0.5156,0.4844,3.9188,0.7967,0.2033,0.9549,311.4000,326.1000
1700647200000,3.1494,0.7590,0.2410,1.0642,0.5155,0.4845,3.9751,0.7990,0.2010,0.9549,311.4000,326.1000
1700647500000,3.1911,0.7614,0.2386,1.0638,0.5155,0.4845,3.9505,0.7980,0.2020,0.9549,311.4000,326.1000
1700647800000,3.1754,0.7605,0.2395,1.0634,0.5154,0.4846,3.8900,0.7955,0.2045,0.9549,311.4000,326.1000
1700648100000,3.1220,0.7574,0.2426,1.0630,0.5153,0.4847,3.8239,0.7927,0.2073,0.9549,311.4000,326.1000
1700648400000,3.0667,0.7541,0.2459,1.0623,0.5151,0.4849,3.8123,0.7922,0.2078,0.9549,311.4000,326.1000
1700648700000,3.0634,0.7539,0.2461,1.0624,0.5151,0.4849,3.8497,0.7938,0.2062,0.9549,311.4000,326.1000
1700649000000,3.1118,0.7568,0.2432,1.0612,0.5149,0.4851,3.8733,0.7948,0.2052,0.9549,311.4000,326.1000
1700649300000,3.1511,0.7591,0.2409,1.0601,0.5146,0.4854,3.8614,0.7943,0.2057,0.9549,311.4000,326.1000
1700649600000,3.1339,0.7581,0.2419,1.0598,0.5145,0.4855,3.8780,0.7950,0.2050,0.9549,311.4000,326.1000
1700649900000,3.1051,0.7564,0.2436,1.0590,0.5143,0.4857,3.9310,0.7972,0.2028,0.9549,311.4000,326.1000
1700650200000,3.1356,0.7582,0.2418,1.0595,0.5144,0.4856,3.9383,0.7975,0.2025,0.9549,311.4000,326.1000
1700650500000,3.1511,0.7591,0.2409,1.0570,0.5138,0.4862,3.9529,0.7981,0.2019,0.9549,311.4000,326.1000
1700650800000,3.1563,0.7594,0.2406,1.0583,0.5142,0.4858,3.8685,0.7946,0.2054,0.9549,311.4000,326.1000
1700651100000,3.0984,0.7560,0.2440,1.0620,0.5150,0.4850,3.8123,0.7922,0.2078,0.9549,311.4000,326.1000
1700651400000,3.0717,0.7544,0.2456,1.0625,0.5152,0.4848,3.8473,0.7937,0.2063,0.9549,311.4000,326.1000
1700651700000,3.0667,0.7541,0.2459,1.0620,0.5150,0.4850,3.8054,0.7919,0.2081,0.9549,311.4000,326.1000
1700652000000,3.0552,0.7534,0.2466,1.0620,0.5150,0.4850,3.8123,0.7922,0.2078,0.9549,311.4000,326.1000
1700652300000,3.0193,0.7512,0.2488,1.0610,0.5148,0.4852,3.7801,0.7908,0.2092,0.9549,311.4000,326.1000
1700652600000,3.0161,0.7510,0.2490,1.0611,0.5148,0.4852,3.8031,0.7918,0.2082,0.9549,311.4000,326.1000
1700652900000,3.0339,0.7521,0.2479,1.0615,0.5149,0.4851,3.7755,0.7906,0.2094,0.9549,311.4000,326.1000
