Timestamp,TopRatioAcc,TopLongAcc, TopShortAcc, TopRatioPos, TopLongPos, TopShortPos, GlobalRatioAcc, GlobalLongAcc, GlobalShortAcc, BuySellRatio, BuyVol, SelVol
1700695800000,3.1118,0.7568,0.2432,1.9385,0.6597,0.3403,3.6253,0.7838,0.2162,1.1098,41636.0,37515.0
1700696100000,3.1339,0.7581,0.2419,1.9365,0.6595,0.3405,3.5579,0.7806,0.2194,1.1098,41636.0,37515.0
1700696400000,3.1494,0.759,0.241,1.9349,0.6593,0.3407,3.5746,0.7814,0.2186,1.1098,41636.0,37515.0
1700696700000,3.1667,0.76,0.24,1.9366,0.6595,0.3405,3.5998,0.7826,0.2174,1.1098,41636.0,37515.0
1700697000000,3.1841,0.761,0.239,1.9334,0.6591,0.3409,3.6062,0.7829,0.2171,1.1098,41636.0,37515.0
1700697300000,3.2034,0.7621,0.2379,1.9352,0.6593,0.3407,3.6275,0.7839,0.2161,1.1098,41636.0,37515.0
1700697600000,3.2159,0.7628,0.2372,1.9357,0.6594,0.3406,3.6339,0.7842,0.2158,1.1098,41636.0,37515.0
1700697900000,3.3271,0.7689,0.2311,1.9351,0.6593,0.3407,3.6512,0.785,0.215,1.1098,41636.0,37515.0
1700698200000,3.3103,0.768,0.232,1.9306,0.6588,0.3412,3.7483,0.7894,0.2106,1.1098,41636.0,37515.0
1700698500000,3.3271,0.7689,0.2311,1.9251,0.6581,0.3419,3.7326,0.7887,0.2113,1.1098,41636.0,37515.0
1700698800000,3.3573,0.7705,0.2295,1.9269,0.6583,0.3417,3.7483,0.7894,0.2106,1.1098,41636.0,37515.0
1700699100000,3.3706,0.7712,0.2288,1.9268,0.6583,0.3417,3.7778,0.7907,0.2093,1.1098,41636.0,37515.0
1700699400000,3.363,0.7708,0.2292,1.9272,0.6584,0.3416,3.7962,0.7915,0.2085,1.1098,41636.0,37515.0
1700699700000,3.3309,0.7691,0.2309,1.9269,0.6583,0.3417,3.7801,0.7908,0.2092,1.1098,41636.0,37515.0
1700700000000,3.3197,0.7685,0.2315,1.9256,0.6582,0.3418,3.7506,0.7895,0.2105,1.1098,41636.0,37515.0
1700700300000,3.3011,0.7675,0.2325,1.928,0.6585,0.3415,3.7326,0.7887,0.2113,1.1098,41636.0,37515.0
1700700600000,3.3048,0.7677,0.2323,1.9252,0.6581,0.3419,3.7214,0.7882,0.2118,1.1098,41636.0,37515.0
1700700900000,3.5746,0.7814,0.2186,1.9427,0.6602,0.3398,3.7326,0.7887,0.2113,1.1098,41636.0,37515.0
1700701200000,3.5683,0.7811,0.2189,1.9426,0.6602,0.3398,3.9603,0.7984,0.2016,1.1098,41636.0,37515.0
1700701500000,3.5517,0.7803,0.2197,1.9423,0.6601,0.3399,3.948,0.7979,0.2021,1.1098,41636.0,37515.0
1700701800000,3.56,0.7807,0.2193,1.9442,0.6604,0.3396,3.948,0.7979,0.2021,1.1098,41636.0,37515.0
1700702100000,3.5393,0.7797,0.2203,1.9431,0.6602,0.3398,3.9285,0.7971,0.2029,1.1098,41636.0,37515.0
1700702400000,3.5351,0.7795,0.2205,1.9398,0.6598,0.3402,3.914,0.7965,0.2035,1.1098,41636.0,37515.0
1700702700000,3.5372,0.7796,0.2204,1.945,0.6604,0.3396,3.9261,0.797,0.203,1.1098,41636.0,37515.0
1700703000000,3.5188,0.7787,0.2213,1.9467,0.6606,0.3394,3.9285,0.7971,0.2029,1.1098,41636.0,37515.0
1700703300000,3.5746,0.7814,0.2186,1.9521,0.6613,0.3387,3.9044,0.7961,0.2039,1.1098,41636.0,37515.0
1700703600000,3.5746,0.7814,0.2186,1.951,0.6611,0.3389,3.9505,0.798,0.202,1.1098,41636.0,37515.0
1700703900000,3.5641,0.7809,0.2191,1.9549,0.6616,0.3384,3.9407,0.7976,0.2024,1.1098,41636.0,37515.0
1700704200000,3.4603,0.7758,0.2242,1.9469,0.6607,0.3393,3.9334,0.7973,0.2027,1.1098,41636.0,37515.0
1700704500000,3.4425,0.7749,0.2251,1.9476,0.6607,0.3393,3.845,0.7936,0.2064,1.1098,41636.0,37515.0
1700704800000,3.4326,0.7744,0.2256,1.9509,0.6611,0.3389,3.8426,0.7935,0.2065,1.1098,41636.0,37515.0
1700705100000,3.386,0.772,0.228,1.9528,0.6613,0.3387,3.8333,0.7931,0.2069,1.1098,41636.0,37515.0
1700705400000,3.3995,0.7727,0.2273,2.0715,0.6744,0.3256,3.81,0.7921,0.2079,1.1098,41636.0,37515.0
1700705700000,3.5998,0.7826,0.2174,2.0743,0.6747,0.3253,3.845,0.7936,0.2064,1.1098,41636.0,37515.0
1700706000000,3.5746,0.7814,0.2186,2.0665,0.6739,0.3261,3.852,0.7939,0.2061,1.1098,41636.0,37515.0
1700706300000,3.5725,0.7813,0.2187,2.0618,0.6734,0.3266,3.8263,0.7928,0.2072,1.1098,41636.0,37515.0
1700706600000,3.6447,0.7847,0.2153,2.0702,0.6743,0.3257,3.8263,0.7928,0.2072,1.1098,41636.0,37515.0
1700706900000,3.6425,0.7846,0.2154,2.0703,0.6743,0.3257,3.8924,0.7956,0.2044,1.1098,41636.0,37515.0
1700707200000,3.686,0.7866,0.2134,2.0711,0.6744,0.3256,3.8972,0.7958,0.2042,1.1098,41636.0,37515.0
1700707500000,3.6598,0.7854,0.2146,2.071,0.6744,0.3256,3.9213,0.7968,0.2032,1.1098,41636.0,37515.0
1700707800000,3.6642,0.7856,0.2144,2.0704,0.6743,0.3257,3.902,0.796,0.204,1.1098,41636.0,37515.0
1700708100000,3.6275,0.7839,0.2161,2.0682,0.6741,0.3259,3.914,0.7965,0.2035,1.1098,41636.0,37515.0
1700708400000,3.4964,0.7776,0.2224,2.063,0.6735,0.3265,3.8852,0.7953,0.2047,1.1098,41636.0,37515.0
1700708700000,3.4484,0.7752,0.2248,2.0642,0.6737,0.3263,3.7461,0.7893,0.2107,1.1098,41636.0,37515.0
1700709000000,3.4425,0.7749,0.2251,2.0634,0.6736,0.3264,3.7148,0.7879,0.2121,1.1098,41636.0,37515.0
1700709300000,3.4504,0.7753,0.2247,2.0618,0.6734,0.3266,3.717,0.788,0.212,1.1098,41636.0,37515.0
1700709600000,3.4385,0.7747,0.2253,2.0617,0.6734,0.3266,3.717,0.788,0.212,1.1098,41636.0,37515.0
1700709900000,3.4444,0.775,0.225,2.0626,0.6735,0.3265,3.7059,0.7875,0.2125,1.1098,41636.0,37515.0
1700710200000,3.4287,0.7742,0.2258,2.0598,0.6732,0.3268,3.7192,0.7881,0.2119,1.1098,41636.0,37515.0
1700710500000,3.4924,0.7774,0.2226,2.0643,0.6737,0.3263,3.7148,0.7879,0.2121,1.1098,41636.0,37515.0
1700710800000,3.5188,0.7787,0.2213,2.0659,0.6738,0.3262,3.7506,0.7895,0.2105,1.1098,41636.0,37515.0
1700711100000,3.5413,0.7798,0.2202,2.0643,0.6737,0.3263,3.7642,0.7901,0.2099,1.1098,41636.0,37515.0
1700712300000,3.4964,0.7776,0.2224,2.0686,0.6741,0.3259,3.7755,0.7906,0.2094,1.1098,41636.0,37515.0
1700712600000,3.4743,0.7765,0.2235,2.0643,0.6737,0.3263,3.7348,0.7888,0.2112,1.1098,41636.0,37515.0
1700712900000,3.4603,0.7758,0.2242,2.061,0.6733,0.3267,3.7237,0.7883,0.2117,1.1098,41636.0,37515.0
1700713200000,3.4307,0.7743,0.2257,2.0634,0.6736,0.3264,3.7214,0.7882,0.2118,1.1098,41636.0,37515.0
1700713500000,3.4287,0.7742,0.2258,2.0652,0.6738,0.3262,3.6882,0.7867,0.2133,1.1098,41636.0,37515.0
1700713800000,3.3917,0.7723,0.2277,2.0655,0.6738,0.3262,3.686,0.7866,0.2134,1.1098,41636.0,37515.0
1700714100000,3.3764,0.7715,0.2285,2.0618,0.6734,0.3266,3.6577,0.7853,0.2147,1.1098,41636.0,37515.0
1700714400000,3.4524,0.7754,0.2246,2.0703,0.6743,0.3257,3.6361,0.7843,0.2157,1.1098,41636.0,37515.0
1700714700000,3.4603,0.7758,0.2242,2.0671,0.674,0.326,3.7015,0.7873,0.2127,1.1098,41636.0,37515.0
1700715000000,3.4703,0.7763,0.2237,2.0683,0.6741,0.3259,3.7148,0.7879,0.2121,1.1098,41636.0,37515.0
1700715300000,3.4683,0.7762,0.2238,2.067,0.6739,0.3261,3.7081,0.7876,0.2124,1.1098,41636.0,37515.0
1700715600000,3.4444,0.775,0.225,2.0672,0.674,0.326,3.7125,0.7878,0.2122,1.1098,41636.0,37515.0
1700715900000,3.4425,0.7749,0.2251,2.0696,0.6742,0.3258,3.6904,0.7868,0.2132,1.1098,41636.0,37515.0
1700716200000,3.4484,0.7752,0.2248,2.0687,0.6741,0.3259,3.6904,0.7868,0.2132,1.1098,41636.0,37515.0
1700716500000,3.4425,0.7749,0.2251,2.0663,0.6739,0.3261,3.7059,0.7875,0.2125,1.1098,41636.0,37515.0
1700716800000,3.4924,0.7774,0.2226,2.0571,0.6729,0.3271,3.6904,0.7868,0.2132,1.1098,41636.0,37515.0
1700717100000,3.4723,0.7764,0.2236,2.0573,0.6729,0.3271,3.7393,0.789,0.211,1.1098,41636.0,37515.0
1700717400000,3.4783,0.7767,0.2233,2.057,0.6729,0.3271,3.717,0.788,0.212,1.1098,41636.0,37515.0
1700717700000,3.4964,0.7776,0.2224,2.0573,0.6729,0.3271,3.7259,0.7884,0.2116,1.1098,41636.0,37515.0
1700718000000,3.4903,0.7773,0.2227,2.06,0.6732,0.3268,3.7393,0.789,0.211,1.1098,41636.0,37515.0
1700718300000,3.5045,0.778,0.222,2.0626,0.6735,0.3265,3.7348,0.7888,0.2112,1.1098,41636.0,37515.0
1700718600000,3.4883,0.7772,0.2228,2.0656,0.6738,0.3262,3.7506,0.7895,0.2105,1.1098,41636.0,37515.0
1700718900000,3.4944,0.7775,0.2225,2.0616,0.6734,0.3266,3.7461,0.7893,0.2107,1.1098,41636.0,37515.0
1700719200000,3.5005,0.7778,0.2222,2.0633,0.6736,0.3264,3.7438,0.7892,0.2108,1.1098,41636.0,37515.0
1700719500000,3.4803,0.7768,0.2232,2.0674,0.674,0.326,3.7529,0.7896,0.2104,1.1098,41636.0,37515.0
1700719800000,3.5167,0.7786,0.2214,2.0658,0.6738,0.3262,3.7326,0.7887,0.2113,1.1098,41636.0,37515.0
1700720100000,3.5372,0.7796,0.2204,2.0641,0.6736,0.3264,3.7642,0.7901,0.2099,1.1098,41636.0,37515.0
1700720400000,3.5517,0.7803,0.2197,2.0608,0.6733,0.3267,3.7755,0.7906,0.2094,1.1098,41636.0,37515.0
1700720700000,3.5956,0.7824,0.2176,2.0638,0.6736,0.3264,3.7847,0.791,0.209,1.1098,41636.0,37515.0
1700721000000,3.6019,0.7827,0.2173,2.0618,0.6734,0.3266,3.8146,0.7923,0.2077,1.1098,41636.0,37515.0
1700721300000,3.6232,0.7837,0.2163,2.0567,0.6729,0.3271,3.8426,0.7935,0.2065,1.1098,41636.0,37515.0
1700721600000,3.5998,0.7826,0.2174,2.0546,0.6726,0.3274,3.8123,0.7922,0.2078,1.1098,41636.0,37515.0
1700721900000,3.5893,0.7821,0.2179,2.0542,0.6726,0.3274,3.787,0.7911,0.2089,1.1098,41636.0,37515.0
1700722200000,3.583,0.7818,0.2182,2.0524,0.6724,0.3276,3.7755,0.7906,0.2094,1.1098,41636.0,37515.0
1700722500000,3.6062,0.7829,0.2171,2.0522,0.6724,0.3276,3.7847,0.791,0.209,1.1098,41636.0,37515.0
1700722800000,3.6685,0.7858,0.2142,2.0519,0.6723,0.3277,3.8008,0.7917,0.2083,1.1098,41636.0,37515.0
1700723100000,3.6382,0.7844,0.2156,2.0525,0.6724,0.3276,3.8567,0.7941,0.2059,1.1098,41636.0,37515.0
1700723400000,3.6339,0.7842,0.2158,2.0556,0.6727,0.3273,3.8309,0.793,0.207,1.1098,41636.0,37515.0
1700723700000,3.6296,0.784,0.216,2.0576,0.6729,0.3271,3.8123,0.7922,0.2078,1.1098,41636.0,37515.0
1700724000000,3.6533,0.7851,0.2149,2.0615,0.6734,0.3266,3.8054,0.7919,0.2081,1.1098,41636.0,37515.0
1700724300000,3.6211,0.7836,0.2164,2.0616,0.6734,0.3266,3.8356,0.7932,0.2068,1.1098,41636.0,37515.0
1700724600000,3.6189,0.7835,0.2165,2.0595,0.6731,0.3269,3.8193,0.7925,0.2075,1.1098,41636.0,37515.0
1700724900000,3.6147,0.7833,0.2167,2.0614,0.6734,0.3266,3.7985,0.7916,0.2084,1.1098,41636.0,37515.0
1700725200000,3.6275,0.7839,0.2161,2.0567,0.6729,0.3271,3.8008,0.7917,0.2083,1.1098,41636.0,37515.0
1700725500000,3.6382,0.7844,0.2156,2.0569,0.6729,0.3271,3.81,0.7921,0.2079,1.1098,41636.0,37515.0
1700725800000,3.6253,0.7838,0.2162,2.0556,0.6727,0.3273,3.81,0.7921,0.2079,1.1098,41636.0,37515.0
1700726100000,3.649,0.7849,0.2151,2.0538,0.6725,0.3275,3.7962,0.7915,0.2085,1.1098,41636.0,37515.0
1700726400000,3.6447,0.7847,0.2153,2.0546,0.6726,0.3274,3.8333,0.7931,0.2069,1.1098,41636.0,37515.0
1700726700000,3.6533,0.7851,0.2149,2.0538,0.6725,0.3275,3.8193,0.7925,0.2075,1.1098,41636.0,37515.0
1700727000000,3.6404,0.7845,0.2155,2.0562,0.6728,0.3272,3.8263,0.7928,0.2072,1.1098,41636.0,37515.0
1700727300000,3.6555,0.7852,0.2148,2.0541,0.6726,0.3274,3.8146,0.7923,0.2077,1.1098,41636.0,37515.0
1700727600000,3.6685,0.7858,0.2142,2.0545,0.6726,0.3274,3.817,0.7924,0.2076,1.1098,41636.0,37515.0
1700727900000,3.6447,0.7847,0.2153,2.0551,0.6727,0.3273,3.8216,0.7926,0.2074,1.1098,41636.0,37515.0
1700728200000,3.5956,0.7824,0.2176,2.0542,0.6726,0.3274,3.8123,0.7922,0.2078,1.1098,41636.0,37515.0
1700728500000,3.6555,0.7852,0.2148,2.0568,0.6729,0.3271,3.7755,0.7906,0.2094,1.1098,41636.0,37515.0
1700728800000,3.5998,0.7826,0.2174,2.0534,0.6725,0.3275,3.8379,0.7933,0.2067,1.1098,41636.0,37515.0
1700729100000,3.6168,0.7834,0.2166,2.0506,0.6722,0.3278,3.7939,0.7914,0.2086,1.1098,41636.0,37515.0
1700729400000,3.5537,0.7804,0.2196,2.056,0.6728,0.3272,3.8031,0.7918,0.2082,1.1098,41636.0,37515.0
1700729700000,3.5045,0.778,0.222,2.0548,0.6726,0.3274,3.7551,0.7897,0.2103,1.1098,41636.0,37515.0
1700730000000,3.4924,0.7774,0.2226,2.0512,0.6723,0.3277,3.7125,0.7878,0.2122,1.1098,41636.0,37515.0
1700730300000,3.5208,0.7788,0.2212,2.0512,0.6723,0.3277,3.7192,0.7881,0.2119,1.1098,41636.0,37515.0
1700730600000,3.5372,0.7796,0.2204,2.0534,0.6725,0.3275,3.7371,0.7889,0.2111,1.1098,41636.0,37515.0
1700730900000,3.5434,0.7799,0.2201,2.0556,0.6727,0.3273,3.7529,0.7896,0.2104,1.1098,41636.0,37515.0
1700731200000,3.5208,0.7788,0.2212,2.0562,0.6728,0.3272,3.7371,0.7889,0.2111,1.1098,41636.0,37515.0
1700731500000,3.5106,0.7783,0.2217,2.0558,0.6728,0.3272,3.7259,0.7884,0.2116,1.1098,41636.0,37515.0
1700731800000,3.5106,0.7783,0.2217,2.0562,0.6728,0.3272,3.7103,0.7877,0.2123,1.1098,41636.0,37515.0
1700732100000,3.5228,0.7789,0.2211,2.0546,0.6726,0.3274,3.7059,0.7875,0.2125,1.1098,41636.0,37515.0
