Timestamp,TopRatioAcc,TopLongAcc, TopShortAcc, TopRatioPos, TopLongPos, TopShortPos, GlobalRatioAcc, GlobalLongAcc, GlobalShortAcc, BuySellRatio, BuyVol, SelVol
1700642100000,1.9351,0.6593,0.3407,1.1272,0.5299,0.4701,2.2927,0.6963,0.3037,0.4847,32160.0000,66347.0000
1700642400000,1.9727,0.6636,0.3364,1.1242,0.5292,0.4708,2.3080,0.6977,0.3023,0.4847,32160.0000,66347.0000
1700642700000,1.9869,0.6652,0.3348,1.1267,0.5298,0.4702,2.2916,0.6962,0.3038,0.4847,32160.0000,66347.0000
1700643000000,1.9682,0.6631,0.3369,1.1263,0.5297,0.4703,2.2873,0.6958,0.3042,0.4847,32160.0000,66347.0000
1700643300000,1.9674,0.6630,0.3370,1.1257,0.5296,0.4704,2.3080,0.6977,0.3023,0.4847,32160.0000,66347.0000
1700643600000,1.9780,0.6642,0.3358,1.1251,0.5294,0.4706,2.3256,0.6993,0.3007,0.4847,32160.0000,66347.0000
1700643900000,1.9958,0.6662,0.3338,1.1257,0.5296,0.4704,2.3156,0.6984,0.3016,0.4847,32160.0000,66347.0000
1700644200000,1.9860,0.6651,0.3349,1.1258,0.5296,0.4704,2.3003,0.6970,0.3030,0.4847,32160.0000,66347.0000
1700644500000,1.9833,0.6648,0.3352,1.1268,0.5298,0.4702,2.3135,0.6982,0.3018,0.4847,32160.0000,66347.0000
1700644800000,2.0111,0.6679,0.3321,1.1327,0.5311,0.4689,2.3201,0.6988,0.3012,0.4847,32160.0000,66347.0000
1700645100000,2.0139,0.6682,0.3318,1.1329,0.5311,0.4689,2.3234,0.6991,0.3009,0.4847,32160.0000,66347.0000
1700645400000,2.0157,0.6684,0.3316,1.1331,0.5312,0.4688,2.2949,0.6965,0.3035,0.4847,32160.0000,66347.0000
1700645700000,1.9895,0.6655,0.3345,1.1325,0.5311,0.4689,2.3146,0.6983,0.3017,0.4847,32160.0000,66347.0000
1700646000000,1.9878,0.6653,0.3347,1.1295,0.5304,0.4696,2.3069,0.6976,0.3024,0.4847,32160.0000,66347.0000
1700646300000,1.9842,0.6649,0.3351,1.1302,0.5306,0.4694,2.3025,0.6972,0.3028,0.4847,32160.0000,66347.0000
1700646600000,1.9886,0.6654,0.3346,1.1311,0.5307,0.4693,2.2541,0.6927,0.3073,0.4847,32160.0000,66347.0000
1700646900000,1.9438,0.6603,0.3397,1.1307,0.5307,0.4693,2.2873,0.6958,0.3042,0.4847,32160.0000,66347.0000
1700647200000,1.9507,0.6611,0.3389,1.1298,0.5305,0.4695,2.2626,0.6935,0.3065,0.4847,32160.0000,66347.0000
1700647500000,1.9394,0.6598,0.3402,1.1312,0.5308,0.4692,2.2733,0.6945,0.3055,0.4847,32160.0000,66347.0000
1700647800000,1.9438,0.6603,0.3397,1.1304,0.5306,0.4694,2.2680,0.6940,0.3060,0.4847,32160.0000,66347.0000
1700648100000,1.9386,0.6597,0.3403,1.1309,0.5307,0.4693,2.2616,0.6934,0.3066,0.4847,32160.0000,66347.0000
1700648400000,1.9369,0.6595,0.3405,1.1307,0.5307,0.4693,2.2852,0.6956,0.3044,0.4847,32160.0000,66347.0000
1700648700000,1.9762,0.6640,0.3360,1.1358,0.5318,0.4682,2.2723,0.6944,0.3056,0.4847,32160.0000,66347.0000
1700649000000,1.9490,0.6609,0.3391,1.1325,0.5311,0.4689,2.2648,0.6937,0.3063,0.4847,32160.0000,66347.0000
1700649300000,1.9464,0.6606,0.3394,1.1352,0.5317,0.4683,2.2680,0.6940,0.3060,0.4847,32160.0000,66347.0000
1700649600000,1.9499,0.6610,0.3390,1.1369,0.5320,0.4680,2.2541,0.6927,0.3073,0.4847,32160.0000,66347.0000
1700649900000,1.9481,0.6608,0.3392,1.1339,0.5314,0.4686,2.2680,0.6940,0.3060,0.4847,32160.0000,66347.0000
1700650200000,1.9420,0.6601,0.3399,1.1327,0.5311,0.4689,2.2658,0.6938,0.3062,0.4847,32160.0000,66347.0000
1700650500000,1.9525,0.6613,0.3387,1.1339,0.5314,0.4686,2.2862,0.6957,0.3043,0.4847,32160.0000,66347.0000
1700650800000,1.9665,0.6629,0.3371,1.1337,0.5313,0.4687,2.2808,0.6952,0.3048,0.4847,32160.0000,66347.0000
1700651100000,1.9621,0.6624,0.3376,1.1331,0.5312,0.4688,2.2723,0.6944,0.3056,0.4847,32160.0000,66347.0000
1700651400000,1.9499,0.6610,0.3390,1.1343,0.5315,0.4685,2.2744,0.6946,0.3054,0.4847,32160.0000,66347.0000
1700651700000,1.9455,0.6605,0.3395,1.1343,0.5315,0.4685,2.2873,0.6958,0.3042,0.4847,32160.0000,66347.0000
1700652000000,1.9621,0.6624,0.3376,1.1348,0.5316,0.4684,2.3156,0.6984,0.3016,0.4847,32160.0000,66347.0000
1700652300000,1.9674,0.6630,0.3370,1.1348,0.5316,0.4684,2.3190,0.6987,0.3013,0.4847,32160.0000,66347.0000
1700652600000,1.9806,0.6645,0.3355,1.1357,0.5318,0.4682,2.3156,0.6984,0.3016,0.4847,32160.0000,66347.0000
1700652900000,1.9771,0.6641,0.3359,1.1347,0.5316,0.4684,2.4072,0.7065,0.2935,0.4847,32160.0000,66347.0000
1700653200000,2.0553,0.6727,0.3273,1.1317,0.5309,0.4691,2.4106,0.7068,0.2932,0.4847,32160.0000,66347.0000
1700653500000,2.0618,0.6734,0.3266,1.1326,0.5311,0.4689,2.4188,0.7075,0.2925,0.4847,32160.0000,66347.0000
1700653800000,2.0618,0.6734,0.3266,1.1274,0.5299,0.4701,2.3478,0.7013,0.2987,0.4847,32160.0000,66347.0000
1700654100000,1.9967,0.6663,0.3337,1.1346,0.5315,0.4685,2.3580,0.7022,0.2978,0.4847,32160.0000,66347.0000
1700654400000,2.0039,0.6671,0.3329,1.1271,0.5299,0.4701,2.3933,0.7053,0.2947,0.4847,32160.0000,66347.0000
1700654700000,2.0451,0.6716,0.3284,1.1248,0.5294,0.4706,2.4014,0.7060,0.2940,0.4847,32160.0000,66347.0000
1700655000000,2.0497,0.6721,0.3279,1.1241,0.5292,0.4708,2.3898,0.7050,0.2950,0.4847,32160.0000,66347.0000
1700655300000,2.0404,0.6711,0.3289,1.1244,0.5293,0.4707,2.3933,0.7053,0.2947,0.4847,32160.0000,66347.0000
1700655600000,2.0386,0.6709,0.3291,1.1248,0.5294,0.4706,2.4072,0.7065,0.2935,0.4847,32160.0000,66347.0000
1700655900000,2.0414,0.6712,0.3288,1.1248,0.5294,0.4706,2.3864,0.7047,0.2953,0.4847,32160.0000,66347.0000
1700656200000,2.0386,0.6709,0.3291,1.1265,0.5297,0.4703,2.4048,0.7063,0.2937,0.4847,32160.0000,66347.0000
1700656500000,2.0534,0.6725,0.3275,1.1268,0.5298,0.4702,2.4471,0.7099,0.2901,0.4847,32160.0000,66347.0000
1700656800000,2.0931,0.6767,0.3233,1.1290,0.5303,0.4697,2.4247,0.7080,0.2920,0.4847,32160.0000,66347.0000
1700657100000,2.0731,0.6746,0.3254,1.1343,0.5315,0.4685,2.3546,0.7019,0.2981,0.4847,32160.0000,66347.0000
1700657400000,2.0358,0.6706,0.3294,1.1325,0.5311,0.4689,2.3647,0.7028,0.2972,0.4847,32160.0000,66347.0000
1700657700000,2.0460,0.6717,0.3283,1.1320,0.5310,0.4690,2.3738,0.7036,0.2964,0.4847,32160.0000,66347.0000
1700658000000,2.0506,0.6722,0.3278,1.1325,0.5311,0.4689,2.3501,0.7015,0.2985,0.4847,32160.0000,66347.0000
1700658300000,2.0303,0.6700,0.3300,1.1337,0.5313,0.4687,2.3025,0.6972,0.3028,0.4847,32160.0000,66347.0000
1700658600000,1.9949,0.6661,0.3339,1.1345,0.5315,0.4685,2.3190,0.6987,0.3013,0.4847,32160.0000,66347.0000
1700658900000,2.0030,0.6670,0.3330,1.1308,0.5307,0.4693,2.3267,0.6994,0.3006,0.4847,32160.0000,66347.0000
1700659200000,2.0139,0.6682,0.3318,1.1317,0.5309,0.4691,2.3546,0.7019,0.2981,0.4847,32160.0000,66347.0000
1700659500000,2.0349,0.6705,0.3295,1.1332,0.5312,0.4688,2.3478,0.7013,0.2987,0.4847,32160.0000,66347.0000
1700659800000,2.0294,0.6699,0.3301,1.1306,0.5307,0.4693,2.4002,0.7059,0.2941,0.4847,32160.0000,66347.0000
1700660100000,2.0750,0.6748,0.3252,1.1321,0.5310,0.4690,2.3681,0.7031,0.2969,0.4847,32160.0000,66347.0000
1700660400000,2.0525,0.6724,0.3276,1.1338,0.5314,0.4686,2.3523,0.7017,0.2983,0.4847,32160.0000,66347.0000
1700660700000,2.0321,0.6702,0.3298,1.1328,0.5311,0.4689,2.3625,0.7026,0.2974,0.4847,32160.0000,66347.0000
1700661000000,2.0488,0.6720,0.3280,1.1316,0.5309,0.4691,2.3738,0.7036,0.2964,0.4847,32160.0000,66347.0000
