Timestamp,TopRatioAcc,TopLongAcc, TopShortAcc, TopRatioPos, TopLongPos, TopShortPos, GlobalRatioAcc, GlobalLongAcc, GlobalShortAcc, BuySellRatio, BuyVol, SelVol
1700642100000,1.7632,0.6381,0.3619,0.9123,0.4771,0.5229,2.0506,0.6722,0.3278,0.5021,89121.0000,177498.0000
1700642400000,1.7556,0.6371,0.3629,0.9114,0.4768,0.5232,2.0581,0.6730,0.3270,0.5021,89121.0000,177498.0000
1700642700000,1.7816,0.6405,0.3595,0.9111,0.4767,0.5233,2.0931,0.6767,0.3233,0.5021,89121.0000,177498.0000
1700643000000,1.8003,0.6429,0.3571,0.9122,0.4770,0.5230,2.0731,0.6746,0.3254,0.5021,89121.0000,177498.0000
1700643300000,1.7863,0.6411,0.3589,0.9125,0.4771,0.5229,2.0331,0.6703,0.3297,0.5021,89121.0000,177498.0000
1700643600000,1.7624,0.6380,0.3620,0.9179,0.4786,0.5214,2.0175,0.6686,0.3314,0.5021,89121.0000,177498.0000
1700643900000,1.7670,0.6386,0.3614,0.9184,0.4787,0.5213,2.0066,0.6674,0.3326,0.5021,89121.0000,177498.0000
1700644200000,1.7255,0.6331,0.3669,0.9163,0.4782,0.5218,1.9507,0.6611,0.3389,0.5021,89121.0000,177498.0000
1700644500000,1.6969,0.6292,0.3708,0.9164,0.4782,0.5218,1.9351,0.6593,0.3407,0.5021,89121.0000,177498.0000
1700644800000,1.6717,0.6257,0.3743,0.9165,0.4782,0.5218,1.9709,0.6634,0.3366,0.5021,89121.0000,177498.0000
1700645100000,1.6947,0.6289,0.3711,0.9171,0.4784,0.5216,2.0432,0.6714,0.3286,0.5021,89121.0000,177498.0000
1700645400000,1.7678,0.6387,0.3613,0.9193,0.4790,0.5210,2.0488,0.6720,0.3280,0.5021,89121.0000,177498.0000
1700645700000,1.7586,0.6375,0.3625,0.9186,0.4788,0.5212,1.9931,0.6659,0.3341,0.5021,89121.0000,177498.0000
1700646000000,1.7086,0.6308,0.3692,0.9194,0.4790,0.5210,2.0003,0.6667,0.3333,0.5021,89121.0000,177498.0000
1700646300000,1.7278,0.6334,0.3666,0.9209,0.4794,0.5206,2.0130,0.6681,0.3319,0.5021,89121.0000,177498.0000
1700646600000,1.7640,0.6382,0.3618,0.9221,0.4797,0.5203,2.0600,0.6732,0.3268,0.5021,89121.0000,177498.0000
1700646900000,1.7762,0.6398,0.3602,0.9220,0.4797,0.5203,2.1447,0.6820,0.3180,0.5021,89121.0000,177498.0000
1700647200000,1.8670,0.6512,0.3488,0.9253,0.4806,0.5194,2.1230,0.6798,0.3202,0.5021,89121.0000,177498.0000
1700647500000,1.8377,0.6476,0.3524,0.9256,0.4807,0.5193,2.1027,0.6777,0.3223,0.5021,89121.0000,177498.0000
1700647800000,1.8121,0.6444,0.3556,0.9256,0.4807,0.5193,2.1486,0.6824,0.3176,0.5021,89121.0000,177498.0000
1700648100000,1.8653,0.6510,0.3490,0.9273,0.4811,0.5189,2.1230,0.6798,0.3202,0.5021,89121.0000,177498.0000
