Timestamp,TopRatioAcc,TopLongAcc, TopShortAcc, TopRatioPos, TopLongPos, TopShortPos, GlobalRatioAcc, GlobalLongAcc, GlobalShortAcc, BuySellRatio, BuyVol, SelVol
1700695500000,2.34,0.7006,0.2994,0.9249,0.4805,0.5195,2.9355,0.7459,0.2541,0.6809,1516.5,2227.1
1700695800000,2.3422,0.7008,0.2992,0.9243,0.4803,0.5197,2.9386,0.7461,0.2539,0.6809,1516.5,2227.1
1700696100000,2.3411,0.7007,0.2993,0.9236,0.4801,0.5199,2.92,0.7449,0.2551,0.6809,1516.5,2227.1
1700696400000,2.3478,0.7013,0.2987,0.9236,0.4801,0.5199,2.9246,0.7452,0.2548,0.6809,1516.5,2227.1
1700696700000,2.3311,0.6998,0.3002,0.9241,0.4803,0.5197,2.9093,0.7442,0.2558,0.6809,1516.5,2227.1
1700697000000,2.3179,0.6986,0.3014,0.9223,0.4798,0.5202,2.9063,0.744,0.256,0.6809,1516.5,2227.1
1700697300000,2.3602,0.7024,0.2976,0.9213,0.4795,0.5205,2.9651,0.7478,0.2522,0.6809,1516.5,2227.1
1700697600000,2.3456,0.7011,0.2989,0.9204,0.4793,0.5207,2.9401,0.7462,0.2538,0.6809,1516.5,2227.1
1700697900000,2.2971,0.6967,0.3033,0.921,0.4794,0.5206,2.8941,0.7432,0.2568,0.6809,1516.5,2227.1
1700698200000,2.2862,0.6957,0.3043,0.9193,0.479,0.521,2.8715,0.7417,0.2583,0.6809,1516.5,2227.1
1700698500000,2.2733,0.6945,0.3055,0.9183,0.4787,0.5213,2.8715,0.7417,0.2583,0.6809,1516.5,2227.1
1700698800000,2.2712,0.6943,0.3057,0.9181,0.4787,0.5213,2.864,0.7412,0.2588,0.6809,1516.5,2227.1
1700699100000,2.2819,0.6953,0.3047,0.9175,0.4785,0.5215,2.882,0.7424,0.2576,0.6809,1516.5,2227.1
1700699400000,2.2895,0.696,0.304,0.918,0.4786,0.5214,2.8895,0.7429,0.2571,0.6809,1516.5,2227.1
1700699700000,2.2744,0.6946,0.3054,0.9184,0.4787,0.5213,2.8565,0.7407,0.2593,0.6809,1516.5,2227.1
1700700000000,2.2723,0.6944,0.3056,0.9214,0.4796,0.5204,2.8447,0.7399,0.2601,0.6809,1516.5,2227.1
1700700300000,2.3201,0.6988,0.3012,0.922,0.4797,0.5203,2.9078,0.7441,0.2559,0.6809,1516.5,2227.1
1700700600000,2.3267,0.6994,0.3006,0.9221,0.4797,0.5203,2.917,0.7447,0.2553,0.6809,1516.5,2227.1
1700700900000,2.3434,0.7009,0.2991,0.9225,0.4798,0.5202,2.9417,0.7463,0.2537,0.6809,1516.5,2227.1
1700701200000,2.3036,0.6973,0.3027,0.9198,0.4791,0.5209,2.9047,0.7439,0.2561,0.6809,1516.5,2227.1
1700701500000,2.2949,0.6965,0.3035,0.9192,0.479,0.521,2.8911,0.743,0.257,0.6809,1516.5,2227.1
1700701800000,2.2884,0.6959,0.3041,0.918,0.4786,0.5214,2.8986,0.7435,0.2565,0.6809,1516.5,2227.1
1700702100000,2.296,0.6966,0.3034,0.9173,0.4784,0.5216,2.9032,0.7438,0.2562,0.6809,1516.5,2227.1
1700702400000,2.2723,0.6944,0.3056,0.9188,0.4788,0.5212,2.873,0.7418,0.2582,0.6809,1516.5,2227.1
1700702700000,2.2895,0.696,0.304,0.9162,0.4781,0.5219,2.9032,0.7438,0.2562,0.6809,1516.5,2227.1
1700703000000,2.3058,0.6975,0.3025,0.9156,0.478,0.522,2.9063,0.744,0.256,0.6809,1516.5,2227.1
1700703300000,2.3278,0.6995,0.3005,0.9199,0.4791,0.5209,2.917,0.7447,0.2553,0.6809,1516.5,2227.1
1700703600000,2.3356,0.7002,0.2998,0.9206,0.4793,0.5207,2.9154,0.7446,0.2554,0.6809,1516.5,2227.1
1700703900000,2.3102,0.6979,0.3021,0.9182,0.4787,0.5213,2.8986,0.7435,0.2565,0.6809,1516.5,2227.1
1700704200000,2.3167,0.6985,0.3015,0.9192,0.479,0.521,2.9078,0.7441,0.2559,0.6809,1516.5,2227.1
1700704500000,2.3201,0.6988,0.3012,0.9188,0.4788,0.5212,2.9063,0.744,0.256,0.6809,1516.5,2227.1
1700704800000,2.3124,0.6981,0.3019,0.9197,0.4791,0.5209,2.8941,0.7432,0.2568,0.6809,1516.5,2227.1
1700705100000,2.3156,0.6984,0.3016,0.9205,0.4793,0.5207,2.9002,0.7436,0.2564,0.6809,1516.5,2227.1
1700705400000,2.3135,0.6982,0.3018,0.9506,0.4873,0.5127,2.8956,0.7433,0.2567,0.6809,1516.5,2227.1
1700705700000,2.391,0.7051,0.2949,0.9525,0.4878,0.5122,2.888,0.7428,0.2572,0.6809,1516.5,2227.1
1700706000000,2.3875,0.7048,0.2952,0.9515,0.4876,0.5124,2.8895,0.7429,0.2571,0.6809,1516.5,2227.1
1700706300000,2.3784,0.704,0.296,0.9514,0.4875,0.5125,2.879,0.7422,0.2578,0.6809,1516.5,2227.1
1700706600000,2.3887,0.7049,0.2951,0.9513,0.4875,0.5125,2.8805,0.7423,0.2577,0.6809,1516.5,2227.1
1700706900000,2.3967,0.7056,0.2944,0.9526,0.4879,0.5121,2.882,0.7424,0.2576,0.6809,1516.5,2227.1
1700707200000,2.3898,0.705,0.295,0.9521,0.4877,0.5123,2.873,0.7418,0.2582,0.6809,1516.5,2227.1
1700707500000,2.3898,0.705,0.295,0.952,0.4877,0.5123,2.876,0.742,0.258,0.6809,1516.5,2227.1
1700707800000,2.3898,0.705,0.295,0.9524,0.4878,0.5122,2.873,0.7418,0.2582,0.6809,1516.5,2227.1
1700708100000,2.3933,0.7053,0.2947,0.9523,0.4878,0.5122,2.8911,0.743,0.257,0.6809,1516.5,2227.1
1700708400000,2.3956,0.7055,0.2945,0.9531,0.488,0.512,2.885,0.7426,0.2574,0.6809,1516.5,2227.1
1700708700000,2.3967,0.7056,0.2944,0.9545,0.4884,0.5116,2.8775,0.7421,0.2579,0.6809,1516.5,2227.1
1700709000000,2.4025,0.7061,0.2939,0.9545,0.4884,0.5116,2.888,0.7428,0.2572,0.6809,1516.5,2227.1
1700709300000,2.4037,0.7062,0.2938,0.9544,0.4883,0.5117,2.8865,0.7427,0.2573,0.6809,1516.5,2227.1
1700709600000,2.4014,0.706,0.294,0.954,0.4882,0.5118,2.8865,0.7427,0.2573,0.6809,1516.5,2227.1
1700709900000,2.4083,0.7066,0.2934,0.9539,0.4882,0.5118,2.8971,0.7434,0.2566,0.6809,1516.5,2227.1
1700710200000,2.3693,0.7032,0.2968,0.9517,0.4876,0.5124,2.873,0.7418,0.2582,0.6809,1516.5,2227.1
1700710500000,2.3933,0.7053,0.2947,0.9526,0.4879,0.5121,2.8941,0.7432,0.2568,0.6809,1516.5,2227.1
1700710800000,2.3852,0.7046,0.2954,0.9525,0.4878,0.5122,2.876,0.742,0.258,0.6809,1516.5,2227.1
1700711100000,2.3887,0.7049,0.2951,0.9523,0.4878,0.5122,2.8805,0.7423,0.2577,0.6809,1516.5,2227.1
1700712300000,2.3636,0.7027,0.2973,0.9557,0.4887,0.5113,2.8536,0.7405,0.2595,0.6809,1516.5,2227.1
1700712600000,2.3535,0.7018,0.2982,0.9558,0.4887,0.5113,2.8344,0.7392,0.2608,0.6809,1516.5,2227.1
1700712900000,2.3367,0.7003,0.2997,0.956,0.4888,0.5112,2.8226,0.7384,0.2616,0.6809,1516.5,2227.1
1700713200000,2.3568,0.7021,0.2979,0.9545,0.4884,0.5116,2.8476,0.7401,0.2599,0.6809,1516.5,2227.1
1700713500000,2.3512,0.7016,0.2984,0.9538,0.4882,0.5118,2.8521,0.7404,0.2596,0.6809,1516.5,2227.1
1700713800000,2.349,0.7014,0.2986,0.9539,0.4882,0.5118,2.8373,0.7394,0.2606,0.6809,1516.5,2227.1
1700714100000,2.3501,0.7015,0.2985,0.9528,0.4879,0.5121,2.8432,0.7398,0.2602,0.6809,1516.5,2227.1
1700714400000,2.3568,0.7021,0.2979,0.9535,0.4881,0.5119,2.8462,0.74,0.26,0.6809,1516.5,2227.1
1700714700000,2.3568,0.7021,0.2979,0.9519,0.4877,0.5123,2.8402,0.7396,0.2604,0.6809,1516.5,2227.1
1700715000000,2.3501,0.7015,0.2985,0.9512,0.4875,0.5125,2.8447,0.7399,0.2601,0.6809,1516.5,2227.1
1700715300000,2.3535,0.7018,0.2982,0.9521,0.4877,0.5123,2.8402,0.7396,0.2604,0.6809,1516.5,2227.1
1700715600000,2.3647,0.7028,0.2972,0.9513,0.4875,0.5125,2.8476,0.7401,0.2599,0.6809,1516.5,2227.1
1700715900000,2.3568,0.7021,0.2979,0.9518,0.4877,0.5123,2.8417,0.7397,0.2603,0.6809,1516.5,2227.1
1700716200000,2.3467,0.7012,0.2988,0.9517,0.4876,0.5124,2.8314,0.739,0.261,0.6809,1516.5,2227.1
1700716500000,2.3367,0.7003,0.2997,0.9534,0.4881,0.5119,2.8168,0.738,0.262,0.6809,1516.5,2227.1
1700716800000,2.3434,0.7009,0.2991,0.9534,0.4881,0.5119,2.8256,0.7386,0.2614,0.6809,1516.5,2227.1
1700717100000,2.3535,0.7018,0.2982,0.9525,0.4878,0.5122,2.8402,0.7396,0.2604,0.6809,1516.5,2227.1
1700717400000,2.3411,0.7007,0.2993,0.9517,0.4876,0.5124,2.8373,0.7394,0.2606,0.6809,1516.5,2227.1
1700717700000,2.3512,0.7016,0.2984,0.9516,0.4876,0.5124,2.8536,0.7405,0.2595,0.6809,1516.5,2227.1
1700718000000,2.3568,0.7021,0.2979,0.9533,0.488,0.512,2.8521,0.7404,0.2596,0.6809,1516.5,2227.1
1700718300000,2.3512,0.7016,0.2984,0.9532,0.488,0.512,2.8476,0.7401,0.2599,0.6809,1516.5,2227.1
1700718600000,2.3546,0.7019,0.2981,0.9531,0.488,0.512,2.8506,0.7403,0.2597,0.6809,1516.5,2227.1
1700718900000,2.3568,0.7021,0.2979,0.9534,0.4881,0.5119,2.8521,0.7404,0.2596,0.6809,1516.5,2227.1
1700719200000,2.3568,0.7021,0.2979,0.9538,0.4882,0.5118,2.8476,0.7401,0.2599,0.6809,1516.5,2227.1
1700719500000,2.3546,0.7019,0.2981,0.9558,0.4887,0.5113,2.8506,0.7403,0.2597,0.6809,1516.5,2227.1
1700719800000,2.3636,0.7027,0.2973,0.9566,0.4889,0.5111,2.858,0.7408,0.2592,0.6809,1516.5,2227.1
1700720100000,2.3613,0.7025,0.2975,0.9566,0.4889,0.5111,2.8506,0.7403,0.2597,0.6809,1516.5,2227.1
1700720400000,2.3568,0.7021,0.2979,0.9552,0.4885,0.5115,2.8476,0.7401,0.2599,0.6809,1516.5,2227.1
1700720700000,2.3568,0.7021,0.2979,0.9543,0.4883,0.5117,2.8506,0.7403,0.2597,0.6809,1516.5,2227.1
1700721000000,2.3546,0.7019,0.2981,0.9553,0.4886,0.5114,2.8388,0.7395,0.2605,0.6809,1516.5,2227.1
1700721300000,2.308,0.6977,0.3023,0.9536,0.4881,0.5119,2.7936,0.7364,0.2636,0.6809,1516.5,2227.1
1700721600000,2.3179,0.6986,0.3014,0.9547,0.4884,0.5116,2.7994,0.7368,0.2632,0.6809,1516.5,2227.1
1700721900000,2.3179,0.6986,0.3014,0.9547,0.4884,0.5116,2.8008,0.7369,0.2631,0.6809,1516.5,2227.1
1700722200000,2.308,0.6977,0.3023,0.9548,0.4884,0.5116,2.7936,0.7364,0.2636,0.6809,1516.5,2227.1
1700722500000,2.283,0.6954,0.3046,0.954,0.4882,0.5118,2.7722,0.7349,0.2651,0.6809,1516.5,2227.1
1700722800000,2.2808,0.6952,0.3048,0.9529,0.4879,0.5121,2.7821,0.7356,0.2644,0.6809,1516.5,2227.1
1700723100000,2.268,0.694,0.306,0.9517,0.4876,0.5124,2.7693,0.7347,0.2653,0.6809,1516.5,2227.1
1700723400000,2.269,0.6941,0.3059,0.9521,0.4877,0.5123,2.7665,0.7345,0.2655,0.6809,1516.5,2227.1
1700723700000,2.269,0.6941,0.3059,0.9529,0.488,0.512,2.7636,0.7343,0.2657,0.6809,1516.5,2227.1
1700724000000,2.2787,0.695,0.305,0.9523,0.4878,0.5122,2.7764,0.7352,0.2648,0.6809,1516.5,2227.1
1700724300000,2.2852,0.6956,0.3044,0.9526,0.4879,0.5121,2.7807,0.7355,0.2645,0.6809,1516.5,2227.1
1700724600000,2.2873,0.6958,0.3042,0.9531,0.488,0.512,2.7807,0.7355,0.2645,0.6809,1516.5,2227.1
1700724900000,2.3003,0.697,0.303,0.9533,0.488,0.512,2.7922,0.7363,0.2637,0.6809,1516.5,2227.1
1700725200000,2.3113,0.698,0.302,0.9527,0.4879,0.5121,2.8052,0.7372,0.2628,0.6809,1516.5,2227.1
1700725500000,2.3025,0.6972,0.3028,0.9543,0.4883,0.5117,2.7979,0.7367,0.2633,0.6809,1516.5,2227.1
1700725800000,2.3014,0.6971,0.3029,0.9532,0.488,0.512,2.8023,0.737,0.263,0.6809,1516.5,2227.1
1700726100000,2.3003,0.697,0.303,0.9522,0.4878,0.5122,2.7936,0.7364,0.2636,0.6809,1516.5,2227.1
1700726400000,2.296,0.6966,0.3034,0.9552,0.4885,0.5115,2.7807,0.7355,0.2645,0.6809,1516.5,2227.1
1700726700000,2.2916,0.6962,0.3038,0.9544,0.4883,0.5117,2.7994,0.7368,0.2632,0.6809,1516.5,2227.1
1700727000000,2.2916,0.6962,0.3038,0.9546,0.4884,0.5116,2.7893,0.7361,0.2639,0.6809,1516.5,2227.1
1700727300000,2.3212,0.6989,0.3011,0.9506,0.4873,0.5127,2.8402,0.7396,0.2604,0.6809,1516.5,2227.1
1700727600000,2.33,0.6997,0.3003,0.9519,0.4877,0.5123,2.8432,0.7398,0.2602,0.6809,1516.5,2227.1
1700727900000,2.3135,0.6982,0.3018,0.9498,0.4871,0.5129,2.8226,0.7384,0.2616,0.6809,1516.5,2227.1
1700728200000,2.3091,0.6978,0.3022,0.949,0.4869,0.5131,2.8256,0.7386,0.2614,0.6809,1516.5,2227.1
1700728500000,2.3102,0.6979,0.3021,0.9486,0.4868,0.5132,2.8168,0.738,0.262,0.6809,1516.5,2227.1
1700728800000,2.3445,0.701,0.299,0.9468,0.4863,0.5137,2.8551,0.7406,0.2594,0.6809,1516.5,2227.1
1700729100000,2.3602,0.7024,0.2976,0.9446,0.4858,0.5142,2.873,0.7418,0.2582,0.6809,1516.5,2227.1
1700729400000,2.358,0.7022,0.2978,0.9474,0.4865,0.5135,2.8685,0.7415,0.2585,0.6809,1516.5,2227.1
1700729700000,2.3278,0.6995,0.3005,0.9466,0.4863,0.5137,2.8432,0.7398,0.2602,0.6809,1516.5,2227.1
1700730000000,2.3367,0.7003,0.2997,0.9461,0.4861,0.5139,2.8402,0.7396,0.2604,0.6809,1516.5,2227.1
1700730300000,2.3322,0.6999,0.3001,0.9487,0.4868,0.5132,2.8226,0.7384,0.2616,0.6809,1516.5,2227.1
1700730600000,2.3389,0.7005,0.2995,0.9505,0.4873,0.5127,2.8197,0.7382,0.2618,0.6809,1516.5,2227.1
1700730900000,2.3864,0.7047,0.2953,0.948,0.4867,0.5133,2.8775,0.7421,0.2579,0.6809,1516.5,2227.1
1700731200000,2.3772,0.7039,0.2961,0.9484,0.4868,0.5132,2.8715,0.7417,0.2583,0.6809,1516.5,2227.1
1700731500000,2.3887,0.7049,0.2951,0.9479,0.4866,0.5134,2.8775,0.7421,0.2579,0.6809,1516.5,2227.1
1700731800000,2.3887,0.7049,0.2951,0.9481,0.4867,0.5133,2.879,0.7422,0.2578,0.6809,1516.5,2227.1
1700732100000,2.4014,0.706,0.294,0.9482,0.4867,0.5133,2.885,0.7426,0.2574,0.6809,1516.5,2227.1
1700732400000,2.4072,0.7065,0.2935,0.9496,0.4871,0.5129,2.885,0.7426,0.2574,0.6809,1516.5,2227.1
1700732700000,2.4048,0.7063,0.2937,0.9495,0.487,0.513,2.882,0.7424,0.2576,0.6809,1516.5,2227.1
1700733000000,2.4048,0.7063,0.2937,0.9504,0.4873,0.5127,2.882,0.7424,0.2576,0.6809,1516.5,2227.1
1700733300000,2.4141,0.7071,0.2929,0.9493,0.487,0.513,2.8911,0.743,0.257,0.6809,1516.5,2227.1
1700733600000,2.3557,0.702,0.298,0.9502,0.4872,0.5128,2.8212,0.7383,0.2617,0.6809,1516.5,2227.1
1700733900000,2.3602,0.7024,0.2976,0.9502,0.4872,0.5128,2.8344,0.7392,0.2608,0.6809,1516.5,2227.1
1700734200000,2.3772,0.7039,0.2961,0.9492,0.487,0.513,2.8595,0.7409,0.2591,0.6809,1516.5,2227.1
1700734500000,2.3772,0.7039,0.2961,0.9495,0.487,0.513,2.864,0.7412,0.2588,0.6809,1516.5,2227.1
1700734800000,2.3636,0.7027,0.2973,0.9511,0.4875,0.5125,2.8491,0.7402,0.2598,0.6809,1516.5,2227.1
1700735100000,2.3523,0.7017,0.2983,0.9516,0.4876,0.5124,2.8373,0.7394,0.2606,0.6809,1516.5,2227.1
1700735400000,2.3557,0.702,0.298,0.9511,0.4875,0.5125,2.8373,0.7394,0.2606,0.6809,1516.5,2227.1
1700735700000,2.3602,0.7024,0.2976,0.953,0.488,0.512,2.8402,0.7396,0.2604,0.6809,1516.5,2227.1
1700736000000,2.367,0.703,0.297,0.9437,0.4855,0.5145,2.8491,0.7402,0.2598,0.6809,1516.5,2227.1
1700736300000,2.3715,0.7034,0.2966,0.9441,0.4856,0.5144,2.8536,0.7405,0.2595,0.6809,1516.5,2227.1
1700736600000,2.3727,0.7035,0.2965,0.944,0.4856,0.5144,2.858,0.7408,0.2592,0.6809,1516.5,2227.1
1700736900000,2.3852,0.7046,0.2954,0.9451,0.4859,0.5141,2.8625,0.7411,0.2589,0.6809,1516.5,2227.1
1700737200000,2.3795,0.7041,0.2959,0.9449,0.4858,0.5142,2.864,0.7412,0.2588,0.6809,1516.5,2227.1
1700737500000,2.3693,0.7032,0.2968,0.9438,0.4855,0.5145,2.8565,0.7407,0.2593,0.6809,1516.5,2227.1
1700737800000,2.3795,0.7041,0.2959,0.9422,0.4851,0.5149,2.864,0.7412,0.2588,0.6809,1516.5,2227.1
1700738100000,2.3715,0.7034,0.2966,0.9434,0.4854,0.5146,2.8536,0.7405,0.2595,0.6809,1516.5,2227.1
1700738400000,2.34,0.7006,0.2994,0.9435,0.4855,0.5145,2.8168,0.738,0.262,0.6809,1516.5,2227.1
1700738700000,2.4282,0.7083,0.2917,0.9424,0.4852,0.5148,2.9185,0.7448,0.2552,0.6809,1516.5,2227.1
1700739000000,2.4459,0.7098,0.2902,0.9434,0.4854,0.5146,2.9262,0.7453,0.2547,0.6809,1516.5,2227.1
1700739300000,2.4364,0.709,0.291,0.9435,0.4855,0.5145,2.9277,0.7454,0.2546,0.6809,1516.5,2227.1
1700739600000,2.4388,0.7092,0.2908,0.9446,0.4858,0.5142,2.9231,0.7451,0.2549,0.6809,1516.5,2227.1
1700739900000,2.459,0.7109,0.2891,0.9447,0.4858,0.5142,2.9308,0.7456,0.2544,0.6809,1516.5,2227.1
1700740200000,2.4626,0.7112,0.2888,0.9496,0.4871,0.5129,2.937,0.746,0.254,0.6809,1516.5,2227.1
1700740500000,2.1328,0.6808,0.3192,0.9418,0.485,0.515,2.6496,0.726,0.274,0.6809,1516.5,2227.1
1700740800000,2.1368,0.6812,0.3188,0.9383,0.4841,0.5159,2.655,0.7264,0.2736,0.6809,1516.5,2227.1
1700741100000,2.1368,0.6812,0.3188,0.9391,0.4843,0.5157,2.6523,0.7262,0.2738,0.6809,1516.5,2227.1
1700741400000,2.1756,0.6851,0.3149,0.9364,0.4836,0.5164,2.69,0.729,0.271,0.6809,1516.5,2227.1
1700741700000,2.198,0.6873,0.3127,0.9404,0.4846,0.5154,2.6819,0.7284,0.2716,0.6809,1516.5,2227.1
1700742000000,2.2051,0.688,0.312,0.9406,0.4847,0.5153,2.6941,0.7293,0.2707,0.6809,1516.5,2227.1
1700742300000,2.2436,0.6917,0.3083,0.9429,0.4853,0.5147,2.73,0.7319,0.2681,0.6809,1516.5,2227.1
1700742600000,2.2723,0.6944,0.3056,0.9424,0.4852,0.5148,2.7651,0.7344,0.2656,0.6809,1516.5,2227.1
1700742900000,2.3036,0.6973,0.3027,0.9447,0.4858,0.5142,2.7807,0.7355,0.2645,0.6809,1516.5,2227.1
1700743200000,2.3234,0.6991,0.3009,0.9441,0.4856,0.5144,2.7965,0.7366,0.2634,0.6809,1516.5,2227.1
1700743500000,2.3179,0.6986,0.3014,0.943,0.4853,0.5147,2.7979,0.7367,0.2633,0.6809,1516.5,2227.1
1700743800000,2.2873,0.6958,0.3042,0.9404,0.4847,0.5153,2.7736,0.735,0.265,0.6809,1516.5,2227.1
1700744100000,2.2862,0.6957,0.3043,0.9403,0.4846,0.5154,2.7836,0.7357,0.2643,0.6809,1516.5,2227.1
1700744400000,2.3322,0.6999,0.3001,0.9418,0.485,0.515,2.8081,0.7374,0.2626,0.6809,1516.5,2227.1
1700744700000,2.367,0.703,0.297,0.9407,0.4847,0.5153,2.8476,0.7401,0.2599,0.6809,1516.5,2227.1
1700745000000,2.3659,0.7029,0.2971,0.9406,0.4847,0.5153,2.864,0.7412,0.2588,0.6809,1516.5,2227.1
1700745300000,2.3738,0.7036,0.2964,0.9409,0.4848,0.5152,2.867,0.7414,0.2586,0.6809,1516.5,2227.1
1700745600000,2.34,0.7006,0.2994,0.9406,0.4847,0.5153,2.8344,0.7392,0.2608,0.6809,1516.5,2227.1
1700745900000,2.3333,0.7,0.3,0.9396,0.4844,0.5156,2.83,0.7389,0.2611,0.6809,1516.5,2227.1
1700746200000,2.3625,0.7026,0.2974,0.9408,0.4848,0.5152,2.861,0.741,0.259,0.6809,1516.5,2227.1
1700746500000,2.3625,0.7026,0.2974,0.9416,0.485,0.515,2.8462,0.74,0.26,0.6809,1516.5,2227.1
1700746800000,2.3568,0.7021,0.2979,0.9416,0.4849,0.5151,2.8491,0.7402,0.2598,0.6809,1516.5,2227.1
1700747100000,2.3659,0.7029,0.2971,0.9418,0.485,0.515,2.8521,0.7404,0.2596,0.6809,1516.5,2227.1
1700747400000,2.3784,0.704,0.296,0.9408,0.4847,0.5153,2.8655,0.7413,0.2587,0.6809,1516.5,2227.1
