Timestamp,TopRatioAcc,TopLongAcc, TopShortAcc, TopRatioPos, TopLongPos, TopShortPos, GlobalRatioAcc, GlobalLongAcc, GlobalShortAcc, BuySellRatio, BuyVol, SelVol
1700695800000,2.659,0.7267,0.2733,1.1612,0.5373,0.4627,2.723,0.7314,0.2686,1.5289,2885.0,1887.0
1700696100000,2.6523,0.7262,0.2738,1.1608,0.5372,0.4628,2.701,0.7298,0.2702,1.5289,2885.0,1887.0
1700696400000,2.6245,0.7241,0.2759,1.161,0.5373,0.4627,2.667,0.7273,0.2727,1.5289,2885.0,1887.0
1700696700000,2.5907,0.7215,0.2785,1.1604,0.5371,0.4629,2.6443,0.7256,0.2744,1.5289,2885.0,1887.0
1700697000000,2.5689,0.7198,0.2802,1.1601,0.5371,0.4629,2.6245,0.7241,0.2759,1.5289,2885.0,1887.0
1700697300000,2.5549,0.7187,0.2813,1.1602,0.5371,0.4629,2.6166,0.7235,0.2765,1.5289,2885.0,1887.0
1700697600000,2.5562,0.7188,0.2812,1.1633,0.5377,0.4623,2.6271,0.7243,0.2757,1.5289,2885.0,1887.0
1700697900000,2.5907,0.7215,0.2785,1.1624,0.5375,0.4625,2.659,0.7267,0.2733,1.5289,2885.0,1887.0
1700698200000,2.5702,0.7199,0.2801,1.1624,0.5376,0.4624,2.6377,0.7251,0.2749,1.5289,2885.0,1887.0
1700698500000,2.5945,0.7218,0.2782,1.1619,0.5374,0.4626,2.6657,0.7272,0.2728,1.5289,2885.0,1887.0
1700698800000,2.6088,0.7229,0.2771,1.162,0.5375,0.4625,2.663,0.727,0.273,1.5289,2885.0,1887.0
1700699100000,2.69,0.729,0.271,1.1619,0.5374,0.4626,2.7425,0.7328,0.2672,1.5289,2885.0,1887.0
1700699400000,2.6955,0.7294,0.2706,1.1603,0.5371,0.4629,2.7665,0.7345,0.2655,1.5289,2885.0,1887.0
1700699700000,2.7202,0.7312,0.2688,1.1602,0.5371,0.4629,2.7779,0.7353,0.2647,1.5289,2885.0,1887.0
1700700000000,2.87,0.7416,0.2584,1.1605,0.5371,0.4629,2.8941,0.7432,0.2568,1.5289,2885.0,1887.0
1700700300000,2.867,0.7414,0.2586,1.162,0.5375,0.4625,2.879,0.7422,0.2578,1.5289,2885.0,1887.0
1700700600000,2.879,0.7422,0.2578,1.1624,0.5376,0.4624,2.8715,0.7417,0.2583,1.5289,2885.0,1887.0
1700700900000,2.8865,0.7427,0.2573,1.1627,0.5376,0.4624,2.882,0.7424,0.2576,1.5289,2885.0,1887.0
1700701200000,2.9308,0.7456,0.2544,1.1593,0.5369,0.4631,2.9093,0.7442,0.2558,1.5289,2885.0,1887.0
1700701500000,2.8941,0.7432,0.2568,1.1567,0.5363,0.4637,2.9017,0.7437,0.2563,1.5289,2885.0,1887.0
1700701800000,2.882,0.7424,0.2576,1.1585,0.5367,0.4633,2.8625,0.7411,0.2589,1.5289,2885.0,1887.0
1700702100000,2.8536,0.7405,0.2595,1.1556,0.5361,0.4639,2.879,0.7422,0.2578,1.5289,2885.0,1887.0
1700702400000,2.9139,0.7445,0.2555,1.1545,0.5359,0.4641,2.9355,0.7459,0.2541,1.5289,2885.0,1887.0
1700702700000,2.8835,0.7425,0.2575,1.1551,0.536,0.464,2.8971,0.7434,0.2566,1.5289,2885.0,1887.0
1700703000000,2.9124,0.7444,0.2556,1.1601,0.5371,0.4629,2.9324,0.7457,0.2543,1.5289,2885.0,1887.0
