Timestamp,TopRatioAcc,TopLongAcc, TopShortAcc, TopRatioPos, TopLongPos, TopShortPos, GlobalRatioAcc, GlobalLongAcc, GlobalShortAcc, BuySellRatio, BuyVol, SelVol
1700695800000,1.4295,0.5884,0.4116,1.0581,0.5141,0.4859,1.4114,0.5853,0.4147,0.7456,7962.3,10678.4
1700696100000,1.4498,0.5918,0.4082,1.0597,0.5145,0.4855,1.4219,0.5871,0.4129,0.7456,7962.3,10678.4
1700696400000,1.4576,0.5931,0.4069,1.06,0.5146,0.4854,1.4331,0.589,0.411,0.7456,7962.3,10678.4
1700696700000,1.454,0.5925,0.4075,1.06,0.5146,0.4854,1.4307,0.5886,0.4114,0.7456,7962.3,10678.4
1700697000000,1.4576,0.5931,0.4069,1.0594,0.5144,0.4856,1.4355,0.5894,0.4106,0.7456,7962.3,10678.4
1700697300000,1.482,0.5971,0.4029,1.0602,0.5146,0.4854,1.4516,0.5921,0.4079,0.7456,7962.3,10678.4
1700697600000,1.4679,0.5948,0.4052,1.0594,0.5144,0.4856,1.4438,0.5908,0.4092,0.7456,7962.3,10678.4
1700697900000,1.457,0.593,0.407,1.0635,0.5154,0.4846,1.4295,0.5884,0.4116,0.7456,7962.3,10678.4
1700698200000,1.4528,0.5923,0.4077,1.0625,0.5151,0.4849,1.4349,0.5893,0.4107,0.7456,7962.3,10678.4
1700698500000,1.4184,0.5865,0.4135,1.0626,0.5152,0.4848,1.4108,0.5852,0.4148,0.7456,7962.3,10678.4
1700698800000,1.4254,0.5877,0.4123,1.0634,0.5154,0.4846,1.412,0.5854,0.4146,0.7456,7962.3,10678.4
1700699100000,1.4474,0.5914,0.4086,1.0645,0.5156,0.4844,1.4219,0.5871,0.4129,0.7456,7962.3,10678.4
1700699400000,1.4631,0.594,0.406,1.0674,0.5163,0.4837,1.4426,0.5906,0.4094,0.7456,7962.3,10678.4
1700699700000,1.4552,0.5927,0.4073,1.0688,0.5166,0.4834,1.4313,0.5887,0.4113,0.7456,7962.3,10678.4
1700700000000,1.4612,0.5937,0.4063,1.0706,0.517,0.483,1.4355,0.5894,0.4106,0.7456,7962.3,10678.4
1700700300000,1.4606,0.5936,0.4064,1.0777,0.5187,0.4813,1.4414,0.5904,0.4096,0.7456,7962.3,10678.4
1700700600000,1.4679,0.5948,0.4052,1.0795,0.5191,0.4809,1.4408,0.5903,0.4097,0.7456,7962.3,10678.4
1700700900000,1.5082,0.6013,0.3987,1.0813,0.5195,0.4805,1.471,0.5953,0.4047,0.7456,7962.3,10678.4
1700701200000,1.5227,0.6036,0.3964,1.0815,0.5196,0.4804,1.4752,0.596,0.404,0.7456,7962.3,10678.4
1700701500000,1.524,0.6038,0.3962,1.0818,0.5196,0.4804,1.4759,0.5961,0.4039,0.7456,7962.3,10678.4
1700701800000,1.5272,0.6043,0.3957,1.0814,0.5196,0.4804,1.4802,0.5968,0.4032,0.7456,7962.3,10678.4
1700702100000,1.5164,0.6026,0.3974,1.0776,0.5187,0.4813,1.4691,0.595,0.405,0.7456,7962.3,10678.4
1700702400000,1.495,0.5992,0.4008,1.0772,0.5186,0.4814,1.4534,0.5924,0.4076,0.7456,7962.3,10678.4
1700702700000,1.5094,0.6015,0.3985,1.0767,0.5185,0.4815,1.4624,0.5939,0.4061,0.7456,7962.3,10678.4
1700703000000,1.5342,0.6054,0.3946,1.0756,0.5182,0.4818,1.4839,0.5974,0.4026,0.7456,7962.3,10678.4
1700703300000,1.5157,0.6025,0.3975,1.0687,0.5166,0.4834,1.4588,0.5933,0.4067,0.7456,7962.3,10678.4
1700703600000,1.5297,0.6047,0.3953,1.0677,0.5164,0.4836,1.4746,0.5959,0.4041,0.7456,7962.3,10678.4
1700703900000,1.531,0.6049,0.3951,1.0672,0.5163,0.4837,1.4765,0.5962,0.4038,0.7456,7962.3,10678.4
1700704200000,1.5304,0.6048,0.3952,1.0673,0.5163,0.4837,1.4783,0.5965,0.4035,0.7456,7962.3,10678.4
1700704500000,1.5349,0.6055,0.3945,1.067,0.5162,0.4838,1.4771,0.5963,0.4037,0.7456,7962.3,10678.4
1700704800000,1.5221,0.6035,0.3965,1.0669,0.5162,0.4838,1.4734,0.5957,0.4043,0.7456,7962.3,10678.4
1700705100000,1.5445,0.607,0.393,1.0668,0.5161,0.4839,1.4882,0.5981,0.4019,0.7456,7962.3,10678.4
1700705400000,1.6178,0.618,0.382,1.1199,0.5283,0.4717,1.5316,0.605,0.395,0.7456,7962.3,10678.4
1700705700000,1.6903,0.6283,0.3717,1.1203,0.5284,0.4716,1.5233,0.6037,0.3963,0.7456,7962.3,10678.4
1700706000000,1.681,0.627,0.373,1.1188,0.528,0.472,1.5189,0.603,0.397,0.7456,7962.3,10678.4
1700706300000,1.6774,0.6265,0.3735,1.1185,0.528,0.472,1.5208,0.6033,0.3967,0.7456,7962.3,10678.4
1700706600000,1.6752,0.6262,0.3738,1.12,0.5283,0.4717,1.5233,0.6037,0.3963,0.7456,7962.3,10678.4
1700706900000,1.6788,0.6267,0.3733,1.1205,0.5284,0.4716,1.5183,0.6029,0.3971,0.7456,7962.3,10678.4
1700707200000,1.6983,0.6294,0.3706,1.1202,0.5283,0.4717,1.5304,0.6048,0.3952,0.7456,7962.3,10678.4
1700707500000,1.6969,0.6292,0.3708,1.12,0.5283,0.4717,1.5272,0.6043,0.3957,0.7456,7962.3,10678.4
1700707800000,1.686,0.6277,0.3723,1.1208,0.5285,0.4715,1.5208,0.6033,0.3967,0.7456,7962.3,10678.4
1700708100000,1.6932,0.6287,0.3713,1.1206,0.5284,0.4716,1.5278,0.6044,0.3956,0.7456,7962.3,10678.4
1700708400000,1.7027,0.63,0.37,1.1222,0.5288,0.4712,1.524,0.6038,0.3962,0.7456,7962.3,10678.4
1700708700000,1.6903,0.6283,0.3717,1.1232,0.529,0.471,1.5157,0.6025,0.3975,0.7456,7962.3,10678.4
1700709000000,1.6976,0.6293,0.3707,1.124,0.5292,0.4708,1.5221,0.6035,0.3965,0.7456,7962.3,10678.4
1700709300000,1.7005,0.6297,0.3703,1.1238,0.5291,0.4709,1.531,0.6049,0.3951,0.7456,7962.3,10678.4
1700709600000,1.7005,0.6297,0.3703,1.123,0.529,0.471,1.531,0.6049,0.3951,0.7456,7962.3,10678.4
1700709900000,1.713,0.6314,0.3686,1.1229,0.5289,0.4711,1.5361,0.6057,0.3943,0.7456,7962.3,10678.4
1700710200000,1.7122,0.6313,0.3687,1.1232,0.529,0.471,1.5329,0.6052,0.3948,0.7456,7962.3,10678.4
