Timestamp,TopRatioAcc,TopLongAcc, TopShortAcc, TopRatioPos, TopLongPos, TopShortPos, GlobalRatioAcc, GlobalLongAcc, GlobalShortAcc, BuySellRatio, BuyVol, SelVol
1700642400000,1.9842,0.6649,0.3351,1.6166,0.6178,0.3822,2.3167,0.6985,0.3015,1.0053,1181308.0000,1175076.0000
1700642700000,1.9985,0.6665,0.3335,1.6237,0.6189,0.3811,2.3156,0.6984,0.3016,1.0053,1181308.0000,1175076.0000
1700643000000,1.9922,0.6658,0.3342,1.6242,0.6189,0.3811,2.3156,0.6984,0.3016,1.0053,1181308.0000,1175076.0000
1700643300000,2.0057,0.6673,0.3327,1.6231,0.6188,0.3812,2.3389,0.7005,0.2995,1.0053,1181308.0000,1175076.0000
1700643600000,1.9931,0.6659,0.3341,1.6236,0.6188,0.3812,2.3245,0.6992,0.3008,1.0053,1181308.0000,1175076.0000
1700643900000,2.0048,0.6672,0.3328,1.6248,0.6190,0.3810,2.3179,0.6986,0.3014,1.0053,1181308.0000,1175076.0000
1700644200000,2.0534,0.6725,0.3275,1.6073,0.6165,0.3835,2.3887,0.7049,0.2951,1.0053,1181308.0000,1175076.0000
1700644500000,2.0628,0.6735,0.3265,1.6067,0.6164,0.3836,2.3852,0.7046,0.2954,1.0053,1181308.0000,1175076.0000
1700644800000,2.0488,0.6720,0.3280,1.5998,0.6154,0.3846,2.3910,0.7051,0.2949,1.0053,1181308.0000,1175076.0000
1700645100000,2.0349,0.6705,0.3295,1.5982,0.6151,0.3849,2.3591,0.7023,0.2977,1.0053,1181308.0000,1175076.0000
1700645400000,1.7122,0.6313,0.3687,1.5951,0.6147,0.3853,1.8241,0.6459,0.3541,1.0053,1181308.0000,1175076.0000
1700645700000,1.7465,0.6359,0.3641,1.5935,0.6144,0.3856,1.8433,0.6483,0.3517,1.0053,1181308.0000,1175076.0000
1700646000000,1.7601,0.6377,0.3623,1.5938,0.6145,0.3855,1.8596,0.6503,0.3497,1.0053,1181308.0000,1175076.0000
1700646300000,1.7263,0.6332,0.3668,1.6080,0.6166,0.3834,1.8297,0.6466,0.3534,1.0053,1181308.0000,1175076.0000
1700646600000,1.7093,0.6309,0.3691,1.6103,0.6169,0.3831,1.8121,0.6444,0.3556,1.0053,1181308.0000,1175076.0000
1700646900000,1.7203,0.6324,0.3676,1.6112,0.6170,0.3830,1.8169,0.6450,0.3550,1.0053,1181308.0000,1175076.0000
1700647200000,1.7071,0.6306,0.3694,1.6083,0.6166,0.3834,1.8177,0.6451,0.3549,1.0053,1181308.0000,1175076.0000
1700647500000,1.6998,0.6296,0.3704,1.6074,0.6165,0.3835,1.8011,0.6430,0.3570,1.0053,1181308.0000,1175076.0000
1700647800000,1.6889,0.6281,0.3719,1.6075,0.6165,0.3835,1.7933,0.6420,0.3580,1.0053,1181308.0000,1175076.0000
1700648100000,1.6874,0.6279,0.3721,1.6070,0.6164,0.3836,1.7996,0.6428,0.3572,1.0053,1181308.0000,1175076.0000
1700648400000,1.6896,0.6282,0.3718,1.6125,0.6172,0.3828,1.8027,0.6432,0.3568,1.0053,1181308.0000,1175076.0000
1700648700000,1.6976,0.6293,0.3707,1.6128,0.6173,0.3827,1.8019,0.6431,0.3569,1.0053,1181308.0000,1175076.0000
1700649000000,1.7196,0.6323,0.3677,1.6086,0.6167,0.3833,1.8169,0.6450,0.3550,1.0053,1181308.0000,1175076.0000
1700649300000,1.7144,0.6316,0.3684,1.6114,0.6171,0.3829,1.8066,0.6437,0.3563,1.0053,1181308.0000,1175076.0000
1700649600000,1.7367,0.6346,0.3654,1.6087,0.6167,0.3833,1.8273,0.6463,0.3537,1.0053,1181308.0000,1175076.0000
1700649900000,1.7203,0.6324,0.3676,1.6060,0.6163,0.3837,1.8161,0.6449,0.3551,1.0053,1181308.0000,1175076.0000
1700650200000,1.6998,0.6296,0.3704,1.6041,0.6160,0.3840,1.7840,0.6408,0.3592,1.0053,1181308.0000,1175076.0000
1700650500000,1.7152,0.6317,0.3683,1.6023,0.6157,0.3843,1.8050,0.6435,0.3565,1.0053,1181308.0000,1175076.0000
1700650800000,1.7211,0.6325,0.3675,1.6028,0.6158,0.3842,1.8082,0.6439,0.3561,1.0053,1181308.0000,1175076.0000
1700651100000,1.7203,0.6324,0.3676,1.6046,0.6161,0.3839,1.7941,0.6421,0.3579,1.0053,1181308.0000,1175076.0000
1700651400000,1.7594,0.6376,0.3624,1.6004,0.6154,0.3846,1.8273,0.6463,0.3537,1.0053,1181308.0000,1175076.0000
1700651700000,1.7863,0.6411,0.3589,1.6006,0.6155,0.3845,1.8450,0.6485,0.3515,1.0053,1181308.0000,1175076.0000
1700652000000,1.8043,0.6434,0.3566,1.6016,0.6156,0.3844,1.8588,0.6502,0.3498,1.0053,1181308.0000,1175076.0000
1700652300000,1.8066,0.6437,0.3563,1.6016,0.6156,0.3844,1.8727,0.6519,0.3481,1.0053,1181308.0000,1175076.0000
1700652600000,1.7964,0.6424,0.3576,1.6043,0.6160,0.3840,1.8645,0.6509,0.3491,1.0053,1181308.0000,1175076.0000
1700652900000,1.7847,0.6409,0.3591,1.6076,0.6165,0.3835,1.8433,0.6483,0.3517,1.0053,1181308.0000,1175076.0000
1700653200000,1.8027,0.6432,0.3568,1.6069,0.6164,0.3836,1.8612,0.6505,0.3495,1.0053,1181308.0000,1175076.0000
1700653500000,1.8027,0.6432,0.3568,1.6043,0.6160,0.3840,1.8596,0.6503,0.3497,1.0053,1181308.0000,1175076.0000
1700653800000,1.8035,0.6433,0.3567,1.6041,0.6160,0.3840,1.8571,0.6500,0.3500,1.0053,1181308.0000,1175076.0000
1700654100000,1.7902,0.6416,0.3584,1.6072,0.6164,0.3836,1.8441,0.6484,0.3516,1.0053,1181308.0000,1175076.0000
1700654400000,1.8193,0.6453,0.3547,1.6089,0.6167,0.3833,1.8620,0.6506,0.3494,1.0053,1181308.0000,1175076.0000
1700654700000,1.8353,0.6473,0.3527,1.6036,0.6159,0.3841,1.8827,0.6531,0.3469,1.0053,1181308.0000,1175076.0000
1700655000000,1.7541,0.6369,0.3631,1.6040,0.6160,0.3840,1.8137,0.6446,0.3554,1.0053,1181308.0000,1175076.0000
1700655300000,1.7571,0.6373,0.3627,1.6037,0.6159,0.3841,1.8185,0.6452,0.3548,1.0053,1181308.0000,1175076.0000
1700655600000,1.7670,0.6386,0.3614,1.6034,0.6159,0.3841,1.8297,0.6466,0.3534,1.0053,1181308.0000,1175076.0000
1700655900000,1.7701,0.6390,0.3610,1.6045,0.6160,0.3840,1.8361,0.6474,0.3526,1.0053,1181308.0000,1175076.0000
1700656200000,1.7647,0.6383,0.3617,1.6090,0.6167,0.3833,1.8225,0.6457,0.3543,1.0053,1181308.0000,1175076.0000
