Timestamp,TopRatioAcc,TopLongAcc, TopShortAcc, TopRatioPos, TopLongPos, TopShortPos, GlobalRatioAcc, GlobalLongAcc, GlobalShortAcc, BuySellRatio, BuyVol, SelVol
1700695800000,1.4649,0.5943,0.4057,1.2637,0.5582,0.4418,1.4254,0.5877,0.4123,1.0312,1134482.0,1100198.0
1700696100000,1.4462,0.5912,0.4088,1.2632,0.5581,0.4419,1.4131,0.5856,0.4144,1.0312,1134482.0,1100198.0
1700696400000,1.4845,0.5975,0.4025,1.2624,0.558,0.442,1.4319,0.5888,0.4112,1.0312,1134482.0,1100198.0
1700696700000,1.4426,0.5906,0.4094,1.2696,0.5594,0.4406,1.4062,0.5844,0.4156,1.0312,1134482.0,1100198.0
1700697000000,1.4414,0.5904,0.4096,1.2695,0.5594,0.4406,1.3987,0.5831,0.4169,1.0312,1134482.0,1100198.0
1700697300000,1.4366,0.5896,0.4104,1.2766,0.5607,0.4393,1.405,0.5842,0.4158,1.0312,1134482.0,1100198.0
1700697600000,1.4498,0.5918,0.4082,1.2724,0.5599,0.4401,1.4137,0.5857,0.4143,1.0312,1134482.0,1100198.0
1700697900000,1.4254,0.5877,0.4123,1.2698,0.5594,0.4406,1.4073,0.5846,0.4154,1.0312,1134482.0,1100198.0
1700698200000,1.3883,0.5813,0.4187,1.256,0.5567,0.4433,1.3929,0.5821,0.4179,1.0312,1134482.0,1100198.0
1700698500000,1.3952,0.5825,0.4175,1.2536,0.5563,0.4437,1.3912,0.5818,0.4182,1.0312,1134482.0,1100198.0
1700698800000,1.3935,0.5822,0.4178,1.2536,0.5563,0.4437,1.3878,0.5812,0.4188,1.0312,1134482.0,1100198.0
1700699100000,1.3546,0.5753,0.4247,1.2446,0.5545,0.4455,1.3563,0.5756,0.4244,1.0312,1134482.0,1100198.0
1700699400000,1.3375,0.5722,0.4278,1.2401,0.5536,0.4464,1.3436,0.5733,0.4267,1.0312,1134482.0,1100198.0
1700699700000,1.2492,0.5554,0.4446,1.2408,0.5537,0.4463,1.2386,0.5533,0.4467,1.0312,1134482.0,1100198.0
1700700000000,1.3047,0.5661,0.4339,1.2204,0.5496,0.4504,1.3463,0.5738,0.4262,1.0312,1134482.0,1100198.0
1700700300000,1.3175,0.5685,0.4315,1.2327,0.5521,0.4479,1.3359,0.5719,0.4281,1.0312,1134482.0,1100198.0
1700700600000,1.3223,0.5694,0.4306,1.2262,0.5508,0.4492,1.3332,0.5714,0.4286,1.0312,1134482.0,1100198.0
1700700900000,1.3918,0.5819,0.4181,1.2321,0.552,0.448,1.377,0.5793,0.4207,1.0312,1134482.0,1100198.0
1700701200000,1.3579,0.5759,0.4241,1.2382,0.5532,0.4468,1.3557,0.5755,0.4245,1.0312,1134482.0,1100198.0
1700701500000,1.2915,0.5636,0.4364,1.2207,0.5497,0.4503,1.3111,0.5673,0.4327,1.0312,1134482.0,1100198.0
1700701800000,1.2619,0.5579,0.4421,1.2165,0.5488,0.4512,1.2873,0.5628,0.4372,1.0312,1134482.0,1100198.0
1700702100000,1.2589,0.5573,0.4427,1.2148,0.5485,0.4515,1.2604,0.5576,0.4424,1.0312,1134482.0,1100198.0
1700702400000,1.2614,0.5578,0.4422,1.2159,0.5487,0.4513,1.2686,0.5592,0.4408,1.0312,1134482.0,1100198.0
1700702700000,1.2311,0.5518,0.4482,1.1953,0.5445,0.4555,1.2614,0.5578,0.4422,1.0312,1134482.0,1100198.0
1700703000000,1.2104,0.5476,0.4524,1.1903,0.5434,0.4566,1.2497,0.5555,0.4445,1.0312,1134482.0,1100198.0
1700703300000,1.2262,0.5508,0.4492,1.1971,0.5449,0.4551,1.2427,0.5541,0.4459,1.0312,1134482.0,1100198.0
1700703600000,1.2109,0.5477,0.4523,1.1858,0.5425,0.4575,1.2371,0.553,0.447,1.0312,1134482.0,1100198.0
1700703900000,1.2183,0.5492,0.4508,1.1923,0.5439,0.4561,1.2227,0.5501,0.4499,1.0312,1134482.0,1100198.0
1700704200000,1.2222,0.55,0.45,1.188,0.543,0.457,1.2202,0.5496,0.4504,1.0312,1134482.0,1100198.0
1700704500000,1.1825,0.5418,0.4582,1.1753,0.5403,0.4597,1.1749,0.5402,0.4598,1.0312,1134482.0,1100198.0
1700704800000,1.1664,0.5384,0.4616,1.1768,0.5406,0.4594,1.1432,0.5334,0.4666,1.0312,1134482.0,1100198.0
1700705100000,1.1939,0.5442,0.4558,1.1763,0.5405,0.4595,1.1716,0.5395,0.4605,1.0312,1134482.0,1100198.0
1700705400000,1.1744,0.5401,0.4599,1.2023,0.5459,0.4541,1.1249,0.5294,0.4706,1.0312,1134482.0,1100198.0
1700705700000,1.2282,0.5512,0.4488,1.1986,0.5452,0.4548,1.1304,0.5306,0.4694,1.0312,1134482.0,1100198.0
1700706000000,1.2129,0.5481,0.4519,1.1914,0.5437,0.4563,1.0687,0.5166,0.4834,1.0312,1134482.0,1100198.0
1700706300000,1.1739,0.54,0.46,1.1849,0.5423,0.4577,1.0513,0.5125,0.4875,1.0312,1134482.0,1100198.0
