Timestamp,TopRatioAcc,TopLongAcc, TopShortAcc, TopRatioPos, TopLongPos, TopShortPos, GlobalRatioAcc, GlobalLongAcc, GlobalShortAcc, BuySellRatio, BuyVol, SelVol
1701358500000,1.978,0.6642,0.3358,1.2561,0.5568,0.4432,2.1162,0.6791,0.3209,0.7897,10218.0,12939.0
1701358800000,1.9851,0.665,0.335,1.2558,0.5567,0.4433,2.1299,0.6805,0.3195,0.7897,10218.0,12939.0
1701359100000,1.9922,0.6658,0.3342,1.2556,0.5567,0.4433,2.124,0.6799,0.3201,0.7897,10218.0,12939.0
1701359400000,1.986,0.6651,0.3349,1.2554,0.5566,0.4434,2.1211,0.6796,0.3204,0.7897,10218.0,12939.0
1701359700000,1.9815,0.6646,0.3354,1.2555,0.5566,0.4434,2.1201,0.6795,0.3205,0.7897,10218.0,12939.0
1701360000000,1.9878,0.6653,0.3347,1.256,0.5567,0.4433,2.125,0.68,0.32,0.7897,10218.0,12939.0
1701360300000,1.9994,0.6666,0.3334,1.2563,0.5568,0.4432,2.125,0.68,0.32,0.7897,10218.0,12939.0
1701360600000,1.9851,0.665,0.335,1.2565,0.5568,0.4432,2.1153,0.679,0.321,0.7897,10218.0,12939.0
1701360900000,1.9922,0.6658,0.3342,1.2565,0.5568,0.4432,2.125,0.68,0.32,0.7897,10218.0,12939.0
1701361200000,1.986,0.6651,0.3349,1.2566,0.5569,0.4431,2.125,0.68,0.32,0.7897,10218.0,12939.0
1701361500000,1.9851,0.665,0.335,1.2563,0.5568,0.4432,2.1201,0.6795,0.3205,0.7897,10218.0,12939.0
1701361800000,1.9895,0.6655,0.3345,1.2565,0.5568,0.4432,2.1192,0.6794,0.3206,0.7897,10218.0,12939.0
1701362100000,1.9833,0.6648,0.3352,1.2559,0.5567,0.4433,2.1104,0.6785,0.3215,0.7897,10218.0,12939.0
1701362400000,1.9806,0.6645,0.3355,1.2558,0.5567,0.4433,2.1124,0.6787,0.3213,0.7897,10218.0,12939.0
1701362700000,1.9806,0.6645,0.3355,1.2562,0.5568,0.4432,2.1162,0.6791,0.3209,0.7897,10218.0,12939.0
1701363000000,1.9753,0.6639,0.3361,1.2556,0.5567,0.4433,2.1221,0.6797,0.3203,0.7897,10218.0,12939.0
1701363300000,1.9842,0.6649,0.3351,1.2562,0.5568,0.4432,2.1211,0.6796,0.3204,0.7897,10218.0,12939.0
1701363600000,1.9815,0.6646,0.3354,1.2565,0.5568,0.4432,2.1182,0.6793,0.3207,0.7897,10218.0,12939.0
1701363900000,1.978,0.6642,0.3358,1.2564,0.5568,0.4432,2.1172,0.6792,0.3208,0.7897,10218.0,12939.0
1701364200000,1.97,0.6633,0.3367,1.2564,0.5568,0.4432,2.1037,0.6778,0.3222,0.7897,10218.0,12939.0
1701364500000,1.97,0.6633,0.3367,1.2566,0.5569,0.4431,2.1095,0.6784,0.3216,0.7897,10218.0,12939.0
1701364800000,1.97,0.6633,0.3367,1.2564,0.5568,0.4432,2.1114,0.6786,0.3214,0.7897,10218.0,12939.0
1701365100000,1.9665,0.6629,0.3371,1.2562,0.5568,0.4432,2.1095,0.6784,0.3216,0.7897,10218.0,12939.0
1701365400000,1.9824,0.6647,0.3353,1.2545,0.5564,0.4436,2.1338,0.6809,0.3191,0.7897,10218.0,12939.0
1701365700000,1.9851,0.665,0.335,1.2545,0.5564,0.4436,2.124,0.6799,0.3201,0.7897,10218.0,12939.0
