Timestamp,TopRatioAcc,TopLongAcc, TopShortAcc, TopRatioPos, TopLongPos, TopShortPos, GlobalRatioAcc, GlobalLongAcc, GlobalShortAcc, BuySellRatio, BuyVol, SelVol
1700695800000,1.8539,0.6496,0.3504,0.8049,0.4459,0.5541,2.56,0.7191,0.2809,1.8522,5379410.0,2904394.0
1700696100000,1.8612,0.6505,0.3495,0.8047,0.4459,0.5541,2.5613,0.7192,0.2808,1.8522,5379410.0,2904394.0
1700696400000,1.8612,0.6505,0.3495,0.8036,0.4456,0.5544,2.5486,0.7182,0.2818,1.8522,5379410.0,2904394.0
1700696700000,1.8409,0.648,0.352,0.8033,0.4455,0.5545,2.5562,0.7188,0.2812,1.8522,5379410.0,2904394.0
1700697000000,1.8466,0.6487,0.3513,0.8039,0.4456,0.5544,2.5112,0.7152,0.2848,1.8522,5379410.0,2904394.0
1700697300000,1.8289,0.6465,0.3535,0.8057,0.4462,0.5538,2.5373,0.7173,0.2827,1.8522,5379410.0,2904394.0
1700697600000,1.8281,0.6464,0.3536,0.7998,0.4444,0.5556,2.4904,0.7135,0.2865,1.8522,5379410.0,2904394.0
1700697900000,1.8321,0.6469,0.3531,0.8181,0.45,0.55,2.5286,0.7166,0.2834,1.8522,5379410.0,2904394.0
1700698200000,1.8498,0.6491,0.3509,0.8166,0.4495,0.5505,2.5249,0.7163,0.2837,1.8522,5379410.0,2904394.0
1700698500000,1.8361,0.6474,0.3526,0.8185,0.4501,0.5499,2.5273,0.7165,0.2835,1.8522,5379410.0,2904394.0
1700698800000,1.8482,0.6489,0.3511,0.8198,0.4505,0.5495,2.5199,0.7159,0.2841,1.8522,5379410.0,2904394.0
1700699100000,1.8353,0.6473,0.3527,0.8195,0.4504,0.5496,2.6023,0.7224,0.2776,1.8522,5379410.0,2904394.0
1700699400000,1.918,0.6573,0.3427,0.826,0.4524,0.5476,2.6456,0.7257,0.2743,1.8522,5379410.0,2904394.0
1700699700000,1.9691,0.6632,0.3368,0.8372,0.4557,0.5443,2.5907,0.7215,0.2785,1.8522,5379410.0,2904394.0
1700700000000,1.9438,0.6603,0.3397,0.8393,0.4563,0.5437,2.6232,0.724,0.276,1.8522,5379410.0,2904394.0
1700700300000,1.9647,0.6627,0.3373,0.8383,0.456,0.544,2.6324,0.7247,0.2753,1.8522,5379410.0,2904394.0
1700700600000,1.9603,0.6622,0.3378,0.8368,0.4556,0.5444,2.6153,0.7234,0.2766,1.8522,5379410.0,2904394.0
1700700900000,1.9542,0.6615,0.3385,0.8462,0.4584,0.5416,2.5907,0.7215,0.2785,1.8522,5379410.0,2904394.0
1700701200000,1.949,0.6609,0.3391,0.8451,0.458,0.542,2.6075,0.7228,0.2772,1.8522,5379410.0,2904394.0
1700701500000,1.9291,0.6586,0.3414,0.8417,0.457,0.543,2.5881,0.7213,0.2787,1.8522,5379410.0,2904394.0
1700701800000,1.9429,0.6602,0.3398,0.8432,0.4575,0.5425,2.6417,0.7254,0.2746,1.8522,5379410.0,2904394.0
1700702100000,1.9586,0.662,0.338,0.8348,0.455,0.545,2.6536,0.7263,0.2737,1.8522,5379410.0,2904394.0
1700702400000,1.9665,0.6629,0.3371,0.8376,0.4558,0.5442,2.6311,0.7246,0.2754,1.8522,5379410.0,2904394.0
1700702700000,1.9386,0.6597,0.3403,0.8354,0.4551,0.5449,2.6153,0.7234,0.2766,1.8522,5379410.0,2904394.0
1700703000000,1.9231,0.6579,0.3421,0.8344,0.4549,0.5451,2.6523,0.7262,0.2738,1.8522,5379410.0,2904394.0
1700703300000,1.9542,0.6615,0.3385,0.8352,0.4551,0.5449,2.6232,0.724,0.276,1.8522,5379410.0,2904394.0
1700703600000,1.956,0.6617,0.3383,0.8354,0.4552,0.5448,2.6179,0.7236,0.2764,1.8522,5379410.0,2904394.0
1700703900000,1.9516,0.6612,0.3388,0.8338,0.4547,0.5453,2.601,0.7223,0.2777,1.8522,5379410.0,2904394.0
1700704200000,1.9429,0.6602,0.3398,0.8318,0.4541,0.5459,2.6258,0.7242,0.2758,1.8522,5379410.0,2904394.0
1700704500000,1.9455,0.6605,0.3395,0.8299,0.4535,0.5465,2.6088,0.7229,0.2771,1.8522,5379410.0,2904394.0
1700704800000,1.9369,0.6595,0.3405,0.8298,0.4535,0.5465,2.6127,0.7232,0.2768,1.8522,5379410.0,2904394.0
1700705100000,1.9112,0.6565,0.3435,0.8271,0.4527,0.5473,2.5524,0.7185,0.2815,1.8522,5379410.0,2904394.0
1700705400000,1.9095,0.6563,0.3437,0.9343,0.483,0.517,2.5562,0.7188,0.2812,1.8522,5379410.0,2904394.0
1700705700000,2.034,0.6704,0.3296,0.9305,0.482,0.518,2.574,0.7202,0.2798,1.8522,5379410.0,2904394.0
1700706000000,2.0166,0.6685,0.3315,0.9331,0.4827,0.5173,2.5236,0.7162,0.2838,1.8522,5379410.0,2904394.0
1700706300000,1.9806,0.6645,0.3355,0.9396,0.4844,0.5156,2.5137,0.7154,0.2846,1.8522,5379410.0,2904394.0
1700706600000,1.956,0.6617,0.3383,0.9433,0.4854,0.5146,2.4904,0.7135,0.2865,1.8522,5379410.0,2904394.0
1700706900000,1.9326,0.659,0.341,0.9417,0.485,0.515,2.4734,0.7121,0.2879,1.8522,5379410.0,2904394.0
1700707200000,1.9274,0.6584,0.3416,0.9432,0.4854,0.5146,2.4388,0.7092,0.2908,1.8522,5379410.0,2904394.0
1700707500000,1.907,0.656,0.344,0.9451,0.4859,0.5141,2.4329,0.7087,0.2913,1.8522,5379410.0,2904394.0
1700707800000,1.8918,0.6542,0.3458,0.9433,0.4854,0.5146,2.3944,0.7054,0.2946,1.8522,5379410.0,2904394.0
1700708100000,1.8265,0.6462,0.3538,0.9419,0.485,0.515,2.4141,0.7071,0.2929,1.8522,5379410.0,2904394.0
1700708400000,1.8193,0.6453,0.3547,0.9409,0.4848,0.5152,2.4341,0.7088,0.2912,1.8522,5379410.0,2904394.0
1700708700000,1.867,0.6512,0.3488,0.969,0.4921,0.5079,2.4542,0.7105,0.2895,1.8522,5379410.0,2904394.0
1700709000000,1.8637,0.6508,0.3492,0.9684,0.492,0.508,2.44,0.7093,0.2907,1.8522,5379410.0,2904394.0
1700709300000,1.8514,0.6493,0.3507,0.9671,0.4916,0.5084,2.465,0.7114,0.2886,1.8522,5379410.0,2904394.0
1700709600000,1.8571,0.65,0.35,0.967,0.4916,0.5084,2.4364,0.709,0.291,1.8522,5379410.0,2904394.0
1700709900000,1.8305,0.6467,0.3533,0.9626,0.4905,0.5095,2.4638,0.7113,0.2887,1.8522,5379410.0,2904394.0
