Timestamp,TopRatioAcc,TopLongAcc, TopShortAcc, TopRatioPos, TopLongPos, TopShortPos, GlobalRatioAcc, GlobalLongAcc, GlobalShortAcc, BuySellRatio, BuyVol, SelVol
1700696100000,1.3491,0.5743,0.4257,1.3039,0.5660,0.4340,1.5967,0.6149,0.3851,0.8075,40801.0000,50527.0000
1700696400000,1.3491,0.5743,0.4257,1.3068,0.5665,0.4335,1.6042,0.6160,0.3840,0.8075,40801.0000,50527.0000
1700696700000,1.3480,0.5741,0.4259,1.3064,0.5664,0.4336,1.6042,0.6160,0.3840,0.8075,40801.0000,50527.0000
1700697000000,1.3518,0.5748,0.4252,1.3059,0.5663,0.4337,1.5994,0.6153,0.3847,0.8075,40801.0000,50527.0000
1700697300000,1.3568,0.5757,0.4243,1.3045,0.5661,0.4339,1.6055,0.6162,0.3838,0.8075,40801.0000,50527.0000
1700697600000,1.3546,0.5753,0.4247,1.3052,0.5662,0.4338,1.6110,0.6170,0.3830,0.8075,40801.0000,50527.0000
1700697900000,1.3596,0.5762,0.4238,1.3039,0.5660,0.4340,1.6089,0.6167,0.3833,0.8075,40801.0000,50527.0000
1700698200000,1.3708,0.5782,0.4218,1.2961,0.5645,0.4355,1.6144,0.6175,0.3825,0.8075,40801.0000,50527.0000
1700698500000,1.3518,0.5748,0.4252,1.3018,0.5656,0.4344,1.6247,0.6190,0.3810,0.8075,40801.0000,50527.0000
1700698800000,1.3546,0.5753,0.4247,1.2994,0.5651,0.4349,1.6185,0.6181,0.3819,0.8075,40801.0000,50527.0000
1700699100000,1.3496,0.5744,0.4256,1.2993,0.5651,0.4349,1.6192,0.6182,0.3818,0.8075,40801.0000,50527.0000
1700699400000,1.3546,0.5753,0.4247,1.2994,0.5651,0.4349,1.6157,0.6177,0.3823,0.8075,40801.0000,50527.0000
1700699700000,1.3602,0.5763,0.4237,1.2982,0.5649,0.4351,1.6199,0.6183,0.3817,0.8075,40801.0000,50527.0000
1700700000000,1.3702,0.5781,0.4219,1.3018,0.5656,0.4344,1.6192,0.6182,0.3818,0.8075,40801.0000,50527.0000
1700700300000,1.3646,0.5771,0.4229,1.3019,0.5656,0.4344,1.6130,0.6173,0.3827,0.8075,40801.0000,50527.0000
1700700600000,1.3702,0.5781,0.4219,1.3010,0.5654,0.4346,1.6021,0.6157,0.3843,0.8075,40801.0000,50527.0000
1700700900000,1.3590,0.5761,0.4239,1.2983,0.5649,0.4351,1.6062,0.6163,0.3837,0.8075,40801.0000,50527.0000
1700701200000,1.3513,0.5747,0.4253,1.2986,0.5650,0.4350,1.5967,0.6149,0.3851,0.8075,40801.0000,50527.0000
1700701500000,1.3419,0.5730,0.4270,1.2948,0.5642,0.4358,1.5840,0.6130,0.3870,0.8075,40801.0000,50527.0000
1700701800000,1.3425,0.5731,0.4269,1.2944,0.5641,0.4359,1.5840,0.6130,0.3870,0.8075,40801.0000,50527.0000
1700702100000,1.3425,0.5731,0.4269,1.2960,0.5645,0.4355,1.5786,0.6122,0.3878,0.8075,40801.0000,50527.0000
1700702400000,1.3458,0.5737,0.4263,1.2970,0.5647,0.4353,1.5753,0.6117,0.3883,0.8075,40801.0000,50527.0000
1700702700000,1.3474,0.5740,0.4260,1.2955,0.5644,0.4356,1.5820,0.6127,0.3873,0.8075,40801.0000,50527.0000
1700703000000,1.3430,0.5732,0.4268,1.2850,0.5624,0.4376,1.5900,0.6139,0.3861,0.8075,40801.0000,50527.0000
1700703300000,1.3485,0.5742,0.4258,1.2823,0.5618,0.4382,1.6035,0.6159,0.3841,0.8075,40801.0000,50527.0000
1700703600000,1.3496,0.5744,0.4256,1.2799,0.5614,0.4386,1.6089,0.6167,0.3833,0.8075,40801.0000,50527.0000
1700703900000,1.3463,0.5738,0.4262,1.2759,0.5606,0.4394,1.6076,0.6165,0.3835,0.8075,40801.0000,50527.0000
1700704200000,1.3507,0.5746,0.4254,1.2764,0.5607,0.4393,1.6069,0.6164,0.3836,0.8075,40801.0000,50527.0000
1700704500000,1.3485,0.5742,0.4258,1.2770,0.5608,0.4392,1.6055,0.6162,0.3838,0.8075,40801.0000,50527.0000
1700704800000,1.3491,0.5743,0.4257,1.2758,0.5606,0.4394,1.6001,0.6154,0.3846,0.8075,40801.0000,50527.0000
1700705100000,1.3540,0.5752,0.4248,1.2779,0.5610,0.4390,1.6001,0.6154,0.3846,0.8075,40801.0000,50527.0000
1700705400000,1.3529,0.5750,0.4250,1.3454,0.5736,0.4264,1.6021,0.6157,0.3843,0.8075,40801.0000,50527.0000
1700705700000,1.5504,0.6079,0.3921,1.3441,0.5734,0.4266,1.5927,0.6143,0.3857,0.8075,40801.0000,50527.0000
1700706000000,1.5465,0.6073,0.3927,1.3399,0.5726,0.4274,1.5934,0.6144,0.3856,0.8075,40801.0000,50527.0000
1700706300000,1.5426,0.6067,0.3933,1.3414,0.5729,0.4271,1.5887,0.6137,0.3863,0.8075,40801.0000,50527.0000
1700706600000,1.5407,0.6064,0.3936,1.3439,0.5734,0.4266,1.5860,0.6133,0.3867,0.8075,40801.0000,50527.0000
1700706900000,1.5426,0.6067,0.3933,1.3425,0.5731,0.4269,1.5800,0.6124,0.3876,0.8075,40801.0000,50527.0000
1700707200000,1.5374,0.6059,0.3941,1.3481,0.5741,0.4259,1.5846,0.6131,0.3869,0.8075,40801.0000,50527.0000
1700707500000,1.5413,0.6065,0.3935,1.3478,0.5741,0.4259,1.5786,0.6122,0.3878,0.8075,40801.0000,50527.0000
1700707800000,1.5316,0.6050,0.3950,1.3490,0.5743,0.4257,1.5820,0.6127,0.3873,0.8075,40801.0000,50527.0000
1700708100000,1.5253,0.6040,0.3960,1.3494,0.5744,0.4256,1.5747,0.6116,0.3884,0.8075,40801.0000,50527.0000
1700708400000,1.5291,0.6046,0.3954,1.3511,0.5747,0.4253,1.5621,0.6097,0.3903,0.8075,40801.0000,50527.0000
1700708700000,1.5278,0.6044,0.3956,1.3488,0.5742,0.4258,1.5661,0.6103,0.3897,0.8075,40801.0000,50527.0000
1700709000000,1.5336,0.6053,0.3947,1.3494,0.5744,0.4256,1.5648,0.6101,0.3899,0.8075,40801.0000,50527.0000
1700709300000,1.5439,0.6069,0.3931,1.3444,0.5734,0.4266,1.5523,0.6082,0.3918,0.8075,40801.0000,50527.0000
1700709600000,1.5413,0.6065,0.3935,1.3431,0.5732,0.4268,1.5700,0.6109,0.3891,0.8075,40801.0000,50527.0000
1700709900000,1.5413,0.6065,0.3935,1.3440,0.5734,0.4266,1.5628,0.6098,0.3902,0.8075,40801.0000,50527.0000
1700710200000,1.5316,0.6050,0.3950,1.3423,0.5731,0.4269,1.5648,0.6101,0.3899,0.8075,40801.0000,50527.0000
1700710500000,1.5355,0.6056,0.3944,1.3435,0.5733,0.4267,1.5608,0.6095,0.3905,0.8075,40801.0000,50527.0000
1700710800000,1.5336,0.6053,0.3947,1.3440,0.5734,0.4266,1.5602,0.6094,0.3906,0.8075,40801.0000,50527.0000
1700711100000,1.5284,0.6045,0.3955,1.3442,0.5734,0.4266,1.5582,0.6091,0.3909,0.8075,40801.0000,50527.0000
1700711400000,1.5291,0.6046,0.3954,1.3444,0.5735,0.4265,1.5536,0.6084,0.3916,0.8075,40801.0000,50527.0000
1700712300000,1.5291,0.6046,0.3954,1.3479,0.5741,0.4259,1.5536,0.6084,0.3916,0.8075,40801.0000,50527.0000
1700712600000,1.5227,0.6036,0.3964,1.3469,0.5739,0.4261,1.5432,0.6068,0.3932,0.8075,40801.0000,50527.0000
1700712900000,1.5265,0.6042,0.3958,1.3484,0.5742,0.4258,1.5400,0.6063,0.3937,0.8075,40801.0000,50527.0000
1700713200000,1.5202,0.6032,0.3968,1.3475,0.5740,0.4260,1.5452,0.6071,0.3929,0.8075,40801.0000,50527.0000
1700713500000,1.5265,0.6042,0.3958,1.3494,0.5744,0.4256,1.5400,0.6063,0.3937,0.8075,40801.0000,50527.0000
1700713800000,1.5253,0.6040,0.3960,1.3484,0.5742,0.4258,1.5458,0.6072,0.3928,0.8075,40801.0000,50527.0000
1700714100000,1.5157,0.6025,0.3975,1.3468,0.5739,0.4261,1.5465,0.6073,0.3927,0.8075,40801.0000,50527.0000
1700714400000,1.5221,0.6035,0.3965,1.3480,0.5741,0.4259,1.5426,0.6067,0.3933,0.8075,40801.0000,50527.0000
1700714700000,1.5113,0.6018,0.3982,1.3477,0.5740,0.4260,1.5452,0.6071,0.3929,0.8075,40801.0000,50527.0000
1700715000000,1.5157,0.6025,0.3975,1.3478,0.5741,0.4259,1.5413,0.6065,0.3935,0.8075,40801.0000,50527.0000
1700715300000,1.5151,0.6024,0.3976,1.3473,0.5740,0.4260,1.5458,0.6072,0.3928,0.8075,40801.0000,50527.0000
1700715600000,1.5138,0.6022,0.3978,1.3453,0.5736,0.4264,1.5432,0.6068,0.3932,0.8075,40801.0000,50527.0000
1700715900000,1.5132,0.6021,0.3979,1.3455,0.5736,0.4264,1.5445,0.6070,0.3930,0.8075,40801.0000,50527.0000
1700716200000,1.5138,0.6022,0.3978,1.3448,0.5735,0.4265,1.5439,0.6069,0.3931,0.8075,40801.0000,50527.0000
1700716500000,1.5157,0.6025,0.3975,1.3413,0.5729,0.4271,1.5452,0.6071,0.3929,0.8075,40801.0000,50527.0000
1700716800000,1.5189,0.6030,0.3970,1.3420,0.5730,0.4270,1.5504,0.6079,0.3921,0.8075,40801.0000,50527.0000
1700717100000,1.5138,0.6022,0.3978,1.3437,0.5733,0.4267,1.5517,0.6081,0.3919,0.8075,40801.0000,50527.0000
1700717400000,1.5164,0.6026,0.3974,1.3379,0.5723,0.4277,1.5458,0.6072,0.3928,0.8075,40801.0000,50527.0000
1700717700000,1.5202,0.6032,0.3968,1.3410,0.5728,0.4272,1.5569,0.6089,0.3911,0.8075,40801.0000,50527.0000
1700718000000,1.5278,0.6044,0.3956,1.3418,0.5730,0.4270,1.5589,0.6092,0.3908,0.8075,40801.0000,50527.0000
1700718300000,1.5284,0.6045,0.3955,1.3433,0.5733,0.4267,1.5562,0.6088,0.3912,0.8075,40801.0000,50527.0000
1700718600000,1.5240,0.6038,0.3962,1.3431,0.5732,0.4268,1.5517,0.6081,0.3919,0.8075,40801.0000,50527.0000
1700718900000,1.5221,0.6035,0.3965,1.3433,0.5733,0.4267,1.5445,0.6070,0.3930,0.8075,40801.0000,50527.0000
1700719200000,1.5253,0.6040,0.3960,1.3437,0.5733,0.4267,1.5439,0.6069,0.3931,0.8075,40801.0000,50527.0000
1700719500000,1.5202,0.6032,0.3968,1.3400,0.5726,0.4274,1.5484,0.6076,0.3924,0.8075,40801.0000,50527.0000
1700719800000,1.5246,0.6039,0.3961,1.3433,0.5733,0.4267,1.5478,0.6075,0.3925,0.8075,40801.0000,50527.0000
