Timestamp,TopRatioAcc,TopLongAcc, TopShortAcc, TopRatioPos, TopLongPos, TopShortPos, GlobalRatioAcc, GlobalLongAcc, GlobalShortAcc, BuySellRatio, BuyVol, SelVol
1700696100000,1.7012,0.6298,0.3702,1.3769,0.5793,0.4207,1.6137,0.6174,0.3826,1.5208,95850.0000,63026.0000
1700696400000,1.6846,0.6275,0.3725,1.3770,0.5793,0.4207,1.5994,0.6153,0.3847,1.5208,95850.0000,63026.0000
1700696700000,1.6781,0.6266,0.3734,1.3776,0.5794,0.4206,1.5988,0.6152,0.3848,1.5208,95850.0000,63026.0000
1700697000000,1.6889,0.6281,0.3719,1.3769,0.5793,0.4207,1.6048,0.6161,0.3839,1.5208,95850.0000,63026.0000
1700697300000,1.6795,0.6268,0.3732,1.3772,0.5793,0.4207,1.5967,0.6149,0.3851,1.5208,95850.0000,63026.0000
1700697600000,1.6903,0.6283,0.3717,1.3776,0.5794,0.4206,1.6015,0.6156,0.3844,1.5208,95850.0000,63026.0000
1700697900000,1.6709,0.6256,0.3744,1.3761,0.5791,0.4209,1.5893,0.6138,0.3862,1.5208,95850.0000,63026.0000
1700698200000,1.6116,0.6171,0.3829,1.3751,0.5790,0.4210,1.5582,0.6091,0.3909,1.5208,95850.0000,63026.0000
1700698500000,1.6254,0.6191,0.3809,1.3762,0.5792,0.4208,1.5589,0.6092,0.3908,1.5208,95850.0000,63026.0000
1700698800000,1.6096,0.6168,0.3832,1.3767,0.5793,0.4207,1.5523,0.6082,0.3918,1.5208,95850.0000,63026.0000
1700699100000,1.6233,0.6188,0.3812,1.3767,0.5792,0.4208,1.5727,0.6113,0.3887,1.5208,95850.0000,63026.0000
1700699400000,1.6233,0.6188,0.3812,1.3762,0.5792,0.4208,1.5674,0.6105,0.3895,1.5208,95850.0000,63026.0000
1700699700000,1.6316,0.6200,0.3800,1.3765,0.5792,0.4208,1.5767,0.6119,0.3881,1.5208,95850.0000,63026.0000
1700700000000,1.6434,0.6217,0.3783,1.3770,0.5793,0.4207,1.5860,0.6133,0.3867,1.5208,95850.0000,63026.0000
